
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.4775"	"3.047"	"1.5726"	"1.536"	"2.2183"	"1.3602"	"1.7262"	"2.889"	"6.1885"	"5.5816"	"9.1898"	"4.516"
"1902"	"4.4106"	"3.1068"	"1.8047"	"1.1581"	"2.3218"	"3.1492"	"2.0965"	"3.6164"	"4.3408"	"10.3318"	"8.2621"	"5.3966"
"1903"	"1.6049"	"1.8028"	"0.0898"	"0.9632"	"4.5589"	"2.3341"	"2.4798"	"5.3848"	"7.3324"	"7.2438"	"8.7405"	"6.7033"
"1904"	"2.032"	"0.0531"	"0.0898"	"0.8173"	"2.9718"	"2.3139"	"5.3559"	"2.3409"	"3.211"	"6.6496"	"2.8075"	"4.3671"
"1905"	"0.5951"	"0.0581"	"1.124"	"4.1349"	"3.4959"	"1.5099"	"2.8884"	"4.1673"	"3.4357"	"10.2659"	"6.8886"	"1.2932"
"1906"	"3.1867"	"1.4129"	"1.65"	"1.0531"	"1.6542"	"2.3638"	"3.1419"	"5.4403"	"3.7844"	"7.8817"	"9.4802"	"8.1342"
"1907"	"1.2256"	"0.5166"	"0.4985"	"4.2165"	"2.2025"	"2.8198"	"2.845"	"4.112"	"5.6588"	"8.6137"	"8.3939"	"4.3413"
"1908"	"1.9962"	"3.0128"	"1.5678"	"1.1734"	"2.0405"	"1.1135"	"2.8307"	"3.7191"	"6.935"	"10.6805"	"4.515"	"3.2058"
"1909"	"3.6999"	"1.7413"	"0.3325"	"3.0914"	"4.2329"	"2.6554"	"1.4763"	"8.1664"	"6.5657"	"6.8513"	"5.0658"	"2.7658"
"1910"	"0.9252"	"2.9356"	"0.0898"	"2.2086"	"1.4475"	"2.5475"	"4.0461"	"6.4672"	"4.2384"	"9.5198"	"6.924"	"1.0808"
"1911"	"0.4301"	"0.41"	"0.8166"	"1.1366"	"1.8233"	"2.0898"	"2.3911"	"2.4773"	"5.5382"	"6.8171"	"7.8458"	"6.2783"
"1912"	"1.42"	"0.1031"	"0.3633"	"1.2817"	"1.9285"	"3.4412"	"1.4815"	"4.6179"	"6.3219"	"9.3101"	"8.817"	"1.4772"
"1913"	"0.5119"	"0.3854"	"0.0902"	"1.0654"	"2.2626"	"1.8548"	"5.31"	"3.449"	"5.541"	"9.2711"	"10.2519"	"5.9949"
"1914"	"1.1647"	"0.8009"	"0.0952"	"3.849"	"2.1897"	"1.7435"	"1.7565"	"3.4309"	"6.5494"	"10.9732"	"7.2343"	"6.731"
"1915"	"2.5726"	"2.2941"	"1.5649"	"2.4493"	"2.6566"	"2.03"	"3.3287"	"4.3922"	"6.2251"	"3.7503"	"8.3426"	"3.6484"
"1916"	"0.0736"	"0.2157"	"0.3658"	"1.6196"	"2.5818"	"1.7732"	"5.6833"	"4.3792"	"3.9674"	"8.4918"	"8.1839"	"3.5299"
"1917"	"1.4809"	"1.9514"	"1.3008"	"0.9194"	"2.49"	"3.5491"	"4.7746"	"5.9205"	"6.2946"	"4.5697"	"7.7858"	"3.9172"
"1918"	"4.0724"	"1.1843"	"1.1235"	"1.138"	"2.9543"	"2.1939"	"2.4262"	"1.4593"	"2.9622"	"5.0741"	"11.3682"	"5.8301"
"1919"	"2.3736"	"0.0536"	"1.533"	"1.1503"	"3.3614"	"3.3977"	"3.7304"	"2.7831"	"6.1046"	"7.3011"	"10.0888"	"6.0007"
"1920"	"4.6705"	"0.1804"	"0.0912"	"2.4069"	"1.1436"	"1.3348"	"1.6235"	"4.2684"	"5.3385"	"6.5269"	"12.162"	"1.6576"
"1921"	"5.0013"	"0.0001"	"0.0898"	"2.3695"	"0.9999"	"3.1995"	"3.6313"	"5.1072"	"3.8906"	"9.3941"	"5.4757"	"3.7292"
"1922"	"3.1467"	"2.7179"	"0.09"	"1.3521"	"2.8527"	"2.5015"	"1.8375"	"3.3796"	"3.7607"	"9.0791"	"10.8383"	"4.9344"
"1923"	"4.7299"	"0.4115"	"2.6185"	"1.3272"	"1.0655"	"2.3647"	"1.2678"	"3.0443"	"5.8821"	"9.5332"	"3.8987"	"5.7192"
"1924"	"2.8861"	"0.0002"	"2.6628"	"2.1212"	"1.9639"	"1.8042"	"2.9435"	"4.3825"	"7.0328"	"6.0763"	"7.2384"	"3.6034"
"1925"	"3.0981"	"0.8555"	"3.0178"	"1.7727"	"2.5673"	"2.31"	"2.4785"	"5.7291"	"3.6371"	"7.5449"	"9.0786"	"7.5091"
"1926"	"3.3852"	"1.4129"	"1.4009"	"2.7605"	"3.1008"	"1.9974"	"3.1444"	"3.3982"	"6.7662"	"7.7585"	"7.6658"	"3.2433"
"1927"	"2.3646"	"2.1303"	"1.3531"	"4.1453"	"3.3409"	"3.359"	"2.0592"	"2.623"	"3.8467"	"4.8924"	"7.3401"	"3.1745"
"1928"	"2.2163"	"3.2975"	"1.1187"	"1.5837"	"2.0388"	"1.5673"	"4.8747"	"4.3175"	"4.4458"	"8.7387"	"9.0349"	"5.3877"
"1929"	"1.5342"	"1.0801"	"0.5009"	"3.8252"	"2.247"	"4.0275"	"2.0546"	"3.2365"	"5.5331"	"7.1845"	"8.6392"	"5.9086"
"1930"	"4.3515"	"2.6053"	"1.2484"	"1.6382"	"4.7768"	"2.4545"	"2.5871"	"3.2431"	"3.8967"	"11.1755"	"8.17"	"3.0927"
"1931"	"2.8062"	"0.1051"	"0.09"	"2.348"	"1.8419"	"1.9797"	"2.4219"	"2.4154"	"4.3095"	"6.2038"	"8.2102"	"9.1501"
"1932"	"0.4096"	"1.5079"	"1.1188"	"3.1215"	"4.0681"	"1.3165"	"1.5276"	"4.489"	"3.6491"	"10.0799"	"9.0223"	"5.2448"
"1933"	"0.5932"	"1.413"	"2.2105"	"1.5834"	"2.9356"	"1.6269"	"3.0756"	"7.4799"	"3.268"	"6.9108"	"6.4505"	"4.4857"
"1934"	"3.3506"	"0.0016"	"0.8887"	"1.8799"	"1.5885"	"2.1137"	"4.0024"	"4.3121"	"1.0132"	"11.2513"	"6.4031"	"2.7352"
"1935"	"3.644"	"0.4967"	"1.1267"	"3.05"	"1.0333"	"2.5138"	"1.6215"	"4.2405"	"3.9031"	"8.9149"	"6.0251"	"5.883"
"1936"	"1.122"	"3.0211"	"3.1052"	"1.601"	"2.7044"	"1.9078"	"2.6855"	"3.3076"	"6.9827"	"5.7794"	"8.881"	"4.3514"
"1937"	"2.1377"	"0.679"	"2.1838"	"3.4423"	"1.5219"	"1.365"	"2.4955"	"4.179"	"5.6074"	"7.8264"	"9.6776"	"2.7161"
"1938"	"0.5026"	"2.916"	"3.4872"	"3.1516"	"1.7714"	"1.7433"	"3.8653"	"4.8197"	"6.2058"	"6.2922"	"4.1525"	"3.5157"
"1939"	"2.9783"	"0.4196"	"1.1198"	"3.808"	"3.5979"	"1.1727"	"1.3251"	"3.9671"	"5.0264"	"8.9528"	"9.4869"	"2.1038"
"1940"	"0.5284"	"0.112"	"1.1185"	"3.5319"	"4.1605"	"2.8239"	"2.1449"	"1.774"	"5.0179"	"7.9443"	"11.6596"	"4.6466"
"1941"	"2.7446"	"0.953"	"0.4805"	"3.24"	"2.9969"	"1.8736"	"1.7833"	"3.8221"	"6.5898"	"7.5708"	"8.6269"	"5.9506"
"1942"	"1.0329"	"0.0001"	"0.4059"	"3.192"	"2.089"	"1.1003"	"1.2652"	"4.2805"	"6.4828"	"6.891"	"5.464"	"8.1477"
"1943"	"3.7966"	"1.4976"	"1.1196"	"3.5047"	"5.235"	"2.1368"	"1.9373"	"4.0138"	"4.0851"	"10.1745"	"5.451"	"5.1485"
"1944"	"1.9453"	"2.8726"	"3.7483"	"0.9914"	"1.3882"	"2.4975"	"2.8458"	"3.1673"	"3.5046"	"8.1363"	"9.8151"	"5.1737"
"1945"	"1.0841"	"0.6539"	"0.725"	"4.087"	"1.2849"	"1.8488"	"2.5213"	"3.8191"	"3.2413"	"6.7553"	"8.1598"	"3.3215"
"1946"	"2.0815"	"0.101"	"2.6859"	"2.0604"	"2.6085"	"1.7212"	"2.5041"	"2.9116"	"5.5849"	"7.944"	"9.3699"	"8.1096"
"1947"	"4.0803"	"2.2508"	"2.2101"	"3.4192"	"2.1953"	"2.1451"	"5.3437"	"3.5849"	"6.4089"	"8.2114"	"3.2963"	"1.8422"
"1948"	"3.7296"	"1.4129"	"0.6984"	"1.1579"	"1.8359"	"2.2798"	"2.832"	"4.2692"	"4.7675"	"6.0278"	"8.8932"	"3.6492"
"1949"	"0.8896"	"0.2721"	"0.0898"	"2.2508"	"3.6832"	"2.5126"	"4.3585"	"5.6279"	"3.8199"	"6.4021"	"5.9305"	"1.894"
"1950"	"1.217"	"2.9319"	"1.1189"	"1.1601"	"3.5087"	"1.2863"	"2.2212"	"5.0415"	"3.3943"	"6.5823"	"5.7026"	"3.2936"
"1951"	"1.8076"	"0.3118"	"1.2608"	"4.4179"	"1.6889"	"2.3913"	"3.2292"	"3.9385"	"6.9935"	"4.4019"	"10.6613"	"1.2801"
"1952"	"2.2567"	"3.2156"	"0.7338"	"1.538"	"2.8952"	"2.2066"	"3.6766"	"4.3042"	"2.3012"	"5.3589"	"3.287"	"5.3471"
"1953"	"1.689"	"1.4651"	"0.0908"	"4.3271"	"1.1505"	"3.2483"	"3.7061"	"4.0398"	"5.9823"	"9.7285"	"5.7286"	"2.8496"
"1954"	"4.2852"	"1.9118"	"1.8149"	"3.9106"	"2.0762"	"1.3691"	"3.4641"	"6.9811"	"3.2475"	"9.8616"	"2.204"	"6.5268"
"1955"	"3.2741"	"1.4234"	"1.1073"	"3.4111"	"3.9544"	"1.6212"	"3.045"	"5.1102"	"3.9319"	"6.3585"	"5.3392"	"5.3116"
"1956"	"1.6737"	"1.4129"	"0.0899"	"3.5737"	"1.0607"	"4.6463"	"2.3179"	"4.0495"	"5.8335"	"8.7918"	"8.8338"	"4.4854"
"1957"	"0.3025"	"1.7826"	"0.7896"	"0.8665"	"2.7197"	"3.3287"	"4.1248"	"2.7946"	"4.7096"	"8.5836"	"8.0252"	"4.7516"
"1958"	"2.3868"	"0.2333"	"1.2945"	"2.4308"	"4.6242"	"1.8754"	"1.6255"	"5.9185"	"4.1369"	"8.0734"	"6.4061"	"2.2984"
"1959"	"1.2058"	"3.3163"	"0.0898"	"3.1497"	"3.7287"	"3.456"	"1.5014"	"4.4246"	"4.1277"	"8.0038"	"7.6864"	"4.1917"
"1960"	"1.4061"	"1.4601"	"0.0935"	"1.9581"	"1.7"	"2.0099"	"5.824"	"2.9991"	"4.2898"	"6.8794"	"10.7542"	"2.5231"
"1961"	"5.126"	"1.7005"	"0.092"	"1.6857"	"2.3618"	"3.791"	"3.485"	"5.1333"	"3.282"	"6.6552"	"6.2245"	"2.9844"
"1962"	"0.9588"	"0.8077"	"1.119"	"0.9927"	"4.0151"	"1.2219"	"1.9083"	"4.6321"	"5.7392"	"9.7335"	"5.0605"	"4.7893"
"1963"	"4.6145"	"1.4129"	"3.355"	"2.3173"	"2.4583"	"1.8196"	"3.5397"	"4.29"	"3.3845"	"7.0638"	"9.2321"	"6.291"
"1964"	"0.2893"	"0.1818"	"1.5951"	"1.0083"	"1.8083"	"1.2026"	"6.0839"	"4.7607"	"5.2294"	"7.0915"	"6.5861"	"4.5528"
"1965"	"1.2095"	"2.9895"	"0.3669"	"3.0739"	"3.1241"	"3.2973"	"2.4256"	"6.8065"	"5.5705"	"6.5076"	"6.9016"	"7.9199"
"1966"	"2.3162"	"0.6438"	"2.1333"	"1.9666"	"2.6042"	"2.3753"	"2.3945"	"5.4754"	"8.4892"	"10.4354"	"8.4068"	"5.5658"
"1967"	"2.7853"	"0.313"	"1.7101"	"2.2434"	"2.9593"	"2.5859"	"3.055"	"2.4213"	"3.1873"	"9.2579"	"8.8579"	"6.9417"
"1968"	"1.1383"	"0.7011"	"1.6951"	"5.3647"	"1.4431"	"1.6835"	"1.7389"	"3.3135"	"5.4519"	"5.6057"	"6.782"	"3.8449"
"1969"	"0.2894"	"1.0869"	"0.3927"	"1.0187"	"2.8826"	"1.8233"	"2.5189"	"5.8611"	"1.6564"	"10.3604"	"9.1275"	"5.8753"
"1970"	"1.3765"	"1.8224"	"0.5344"	"3.4958"	"2.8826"	"2.6701"	"1.7969"	"3.7984"	"3.7847"	"6.8958"	"9.406"	"2.7591"
"1971"	"1.9816"	"2.0546"	"2.0368"	"2.7656"	"3.2664"	"1.0873"	"2.8949"	"4.8148"	"5.1094"	"8.5245"	"4.7325"	"7.2027"
"1972"	"0.3035"	"0.1191"	"0.0898"	"2.1502"	"6.3087"	"2.4829"	"2.5608"	"1.613"	"6.9121"	"10.2896"	"6.7212"	"8.9472"
"1973"	"0.0736"	"0.0002"	"0.0913"	"0.717"	"1.3143"	"3.1361"	"2.4766"	"4.4251"	"6.6146"	"9.0737"	"6.0924"	"5.4741"
"1974"	"0.4712"	"1.6633"	"1.3467"	"1.2839"	"3.213"	"2.0027"	"2.7778"	"3.9179"	"5.672"	"5.9695"	"3.9418"	"2.2778"
"1975"	"1.2072"	"0.0537"	"2.0536"	"1.1473"	"1.9469"	"1.46"	"5.5381"	"6.4374"	"4.8068"	"7.4154"	"7.7315"	"3.7627"
"1976"	"0.9119"	"0.0001"	"1.165"	"2.2673"	"1.7836"	"1.3553"	"2.3215"	"4.0967"	"3.859"	"7.3766"	"9.4358"	"3.9472"
"1977"	"0.9104"	"2.3437"	"1.6966"	"2.0838"	"4.1303"	"3.088"	"3.3"	"3.9945"	"3.7413"	"11.3117"	"9.9994"	"2.9336"
"1978"	"0.263"	"0.6121"	"0.7913"	"2.4269"	"1.7275"	"1.0474"	"3.6135"	"4.0795"	"7.0792"	"8.4"	"8.1672"	"7.5655"
"1979"	"0.1722"	"2.5697"	"1.2146"	"0.8752"	"1.6287"	"2.2722"	"2.4947"	"3.9163"	"7.8052"	"8.0767"	"10.1406"	"3.8897"
"1980"	"0.36"	"0.0001"	"0.7181"	"3.0145"	"2.4809"	"2.1563"	"2.465"	"3.4282"	"4.1811"	"7.0273"	"7.2207"	"4.5364"
"1981"	"2.1658"	"0.54"	"1.4324"	"1.2554"	"3.6713"	"2.0817"	"4.7251"	"3.3355"	"7.427"	"8.8625"	"6.2238"	"1.985"
"1982"	"0.1524"	"0.0001"	"1.3519"	"2.5147"	"1.5242"	"1.9166"	"2.3102"	"2.215"	"4.9032"	"6.1369"	"8.5897"	"3.979"
"1983"	"0.2557"	"0.0001"	"0.4563"	"0.5505"	"2.7102"	"2.4836"	"3.3732"	"4.454"	"4.6367"	"6.118"	"6.5693"	"8.7742"
"1984"	"3.1355"	"3.8512"	"3.1903"	"3.1527"	"1.2057"	"1.4387"	"6.8142"	"3.8885"	"6.693"	"4.8412"	"6.2341"	"3.3313"
"1985"	"4.8692"	"2.2843"	"1.1758"	"1.6736"	"2.0831"	"1.6909"	"5.3088"	"7.6512"	"7.0913"	"6.6812"	"9.9545"	"3.7414"
"1986"	"3.4114"	"2.9235"	"1.119"	"1.5496"	"2.1003"	"1.3291"	"5.9697"	"2.873"	"5.0523"	"8.106"	"6.8289"	"5.5186"
"1987"	"1.1221"	"0.0001"	"1.3228"	"2.1925"	"3.1946"	"2.3848"	"1.3846"	"2.9095"	"5.1297"	"9.9924"	"6.4378"	"6.826"
"1988"	"0.0736"	"0.0001"	"1.6354"	"4.0579"	"1.7564"	"4.346"	"4.221"	"7.8341"	"10.3198"	"3.7688"	"6.8808"	"4.2996"
"1989"	"1.2812"	"0.0001"	"2.0891"	"1.9802"	"1.9812"	"2.7755"	"4.4274"	"2.9458"	"6.1156"	"8.679"	"6.8952"	"4.0672"
"1990"	"3.4406"	"1.4009"	"1.1883"	"1.0486"	"4.1484"	"3.1339"	"1.9484"	"2.3761"	"5.1985"	"10.856"	"5.9698"	"5.1987"
"1991"	"1.2292"	"1.413"	"1.5115"	"1.21"	"1.3811"	"2.5902"	"2.8881"	"3.4122"	"4.9632"	"9.0271"	"7.7076"	"2.7502"
"1992"	"1.0792"	"0.0001"	"0.0898"	"1.0774"	"3.5538"	"2.3616"	"2.4931"	"5.741"	"5.5652"	"6.5512"	"8.5892"	"4.3575"
"1993"	"1.3786"	"1.413"	"1.1179"	"1.093"	"2.1193"	"3.405"	"2.63"	"4.3642"	"2.1966"	"8.5388"	"8.6011"	"8.5411"
"1994"	"1.2958"	"3.0964"	"1.2019"	"1.8659"	"2.7423"	"1.6902"	"2.4971"	"2.7171"	"2.8253"	"8.9387"	"8.2248"	"3.4669"
"1995"	"4.1499"	"1.7452"	"1.443"	"2.3188"	"3.5771"	"1.8096"	"2.7475"	"4.6062"	"5.8481"	"8.1925"	"4.9237"	"1.9646"
"1996"	"1.3891"	"1.598"	"0.0898"	"4.0642"	"1.5502"	"3.925"	"3.0309"	"3.8514"	"5.5575"	"8.7114"	"6.82"	"6.1068"
"1997"	"1.8495"	"0.0001"	"1.658"	"2.8356"	"2.2392"	"2.2958"	"4.2448"	"3.4877"	"4.9049"	"8.9686"	"10.3904"	"6.4789"
"1998"	"1.829"	"0.354"	"0.0898"	"2.3451"	"2.348"	"1.5681"	"4.2041"	"4.9498"	"3.7771"	"6.9035"	"7.0351"	"7.0741"
"1999"	"2.6799"	"3.2607"	"0.0898"	"2.4689"	"1.6936"	"1.5845"	"1.6747"	"2.3492"	"4.5884"	"8.9557"	"6.3965"	"3.2009"
"2000"	"2.1787"	"3.259"	"1.1223"	"2.6279"	"1.6643"	"1.7856"	"2.4858"	"6.1062"	"7.5062"	"7.0926"	"6.0681"	"4.8978"
"2001"	"2.5271"	"0.6515"	"0.5421"	"3.9087"	"1.5655"	"4.9369"	"3.9638"	"3.4072"	"4.5907"	"8.7584"	"6.5755"	"5.6512"
"2002"	"1.5294"	"0.9003"	"0.0898"	"1.0784"	"3.1058"	"2.2802"	"1.2979"	"2.8294"	"4.7684"	"9.8587"	"8.7145"	"4.2712"
