
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.237"	"27.082"	"27.721"	"29.282"	"28.331"	"26.41"	"25.94"	"26.053"	"26.644"	"26.618"	"25.929"	"24.985"
"1902"	"25.205"	"26.141"	"28.3"	"29.264"	"28.939"	"26.977"	"25.776"	"26.672"	"25.989"	"26.415"	"26.176"	"25.911"
"1903"	"26.056"	"26.722"	"28.281"	"29.32"	"28.286"	"26.786"	"25.461"	"25.854"	"25.767"	"26.092"	"25.193"	"24.489"
"1904"	"24.604"	"25.558"	"27.294"	"28.76"	"27.665"	"25.423"	"24.932"	"25.895"	"26.266"	"26.617"	"25.486"	"25.137"
"1905"	"25.26"	"26.654"	"27.747"	"28.52"	"28.312"	"26.726"	"26.043"	"26.171"	"26.541"	"26.517"	"26.285"	"24.98"
"1906"	"25.955"	"26.661"	"27.7"	"29.916"	"29.107"	"26.369"	"25.334"	"25.747"	"25.77"	"26.491"	"26.004"	"25.353"
"1907"	"25.131"	"26.414"	"27.717"	"28.098"	"28.196"	"26.261"	"25.509"	"24.986"	"26.266"	"26.71"	"26.012"	"25.332"
"1908"	"25.474"	"26.146"	"27.277"	"29.129"	"27.986"	"26.395"	"24.635"	"25.572"	"26.257"	"26.695"	"25.479"	"24.917"
"1909"	"24.954"	"26.191"	"28.021"	"28.559"	"27.966"	"26.303"	"24.961"	"25.772"	"25.848"	"26.569"	"25.984"	"25.56"
"1910"	"25.401"	"26.227"	"27.92"	"28.964"	"28.49"	"26.048"	"25.627"	"25.346"	"25.486"	"26.017"	"25.23"	"24.663"
"1911"	"25.375"	"25.168"	"27.668"	"28.92"	"28.136"	"26.07"	"25.158"	"25.845"	"26.767"	"26.491"	"26.362"	"25.703"
"1912"	"24.823"	"27.041"	"28.295"	"29.36"	"29.007"	"26.278"	"25.457"	"25.672"	"26.441"	"26.241"	"25.686"	"24.862"
"1913"	"24.878"	"26.515"	"27.872"	"29.398"	"28.986"	"26.386"	"25.266"	"25.98"	"26.744"	"26.4"	"26.063"	"25.866"
"1914"	"25.004"	"26.64"	"28.172"	"29.12"	"28.911"	"26.981"	"25.658"	"25.772"	"26.766"	"26.822"	"26.485"	"25.858"
"1915"	"25.8"	"26.717"	"27.695"	"29.145"	"28.712"	"27.159"	"25.935"	"26.34"	"26.567"	"26.895"	"26.08"	"25.063"
"1916"	"24.804"	"26.292"	"28.217"	"29.438"	"28.485"	"25.7"	"26.009"	"25.877"	"25.989"	"26.11"	"25.776"	"24.862"
"1917"	"25.036"	"26.042"	"27.277"	"28.92"	"27.917"	"25.7"	"26.308"	"25.88"	"25.841"	"25.692"	"25.709"	"24.957"
"1918"	"24.897"	"24.989"	"27.023"	"28.893"	"27.01"	"26.261"	"26.212"	"26.071"	"26.441"	"27.395"	"26.888"	"25.617"
"1919"	"26.086"	"26.783"	"27.686"	"29.689"	"28.243"	"26.177"	"25.526"	"25.697"	"26.466"	"26.817"	"25.78"	"25.665"
"1920"	"25.254"	"26.64"	"28.502"	"28.861"	"28.82"	"26.196"	"25.735"	"25.697"	"26.265"	"26.658"	"25.879"	"25.04"
"1921"	"25.852"	"26.129"	"28.37"	"28.457"	"28.838"	"26.427"	"25.461"	"25.591"	"25.849"	"26.491"	"25.66"	"24.963"
