
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1902"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1903"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1904"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1905"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1906"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1907"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1908"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1909"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1910"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1911"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1912"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1913"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1914"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1915"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1916"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1917"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1918"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1919"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1920"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1921"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1922"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1923"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1924"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1925"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1926"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1927"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1928"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1929"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1930"	"28.631"	"26.203"	"28.526"	"40.813"	"50.816"	"72.015"	"79.172"	"72.611"	"64.012"	"58.337"	"49.339"	"38.632"
"1931"	"27.338"	"24.122"	"26.294"	"40.574"	"47.225"	"68.207"	"74.188"	"72.611"	"60.444"	"52.512"	"44.862"	"40.031"
"1932"	"24.839"	"29.736"	"30.604"	"46.702"	"57.544"	"77.015"	"83.972"	"73.909"	"67.149"	"69.027"	"59.618"	"38.632"
"1933"	"28.631"	"27.653"	"28.526"	"40.813"	"47.278"	"70.971"	"76.776"	"71.31"	"64.012"	"58.337"	"48.314"	"37.432"
"1934"	"30.925"	"25.165"	"28.526"	"43.04"	"50.642"	"71.668"	"75.181"	"70.339"	"61.665"	"57.275"	"45.09"	"35.202"
