
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.01"	"4.48"	"4.86"	"5.12"	"4.75"	"4.14"	"3.93"	"3.93"	"4.11"	"3.98"	"3.7"	"3.61"
"1902"	"3.91"	"4.37"	"4.92"	"5.12"	"4.82"	"4.2"	"3.91"	"3.99"	"4.06"	"3.97"	"3.73"	"3.68"
"1903"	"3.99"	"4.43"	"4.92"	"5.11"	"4.74"	"4.18"	"3.9"	"3.9"	"4.02"	"3.93"	"3.63"	"3.56"
"1904"	"3.86"	"4.33"	"4.81"	"5.06"	"4.68"	"4.04"	"3.84"	"3.9"	"4.07"	"3.98"	"3.67"	"3.63"
"1905"	"3.91"	"4.43"	"4.85"	"5.02"	"4.75"	"4.18"	"3.94"	"3.95"	"4.1"	"3.97"	"3.74"	"3.6"
"1906"	"3.98"	"4.43"	"4.86"	"5.18"	"4.83"	"4.13"	"3.9"	"3.89"	"4.02"	"3.97"	"3.72"	"3.65"
"1907"	"3.9"	"4.4"	"4.85"	"4.99"	"4.73"	"4.13"	"3.89"	"3.83"	"4.07"	"3.98"	"3.72"	"3.65"
"1908"	"3.93"	"4.37"	"4.81"	"5.09"	"4.71"	"4.13"	"3.84"	"3.89"	"4.07"	"3.98"	"3.66"	"3.59"
"1909"	"3.88"	"4.39"	"4.9"	"5.02"	"4.71"	"4.13"	"3.84"	"3.89"	"4.03"	"3.98"	"3.72"	"3.67"
"1910"	"3.92"	"4.39"	"4.88"	"5.08"	"4.78"	"4.1"	"3.92"	"3.86"	"4"	"3.93"	"3.64"	"3.58"
"1911"	"3.92"	"4.28"	"4.84"	"5.07"	"4.73"	"4.1"	"3.89"	"3.9"	"4.12"	"3.97"	"3.74"	"3.66"
"1912"	"3.88"	"4.47"	"4.92"	"5.12"	"4.84"	"4.13"	"3.89"	"3.9"	"4.1"	"3.94"	"3.68"	"3.6"
"1913"	"3.88"	"4.42"	"4.87"	"5.14"	"4.82"	"4.13"	"3.88"	"3.92"	"4.12"	"3.97"	"3.73"	"3.67"
"1914"	"3.89"	"4.43"	"4.91"	"5.09"	"4.81"	"4.21"	"3.92"	"3.89"	"4.12"	"3.98"	"3.75"	"3.67"
"1915"	"3.97"	"4.43"	"4.84"	"5.09"	"4.79"	"4.2"	"3.93"	"3.93"	"4.1"	"4"	"3.74"	"3.63"
"1916"	"3.88"	"4.39"	"4.91"	"5.14"	"4.77"	"4.08"	"3.95"	"3.91"	"4.06"	"3.93"	"3.7"	"3.6"
"1917"	"3.89"	"4.37"	"4.81"	"5.07"	"4.7"	"4.08"	"4"	"3.9"	"4.03"	"3.9"	"3.7"	"3.6"
"1918"	"3.88"	"4.27"	"4.79"	"5.07"	"4.61"	"4.13"	"3.96"	"3.94"	"4.1"	"4.06"	"3.78"	"3.66"
"1919"	"3.99"	"4.44"	"4.84"	"5.15"	"4.74"	"4.13"	"3.9"	"3.9"	"4.1"	"3.99"	"3.7"	"3.66"
"1920"	"3.92"	"4.43"	"4.95"	"5.05"	"4.81"	"4.12"	"3.91"	"3.9"	"4.07"	"3.98"	"3.7"	"3.61"
"1921"	"3.98"	"4.37"	"4.92"	"5.03"	"4.8"	"4.14"	"3.9"	"3.9"	"4.03"	"3.97"	"3.68"	"3.59"
"1922"	"3.91"	"4.37"	"4.9"	"5.09"	"4.71"	"4.1"	"3.85"	"3.88"	"4.05"	"3.96"	"3.69"	"3.57"
"1923"	"3.87"	"4.34"	"4.79"	"5.05"	"4.77"	"4.16"	"3.83"	"3.86"	"4.03"	"3.97"	"3.74"	"3.68"
"1924"	"3.91"	"4.43"	"4.89"	"5.13"	"4.8"	"4.11"	"3.89"	"3.9"	"4.07"	"3.97"	"3.68"	"3.62"
"1925"	"3.91"	"4.37"	"4.83"	"5.07"	"4.69"	"4.12"	"3.9"	"3.89"	"4.11"	"3.98"	"3.7"	"3.6"
"1926"	"3.94"	"4.41"	"4.92"	"5.07"	"4.82"	"4.22"	"3.98"	"3.95"	"4.09"	"3.97"	"3.73"	"3.67"
"1927"	"3.98"	"4.45"	"4.94"	"5.13"	"4.73"	"4.11"	"3.84"	"3.94"	"4.07"	"3.95"	"3.69"	"3.68"
"1928"	"3.98"	"4.4"	"4.84"	"5.12"	"4.84"	"4.18"	"3.93"	"3.89"	"4.1"	"3.94"	"3.73"	"3.64"
"1929"	"3.93"	"4.4"	"4.86"	"4.99"	"4.77"	"4.1"	"3.91"	"3.95"	"4.11"	"3.97"	"3.74"	"3.69"
"1930"	"3.94"	"4.39"	"4.88"	"5.08"	"4.69"	"4.13"	"3.92"	"3.91"	"4.1"	"3.97"	"3.73"	"3.67"
