
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"31.336"	"32.195"	"32.633"	"33.879"	"32.407"	"29.803"	"29.055"	"29.144"	"30.16"	"30.428"	"30.076"	"29.663"
"1902"	"30.304"	"31.255"	"33.158"	"33.86"	"33.014"	"30.374"	"28.89"	"29.76"	"29.504"	"30.223"	"30.323"	"30.589"
"1903"	"31.156"	"31.835"	"33.138"	"33.915"	"32.362"	"30.181"	"28.576"	"28.943"	"29.282"	"29.901"	"29.339"	"29.165"
"1904"	"29.703"	"30.673"	"32.153"	"33.346"	"31.74"	"28.818"	"28.047"	"28.968"	"29.782"	"30.428"	"29.632"	"29.813"
"1905"	"30.357"	"31.768"	"32.605"	"33.064"	"32.387"	"30.121"	"29.158"	"29.261"	"30.056"	"30.326"	"30.433"	"29.657"
"1906"	"31.052"	"31.774"	"32.61"	"34.501"	"33.13"	"29.764"	"28.448"	"28.835"	"29.287"	"30.301"	"30.149"	"30.031"
"1907"	"30.229"	"31.526"	"32.628"	"32.693"	"32.27"	"29.654"	"28.624"	"28.024"	"29.782"	"30.518"	"30.158"	"30.009"
"1908"	"30.572"	"31.258"	"32.136"	"33.723"	"32.062"	"29.79"	"27.75"	"28.662"	"29.773"	"30.504"	"29.626"	"29.593"
"1909"	"30.052"	"31.305"	"32.929"	"33.104"	"32.041"	"29.699"	"28.075"	"28.861"	"29.364"	"30.379"	"30.13"	"30.238"
"1910"	"30.498"	"31.342"	"32.83"	"33.558"	"32.565"	"29.415"	"28.742"	"28.434"	"29"	"29.827"	"29.378"	"29.339"
"1911"	"30.472"	"30.28"	"32.58"	"33.515"	"32.158"	"29.439"	"28.273"	"28.935"	"30.282"	"30.301"	"30.509"	"30.38"
"1912"	"29.92"	"32.144"	"33.153"	"33.955"	"33.083"	"29.673"	"28.572"	"28.76"	"29.956"	"30.05"	"29.832"	"29.541"
"1913"	"29.977"	"31.618"	"32.781"	"33.992"	"33.035"	"29.781"	"28.38"	"29.003"	"30.258"	"30.209"	"30.208"	"30.543"
"1914"	"30.103"	"31.753"	"33.083"	"33.714"	"32.96"	"30.351"	"28.773"	"28.861"	"30.282"	"30.632"	"30.632"	"30.535"
"1915"	"30.897"	"31.83"	"32.605"	"33.739"	"32.787"	"30.53"	"29.049"	"29.429"	"30.082"	"30.704"	"30.225"	"29.74"
"1916"	"29.902"	"31.405"	"33.127"	"34.033"	"32.562"	"29.095"	"29.123"	"28.952"	"29.504"	"29.919"	"29.924"	"29.541"
"1917"	"30.134"	"31.154"	"32.136"	"33.514"	"31.992"	"29.095"	"29.424"	"28.968"	"29.347"	"29.5"	"29.855"	"29.634"
"1918"	"29.994"	"30.101"	"31.932"	"33.488"	"31.085"	"29.654"	"29.327"	"29.161"	"29.956"	"31.204"	"31.034"	"30.296"
"1919"	"31.185"	"31.896"	"32.597"	"34.285"	"32.318"	"29.572"	"28.64"	"28.786"	"29.982"	"30.627"	"29.926"	"30.345"
"1920"	"30.351"	"31.753"	"33.412"	"33.455"	"32.894"	"29.591"	"28.849"	"28.786"	"29.782"	"30.467"	"30.026"	"29.716"
"1921"	"30.949"	"31.241"	"33.278"	"33.053"	"32.887"	"29.822"	"28.576"	"28.678"	"29.364"	"30.301"	"29.806"	"29.639"
"1922"	"30.399"	"31.273"	"32.93"	"33.731"	"31.988"	"29.439"	"28.142"	"28.624"	"29.56"	"30.149"	"29.749"	"29.239"
"1923"	"29.835"	"30.75"	"32.032"	"33.461"	"32.47"	"29.99"	"28.024"	"28.487"	"29.404"	"30.326"	"30.387"	"30.526"
"1924"	"30.407"	"31.828"	"32.931"	"34.08"	"32.887"	"29.512"	"28.241"	"28.961"	"29.705"	"30.226"	"29.817"	"29.714"
"1925"	"30.375"	"31.186"	"32.375"	"33.63"	"31.893"	"29.551"	"28.665"	"28.861"	"30.182"	"30.446"	"29.954"	"29.654"
"1926"	"30.706"	"31.623"	"33.153"	"33.488"	"33.014"	"30.416"	"29.551"	"29.503"	"29.904"	"30.327"	"30.216"	"30.217"
"1927"	"30.935"	"31.978"	"33.381"	"34.058"	"32.284"	"29.49"	"28.076"	"29.161"	"29.797"	"30.134"	"29.691"	"30.392"
"1928"	"31.054"	"31.487"	"32.527"	"33.847"	"33.264"	"30.151"	"28.958"	"28.662"	"30.06"	"30.101"	"30.254"	"30.022"
"1929"	"30.576"	"31.526"	"32.658"	"32.951"	"32.578"	"29.424"	"28.857"	"29.33"	"30.16"	"30.235"	"30.419"	"30.503"
"1930"	"30.684"	"31.409"	"32.81"	"33.532"	"31.884"	"29.79"	"29.023"	"28.995"	"29.982"	"30.349"	"30.205"	"30.432"
"1931"	"30.807"	"31.71"	"33.153"	"33.982"	"33.387"	"30.314"	"28.95"	"29.013"	"29.582"	"30.609"	"30.375"	"30.214"
"1932"	"29.768"	"31.172"	"32.053"	"33.655"	"31.788"	"29.772"	"28.401"	"29.238"	"29.556"	"30.265"	"30.172"	"29.933"
"1933"	"30.556"	"31.687"	"32.43"	"33.399"	"31.331"	"28.976"	"28.253"	"28.404"	"29.083"	"29.577"	"30.358"	"29.9"
"1934"	"30.566"	"30.726"	"32.128"	"33.28"	"32.58"	"29.772"	"28.727"	"28.82"	"30.257"	"30.552"	"29.384"	"29.458"
"1935"	"30.807"	"31.712"	"32.826"	"33.331"	"33.137"	"29.947"	"28.3"	"28.412"	"29.134"	"30.218"	"29.483"	"30.24"
"1936"	"31.106"	"31.875"	"32.379"	"33.582"	"32.38"	"28.75"	"28.249"	"28.462"	"29.81"	"30.279"	"30.309"	"30.777"
"1937"	"30.732"	"32.227"	"33.138"	"33.089"	"32.5"	"29.521"	"28.049"	"29.161"	"30.081"	"30.078"	"29.906"	"29.866"
