
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.72"	"6.2"	"6.51"	"6.48"	"6.07"	"5.12"	"4.74"	"4.83"	"5.14"	"5.15"	"5.06"	"5.18"
"1902"	"5.65"	"6.12"	"6.51"	"6.48"	"6.09"	"5.18"	"4.72"	"4.85"	"5.14"	"5.11"	"5.05"	"5.21"
"1903"	"5.69"	"6.17"	"6.52"	"6.49"	"6.07"	"5.15"	"4.73"	"4.79"	"5.12"	"5.12"	"5.04"	"5.16"
"1904"	"5.63"	"6.09"	"6.47"	"6.47"	"6.07"	"5.09"	"4.69"	"4.77"	"5.12"	"5.15"	"5.05"	"5.19"
"1905"	"5.65"	"6.16"	"6.52"	"6.45"	"6.04"	"5.14"	"4.75"	"4.84"	"5.14"	"5.12"	"5.07"	"5.17"
"1906"	"5.67"	"6.18"	"6.48"	"6.5"	"6.12"	"5.15"	"4.74"	"4.79"	"5.11"	"5.11"	"5.06"	"5.21"
"1907"	"5.66"	"6.14"	"6.52"	"6.44"	"6.04"	"5.14"	"4.74"	"4.76"	"5.1"	"5.12"	"5.06"	"5.19"
"1908"	"5.67"	"6.15"	"6.47"	"6.47"	"6.07"	"5.15"	"4.7"	"4.78"	"5.11"	"5.15"	"5.06"	"5.18"
"1909"	"5.64"	"6.12"	"6.52"	"6.46"	"6.05"	"5.13"	"4.7"	"4.78"	"5.11"	"5.12"	"5.06"	"5.21"
"1910"	"5.67"	"6.14"	"6.49"	"6.47"	"6.09"	"5.11"	"4.75"	"4.79"	"5.09"	"5.1"	"5.03"	"5.14"
"1911"	"5.68"	"6.09"	"6.47"	"6.47"	"6.07"	"5.13"	"4.72"	"4.77"	"5.14"	"5.12"	"5.06"	"5.22"
"1912"	"5.63"	"6.14"	"6.53"	"6.47"	"6.12"	"5.15"	"4.72"	"4.81"	"5.14"	"5.12"	"5.05"	"5.19"
"1913"	"5.63"	"6.15"	"6.49"	"6.47"	"6.1"	"5.15"	"4.71"	"4.77"	"5.15"	"5.12"	"5.05"	"5.22"
"1914"	"5.65"	"6.13"	"6.52"	"6.47"	"6.09"	"5.18"	"4.77"	"4.78"	"5.14"	"5.15"	"5.06"	"5.21"
"1915"	"5.68"	"6.17"	"6.49"	"6.47"	"6.07"	"5.16"	"4.76"	"4.82"	"5.14"	"5.15"	"5.08"	"5.22"
"1916"	"5.63"	"6.11"	"6.49"	"6.5"	"6.1"	"5.1"	"4.72"	"4.82"	"5.12"	"5.1"	"5.06"	"5.19"
"1917"	"5.65"	"6.15"	"6.47"	"6.47"	"6.07"	"5.08"	"4.77"	"4.82"	"5.13"	"5.08"	"5.03"	"5.18"
"1918"	"5.67"	"6.09"	"6.44"	"6.49"	"6.01"	"5.08"	"4.75"	"4.85"	"5.12"	"5.14"	"5.09"	"5.21"
"1919"	"5.68"	"6.18"	"6.49"	"6.5"	"6.09"	"5.13"	"4.72"	"4.81"	"5.12"	"5.15"	"5.05"	"5.2"
"1920"	"5.65"	"6.13"	"6.54"	"6.46"	"6.1"	"5.14"	"4.73"	"4.82"	"5.12"	"5.14"	"5.06"	"5.18"
"1921"	"5.67"	"6.14"	"6.53"	"6.45"	"6.07"	"5.15"	"4.72"	"4.81"	"5.11"	"5.12"	"5.06"	"5.17"
"1922"	"5.65"	"6.13"	"6.49"	"6.5"	"6.07"	"5.12"	"4.7"	"4.79"	"5.12"	"5.12"	"5.07"	"5.17"
"1923"	"5.63"	"6.11"	"6.46"	"6.43"	"6.07"	"5.16"	"4.72"	"4.77"	"5.11"	"5.1"	"5.06"	"5.23"
"1924"	"5.65"	"6.15"	"6.5"	"6.47"	"6.1"	"5.14"	"4.73"	"4.78"	"5.12"	"5.12"	"5.05"	"5.19"
"1925"	"5.66"	"6.15"	"6.47"	"6.47"	"6.06"	"5.11"	"4.72"	"4.78"	"5.14"	"5.15"	"5.06"	"5.17"
"1926"	"5.65"	"6.14"	"6.53"	"6.47"	"6.08"	"5.18"	"4.76"	"4.85"	"5.14"	"5.12"	"5.07"	"5.19"
"1927"	"5.68"	"6.17"	"6.53"	"6.51"	"6.09"	"5.14"	"4.68"	"4.81"	"5.14"	"5.12"	"5.04"	"5.19"
"1928"	"5.69"	"6.17"	"6.49"	"6.46"	"6.1"	"5.17"	"4.78"	"4.81"	"5.14"	"5.12"	"5.07"	"5.19"
"1929"	"5.66"	"6.14"	"6.52"	"6.43"	"6.07"	"5.11"	"4.72"	"4.81"	"5.15"	"5.12"	"5.05"	"5.21"
"1930"	"5.69"	"6.14"	"6.51"	"6.5"	"6.05"	"5.11"	"4.74"	"4.79"	"5.14"	"5.12"	"5.07"	"5.21"
"1931"	"5.7"	"6.18"	"6.57"	"6.48"	"6.16"	"5.24"	"4.86"	"4.83"	"5.18"	"5.23"	"5.14"	"5.22"
"1932"	"5.71"	"6.06"	"6.42"	"6.36"	"5.93"	"5.03"	"4.64"	"4.81"	"5.07"	"4.92"	"4.87"	"5.18"
"1933"	"5.65"	"6.15"	"6.5"	"6.47"	"6.1"	"5.09"	"4.75"	"4.8"	"5.11"	"5.07"	"5.06"	"5.21"
"1934"	"5.64"	"6.15"	"6.47"	"6.41"	"6.08"	"5.13"	"4.83"	"4.82"	"5.18"	"5.18"	"5.13"	"5.21"
"1935"	"5.61"	"6.1"	"6.49"	"6.41"	"6.08"	"5.17"	"4.76"	"4.79"	"5.1"	"5.15"	"5.07"	"5.18"
"1936"	"5.68"	"6.17"	"6.52"	"6.42"	"6.03"	"5.14"	"4.76"	"4.78"	"5.14"	"5.12"	"5.02"	"5.22"
"1937"	"5.66"	"6.14"	"6.53"	"6.45"	"6.18"	"5.11"	"4.64"	"4.9"	"5.22"	"5.12"	"5.06"	"5.19"
"1938"	"5.69"	"6.14"	"6.55"	"6.5"	"6.11"	"5.13"	"4.69"	"4.81"	"5.12"	"5.14"	"5.1"	"5.21"
"1939"	"5.67"	"6.11"	"6.49"	"6.43"	"6.08"	"5.16"	"4.72"	"4.79"	"5.12"	"5.15"	"5.02"	"5.25"
"1940"	"5.69"	"6.08"	"6.5"	"6.43"	"6.06"	"5.14"	"4.64"	"4.72"	"5.12"	"5.16"	"4.95"	"5.15"
"1941"	"5.65"	"6.07"	"6.44"	"6.43"	"6.02"	"5.09"	"4.77"	"4.85"	"5.08"	"5.06"	"5.07"	"5.23"
"1942"	"5.68"	"6.14"	"6.53"	"6.49"	"6.09"	"5.16"	"4.73"	"4.83"	"5.12"	"5.12"	"5.09"	"5.13"
"1943"	"5.66"	"6.15"	"6.53"	"6.45"	"6.03"	"5.01"	"4.64"	"4.86"	"5.09"	"5.08"	"5.01"	"5.21"
"1944"	"5.68"	"6.15"	"6.5"	"6.41"	"6.11"	"5.2"	"4.73"	"4.91"	"5.18"	"5.22"	"5.07"	"5.23"
"1945"	"5.68"	"6.13"	"6.55"	"6.48"	"6.09"	"5.28"	"4.75"	"4.85"	"5.16"	"5.18"	"5.02"	"5.24"
"1946"	"5.68"	"6.1"	"6.52"	"6.46"	"6.07"	"5.1"	"4.74"	"4.74"	"5.06"	"5.1"	"4.94"	"5.09"
"1947"	"5.64"	"6.07"	"6.46"	"6.35"	"6.1"	"5.22"	"4.69"	"4.83"	"5.09"	"5.08"	"5.13"	"5.18"
"1948"	"5.65"	"6.17"	"6.52"	"6.52"	"6.13"	"5.15"	"4.75"	"4.83"	"5.1"	"5.19"	"5.09"	"5.23"
"1949"	"5.71"	"6.14"	"6.54"	"6.5"	"6.07"	"5.09"	"4.67"	"4.79"	"5.09"	"5.12"	"5.13"	"5.26"
"1950"	"5.67"	"6.15"	"6.49"	"6.43"	"6.1"	"5.14"	"4.64"	"4.85"	"5.06"	"5.15"	"5.05"	"5.21"
"1951"	"5.65"	"6.11"	"6.52"	"6.47"	"6.14"	"5.18"	"4.74"	"4.81"	"5.18"	"5.18"	"5.06"	"5.26"
"1952"	"5.8"	"6.18"	"6.55"	"6.5"	"6.15"	"5.27"	"4.81"	"4.85"	"5.2"	"5.12"	"5.12"	"5.2"
"1953"	"5.66"	"6.15"	"6.57"	"6.49"	"6.14"	"5.27"	"4.76"	"4.85"	"5.18"	"5.15"	"5.12"	"5.25"
"1954"	"5.66"	"6.21"	"6.53"	"6.48"	"6.15"	"5.17"	"4.74"	"4.79"	"5.14"	"5.12"	"5.1"	"5.18"
"1955"	"5.65"	"6.16"	"6.51"	"6.47"	"5.99"	"4.88"	"4.7"	"4.75"	"5.11"	"5.1"	"5.05"	"5.23"
"1956"	"5.65"	"6.14"	"6.55"	"6.51"	"6.04"	"5"	"4.66"	"4.78"	"5.08"	"5.04"	"5.03"	"5.23"
"1957"	"5.66"	"6.14"	"6.51"	"6.48"	"6.04"	"5.03"	"4.64"	"4.74"	"5.13"	"5.08"	"5.03"	"5.2"
"1958"	"5.7"	"6.14"	"6.53"	"6.57"	"6.03"	"5.21"	"4.71"	"4.76"	"5.12"	"5.04"	"5.02"	"5.23"
"1959"	"5.7"	"6.18"	"6.61"	"6.52"	"6.16"	"5.1"	"4.66"	"4.79"	"5.1"	"5.06"	"5.08"	"5.23"
"1960"	"5.68"	"6.18"	"6.55"	"6.55"	"6.03"	"5.17"	"4.74"	"4.9"	"5.08"	"5.16"	"4.93"	"5.21"
"1961"	"5.61"	"6.09"	"6.38"	"6.54"	"6.02"	"5.03"	"4.64"	"4.76"	"5.12"	"5.11"	"5.05"	"5.22"
"1962"	"5.67"	"6.13"	"6.52"	"6.45"	"6"	"5.22"	"4.75"	"4.77"	"5.1"	"5.04"	"5.12"	"5.21"
"1963"	"5.64"	"6.18"	"6.5"	"6.46"	"6.13"	"5.13"	"4.78"	"4.79"	"5.18"	"5.1"	"5.05"	"5.22"
"1964"	"5.74"	"6.17"	"6.53"	"6.5"	"6.16"	"5.22"	"4.78"	"4.83"	"5.06"	"5.14"	"5.04"	"5.24"
"1965"	"5.69"	"6.15"	"6.52"	"6.46"	"6.08"	"5.21"	"4.79"	"4.81"	"5.12"	"5.2"	"5.11"	"5.15"
"1966"	"5.64"	"6.18"	"6.57"	"6.5"	"6.09"	"5.16"	"4.73"	"4.89"	"5.16"	"5.16"	"5.01"	"5.2"
"1967"	"5.7"	"6.24"	"6.51"	"6.53"	"6.06"	"5.16"	"4.73"	"4.78"	"5.11"	"5.09"	"5.14"	"5.18"
"1968"	"5.65"	"6.14"	"6.52"	"6.45"	"6.09"	"5.17"	"4.64"	"4.82"	"5.12"	"5.15"	"5.05"	"5.22"
"1969"	"5.68"	"6.13"	"6.56"	"6.52"	"6.1"	"5.19"	"4.75"	"4.82"	"5.12"	"5.12"	"5.09"	"5.16"
"1970"	"5.66"	"6.14"	"6.5"	"6.45"	"6.03"	"5.09"	"4.77"	"4.76"	"5.1"	"5.07"	"5.02"	"5.27"
"1971"	"5.64"	"6.17"	"6.49"	"6.49"	"6.11"	"5.03"	"4.75"	"4.79"	"5.12"	"5.1"	"5.15"	"5.18"
"1972"	"5.7"	"6.12"	"6.52"	"6.47"	"5.97"	"5.22"	"4.76"	"4.86"	"5.18"	"5.12"	"5.05"	"5.18"
"1973"	"5.72"	"6.18"	"6.54"	"6.49"	"6.14"	"5.14"	"4.77"	"4.73"	"5.1"	"5.09"	"5.11"	"5.2"
"1974"	"5.7"	"6.22"	"6.53"	"6.51"	"6.08"	"5.18"	"4.73"	"4.78"	"5.08"	"5.09"	"5.14"	"5.3"
"1975"	"5.67"	"6.13"	"6.52"	"6.49"	"6.08"	"5.03"	"4.69"	"4.75"	"5.05"	"5"	"5.02"	"5.25"
"1976"	"5.63"	"6.12"	"6.55"	"6.44"	"6.09"	"5.29"	"4.8"	"4.82"	"5.13"	"5.17"	"4.96"	"5.23"
