
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.066"	"23.004"	"24.677"	"27.514"	"28.439"	"28.624"	"28.007"	"27.87"	"27.674"	"27.369"	"25.924"	"22.218"
"1902"	"22.066"	"22.841"	"25.392"	"27.363"	"28.439"	"28.61"	"27.982"	"29.062"	"27.659"	"27.369"	"25.683"	"23.377"
"1903"	"22.066"	"23.143"	"24.933"	"27.563"	"28.49"	"28.624"	"28.008"	"27.87"	"27.659"	"27.391"	"24.675"	"22.003"
"1904"	"20.792"	"22.09"	"24.121"	"27.363"	"27.385"	"27.131"	"28.007"	"27.819"	"27.659"	"27.391"	"25.393"	"23.351"
"1905"	"22.066"	"23.052"	"24.67"	"26.813"	"28.49"	"28.704"	"28.919"	"27.87"	"27.659"	"27.369"	"25.924"	"22.054"
"1906"	"22.066"	"22.705"	"25.183"	"27.514"	"28.49"	"28.61"	"28.008"	"27.87"	"27.659"	"27.369"	"25.924"	"23.138"
"1907"	"22.066"	"23.444"	"25.392"	"26.468"	"28.439"	"28.61"	"28.008"	"27.858"	"27.733"	"27.369"	"26.021"	"22.835"
"1908"	"22.066"	"22.641"	"24.152"	"27.563"	"28.439"	"28.61"	"26.774"	"27.91"	"27.659"	"27.377"	"24.853"	"21.978"
"1909"	"21.868"	"23.444"	"25.392"	"26.975"	"28.439"	"28.485"	"27.525"	"27.819"	"27.529"	"27.369"	"25.219"	"22.999"
"1910"	"22.066"	"23.103"	"24.639"	"27.563"	"28.439"	"28.602"	"27.93"	"27.819"	"27.659"	"27.391"	"25.592"	"22.054"
"1911"	"22.066"	"22.092"	"25.392"	"27.528"	"28.439"	"28.623"	"28.008"	"27.897"	"27.659"	"27.377"	"25.924"	"23.377"
"1912"	"21.596"	"23.444"	"25.468"	"27.363"	"28.439"	"28.624"	"28.008"	"27.911"	"27.659"	"27.377"	"25.924"	"22.054"
"1913"	"20.968"	"23.444"	"25.392"	"27.389"	"28.439"	"28.576"	"28.008"	"27.87"	"27.659"	"27.369"	"25.924"	"23.377"
"1914"	"22.066"	"23.444"	"25.392"	"27.231"	"28.439"	"28.602"	"28.008"	"27.819"	"27.659"	"27.369"	"25.924"	"23.377"
"1915"	"22.066"	"23.118"	"25.392"	"27.563"	"28.49"	"28.624"	"28.008"	"27.911"	"27.682"	"27.377"	"26.004"	"22.54"
"1916"	"21.212"	"22.83"	"24.838"	"27.563"	"28.49"	"28.382"	"28.008"	"27.819"	"27.659"	"27.442"	"25.924"	"22.25"
"1917"	"21.672"	"22.766"	"24.343"	"27.045"	"28.309"	"28.624"	"28.008"	"27.819"	"27.659"	"26.302"	"25.583"	"22.333"
"1918"	"21.711"	"22.143"	"24.536"	"26.909"	"26.953"	"28.572"	"29.596"	"27.819"	"27.682"	"27.377"	"26.172"	"23.377"
"1919"	"22.093"	"23.444"	"25.176"	"27.563"	"28.439"	"28.584"	"28.008"	"27.87"	"27.659"	"27.468"	"25.916"	"23.377"
"1920"	"22.066"	"23.204"	"25.392"	"27.491"	"28.439"	"28.598"	"28.007"	"27.819"	"27.682"	"27.377"	"25.924"	"22.053"
"1921"	"22.066"	"22.868"	"25.453"	"27.528"	"28.49"	"28.624"	"28.008"	"27.819"	"27.733"	"27.369"	"25.415"	"22.096"
