
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1902"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1903"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1904"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1905"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1906"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1907"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1908"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1909"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1910"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1911"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1912"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1913"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1914"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1915"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1916"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1917"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1918"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1919"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1920"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1921"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1922"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1923"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1924"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
"1925"	"33.344"	"31.303"	"33.6"	"47.535"	"57.536"	"75.22"	"77.92"	"70.841"	"64.424"	"63.343"	"56.725"	"44.004"
