
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.87"	"4.31"	"4.58"	"4.66"	"4.42"	"3.96"	"3.92"	"3.91"	"3.94"	"3.8"	"3.45"	"3.46"
"1902"	"3.78"	"4.18"	"4.59"	"4.7"	"4.45"	"3.98"	"3.88"	"3.94"	"3.93"	"3.77"	"3.49"	"3.52"
"1903"	"3.87"	"4.26"	"4.63"	"4.69"	"4.42"	"3.99"	"3.87"	"3.89"	"3.89"	"3.78"	"3.45"	"3.41"
"1904"	"3.74"	"4.12"	"4.51"	"4.63"	"4.35"	"3.87"	"3.83"	"3.88"	"3.94"	"3.8"	"3.47"	"3.46"
"1905"	"3.77"	"4.21"	"4.61"	"4.6"	"4.38"	"3.97"	"3.95"	"3.9"	"3.99"	"3.79"	"3.51"	"3.45"
"1906"	"3.83"	"4.24"	"4.59"	"4.73"	"4.43"	"3.93"	"3.87"	"3.88"	"3.94"	"3.79"	"3.46"	"3.45"
"1907"	"3.76"	"4.21"	"4.58"	"4.58"	"4.42"	"3.94"	"3.88"	"3.82"	"3.94"	"3.79"	"3.48"	"3.45"
"1908"	"3.8"	"4.2"	"4.53"	"4.68"	"4.38"	"3.92"	"3.79"	"3.87"	"3.91"	"3.79"	"3.44"	"3.44"
"1909"	"3.75"	"4.17"	"4.58"	"4.63"	"4.36"	"3.92"	"3.82"	"3.83"	"3.9"	"3.79"	"3.47"	"3.46"
"1910"	"3.79"	"4.17"	"4.54"	"4.61"	"4.42"	"3.91"	"3.86"	"3.83"	"3.89"	"3.74"	"3.46"	"3.44"
"1911"	"3.77"	"4.12"	"4.56"	"4.64"	"4.38"	"3.9"	"3.83"	"3.88"	"3.96"	"3.77"	"3.5"	"3.46"
"1912"	"3.71"	"4.25"	"4.63"	"4.69"	"4.43"	"3.92"	"3.88"	"3.88"	"3.94"	"3.76"	"3.49"	"3.44"
"1913"	"3.76"	"4.22"	"4.58"	"4.69"	"4.45"	"3.97"	"3.86"	"3.89"	"3.95"	"3.78"	"3.48"	"3.51"
"1914"	"3.76"	"4.21"	"4.6"	"4.69"	"4.44"	"3.98"	"3.88"	"3.88"	"3.96"	"3.79"	"3.51"	"3.49"
"1915"	"3.82"	"4.22"	"4.54"	"4.64"	"4.42"	"3.99"	"3.88"	"3.91"	"3.95"	"3.8"	"3.49"	"3.47"
"1916"	"3.75"	"4.21"	"4.6"	"4.69"	"4.41"	"3.88"	"3.9"	"3.89"	"3.9"	"3.75"	"3.47"	"3.43"
"1917"	"3.76"	"4.2"	"4.52"	"4.64"	"4.37"	"3.9"	"3.92"	"3.89"	"3.89"	"3.73"	"3.45"	"3.42"
"1918"	"3.76"	"4.07"	"4.47"	"4.64"	"4.28"	"3.92"	"3.92"	"3.89"	"3.93"	"3.82"	"3.51"	"3.46"
"1919"	"3.85"	"4.26"	"4.55"	"4.7"	"4.42"	"3.92"	"3.85"	"3.86"	"3.94"	"3.79"	"3.44"	"3.48"
"1920"	"3.79"	"4.23"	"4.64"	"4.64"	"4.46"	"3.93"	"3.9"	"3.87"	"3.94"	"3.8"	"3.45"	"3.43"
"1921"	"3.81"	"4.19"	"4.63"	"4.62"	"4.46"	"3.97"	"3.86"	"3.87"	"3.91"	"3.79"	"3.47"	"3.44"
