
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.18"	"31.235"	"31.282"	"31.763"	"30.884"	"29.103"	"28.768"	"28.785"	"28.914"	"29.083"	"28.364"	"28.501"
"1902"	"29.333"	"29.901"	"31.43"	"32.081"	"31.451"	"29.465"	"28.25"	"29.15"	"28.667"	"28.748"	"28.698"	"29.199"
"1903"	"30.233"	"30.784"	"31.647"	"32.013"	"30.901"	"29.501"	"28.169"	"28.517"	"28.4"	"28.784"	"28.269"	"28.018"
"1904"	"28.7"	"29.351"	"30.446"	"31.397"	"30.503"	"28.217"	"27.736"	"28.4"	"28.866"	"29.083"	"28.501"	"28.466"
"1905"	"29.181"	"30.3"	"31.481"	"31.214"	"30.682"	"29.133"	"28.97"	"28.735"	"29.235"	"28.983"	"28.964"	"28.467"
"1906"	"29.831"	"30.484"	"31.382"	"32.461"	"31.198"	"28.866"	"28.102"	"28.301"	"28.737"	"28.932"	"28.398"	"28.682"
"1907"	"29.115"	"30.183"	"31.249"	"30.949"	"30.901"	"28.967"	"28.251"	"27.669"	"28.866"	"28.964"	"28.615"	"28.665"
"1908"	"29.399"	"30.016"	"30.814"	"31.88"	"30.619"	"28.682"	"27.317"	"28.234"	"28.548"	"28.964"	"28.148"	"28.217"
"1909"	"28.865"	"29.932"	"31.264"	"31.382"	"30.552"	"28.733"	"27.552"	"28.034"	"28.416"	"28.932"	"28.431"	"28.731"
"1910"	"29.348"	"29.883"	"30.845"	"31.195"	"30.95"	"28.499"	"28.068"	"27.935"	"28.335"	"28.5"	"28.384"	"28.319"
"1911"	"29.198"	"29.386"	"31.015"	"31.597"	"30.585"	"28.314"	"27.735"	"28.4"	"29.149"	"28.815"	"28.848"	"28.815"
"1912"	"28.6"	"30.699"	"31.732"	"31.978"	"31.181"	"28.682"	"28.219"	"28.334"	"28.816"	"28.682"	"28.684"	"28.317"
"1913"	"28.949"	"30.368"	"31.281"	"32.079"	"31.468"	"29.183"	"28.003"	"28.5"	"28.948"	"28.9"	"28.615"	"29.046"
"1914"	"29.083"	"30.332"	"31.429"	"31.93"	"31.149"	"29.265"	"28.301"	"28.301"	"29.132"	"29.098"	"28.93"	"28.963"
"1915"	"29.614"	"30.399"	"30.846"	"31.546"	"30.949"	"29.482"	"28.332"	"28.801"	"28.965"	"29.282"	"28.765"	"28.701"
"1916"	"28.884"	"30.117"	"31.446"	"31.978"	"31.102"	"28.268"	"28.466"	"28.483"	"28.399"	"28.532"	"28.516"	"28.166"
"1917"	"29.015"	"29.951"	"30.581"	"31.514"	"30.568"	"28.383"	"28.801"	"28.534"	"28.366"	"28.334"	"28.364"	"28.164"
"1918"	"28.865"	"28.834"	"30.263"	"31.597"	"29.684"	"28.649"	"28.582"	"28.5"	"28.683"	"29.431"	"29.061"	"28.798"
"1919"	"29.964"	"30.665"	"30.896"	"32.128"	"30.918"	"28.633"	"27.967"	"28.134"	"28.749"	"29.031"	"28.18"	"28.914"
"1920"	"29.367"	"30.484"	"31.829"	"31.548"	"31.285"	"28.7"	"28.434"	"28.284"	"28.751"	"29.032"	"28.349"	"28.283"
"1921"	"29.546"	"30.017"	"31.698"	"31.282"	"31.334"	"29.183"	"28.085"	"28.2"	"28.601"	"28.966"	"28.55"	"28.3"
"1922"	"29.147"	"29.934"	"31.045"	"31.546"	"30.367"	"28.683"	"27.802"	"28.169"	"28.449"	"28.816"	"28.282"	"28.017"
"1923"	"28.85"	"29.685"	"30.715"	"31.882"	"30.916"	"28.882"	"27.753"	"27.984"	"28.635"	"28.866"	"28.981"	"28.948"
"1924"	"29.164"	"30.484"	"31.414"	"31.978"	"31.585"	"28.717"	"27.851"	"28.451"	"28.818"	"28.983"	"28.633"	"28.451"
"1925"	"29.08"	"30.151"	"30.797"	"31.747"	"30.52"	"28.784"	"28.136"	"28.234"	"29.099"	"29.201"	"28.482"	"28.234"
"1926"	"29.482"	"30.283"	"31.647"	"31.815"	"31.3"	"29.182"	"28.782"	"29.101"	"28.933"	"29.034"	"28.716"	"28.947"
"1927"	"29.68"	"30.598"	"31.662"	"31.796"	"30.23"	"28.482"	"27.703"	"28.618"	"28.734"	"28.833"	"28.684"	"29.099"
"1928"	"29.882"	"30.569"	"30.914"	"31.813"	"31.5"	"29.149"	"28.417"	"28.217"	"29.082"	"28.85"	"28.749"	"28.867"
"1929"	"29.398"	"30.3"	"31.182"	"30.813"	"30.899"	"28.482"	"28.349"	"28.55"	"28.88"	"28.932"	"28.898"	"29.048"
"1930"	"29.497"	"30.453"	"31.414"	"31.48"	"30.267"	"28.782"	"28.802"	"28.517"	"28.948"	"28.815"	"28.949"	"29.099"
"1931"	"29.932"	"30.551"	"31.463"	"31.629"	"31.466"	"29.332"	"28.483"	"28.334"	"28.667"	"28.832"	"28.947"	"29.016"
"1932"	"29.066"	"29.885"	"31.049"	"31.312"	"30.167"	"29.082"	"28.202"	"28.633"	"28.85"	"28.515"	"28.565"	"28.699"
"1933"	"29.717"	"30.434"	"31.114"	"31.346"	"30.101"	"28.701"	"28.386"	"28.169"	"28.366"	"28.417"	"28.647"	"28.817"
"1934"	"29.565"	"29.283"	"30.629"	"31.214"	"30.966"	"28.816"	"28.368"	"28.619"	"28.999"	"29"	"28.418"	"28.65"
"1935"	"29.598"	"30.25"	"31.113"	"31.497"	"31.517"	"29.166"	"28.103"	"28.152"	"28.635"	"28.866"	"28.535"	"28.915"
"1936"	"29.848"	"30.417"	"31.199"	"31.815"	"30.933"	"28.568"	"28.269"	"28.47"	"29.033"	"29.116"	"28.882"	"29.499"
"1937"	"29.85"	"30.783"	"31.312"	"31.163"	"31.15"	"28.683"	"27.669"	"28.618"	"29.067"	"28.782"	"28.85"	"28.566"
"1938"	"29.75"	"30.416"	"31.463"	"31.212"	"30.966"	"28.551"	"27.769"	"28.302"	"28.483"	"28.45"	"28.316"	"28.783"
"1939"	"29.133"	"30.016"	"30.73"	"30.879"	"30.483"	"28.398"	"27.971"	"28.136"	"28.567"	"28.866"	"28.282"	"28.801"
"1940"	"28.882"	"29.951"	"30.845"	"31.348"	"30.918"	"29.133"	"28.236"	"28.169"	"29.402"	"29.401"	"28.85"	"28.983"
"1941"	"29.982"	"30.551"	"31.613"	"32.045"	"31.601"	"28.967"	"28.735"	"28.834"	"28.85"	"29.316"	"29.248"	"28.932"
"1942"	"29.615"	"30.551"	"31.681"	"31.478"	"31.15"	"28.984"	"28.069"	"28.368"	"28.768"	"29.017"	"28.717"	"28.93"
"1943"	"29.348"	"29.983"	"31.079"	"30.746"	"30.084"	"28.085"	"27.77"	"28.284"	"28.203"	"28.134"	"28.282"	"28.867"
"1944"	"29.682"	"30.453"	"30.897"	"31.048"	"30.85"	"28.95"	"28.521"	"28.885"	"29.086"	"29.418"	"28.816"	"28.6"
"1945"	"29.348"	"30.516"	"31.396"	"30.946"	"30.915"	"29.25"	"28.202"	"28.468"	"28.835"	"28.917"	"28.482"	"28.532"
"1946"	"28.483"	"29.966"	"30.795"	"30.896"	"30.799"	"28.849"	"28.335"	"28.003"	"28.667"	"29.049"	"28.715"	"28.901"
"1947"	"29.982"	"30.185"	"31.013"	"30.847"	"31.417"	"28.984"	"28.487"	"28.502"	"28.366"	"28.483"	"28.799"	"29.165"
"1948"	"29.948"	"30.382"	"31.295"	"31.646"	"30.901"	"28.649"	"28.085"	"28.269"	"28.785"	"29.282"	"29.062"	"28.833"
"1949"	"29.265"	"30.05"	"31.698"	"31.596"	"30.617"	"28.95"	"28.236"	"28.737"	"28.703"	"28.983"	"28.65"	"28.567"
"1950"	"29.181"	"30.132"	"31.247"	"31.295"	"31.417"	"28.817"	"27.654"	"28.168"	"28.335"	"28.551"	"28.684"	"28.633"
"1951"	"29.649"	"29.916"	"31.446"	"31.062"	"31.15"	"28.4"	"28.02"	"28.751"	"29.15"	"29.55"	"29.197"	"28.817"
"1952"	"29.848"	"30.783"	"31.346"	"31.612"	"31.133"	"28.984"	"28.434"	"28.368"	"28.667"	"28.683"	"28.85"	"29.117"
"1953"	"29.95"	"30.286"	"32.213"	"31.316"	"31.534"	"29.85"	"28.186"	"28.752"	"28.835"	"29.149"	"28.934"	"28.899"
"1954"	"29.965"	"30.533"	"31.046"	"31.413"	"31.418"	"29.383"	"28.003"	"28.119"	"28.785"	"28.349"	"28.417"	"29.182"
"1955"	"30.366"	"30.649"	"31.029"	"31.146"	"30.001"	"28.183"	"28.001"	"28.336"	"28.999"	"28.782"	"28.216"	"28.517"
"1956"	"29.431"	"30.549"	"31.562"	"31.227"	"29.665"	"28.183"	"27.503"	"28.468"	"28.55"	"28.301"	"28.832"	"28.999"
"1957"	"29.649"	"30.583"	"31.013"	"31.362"	"30.681"	"29.25"	"28.268"	"28.4"	"29.05"	"28.947"	"28.398"	"29.347"
"1958"	"29.997"	"30.631"	"31.446"	"31.512"	"30.299"	"29.183"	"28.451"	"28.15"	"28.767"	"28.45"	"29.014"	"29.567"
"1959"	"30.282"	"30.984"	"31.895"	"31.711"	"31.317"	"28.917"	"28.186"	"28.802"	"28.933"	"28.898"	"29.114"	"29.165"
"1960"	"30.282"	"30.717"	"31.345"	"31.195"	"30.165"	"29.133"	"28.434"	"28.584"	"28.517"	"28.781"	"28.333"	"29.233"
"1961"	"30.031"	"30.548"	"31.796"	"31.88"	"30.551"	"28.55"	"28.253"	"28.468"	"28.768"	"29"	"28.915"	"29.199"
"1962"	"29.898"	"30.617"	"31.063"	"31.348"	"30.216"	"29.448"	"28.283"	"28.267"	"28.818"	"28.583"	"28.782"	"29.199"
"1963"	"30.033"	"30.067"	"31.13"	"31.379"	"31.317"	"29.334"	"28.5"	"28.702"	"29.383"	"29.083"	"29.148"	"29.199"
