
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"32.563"	"31.869"	"73.877"	"249.446"	"283.655"	"408.417"	"238.997"	"204.156"	"294.43"	"204.494"	"288.903"	"35.72"
"1902"	"47.473"	"4.596"	"127.025"	"122.832"	"125.234"	"648.351"	"354.327"	"331.941"	"325.472"	"504.606"	"185.315"	"98.609"
"1903"	"18.544"	"3.626"	"0.519"	"78.451"	"315.09"	"133.206"	"385.076"	"237.09"	"370.341"	"349.37"	"269.414"	"78.929"
"1904"	"62.431"	"2.758"	"13.515"	"47.676"	"149.582"	"363.793"	"422.93"	"146.818"	"158.002"	"388.253"	"8.979"	"25.805"
"1905"	"0.163"	"3.492"	"6.04"	"143.279"	"186.073"	"628.542"	"228.552"	"233.233"	"156.798"	"327.13"	"85.704"	"0.567"
"1906"	"23.037"	"10.15"	"22.597"	"75.986"	"98.214"	"246.335"	"398.061"	"377.04"	"106.28"	"285.227"	"181.464"	"67.474"
"1907"	"35.921"	"3.166"	"73.108"	"288.106"	"87.192"	"314.463"	"472.607"	"220.13"	"251.649"	"317.434"	"165.472"	"69.542"
"1908"	"6.773"	"107.252"	"116.331"	"142.065"	"164.602"	"335.31"	"387.544"	"267.244"	"331.668"	"443.698"	"21.857"	"10.672"
"1909"	"38.785"	"51.639"	"45.94"	"124.403"	"345.672"	"270.687"	"269.78"	"450.924"	"251.133"	"178.465"	"133.951"	"33.377"
"1910"	"25.328"	"70.333"	"3.06"	"197.33"	"165.691"	"470.194"	"548.373"	"503.16"	"166.045"	"391.139"	"262.903"	"0.737"
"1911"	"1.738"	"37.079"	"5.515"	"175.052"	"161.388"	"789.058"	"290.153"	"84.38"	"172.225"	"292.314"	"156.102"	"99.348"
"1912"	"2.001"	"12.225"	"12.134"	"111.053"	"219.324"	"1042.871"	"228.069"	"385.385"	"298.079"	"632.081"	"220.687"	"18.18"
"1913"	"8.696"	"2.755"	"10.864"	"118.744"	"170.17"	"232.651"	"356.384"	"150.657"	"137.926"	"426.985"	"87.184"	"30.888"
"1914"	"3.12"	"2.519"	"32.898"	"39.148"	"192.452"	"360.537"	"365.647"	"221.32"	"176.158"	"551.573"	"123.182"	"69.935"
"1915"	"13.908"	"20.401"	"75.088"	"195.668"	"159.849"	"304.432"	"482.838"	"278.734"	"432.162"	"107.119"	"355.114"	"32.043"
"1916"	"0.031"	"11.211"	"10.316"	"121.546"	"326.518"	"255.677"	"953.682"	"294.929"	"424.816"	"318.661"	"190.823"	"7.71"
"1917"	"2.163"	"29.38"	"127.103"	"35.504"	"308.092"	"401.267"	"168.236"	"510.409"	"443.849"	"182.131"	"252.384"	"35.942"
"1918"	"34.079"	"18.824"	"75.846"	"62.712"	"410.675"	"235.496"	"247.095"	"229.305"	"50.369"	"240.854"	"341.154"	"77.104"
"1919"	"28.003"	"7.024"	"59.547"	"24.212"	"243.025"	"461.954"	"340.307"	"185.462"	"352.426"	"269.28"	"263.395"	"72.093"
"1920"	"78.211"	"1.705"	"34.368"	"206.953"	"60.604"	"522.833"	"343.687"	"263.199"	"168.584"	"415.114"	"397.445"	"6.846"
"1921"	"48.861"	"2.519"	"3.855"	"265.982"	"74.421"	"683.679"	"269.939"	"488.195"	"289.885"	"416.64"	"277.175"	"34.696"
"1922"	"15.981"	"53.543"	"5.837"	"99.211"	"345.912"	"630.788"	"324.309"	"202.802"	"119.001"	"371.568"	"245.78"	"62.257"
"1923"	"54.659"	"11.722"	"156.801"	"32.755"	"53.511"	"254.226"	"315.323"	"336.222"	"175.438"	"279.202"	"42.192"	"43.612"
"1924"	"27.386"	"0.299"	"78.333"	"131.757"	"159.348"	"525.401"	"485.022"	"302.658"	"262.578"	"271.026"	"211.74"	"45.781"
"1925"	"16.033"	"16.609"	"186.448"	"134.797"	"148.152"	"521.419"	"183.943"	"344.173"	"122.304"	"294.391"	"269.405"	"61.797"
"1926"	"43.501"	"0.973"	"13.575"	"44.228"	"225.952"	"209.337"	"289.424"	"223.846"	"254.368"	"327.442"	"82.305"	"6.882"
"1927"	"9.039"	"109.996"	"74.682"	"296.149"	"225.768"	"772.724"	"344.696"	"243.6"	"265.794"	"198.012"	"124.212"	"9.814"
"1928"	"5.876"	"179.654"	"12.366"	"158.93"	"108.87"	"220.153"	"424.215"	"227.507"	"260.256"	"307.963"	"229.709"	"51.151"
"1929"	"8.62"	"72.102"	"71.813"	"409.08"	"226.784"	"607.578"	"370.542"	"121.205"	"247.214"	"431.819"	"204.989"	"38.283"
"1930"	"14.381"	"85.918"	"62.119"	"165.055"	"465.82"	"546.593"	"136.579"	"239.984"	"314.194"	"516.883"	"230.07"	"66.477"
"1931"	"28.492"	"0.299"	"1.722"	"142.295"	"94.254"	"325.925"	"373.814"	"401.339"	"166.77"	"172.538"	"175.067"	"154.136"
"1932"	"0.115"	"2.924"	"30.091"	"193.198"	"372.262"	"293.999"	"226.933"	"349.839"	"206.652"	"521.604"	"288.59"	"29.701"
"1933"	"0.727"	"26.516"	"47.484"	"232.264"	"474.164"	"502.312"	"393.49"	"525.042"	"340.954"	"354.448"	"110.008"	"37.377"
"1934"	"98.414"	"0.299"	"32.949"	"143.045"	"66.408"	"455.524"	"190.635"	"194.938"	"21.21"	"345.343"	"108.547"	"1.134"
"1935"	"75.868"	"6.307"	"39.868"	"240.702"	"41.681"	"1159.331"	"280.839"	"309.599"	"188.904"	"297.916"	"310.636"	"17.632"
"1936"	"1.821"	"108.421"	"124.085"	"108.186"	"254.469"	"323.644"	"463.377"	"144.392"	"312.661"	"137.778"	"299.075"	"19.232"
"1937"	"11.141"	"25.277"	"96.147"	"280.785"	"129.524"	"158.342"	"341.157"	"319.225"	"194.918"	"354.545"	"224.826"	"9.926"
