
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.569"	"23.437"	"24.934"	"27.619"	"28.403"	"27.851"	"27.167"	"26.865"	"26.733"	"26.936"	"26.221"	"23.123"
"1902"	"22.269"	"23.07"	"25.449"	"27.585"	"28.352"	"27.902"	"27.134"	"27.782"	"26.733"	"26.885"	"26.121"	"24.106"
"1903"	"22.538"	"23.519"	"24.682"	"27.701"	"28.318"	"27.851"	"27.167"	"26.814"	"26.733"	"26.936"	"25.758"	"22.907"
"1904"	"21.372"	"22.185"	"24.049"	"27.65"	"27.822"	"26.4"	"27.119"	"26.865"	"26.733"	"26.936"	"26.089"	"24.106"
"1905"	"22.538"	"23.437"	"24.983"	"27.287"	"28.352"	"27.951"	"28.183"	"26.814"	"26.733"	"26.885"	"26.221"	"22.89"
"1906"	"22.569"	"23.288"	"25.367"	"27.718"	"28.403"	"27.851"	"27.167"	"26.865"	"26.733"	"26.885"	"26.221"	"23.072"
"1907"	"22.538"	"23.668"	"25.449"	"27.472"	"28.335"	"27.851"	"27.134"	"26.213"	"26.733"	"26.885"	"26.221"	"23.203"
"1908"	"22.538"	"23.555"	"24.617"	"27.718"	"28.403"	"27.851"	"26.086"	"26.696"	"26.733"	"26.952"	"25.303"	"22.62"
"1909"	"21.686"	"23.668"	"25.449"	"27.57"	"28.352"	"27.834"	"26.05"	"26.546"	"25.964"	"26.969"	"25.922"	"23.387"
"1910"	"22.569"	"23.536"	"24.448"	"27.718"	"28.352"	"27.918"	"27.119"	"26.865"	"26.733"	"26.885"	"26.204"	"22.688"
"1911"	"22.538"	"22.504"	"25.449"	"27.65"	"28.352"	"27.282"	"27.167"	"26.814"	"26.733"	"26.936"	"26.221"	"24.106"
"1912"	"21.653"	"23.635"	"25.449"	"27.636"	"28.335"	"27.851"	"27.167"	"26.814"	"26.733"	"26.885"	"26.221"	"23.255"
"1913"	"21.742"	"23.668"	"25.449"	"27.636"	"28.403"	"27.951"	"27.167"	"26.814"	"26.733"	"26.885"	"26.221"	"24.106"
"1914"	"22.62"	"23.668"	"25.449"	"27.572"	"28.403"	"27.851"	"27.167"	"26.865"	"26.733"	"26.885"	"26.221"	"24.106"
"1915"	"22.538"	"23.552"	"25.449"	"27.718"	"28.369"	"27.851"	"27.167"	"26.814"	"26.733"	"26.885"	"26.221"	"24.106"
"1916"	"22.024"	"23.437"	"24.818"	"27.701"	"28.403"	"27.851"	"27.134"	"26.814"	"26.733"	"26.986"	"26.221"	"22.903"
"1917"	"22.456"	"23.572"	"24.567"	"27.57"	"28.251"	"27.735"	"27.167"	"26.899"	"26.733"	"26.588"	"26.104"	"23.168"
"1918"	"22.284"	"22.284"	"24.451"	"27.587"	"26.686"	"26.982"	"28.834"	"26.747"	"26.464"	"26.952"	"26.221"	"24.106"
"1919"	"22.687"	"23.635"	"25.267"	"27.718"	"28.403"	"27.902"	"27.167"	"26.814"	"26.733"	"26.885"	"25.702"	"24.106"
"1920"	"22.538"	"23.552"	"25.449"	"27.65"	"28.403"	"27.935"	"27.134"	"26.814"	"26.733"	"26.969"	"25.951"	"22.62"
"1921"	"22.538"	"23.205"	"25.449"	"27.585"	"28.318"	"27.902"	"27.167"	"26.882"	"26.733"	"26.952"	"26.089"	"22.99"
"1922"	"22.538"	"23.223"	"25.449"	"27.718"	"28.403"	"27.834"	"27.134"	"26.899"	"26.733"	"26.885"	"25.967"	"22.705"
"1923"	"22.123"	"22.853"	"24.552"	"27.687"	"28.403"	"27.834"	"27.167"	"26.865"	"26.733"	"26.986"	"26.221"	"24.106"
"1924"	"22.203"	"23.668"	"25.449"	"27.619"	"28.888"	"27.715"	"27.167"	"26.865"	"26.733"	"26.885"	"25.972"	"23.07"
"1925"	"22.004"	"23.456"	"25.3"	"27.718"	"28.403"	"27.851"	"27.134"	"26.814"	"26.733"	"26.885"	"26.221"	"22.992"
"1926"	"22.538"	"23.635"	"25.449"	"27.65"	"28.318"	"27.851"	"27.167"	"26.814"	"26.733"	"26.885"	"26.171"	"24.106"
"1927"	"22.538"	"23.668"	"25.449"	"27.585"	"27.897"	"27.681"	"27.167"	"26.865"	"26.733"	"26.969"	"26.188"	"24.106"
"1928"	"22.538"	"23.668"	"25.3"	"27.718"	"28.335"	"27.918"	"27.167"	"26.814"	"26.733"	"26.952"	"26.221"	"24.106"
"1929"	"22.538"	"23.637"	"25.433"	"27.239"	"28.352"	"27.715"	"27.134"	"26.814"	"26.733"	"26.952"	"26.221"	"24.072"
"1930"	"22.538"	"23.42"	"25.449"	"27.718"	"28.519"	"27.834"	"27.167"	"26.814"	"26.733"	"25.8"	"26.204"	"24.106"
