
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.1812"	"3.3635"	"4.1106"	"6.9565"	"7.8643"	"22.1552"	"14.5224"	"10.1784"	"11.5006"	"9.7982"	"12.4854"	"3.6795"
"1902"	"2.1657"	"1.4043"	"4.0766"	"5.224"	"5.505"	"17.6498"	"19.5794"	"11.7041"	"13.6248"	"15.9648"	"7.3259"	"3.4481"
"1903"	"1.0882"	"1.9363"	"0.5186"	"4.885"	"10.0277"	"18.8884"	"16.0342"	"21.8122"	"14.9088"	"13.8525"	"9.6203"	"4.2544"
"1904"	"2.1315"	"1.0344"	"3.175"	"3.9374"	"6.5001"	"23.1988"	"17.7616"	"12.5496"	"8.0224"	"10.7875"	"1.5924"	"2.9065"
"1905"	"0.1638"	"1.0886"	"2.543"	"7.0534"	"8.7283"	"20.0236"	"11.4595"	"13.8498"	"9.5587"	"12.0187"	"5.7938"	"0.5675"
"1906"	"1.9582"	"1.1341"	"3.2569"	"4.8235"	"6.6812"	"19.1606"	"14.632"	"15.6035"	"7.8211"	"12.3599"	"8.6318"	"5.0363"
"1907"	"1.0865"	"1.0018"	"3.8448"	"7.443"	"6.4642"	"25.0103"	"14.753"	"13.1632"	"13.1246"	"13.4524"	"8.3132"	"3.8921"
"1908"	"1.2037"	"2.5339"	"3.7699"	"6.1229"	"7.7411"	"13.5718"	"15.1294"	"12.8342"	"12.3154"	"12.6639"	"4.5071"	"2.1902"
"1909"	"2.174"	"2.4307"	"2.8175"	"8.2428"	"12.1375"	"17.8335"	"11.5076"	"13.4263"	"9.0758"	"9.9835"	"7.7039"	"1.9214"
"1910"	"1.1269"	"2.8532"	"1.811"	"5.8715"	"6.1496"	"18.5622"	"16.9252"	"22.6542"	"9.7377"	"13.9423"	"9.4127"	"0.6693"
"1911"	"1.0865"	"1.0344"	"2.6448"	"4.0028"	"6.0769"	"25.4182"	"18.7294"	"7.9029"	"8.641"	"11.6755"	"8.722"	"4.6145"
