
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.76"	"4.53"	"5.19"	"5.72"	"6.17"	"5.85"	"5.46"	"5.25"	"5.09"	"4.25"	"3.48"	"3.21"
"1902"	"3.62"	"4.31"	"5.27"	"5.73"	"6.25"	"5.83"	"5.5"	"5.28"	"5.01"	"4.18"	"3.5"	"3.28"
"1903"	"3.69"	"4.48"	"5.25"	"5.69"	"6.02"	"5.69"	"5.4"	"5.23"	"4.95"	"4.2"	"3.45"	"3.22"
"1904"	"3.63"	"4.31"	"5.2"	"5.76"	"6.05"	"5.79"	"5.41"	"5.32"	"5.13"	"4.22"	"3.49"	"3.25"
"1905"	"3.55"	"4.43"	"5.34"	"5.64"	"6.08"	"5.9"	"5.63"	"5.3"	"5.16"	"4.21"	"3.54"	"3.21"
"1906"	"3.69"	"4.57"	"5.17"	"5.82"	"6.3"	"5.74"	"5.49"	"5.19"	"5.03"	"4.22"	"3.51"	"3.26"
"1907"	"3.61"	"4.36"	"5.26"	"5.62"	"6.25"	"5.81"	"5.45"	"5.35"	"5.13"	"4.22"	"3.48"	"3.25"
"1908"	"3.65"	"4.35"	"5.18"	"5.82"	"6.24"	"5.88"	"5.49"	"5.28"	"4.96"	"4.22"	"3.43"	"3.21"
"1909"	"3.64"	"4.4"	"5.28"	"5.64"	"6.09"	"5.75"	"5.39"	"5.19"	"4.94"	"4.31"	"3.56"	"3.31"
"1910"	"3.66"	"4.4"	"5.19"	"5.78"	"6.26"	"5.74"	"5.41"	"5.17"	"4.97"	"4.22"	"3.43"	"3.21"
"1911"	"3.67"	"4.28"	"5.25"	"5.73"	"6.18"	"5.81"	"5.54"	"5.36"	"5.13"	"4.23"	"3.54"	"3.26"
"1912"	"3.57"	"4.47"	"5.35"	"5.72"	"6.28"	"5.88"	"5.49"	"5.31"	"5.13"	"4.22"	"3.49"	"3.22"
"1913"	"3.63"	"4.46"	"5.32"	"5.8"	"6.18"	"5.84"	"5.45"	"5.39"	"5.14"	"4.18"	"3.48"	"3.27"
