
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"19.923"	"20.186"	"20.387"	"24.029"	"25.854"	"26.601"	"25.082"	"24.316"	"24.261"	"23.092"	"21.077"	"19.057"
"1902"	"18.365"	"18.302"	"21.012"	"24.318"	"26.479"	"26.407"	"25.439"	"24.543"	"23.645"	"22.296"	"21.11"	"19.913"
"1903"	"19.154"	"19.833"	"20.919"	"23.987"	"24.434"	"25.238"	"24.608"	"24.028"	"23.115"	"22.57"	"20.483"	"19.188"
"1904"	"18.483"	"18.291"	"20.684"	"24.412"	"24.739"	"26.002"	"24.765"	"24.849"	"24.611"	"22.937"	"21.131"	"19.395"
"1905"	"17.603"	"19.449"	"21.712"	"23.66"	"25.207"	"27.014"	"26.458"	"24.717"	"24.953"	"22.594"	"21.41"	"19.069"
"1906"	"19.091"	"20.486"	"20.242"	"24.941"	"26.805"	"25.614"	"25.457"	"23.685"	"23.767"	"22.967"	"21.312"	"19.555"
"1907"	"18.266"	"18.627"	"21.072"	"23.516"	"26.444"	"26.217"	"25.027"	"25.195"	"24.523"	"22.895"	"20.933"	"19.466"
"1908"	"18.661"	"18.604"	"20.284"	"24.882"	"26.171"	"26.925"	"25.158"	"24.646"	"23.217"	"22.895"	"20.223"	"19.112"
"1909"	"18.533"	"19.113"	"21.291"	"23.657"	"25.225"	"25.654"	"24.486"	"23.654"	"23.004"	"23.609"	"22.053"	"20.224"
"1910"	"18.863"	"19.143"	"20.521"	"24.618"	"26.296"	"25.524"	"24.677"	"23.586"	"23.378"	"22.868"	"20.342"	"18.986"
"1911"	"18.909"	"17.837"	"20.885"	"24.317"	"25.739"	"26.283"	"25.788"	"25.322"	"24.491"	"23.026"	"21.421"	"19.725"
"1912"	"17.736"	"19.772"	"21.783"	"24.054"	"26.663"	"26.917"	"25.41"	"24.793"	"24.52"	"22.971"	"20.994"	"19.147"
"1913"	"18.471"	"19.623"	"21.581"	"24.774"	"25.808"	"26.483"	"25.027"	"25.578"	"24.737"	"22.435"	"20.868"	"19.782"
"1914"	"18.343"	"18.841"	"21.397"	"23.974"	"26.294"	"26.985"	"25.453"	"24.116"	"23.483"	"22.481"	"21.255"	"20.123"
