
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.57"	"6.46"	"7.08"	"7.18"	"7.38"	"6.74"	"6.28"	"6.21"	"6.21"	"5.55"	"5"	"4.9"
"1902"	"5.49"	"6.32"	"7.05"	"7.18"	"7.44"	"6.74"	"6.28"	"6.24"	"6.2"	"5.49"	"4.98"	"4.91"
"1903"	"5.51"	"6.41"	"7.1"	"7.22"	"7.37"	"6.66"	"6.22"	"6.21"	"6.15"	"5.51"	"4.97"	"4.89"
"1904"	"5.5"	"6.33"	"7.03"	"7.24"	"7.37"	"6.7"	"6.22"	"6.21"	"6.24"	"5.54"	"5"	"4.93"
"1905"	"5.44"	"6.34"	"7.13"	"7.21"	"7.34"	"6.7"	"6.35"	"6.25"	"6.25"	"5.54"	"5.01"	"4.89"
"1906"	"5.46"	"6.46"	"7.05"	"7.18"	"7.48"	"6.71"	"6.29"	"6.2"	"6.15"	"5.52"	"5"	"4.92"
"1907"	"5.48"	"6.34"	"7.08"	"7.15"	"7.41"	"6.74"	"6.23"	"6.25"	"6.25"	"5.54"	"4.99"	"4.91"
"1908"	"5.51"	"6.35"	"7"	"7.19"	"7.42"	"6.77"	"6.29"	"6.26"	"6.15"	"5.53"	"4.96"	"4.87"
"1909"	"5.48"	"6.35"	"7.1"	"7.19"	"7.38"	"6.7"	"6.24"	"6.2"	"6.1"	"5.52"	"5.02"	"4.95"
"1910"	"5.53"	"6.38"	"7.04"	"7.18"	"7.47"	"6.71"	"6.24"	"6.18"	"6.14"	"5.53"	"4.97"	"4.87"
"1911"	"5.53"	"6.3"	"7.03"	"7.18"	"7.42"	"6.7"	"6.28"	"6.27"	"6.25"	"5.53"	"5.01"	"4.95"
"1912"	"5.44"	"6.35"	"7.13"	"7.19"	"7.4"	"6.77"	"6.28"	"6.23"	"6.23"	"5.55"	"5.01"	"4.9"
"1913"	"5.47"	"6.37"	"7.1"	"7.23"	"7.42"	"6.73"	"6.23"	"6.26"	"6.27"	"5.53"	"4.96"	"4.91"
"1914"	"5.49"	"6.33"	"7.1"	"7.18"	"7.4"	"6.76"	"6.32"	"6.23"	"6.16"	"5.49"	"4.97"	"4.92"
"1915"	"5.52"	"6.4"	"7.12"	"7.18"	"7.45"	"6.76"	"6.22"	"6.27"	"6.2"	"5.55"	"5.03"	"4.93"
"1916"	"5.47"	"6.37"	"7.04"	"7.22"	"7.42"	"6.72"	"6.2"	"6.2"	"6.2"	"5.53"	"5"	"4.91"
"1917"	"5.49"	"6.36"	"7.04"	"7.2"	"7.41"	"6.61"	"6.21"	"6.22"	"6.14"	"5.47"	"5"	"4.91"
"1918"	"5.51"	"6.33"	"7"	"7.18"	"7.38"	"6.63"	"6.25"	"6.29"	"6.22"	"5.56"	"5.01"	"4.89"
"1919"	"5.53"	"6.45"	"7.05"	"7.18"	"7.44"	"6.72"	"6.21"	"6.27"	"6.2"	"5.51"	"5.01"	"4.93"
"1920"	"5.49"	"6.39"	"7.11"	"7.19"	"7.41"	"6.7"	"6.32"	"6.27"	"6.23"	"5.56"	"5.01"	"4.9"
"1921"	"5.55"	"6.35"	"7.07"	"7.15"	"7.45"	"6.82"	"6.24"	"6.2"	"6.2"	"5.52"	"4.93"	"4.89"
"1922"	"5.51"	"6.33"	"7.05"	"7.23"	"7.42"	"6.72"	"6.26"	"6.23"	"6.25"	"5.53"	"5"	"4.9"
"1923"	"5.45"	"6.35"	"7.04"	"7.18"	"7.38"	"6.74"	"6.29"	"6.31"	"6.22"	"5.52"	"5"	"4.92"
"1924"	"5.51"	"6.36"	"7.04"	"7.22"	"7.42"	"6.75"	"6.25"	"6.27"	"6.15"	"5.54"	"5"	"4.89"
"1925"	"5.47"	"6.33"	"7.02"	"7.19"	"7.37"	"6.69"	"6.27"	"6.21"	"6.21"	"5.53"	"4.98"	"4.88"
"1926"	"5.51"	"6.35"	"7.09"	"7.23"	"7.41"	"6.74"	"6.28"	"6.24"	"6.21"	"5.53"	"4.98"	"4.88"
"1927"	"5.49"	"6.38"	"7.11"	"7.24"	"7.45"	"6.71"	"6.25"	"6.27"	"6.2"	"5.56"	"5"	"4.89"
"1928"	"5.53"	"6.4"	"7.05"	"7.17"	"7.45"	"6.77"	"6.3"	"6.22"	"6.2"	"5.53"	"5.01"	"4.92"
"1929"	"5.52"	"6.36"	"7.04"	"7.16"	"7.41"	"6.7"	"6.3"	"6.25"	"6.2"	"5.54"	"4.99"	"4.92"
"1930"	"5.5"	"6.35"	"7.07"	"7.2"	"7.38"	"6.62"	"6.25"	"6.27"	"6.23"	"5.52"	"4.94"	"4.9"
"1931"	"5.53"	"6.4"	"7.09"	"7.21"	"7.46"	"6.79"	"6.32"	"6.24"	"6.23"	"5.65"	"5.05"	"4.91"
"1932"	"5.53"	"6.29"	"7.05"	"7.12"	"7.25"	"6.61"	"6.2"	"6.2"	"6.15"	"5.38"	"4.81"	"4.91"
"1933"	"5.51"	"6.34"	"7.04"	"7.2"	"7.4"	"6.68"	"6.3"	"6.24"	"6.22"	"5.52"	"5"	"4.92"
"1934"	"5.5"	"6.33"	"7.01"	"7.13"	"7.44"	"6.7"	"6.29"	"6.24"	"6.26"	"5.56"	"5.08"	"4.93"
"1935"	"5.45"	"6.32"	"7.02"	"7.16"	"7.44"	"6.74"	"6.31"	"6.25"	"6.17"	"5.54"	"5.01"	"4.9"
"1936"	"5.49"	"6.41"	"7.08"	"7.17"	"7.38"	"6.68"	"6.25"	"6.23"	"6.2"	"5.55"	"4.96"	"4.93"
"1937"	"5.49"	"6.35"	"7.1"	"7.19"	"7.47"	"6.73"	"6.22"	"6.27"	"6.29"	"5.53"	"5"	"4.9"
"1938"	"5.49"	"6.35"	"7.11"	"7.21"	"7.5"	"6.68"	"6.23"	"6.26"	"6.15"	"5.58"	"5.05"	"4.91"
"1939"	"5.51"	"6.31"	"7.04"	"7.12"	"7.4"	"6.77"	"6.26"	"6.3"	"6.25"	"5.57"	"4.93"	"4.95"
"1940"	"5.52"	"6.24"	"7.11"	"7.2"	"7.42"	"6.69"	"6.18"	"6.2"	"6.22"	"5.56"	"4.89"	"4.87"
"1941"	"5.49"	"6.35"	"7.01"	"7.15"	"7.41"	"6.65"	"6.28"	"6.34"	"6.18"	"5.47"	"4.96"	"4.91"
"1942"	"5.52"	"6.38"	"7.05"	"7.16"	"7.41"	"6.73"	"6.29"	"6.26"	"6.25"	"5.54"	"5.04"	"4.83"
"1943"	"5.51"	"6.37"	"6.89"	"7.19"	"7.37"	"6.62"	"6.19"	"6.27"	"6.2"	"5.47"	"4.93"	"4.92"
"1944"	"5.49"	"6.4"	"7.05"	"7.18"	"7.42"	"6.73"	"6.21"	"6.27"	"6.23"	"5.59"	"5"	"4.93"
"1945"	"5.49"	"6.36"	"7.11"	"7.19"	"7.4"	"6.82"	"6.27"	"6.27"	"6.21"	"5.57"	"4.93"	"4.91"
"1946"	"5.49"	"6.31"	"7.09"	"7.19"	"7.42"	"6.64"	"6.25"	"6.19"	"6.15"	"5.49"	"4.89"	"4.83"
"1947"	"5.48"	"6.3"	"7"	"7.17"	"7.42"	"6.79"	"6.22"	"6.23"	"6.16"	"5.47"	"5.06"	"4.91"
"1948"	"5.47"	"6.4"	"7.1"	"7.18"	"7.45"	"6.78"	"6.32"	"6.27"	"6.2"	"5.57"	"5.03"	"4.95"
"1949"	"5.53"	"6.35"	"7.09"	"7.25"	"7.41"	"6.63"	"6.17"	"6.19"	"6.11"	"5.53"	"5.07"	"4.98"
"1950"	"5.48"	"6.36"	"7.08"	"7.18"	"7.4"	"6.71"	"6.21"	"6.26"	"6.14"	"5.53"	"4.99"	"4.93"
"1951"	"5.5"	"6.29"	"7.03"	"7.24"	"7.45"	"6.76"	"6.25"	"6.26"	"6.23"	"5.58"	"5.01"	"4.98"
"1952"	"5.63"	"6.41"	"7.1"	"7.26"	"7.42"	"6.8"	"6.34"	"6.23"	"6.31"	"5.57"	"5.12"	"4.91"
"1953"	"5.48"	"6.35"	"7.13"	"7.24"	"7.51"	"6.82"	"6.28"	"6.31"	"6.27"	"5.55"	"5.05"	"4.96"
"1954"	"5.46"	"6.41"	"7.11"	"7.24"	"7.45"	"6.78"	"6.25"	"6.18"	"6.18"	"5.55"	"5.09"	"4.87"
"1955"	"5.44"	"6.34"	"7.08"	"7.21"	"7.32"	"6.47"	"6.19"	"6.11"	"6.09"	"5.46"	"5"	"4.89"
"1956"	"5.45"	"6.31"	"7.09"	"7.21"	"7.45"	"6.53"	"6.1"	"6.16"	"6.11"	"5.44"	"4.94"	"4.92"
"1957"	"5.45"	"6.37"	"7.04"	"7.21"	"7.41"	"6.61"	"6.1"	"6.11"	"6.17"	"5.48"	"4.95"	"4.86"
"1958"	"5.49"	"6.34"	"7.11"	"7.25"	"7.33"	"6.77"	"6.25"	"6.13"	"6.19"	"5.45"	"4.91"	"4.91"
"1959"	"5.47"	"6.41"	"7.16"	"7.25"	"7.5"	"6.61"	"6.11"	"6.21"	"6.17"	"5.48"	"5"	"4.91"
"1960"	"5.49"	"6.39"	"7.05"	"7.26"	"7.38"	"6.75"	"6.16"	"6.29"	"6.15"	"5.56"	"4.85"	"4.88"
"1961"	"5.38"	"6.3"	"6.95"	"7.27"	"7.45"	"6.61"	"6.07"	"6.11"	"6.13"	"5.52"	"4.97"	"4.87"
"1962"	"5.44"	"6.31"	"7.09"	"7.21"	"7.38"	"6.65"	"6.2"	"6.15"	"6.15"	"5.42"	"5.05"	"4.92"
"1963"	"5.43"	"6.37"	"7.08"	"7.19"	"7.45"	"6.7"	"6.29"	"6.21"	"6.21"	"5.54"	"4.98"	"4.91"
"1964"	"5.55"	"6.39"	"7.16"	"7.22"	"7.55"	"6.84"	"6.26"	"6.22"	"6.1"	"5.61"	"5"	"4.95"
"1965"	"5.51"	"6.35"	"7.13"	"7.18"	"7.43"	"6.89"	"6.38"	"6.18"	"6.18"	"5.61"	"5.02"	"4.86"
"1966"	"5.49"	"6.4"	"7.14"	"7.25"	"7.52"	"6.73"	"6.21"	"6.27"	"6.2"	"5.56"	"4.94"	"4.92"
"1967"	"5.52"	"6.5"	"7.08"	"7.3"	"7.45"	"6.71"	"6.24"	"6.16"	"6.17"	"5.52"	"5.04"	"4.83"
"1968"	"5.46"	"6.35"	"7.11"	"7.19"	"7.44"	"6.74"	"6.21"	"6.33"	"6.26"	"5.58"	"4.98"	"4.93"
"1969"	"5.5"	"6.34"	"7.13"	"7.28"	"7.44"	"6.78"	"6.27"	"6.22"	"6.25"	"5.53"	"5.03"	"4.85"
"1970"	"5.47"	"6.33"	"7.11"	"7.22"	"7.45"	"6.66"	"6.26"	"6.13"	"6.15"	"5.52"	"5.01"	"5"
"1971"	"5.44"	"6.39"	"7.06"	"7.22"	"7.46"	"6.6"	"6.29"	"6.22"	"6.15"	"5.54"	"5.18"	"4.92"
"1972"	"5.49"	"6.4"	"7.13"	"7.21"	"7.33"	"6.76"	"6.25"	"6.34"	"6.31"	"5.49"	"4.95"	"4.84"
"1973"	"5.56"	"6.43"	"7.1"	"7.21"	"7.5"	"6.67"	"6.28"	"6.11"	"6.15"	"5.5"	"5.06"	"4.89"
"1974"	"5.49"	"6.41"	"7.11"	"7.24"	"7.41"	"6.81"	"6.26"	"6.22"	"6.13"	"5.54"	"5.13"	"5"
"1975"	"5.48"	"6.35"	"7.1"	"7.25"	"7.49"	"6.7"	"6.16"	"6.16"	"6.07"	"5.38"	"4.94"	"4.93"
"1976"	"5.44"	"6.4"	"7.14"	"7.16"	"7.59"	"7.01"	"6.31"	"6.17"	"6.21"	"5.6"	"4.9"	"4.98"
"1977"	"5.57"	"6.34"	"7.07"	"7.19"	"7.36"	"6.67"	"6.22"	"6.18"	"6.24"	"5.41"	"4.84"	"4.94"
"1978"	"5.46"	"6.31"	"7.05"	"7.21"	"7.45"	"6.64"	"6.16"	"6.16"	"6.16"	"5.54"	"5"	"4.81"
"1979"	"5.38"	"6.32"	"7.11"	"7.32"	"7.43"	"6.69"	"6.27"	"6.3"	"6.14"	"5.56"	"4.83"	"4.91"
"1980"	"5.55"	"6.43"	"7.13"	"7.21"	"7.52"	"6.64"	"6.29"	"6.2"	"6.24"	"5.65"	"5.01"	"4.89"
"1981"	"5.51"	"6.37"	"7.07"	"7.23"	"7.45"	"6.7"	"6.26"	"6.22"	"6.15"	"5.51"	"5"	"4.86"
"1982"	"5.47"	"6.36"	"7.1"	"7.25"	"7.45"	"6.7"	"6.25"	"6.23"	"6.21"	"5.53"	"5.01"	"4.97"
"1983"	"5.44"	"6.42"	"7.19"	"7.26"	"7.45"	"6.77"	"6.31"	"6.24"	"6.14"	"5.49"	"4.99"	"4.91"
"1984"	"5.53"	"6.35"	"7.08"	"7.19"	"7.46"	"6.75"	"6.17"	"6.22"	"6.21"	"5.53"	"5"	"4.91"
"1985"	"5.49"	"6.38"	"7.13"	"7.25"	"7.5"	"6.74"	"6.18"	"6.22"	"6.17"	"5.53"	"4.96"	"4.91"
"1986"	"5.49"	"6.35"	"7.11"	"7.21"	"7.47"	"6.72"	"6.33"	"6.27"	"6.25"	"5.53"	"4.97"	"4.92"
"1987"	"5.54"	"6.37"	"7.07"	"7.25"	"7.42"	"6.71"	"6.31"	"6.23"	"6.24"	"5.56"	"5.01"	"4.93"
"1988"	"5.49"	"6.38"	"7.17"	"7.23"	"7.39"	"6.79"	"6.28"	"6.21"	"6.14"	"5.55"	"5"	"4.91"
"1989"	"5.53"	"6.35"	"7.06"	"7.21"	"7.49"	"6.74"	"6.17"	"6.22"	"6.19"	"5.55"	"5.01"	"4.91"
"1990"	"5.46"	"6.38"	"7.14"	"7.32"	"7.4"	"6.66"	"6.23"	"6.21"	"6.22"	"5.51"	"4.99"	"4.92"
"1991"	"5.53"	"6.42"	"7.13"	"7.27"	"7.51"	"6.68"	"6.23"	"6.21"	"6.21"	"5.56"	"5"	"4.93"
"1992"	"5.47"	"6.4"	"7.12"	"7.24"	"7.44"	"6.72"	"6.29"	"6.23"	"6.2"	"5.53"	"5.03"	"4.92"
"1993"	"5.48"	"6.36"	"7.11"	"7.23"	"7.47"	"6.71"	"6.27"	"6.24"	"6.2"	"5.53"	"5.01"	"4.91"
"1994"	"5.51"	"6.42"	"7.12"	"7.24"	"7.47"	"6.77"	"6.26"	"6.21"	"6.23"	"5.57"	"4.99"	"4.9"
"1995"	"5.47"	"6.4"	"7.11"	"7.27"	"7.38"	"6.72"	"6.26"	"6.21"	"6.2"	"5.54"	"5.02"	"4.93"
"1996"	"5.75"	"6.59"	"7.14"	"7.17"	"7.56"	"6.66"	"6.15"	"6.21"	"6.05"	"5.49"	"5.1"	"4.83"
"1997"	"5.52"	"6.51"	"7.07"	"7.29"	"7.41"	"6.76"	"6.24"	"6.21"	"6.25"	"5.77"	"4.78"	"4.88"
"1998"	"5.65"	"6.6"	"7.19"	"7.34"	"7.4"	"6.7"	"6.34"	"6.15"	"6.11"	"5.41"	"5.09"	"4.87"
"1999"	"5.5"	"6.37"	"7.21"	"7.24"	"7.36"	"6.73"	"6.23"	"6.21"	"6.29"	"5.68"	"5.23"	"4.93"
"2000"	"5.59"	"6.32"	"7.14"	"7.33"	"7.48"	"6.43"	"6.21"	"6.27"	"6.31"	"5.55"	"5.16"	"4.95"
"2001"	"5.35"	"6.47"	"7.13"	"7.23"	"7.48"	"6.52"	"6.3"	"6.24"	"6.19"	"5.54"	"5.01"	"4.86"
"2002"	"5.34"	"6.37"	"7.12"	"7.36"	"7.39"	"6.64"	"6.47"	"6.12"	"6.36"	"5.51"	"4.94"	"4.98"
