
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.596"	"21.917"	"23.319"	"28.017"	"29.44"	"27.371"	"26.795"	"27.287"	"27.984"	"27.432"	"24.603"	"22.664"
"1902"	"21.296"	"20.833"	"23.917"	"28.017"	"29.578"	"27.433"	"26.795"	"27.436"	"27.984"	"27.392"	"24.13"	"22.704"
"1903"	"21.296"	"21.917"	"23.917"	"28.017"	"28.625"	"27.373"	"26.792"	"27.287"	"27.984"	"27.392"	"23.621"	"22.682"
"1904"	"21.028"	"20.716"	"22.877"	"28.017"	"27.878"	"27.234"	"26.795"	"27.287"	"27.984"	"27.392"	"24.134"	"22.626"
"1905"	"21.296"	"21.275"	"23.737"	"26.371"	"28.904"	"28.157"	"27.59"	"27.287"	"28.829"	"27.392"	"24.615"	"22.693"
"1906"	"21.296"	"21.906"	"22.647"	"28.017"	"29.578"	"27.42"	"26.795"	"27.247"	"27.984"	"27.432"	"24.603"	"22.704"
"1907"	"21.296"	"21.917"	"23.917"	"26.331"	"29.578"	"27.331"	"26.795"	"27.287"	"27.984"	"27.432"	"24.603"	"22.704"
"1908"	"21.296"	"20.775"	"22.739"	"28.017"	"29.578"	"28.57"	"26.795"	"27.287"	"27.98"	"27.392"	"23.677"	"22.693"
"1909"	"20.898"	"21.917"	"23.917"	"26.806"	"28.942"	"27.204"	"26.795"	"27.287"	"27.984"	"27.432"	"24.333"	"22.704"
"1910"	"21.296"	"21.315"	"22.575"	"28.017"	"29.578"	"27.529"	"26.794"	"27.287"	"27.984"	"27.432"	"23.531"	"21.896"
"1911"	"21.296"	"20.606"	"23.915"	"28.017"	"29.578"	"27.373"	"26.795"	"27.287"	"27.984"	"27.392"	"24.603"	"22.704"
"1912"	"21.154"	"21.917"	"23.917"	"27.715"	"29.578"	"28.28"	"26.795"	"27.287"	"27.984"	"27.432"	"24.331"	"22.518"
"1913"	"20.797"	"21.917"	"23.917"	"28.017"	"29.578"	"27.373"	"26.795"	"27.849"	"27.984"	"27.392"	"24.603"	"22.704"
"1914"	"21.296"	"21.917"	"23.917"	"27.346"	"29.578"	"27.02"	"26.795"	"27.287"	"27.752"	"27.392"	"24.603"	"22.704"
