
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.0849"	"3.5276"	"0.1726"	"0.9855"	"2.6446"	"2.5599"	"5.2148"	"6.0381"	"7.0646"	"5.2311"	"8.97"	"4.954"
"1902"	"1.9389"	"1.9039"	"0.0426"	"0.9939"	"2.699"	"2.7135"	"5.819"	"8.2301"	"8.4384"	"9.8995"	"7.538"	"6.83"
"1903"	"1.603"	"1.3432"	"0"	"0.2049"	"6.065"	"3.8938"	"6.3247"	"7.8496"	"8.3907"	"6.2846"	"12.3379"	"5.8296"
"1904"	"1.5523"	"0"	"0"	"0.587"	"4.3226"	"2.5246"	"6.6733"	"4.927"	"4.3633"	"6.3383"	"1.6648"	"3.4644"
"1905"	"1.1278"	"1.2729"	"1.19"	"2.3864"	"3.6356"	"2.5436"	"4.5965"	"8.1879"	"5.8695"	"9.6879"	"4.8589"	"1.1425"
"1906"	"1.8687"	"2.1741"	"1.2659"	"0.127"	"1.1373"	"4.4926"	"6.422"	"8.1663"	"7.6832"	"6.2199"	"5.9028"	"7.6871"
"1907"	"0.9708"	"0"	"1.1732"	"2.2143"	"1.569"	"3.453"	"6.6453"	"4.8028"	"6.4847"	"6.1238"	"8.8766"	"5.2984"
"1908"	"1.0157"	"2.8168"	"0.1838"	"0.5713"	"2.103"	"2.9011"	"5.5349"	"6.1168"	"8.2681"	"9.4946"	"4.2458"	"1.6174"
"1909"	"2.4286"	"0.5817"	"0"	"2.2376"	"5.0268"	"3.8395"	"5.586"	"9.0462"	"10.1337"	"4.4798"	"2.7119"	"2.5738"
"1910"	"0.5859"	"2.2315"	"0"	"1.0373"	"1.7662"	"4.1109"	"7.8983"	"7.1827"	"7.2002"	"9.4459"	"6.9681"	"0.957"
"1911"	"0"	"0"	"0.8394"	"1.1854"	"3.3587"	"3.5988"	"5.5508"	"4.6649"	"7.6793"	"6.3779"	"7.4585"	"4.9187"
"1912"	"0.9576"	"0"	"0"	"0.127"	"1.8292"	"2.579"	"5.8569"	"8.4833"	"6.5046"	"8.477"	"10.2187"	"1.2493"
"1913"	"0"	"0.6028"	"0.1632"	"0.9939"	"3.0893"	"1.7471"	"5.5665"	"4.8325"	"6.0165"	"9.592"	"3.7606"	"6.6429"
"1914"	"1.1237"	"0.1741"	"1.0926"	"2.5719"	"2.2035"	"3.4218"	"5.6463"	"8.1945"	"8.6271"	"7.5971"	"6.9384"	"3.0339"
"1915"	"2.0646"	"3.0915"	"1.7662"	"1.1399"	"2.2983"	"3.2538"	"7.1064"	"7.2543"	"6.4888"	"4.2586"	"11.116"	"2.1034"
"1916"	"0.1709"	"0"	"0"	"1.0006"	"3.3121"	"3.5499"	"8.3295"	"7.8065"	"6.056"	"9.2735"	"7.4774"	"2.8006"
"1917"	"1.2042"	"2.0446"	"0.7512"	"0.2049"	"3.2908"	"5.4306"	"5.5963"	"8.5308"	"6.7901"	"6.0906"	"6.4748"	"4.198"
