
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1902"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1903"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1904"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1905"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1906"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1907"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1908"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1909"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1910"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1911"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1912"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1913"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1914"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
"1915"	"36.904"	"31.775"	"33.432"	"45.244"	"55.931"	"70.652"	"76.529"	"71.995"	"66.059"	"63.442"	"56.326"	"47.482"
