
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.49"	"4.11"	"4.6"	"4.8"	"5.07"	"4.93"	"4.81"	"4.74"	"4.56"	"4.03"	"3.39"	"3.07"
"1902"	"3.43"	"3.95"	"4.6"	"4.86"	"5.08"	"4.95"	"4.81"	"4.75"	"4.55"	"3.96"	"3.38"	"3.09"
"1903"	"3.46"	"4.1"	"4.63"	"4.86"	"5.03"	"4.92"	"4.82"	"4.72"	"4.56"	"4.04"	"3.39"	"3.05"
"1904"	"3.38"	"3.97"	"4.55"	"4.87"	"5.05"	"4.88"	"4.77"	"4.72"	"4.6"	"4.05"	"3.43"	"3.04"
"1905"	"3.36"	"4.06"	"4.71"	"4.8"	"5.03"	"4.96"	"4.94"	"4.77"	"4.62"	"4.02"	"3.4"	"3.07"
"1906"	"3.44"	"4.13"	"4.62"	"4.91"	"5.12"	"4.91"	"4.87"	"4.67"	"4.6"	"4"	"3.36"	"3.09"
"1907"	"3.4"	"4.02"	"4.64"	"4.82"	"5.12"	"4.93"	"4.82"	"4.72"	"4.6"	"4"	"3.4"	"3.08"
"1908"	"3.42"	"3.99"	"4.57"	"4.93"	"5.07"	"4.92"	"4.78"	"4.73"	"4.51"	"4"	"3.36"	"3.03"
"1909"	"3.4"	"4.01"	"4.64"	"4.85"	"5.02"	"4.85"	"4.73"	"4.63"	"4.48"	"4.02"	"3.43"	"3.1"
"1910"	"3.41"	"4"	"4.54"	"4.81"	"5.12"	"4.9"	"4.76"	"4.66"	"4.53"	"4"	"3.38"	"3.04"
"1911"	"3.4"	"3.98"	"4.6"	"4.81"	"5.04"	"4.82"	"4.82"	"4.72"	"4.58"	"3.97"	"3.38"	"3.06"
"1912"	"3.36"	"4.07"	"4.68"	"4.87"	"5.1"	"4.92"	"4.82"	"4.75"	"4.55"	"4"	"3.42"	"3.07"
"1913"	"3.37"	"4.06"	"4.68"	"4.9"	"5.09"	"4.98"	"4.77"	"4.74"	"4.55"	"4"	"3.35"	"3.06"
"1914"	"3.38"	"4.03"	"4.63"	"4.86"	"5.06"	"4.96"	"4.78"	"4.69"	"4.54"	"3.96"	"3.37"	"3.08"
"1915"	"3.42"	"4.05"	"4.6"	"4.82"	"5.08"	"4.9"	"4.76"	"4.79"	"4.55"	"4.06"	"3.43"	"3.09"
"1916"	"3.37"	"4.04"	"4.61"	"4.89"	"5.07"	"4.83"	"4.74"	"4.7"	"4.51"	"4"	"3.4"	"3.03"
"1917"	"3.35"	"3.96"	"4.52"	"4.81"	"5"	"4.8"	"4.79"	"4.71"	"4.5"	"3.98"	"3.39"	"3.03"
"1918"	"3.36"	"3.89"	"4.48"	"4.81"	"5"	"4.77"	"4.77"	"4.74"	"4.5"	"3.99"	"3.38"	"3.07"
"1919"	"3.48"	"4.11"	"4.56"	"4.85"	"5.1"	"4.87"	"4.76"	"4.71"	"4.51"	"3.99"	"3.39"	"3.06"
"1920"	"3.41"	"4.07"	"4.66"	"4.85"	"5.08"	"4.93"	"4.87"	"4.77"	"4.6"	"4.05"	"3.4"	"3.03"
"1921"	"3.42"	"4.02"	"4.65"	"4.86"	"5.16"	"4.98"	"4.77"	"4.74"	"4.55"	"4"	"3.38"	"3.05"
"1922"	"3.4"	"3.96"	"4.58"	"4.83"	"5.06"	"4.93"	"4.82"	"4.75"	"4.55"	"3.97"	"3.4"	"3.03"
"1923"	"3.36"	"4.01"	"4.59"	"4.88"	"5.07"	"4.94"	"4.8"	"4.74"	"4.57"	"4"	"3.4"	"3.07"
"1924"	"3.37"	"4.04"	"4.64"	"4.88"	"5.18"	"4.96"	"4.83"	"4.75"	"4.53"	"4.03"	"3.4"	"3.04"
"1925"	"3.34"	"4.01"	"4.59"	"4.9"	"5.06"	"4.92"	"4.78"	"4.71"	"4.55"	"4.02"	"3.38"	"3.05"
"1926"	"3.42"	"4.02"	"4.68"	"4.9"	"5.07"	"4.94"	"4.83"	"4.75"	"4.55"	"4.02"	"3.35"	"3.07"
"1927"	"3.41"	"4.06"	"4.66"	"4.82"	"5.02"	"4.86"	"4.83"	"4.75"	"4.55"	"4.03"	"3.4"	"3.09"
"1928"	"3.43"	"4.1"	"4.57"	"4.85"	"5.12"	"4.93"	"4.78"	"4.73"	"4.6"	"4.02"	"3.38"	"3.07"
"1929"	"3.41"	"4.05"	"4.6"	"4.74"	"5.04"	"4.86"	"4.81"	"4.71"	"4.55"	"4.01"	"3.37"	"3.07"
"1930"	"3.38"	"4.06"	"4.63"	"4.83"	"4.96"	"4.87"	"4.87"	"4.73"	"4.55"	"3.94"	"3.39"	"3.1"
"1931"	"3.41"	"4.07"	"4.63"	"4.87"	"5.1"	"4.94"	"4.83"	"4.77"	"4.55"	"4.05"	"3.4"	"3.05"
"1932"	"3.38"	"4.02"	"4.59"	"4.82"	"5"	"4.87"	"4.81"	"4.7"	"4.57"	"3.97"	"3.4"	"3.07"
"1933"	"3.42"	"4.02"	"4.57"	"4.8"	"4.99"	"4.88"	"4.84"	"4.73"	"4.57"	"3.97"	"3.39"	"3.07"
"1934"	"3.41"	"3.92"	"4.54"	"4.84"	"5.06"	"4.92"	"4.82"	"4.76"	"4.59"	"4.02"	"3.4"	"3.05"
"1935"	"3.38"	"4"	"4.57"	"4.87"	"5.12"	"4.96"	"4.8"	"4.72"	"4.55"	"4.01"	"3.39"	"3.07"
"1936"	"3.46"	"4.07"	"4.62"	"4.88"	"5.08"	"4.85"	"4.87"	"4.79"	"4.57"	"4.02"	"3.4"	"3.11"
"1937"	"3.41"	"4.08"	"4.58"	"4.8"	"5.1"	"4.93"	"4.81"	"4.77"	"4.59"	"4"	"3.4"	"3.07"
"1938"	"3.45"	"4.06"	"4.66"	"4.82"	"5.11"	"4.89"	"4.82"	"4.73"	"4.55"	"4.01"	"3.4"	"3.07"
"1939"	"3.37"	"3.95"	"4.57"	"4.78"	"5.01"	"4.89"	"4.78"	"4.74"	"4.57"	"4.02"	"3.35"	"3.08"
"1940"	"3.36"	"4.01"	"4.68"	"4.83"	"5.08"	"4.92"	"4.84"	"4.77"	"4.67"	"4.09"	"3.4"	"3.1"
