
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.533"	"31.646"	"32.309"	"33.431"	"34.819"	"34.555"	"33.549"	"32.982"	"32.688"	"31.751"	"29.768"	"28.723"
"1902"	"29.672"	"29.796"	"32.299"	"34.14"	"35.038"	"34.65"	"33.436"	"33.137"	"32.653"	"30.9"	"29.751"	"29.154"
"1903"	"29.934"	"31.545"	"32.52"	"34.062"	"34.606"	"34.372"	"33.495"	"32.747"	"32.498"	"31.862"	"29.943"	"28.448"
"1904"	"29.143"	"29.947"	"31.85"	"34.195"	"34.697"	"34.163"	"33.2"	"32.769"	"33.149"	"31.78"	"30.314"	"28.294"
"1905"	"28.829"	"30.983"	"33.361"	"33.413"	"34.586"	"34.7"	"34.81"	"33.245"	"33.432"	"31.581"	"30.05"	"28.896"
"1906"	"29.8"	"31.866"	"32.43"	"34.578"	"35.326"	"34.287"	"33.977"	"32.366"	"32.99"	"31.379"	"29.567"	"29.014"
"1907"	"29.279"	"30.513"	"32.681"	"33.653"	"35.299"	"34.502"	"33.594"	"32.832"	"33.149"	"31.297"	"29.825"	"28.913"
"1908"	"29.434"	"30.166"	"31.98"	"34.813"	"35.019"	"34.418"	"33.327"	"32.796"	"32.017"	"31.297"	"29.371"	"28.185"
"1909"	"29.252"	"30.583"	"32.536"	"33.942"	"34.468"	"33.868"	"32.767"	"31.955"	"31.916"	"31.532"	"30.294"	"29.284"
"1910"	"29.478"	"30.363"	"31.689"	"33.53"	"35.337"	"34.17"	"33.084"	"32.264"	"32.359"	"31.331"	"29.609"	"28.315"
"1911"	"29.232"	"30.204"	"32.251"	"33.613"	"34.592"	"33.518"	"33.426"	"32.85"	"32.759"	"31.051"	"29.723"	"28.685"
"1912"	"28.681"	"31.184"	"33.15"	"34.18"	"35.257"	"34.383"	"33.629"	"33.115"	"32.495"	"31.331"	"30.234"	"28.574"
"1913"	"28.912"	"31.044"	"32.951"	"34.459"	"35.132"	"34.984"	"33.218"	"33.051"	"32.665"	"31.28"	"29.251"	"28.703"
"1914"	"29.189"	"30.634"	"32.533"	"34.042"	"34.908"	"34.721"	"33.348"	"32.519"	"32.333"	"30.852"	"29.569"	"28.903"
"1915"	"29.451"	"30.783"	"32.25"	"33.632"	"35.036"	"34.094"	"33.084"	"33.517"	"32.668"	"31.978"	"30.507"	"29.175"
"1916"	"29.062"	"30.866"	"32.403"	"34.361"	"34.869"	"33.556"	"32.833"	"32.598"	"32.147"	"31.333"	"30.08"	"28.064"
"1917"	"28.613"	"30.027"	"31.58"	"33.613"	"34.268"	"33.254"	"33.384"	"32.667"	"32.063"	"31.158"	"29.922"	"28.185"
"1918"	"28.761"	"29.347"	"31.105"	"33.562"	"34.248"	"33.039"	"33.135"	"33.05"	"32.014"	"31.34"	"29.606"	"28.614"
"1919"	"30.232"	"31.664"	"32.016"	"34.032"	"35.248"	"33.949"	"33.066"	"32.667"	"32.187"	"31.25"	"29.901"	"28.786"
"1920"	"29.461"	"31.145"	"32.797"	"33.941"	"35.037"	"34.576"	"33.999"	"33.218"	"32.949"	"31.779"	"29.848"	"28.166"
"1921"	"29.453"	"30.596"	"32.699"	"34.122"	"35.87"	"35.002"	"33.186"	"32.986"	"32.523"	"31.281"	"29.582"	"28.466"
"1922"	"29.297"	"30.064"	"32.088"	"33.783"	"34.79"	"34.504"	"33.646"	"33.115"	"32.62"	"31.08"	"30.08"	"28.194"
"1923"	"28.662"	"30.546"	"32.344"	"34.304"	"34.839"	"34.627"	"33.581"	"33.051"	"32.779"	"31.381"	"30.101"	"28.58"
"1924"	"28.951"	"30.884"	"32.646"	"34.331"	"36.116"	"34.802"	"33.649"	"33.115"	"32.419"	"31.734"	"30.08"	"28.297"
"1925"	"28.617"	"30.314"	"32.229"	"34.591"	"34.949"	"34.45"	"33.347"	"32.617"	"32.669"	"31.562"	"29.732"	"28.396"
"1926"	"29.451"	"30.612"	"32.934"	"34.374"	"34.928"	"34.559"	"33.505"	"33.119"	"32.651"	"31.581"	"29.268"	"28.815"
"1927"	"29.37"	"30.937"	"32.871"	"33.602"	"34.399"	"33.894"	"33.699"	"33.087"	"32.468"	"31.713"	"30.032"	"28.994"
"1928"	"29.735"	"31.474"	"32.053"	"34.013"	"35.308"	"34.503"	"33.31"	"32.947"	"33.016"	"31.66"	"29.702"	"28.849"
"1929"	"29.515"	"30.796"	"32.282"	"32.926"	"34.689"	"33.922"	"33.616"	"32.758"	"32.457"	"31.433"	"29.569"	"28.584"
"1930"	"29.171"	"31.076"	"32.533"	"33.733"	"33.957"	"33.889"	"34.129"	"32.854"	"32.562"	"30.7"	"29.953"	"29.083"
"1931"	"29.48"	"30.994"	"32.52"	"34.132"	"35.305"	"34.593"	"33.615"	"33.302"	"32.67"	"31.851"	"29.821"	"28.466"
"1932"	"29.144"	"30.694"	"32.26"	"33.678"	"34.286"	"34.002"	"33.501"	"32.582"	"32.721"	"31.097"	"30.101"	"28.567"
"1933"	"29.362"	"30.513"	"32.081"	"33.431"	"34.166"	"34.038"	"33.754"	"32.8"	"32.7"	"31.033"	"29.971"	"28.795"
"1934"	"29.333"	"29.565"	"31.699"	"33.811"	"34.937"	"34.37"	"33.647"	"33.148"	"33.016"	"31.601"	"30.015"	"28.349"
"1935"	"29.154"	"30.385"	"32.07"	"34.195"	"35.59"	"34.703"	"33.528"	"32.747"	"32.651"	"31.479"	"29.813"	"28.868"
"1936"	"29.952"	"31.349"	"32.48"	"34.293"	"35.041"	"33.814"	"33.976"	"33.558"	"32.85"	"31.533"	"30.051"	"29.313"
"1937"	"29.48"	"31.267"	"32.17"	"33.413"	"35.218"	"34.555"	"33.475"	"33.33"	"32.998"	"31.28"	"29.98"	"28.814"
"1938"	"29.881"	"30.954"	"32.851"	"33.632"	"35.37"	"34.08"	"33.43"	"32.828"	"32.651"	"31.411"	"29.852"	"28.584"
"1939"	"28.96"	"29.868"	"31.98"	"33.26"	"34.26"	"34.201"	"33.327"	"32.984"	"32.704"	"31.68"	"29.504"	"28.977"
"1940"	"28.681"	"30.294"	"33.033"	"33.723"	"35.037"	"34.449"	"33.828"	"33.196"	"33.862"	"32.391"	"30.063"	"29.066"
"1941"	"29.779"	"31.044"	"32.491"	"34.184"	"35.589"	"34.449"	"33.999"	"33.549"	"32.797"	"31.581"	"29.953"	"29.192"
"1942"	"29.763"	"31.046"	"32.319"	"33.632"	"35.256"	"34.731"	"33.9"	"33.2"	"32.997"	"31.88"	"30.462"	"28.787"
"1943"	"29.586"	"30.394"	"32.064"	"33.265"	"33.919"	"34.003"	"33.559"	"33.119"	"32.791"	"30.478"	"30.051"	"28.848"
"1944"	"29.586"	"31.276"	"31.763"	"33.297"	"34.886"	"34.369"	"33.853"	"33.548"	"33.33"	"32.691"	"30.251"	"28.666"
"1945"	"29.299"	"30.884"	"32.251"	"33.129"	"34.455"	"34.685"	"33.977"	"33.148"	"32.727"	"31.78"	"29.4"	"28.304"
"1946"	"28.91"	"30.211"	"32.27"	"33.431"	"34.69"	"34.252"	"33.957"	"33.148"	"32.547"	"31.297"	"30.332"	"29.192"
"1947"	"29.879"	"30.778"	"32.071"	"33.827"	"35.077"	"34.703"	"33.758"	"33.33"	"32.398"	"30.95"	"30.033"	"28.687"
"1948"	"29.451"	"30.655"	"32.122"	"33.73"	"35.019"	"34.198"	"33.7"	"33.41"	"33.026"	"31.781"	"30.422"	"28.466"
"1949"	"28.933"	"30.494"	"32.671"	"34.312"	"34.306"	"33.973"	"33.425"	"33.276"	"32.527"	"31.833"	"29.831"	"28.449"
"1950"	"28.798"	"30.814"	"32.533"	"33.532"	"35.151"	"34.302"	"33.277"	"32.466"	"32.477"	"31.159"	"30.032"	"28.795"
"1951"	"29.101"	"29.603"	"32.751"	"33.432"	"34.967"	"34.313"	"33.294"	"33.299"	"32.919"	"31.933"	"30.322"	"28.994"
"1952"	"29.48"	"31.167"	"32.653"	"34.203"	"34.886"	"34.421"	"33.615"	"33.148"	"32.848"	"31.844"	"30.581"	"29.524"
"1953"	"30.392"	"31.304"	"34.06"	"34.676"	"35.988"	"35.022"	"33.876"	"33.433"	"32.879"	"31.4"	"30.063"	"28.695"
"1954"	"29.48"	"31.135"	"32.433"	"33.984"	"35.219"	"34.555"	"32.996"	"32.363"	"32.629"	"30.832"	"29.435"	"28.714"
"1955"	"29.48"	"30.483"	"32.022"	"33.385"	"33.867"	"33.541"	"32.713"	"32.096"	"32.316"	"31.48"	"29.582"	"27.993"
"1956"	"28.85"	"29.885"	"32.043"	"33.6"	"34.088"	"33.272"	"32.522"	"32.646"	"31.969"	"30.451"	"29.452"	"28.166"
