
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.117"	"23.303"	"23.706"	"25.398"	"26.426"	"26.47"	"25.591"	"25.123"	"24.923"	"24.575"	"23.113"	"22.268"
"1902"	"22.257"	"21.4"	"23.713"	"26.107"	"26.7"	"26.55"	"25.427"	"25.279"	"24.888"	"23.724"	"23.095"	"22.7"
"1903"	"22.49"	"23.203"	"23.93"	"26.028"	"26.268"	"26.285"	"25.485"	"24.888"	"24.679"	"24.687"	"23.34"	"21.993"
"1904"	"21.698"	"21.524"	"23.264"	"26.161"	"26.357"	"26.079"	"25.244"	"24.91"	"25.385"	"24.577"	"23.658"	"21.839"
"1905"	"21.385"	"22.589"	"24.758"	"25.379"	"26.247"	"26.6"	"26.852"	"25.388"	"25.665"	"24.406"	"23.43"	"22.444"
"1906"	"22.385"	"23.522"	"23.825"	"26.527"	"26.935"	"26.202"	"25.966"	"24.509"	"25.173"	"24.203"	"22.967"	"22.559"
"1907"	"21.866"	"22.118"	"24.092"	"25.62"	"26.908"	"26.417"	"25.608"	"24.974"	"25.385"	"24.093"	"23.169"	"22.461"
"1908"	"21.99"	"21.794"	"23.375"	"26.78"	"26.681"	"26.333"	"25.37"	"24.939"	"24.198"	"24.093"	"22.716"	"21.73"
"1909"	"21.81"	"22.241"	"23.948"	"25.911"	"26.128"	"25.783"	"24.809"	"24.098"	"24.15"	"24.357"	"23.638"	"22.833"
"1910"	"22.063"	"22.02"	"23.103"	"25.497"	"26.946"	"26.086"	"25.127"	"24.406"	"24.593"	"24.128"	"22.989"	"21.862"
"1911"	"21.79"	"21.862"	"23.647"	"25.578"	"26.251"	"25.435"	"25.388"	"24.993"	"24.941"	"23.875"	"23.068"	"22.23"
"1912"	"21.237"	"22.841"	"24.565"	"26.146"	"26.918"	"26.299"	"25.643"	"25.257"	"24.73"	"24.128"	"23.579"	"22.069"
"1913"	"21.468"	"22.704"	"24.348"	"26.426"	"26.794"	"26.9"	"25.262"	"25.19"	"24.901"	"24.075"	"22.596"	"22.248"
"1914"	"21.774"	"22.261"	"23.947"	"26.008"	"26.569"	"26.635"	"25.389"	"24.66"	"24.518"	"23.65"	"22.968"	"22.45"
"1915"	"22.007"	"22.388"	"23.646"	"25.58"	"26.698"	"25.992"	"25.127"	"25.659"	"24.902"	"24.803"	"23.903"	"22.721"
"1916"	"21.645"	"22.521"	"23.816"	"26.327"	"26.476"	"25.47"	"24.874"	"24.742"	"24.383"	"24.129"	"23.46"	"21.561"
"1917"	"21.197"	"21.685"	"22.994"	"25.578"	"25.928"	"25.167"	"25.427"	"24.805"	"24.298"	"23.984"	"23.319"	"21.73"
"1918"	"21.346"	"21.003"	"22.517"	"25.527"	"25.908"	"24.938"	"25.176"	"25.19"	"24.249"	"24.165"	"23.005"	"22.106"
"1919"	"22.788"	"23.322"	"23.429"	"26"	"26.91"	"25.865"	"25.11"	"24.808"	"24.421"	"24.075"	"23.299"	"22.333"
"1920"	"22.046"	"22.802"	"24.213"	"25.908"	"26.699"	"26.49"	"26.011"	"25.359"	"25.13"	"24.576"	"23.194"	"21.712"
"1921"	"22.009"	"22.225"	"24.095"	"26.088"	"27.53"	"26.919"	"25.229"	"25.127"	"24.761"	"24.078"	"22.963"	"22.014"
"1922"	"21.883"	"21.723"	"23.484"	"25.749"	"26.397"	"26.419"	"25.66"	"25.258"	"24.854"	"23.905"	"23.46"	"21.741"
"1923"	"21.219"	"22.204"	"23.758"	"26.27"	"26.446"	"26.543"	"25.624"	"25.19"	"24.962"	"24.206"	"23.497"	"22.076"
