
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.5231"	"3.5749"	"2.0666"	"2.2687"	"2.8949"	"1.5043"	"1.7855"	"3.1594"	"6.7403"	"6.2192"	"10.8542"	"5.1233"
"1902"	"5.235"	"3.432"	"2.1536"	"0.6559"	"3.0287"	"4.5757"	"2.1142"	"3.9491"	"4.2201"	"11.8063"	"10.1762"	"6.4684"
"1903"	"2.039"	"2.6029"	"0.2214"	"1.1027"	"5.7261"	"3.5803"	"3.0338"	"5.9603"	"7.6641"	"7.541"	"9.6265"	"8.8321"
"1904"	"2.5601"	"0.4305"	"0.2214"	"1.1525"	"3.5537"	"1.8017"	"6.492"	"1.8634"	"3.2263"	"7.3912"	"3.7574"	"5.5207"
"1905"	"1.244"	"0.2251"	"1.0339"	"5.9825"	"3.5444"	"2.002"	"3.446"	"4.6983"	"3.4528"	"11.1956"	"8.0897"	"1.9973"
"1906"	"3.1932"	"1.3479"	"2.191"	"1.3396"	"1.8559"	"3.3899"	"3.9859"	"5.9669"	"3.8631"	"9.0102"	"11.5155"	"9.6494"
"1907"	"1.5133"	"0.4866"	"1.1175"	"5.918"	"2.7182"	"3.905"	"3.556"	"4.2277"	"5.5315"	"9.9395"	"10.036"	"5.1522"
"1908"	"2.3188"	"3.9122"	"1.9718"	"1.0686"	"2.6813"	"1.3799"	"3.294"	"4.0173"	"7.8612"	"11.8644"	"5.5464"	"4.4075"
"1909"	"4.1578"	"0.8478"	"0.909"	"4.4974"	"5.0701"	"3.6316"	"1.3022"	"8.921"	"6.8892"	"7.4583"	"6.7888"	"3.5838"
"1910"	"1.4177"	"3.7793"	"0.2214"	"3.1996"	"1.6753"	"3.739"	"5.5812"	"6.8495"	"4.1641"	"10.6641"	"8.3653"	"1.662"
"1911"	"0.7916"	"0.1053"	"0.6639"	"0.9843"	"2.5217"	"3.5235"	"2.6631"	"2.8374"	"6.0078"	"7.5481"	"9.0541"	"7.7959"
"1912"	"1.5933"	"0.0911"	"0.5761"	"1.7697"	"2.6622"	"5.1456"	"1.5335"	"4.822"	"7.0968"	"10.7385"	"10.466"	"1.8603"
"1913"	"1.8348"	"0.5513"	"0.5293"	"1.5225"	"3.192"	"2.5586"	"7.0151"	"3.7968"	"5.9118"	"11.1992"	"12.3774"	"6.7915"
"1914"	"1.2481"	"1.0803"	"1.0608"	"5.5485"	"2.8784"	"2.4375"	"1.841"	"4.129"	"6.0391"	"12.5962"	"8.835"	"8.0531"
"1915"	"3.0292"	"3.009"	"1.6665"	"3.9401"	"3.1852"	"3.2498"	"4.2363"	"5.0812"	"5.7906"	"4.733"	"9.4762"	"4.7447"
"1916"	"0.1935"	"0.9719"	"1.1493"	"2.5203"	"3.4357"	"2.607"	"6.6402"	"4.7495"	"4.1911"	"9.5204"	"9.4782"	"4.7321"
"1917"	"1.93"	"2.3628"	"1.3077"	"1.2117"	"3.194"	"5.4533"	"6.1909"	"7.5105"	"6.2863"	"5.1665"	"9.1486"	"5.1951"
"1918"	"4.7148"	"1.9676"	"1.4112"	"0.5783"	"3.559"	"3.1368"	"2.7262"	"1.5798"	"2.8329"	"5.6051"	"13.0762"	"7.1835"
"1919"	"2.4198"	"0.511"	"2.0866"	"0.9839"	"4.172"	"5.1936"	"4.6007"	"2.8175"	"6.1217"	"8.8981"	"11.5191"	"7.413"
"1920"	"4.7697"	"0.1803"	"0.5895"	"3.5697"	"1.8357"	"2.2511"	"1.494"	"4.6215"	"5.4012"	"7.1991"	"13.5557"	"2.4502"
"1921"	"5.5569"	"0.084"	"0.2214"	"3.6344"	"1.0363"	"5.0358"	"4.5964"	"5.4061"	"4.8062"	"10.768"	"6.6225"	"5.1586"
"1922"	"3.4651"	"3.5745"	"0.3893"	"2.2631"	"3.3533"	"4.3375"	"1.8912"	"3.8539"	"3.9545"	"10.8287"	"12.4787"	"5.3287"
"1923"	"5.3232"	"0.4482"	"3.2371"	"1.6519"	"1.2522"	"3.1799"	"1.1434"	"2.5443"	"6.0101"	"10.4622"	"4.8231"	"7.1628"
"1924"	"3.1679"	"0.1679"	"3.3155"	"2.7646"	"2.5915"	"2.6033"	"3.4914"	"4.9228"	"7.606"	"6.9108"	"8.4686"	"4.2215"
"1925"	"3.7222"	"1.0231"	"3.7756"	"2.3437"	"3.2087"	"4.0335"	"2.3636"	"6.08"	"3.6557"	"8.6612"	"10.612"	"9.0879"
"1926"	"3.5664"	"1.3479"	"1.0473"	"1.0853"	"3.482"	"2.8449"	"3.8916"	"3.4923"	"7.0506"	"9.1442"	"9.2298"	"4.2961"
"1927"	"3.0224"	"2.9371"	"1.8813"	"6.53"	"4.3544"	"5.0728"	"2.5781"	"2.7593"	"3.7972"	"5.465"	"8.2388"	"4.2212"
"1928"	"2.5001"	"4.3385"	"1.1032"	"2.1633"	"2.5432"	"1.8495"	"5.7746"	"4.5481"	"5.1342"	"9.0521"	"10.8297"	"6.266"
"1929"	"1.8708"	"2.0015"	"0.9581"	"5.4252"	"3.1093"	"6.0817"	"2.3577"	"3.9842"	"6.0442"	"8.0467"	"10.0542"	"7.4311"
"1930"	"5.2528"	"2.9323"	"1.5136"	"2.6078"	"6.3237"	"3.8834"	"3.2621"	"3.9126"	"4.0474"	"12.9705"	"9.3187"	"3.4212"
"1931"	"3.6143"	"0.4865"	"0.4117"	"3.5517"	"2.8918"	"2.3291"	"3.3978"	"2.754"	"4.3975"	"7.1873"	"9.5052"	"11.7582"
"1932"	"0.5779"	"1.6165"	"1.1788"	"4.5427"	"5.0282"	"1.9692"	"1.8644"	"4.6288"	"3.1525"	"10.9375"	"10.7393"	"6.3912"
"1933"	"1.3217"	"1.4346"	"2.5653"	"2.0073"	"3.5487"	"2.3913"	"3.5875"	"8.1104"	"3.6742"	"8.4056"	"7.6908"	"5.6398"
"1934"	"3.7068"	"0.4269"	"1.2163"	"2.6976"	"1.593"	"3.1041"	"4.814"	"4.7926"	"0.9999"	"12.7881"	"7.0545"	"3.2724"
"1935"	"4.0166"	"0.3339"	"1.3305"	"4.613"	"1.681"	"3.81"	"2.0425"	"4.6626"	"3.7981"	"9.8355"	"7.7712"	"7.5141"
"1936"	"1.3281"	"3.5631"	"4.095"	"2.3186"	"3.2124"	"2.5994"	"3.3921"	"4.0359"	"7.024"	"6.4374"	"10.6235"	"6.0985"
"1937"	"2.8213"	"0.9931"	"2.3414"	"4.9246"	"1.7119"	"1.7493"	"2.8586"	"4.7942"	"6.482"	"8.7109"	"11.152"	"3.3239"
"1938"	"1.2129"	"3.7963"	"4.4566"	"4.5391"	"2.3012"	"2.4342"	"4.5797"	"5.1502"	"6.9169"	"7.0484"	"5.0682"	"4.9798"
"1939"	"3.4548"	"0.774"	"1.4713"	"5.0364"	"4.6065"	"1.4281"	"1.5114"	"3.7936"	"5.1761"	"10.9932"	"10.9168"	"2.8124"
"1940"	"0.3785"	"0.5535"	"0.9129"	"5.1752"	"5.3786"	"4.2365"	"2.9638"	"1.4709"	"5.3036"	"9.1526"	"13.3253"	"5.918"
"1941"	"3.4265"	"1.4115"	"0.9128"	"3.9422"	"3.4995"	"1.5168"	"2.1705"	"4.0338"	"6.9831"	"9.133"	"10.3581"	"7.2842"
"1942"	"1.1563"	"0.084"	"0.8615"	"4.6567"	"2.6924"	"0.9767"	"1.169"	"4.5795"	"6.9561"	"7.9319"	"6.0119"	"9.503"
"1943"	"4.1551"	"1.8474"	"1.1228"	"4.9795"	"6.5274"	"3.2155"	"1.7915"	"4.2012"	"4.2694"	"11.1375"	"6.802"	"5.9831"
"1944"	"2.3846"	"3.5054"	"4.497"	"1.6587"	"1.7754"	"4.0148"	"3.7854"	"3.3899"	"4.2049"	"9.0861"	"11.4405"	"6.5326"
"1945"	"1.1737"	"0.6902"	"1.5824"	"5.4206"	"1.3846"	"2.609"	"2.788"	"4.3815"	"3.7362"	"7.6454"	"9.7139"	"4.4233"
"1946"	"2.5322"	"0.1399"	"3.2506"	"2.6684"	"3.0237"	"3.0707"	"2.5526"	"3.1387"	"5.8514"	"9.0375"	"10.7759"	"9.5789"
"1947"	"4.8718"	"2.5584"	"2.8072"	"4.918"	"2.5638"	"3.1739"	"6.171"	"4.1203"	"6.8486"	"9.3462"	"3.953"	"3.0059"
"1948"	"4.3365"	"1.3843"	"1.0627"	"1.8027"	"2.2432"	"3.2239"	"3.5004"	"4.5965"	"4.3514"	"6.9688"	"9.9875"	"4.8569"
