
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.588"	"24.499"	"24.471"	"25.656"	"25.304"	"24.335"	"23.678"	"23.801"	"23.843"	"23.774"	"23.448"	"23.013"
"1902"	"22.527"	"23.701"	"25.201"	"25.819"	"25.867"	"24.846"	"23.621"	"24.32"	"23.975"	"23.616"	"23.24"	"23.27"
"1903"	"24.062"	"24.565"	"25.031"	"26.14"	"25.326"	"24.685"	"23.743"	"23.844"	"23.716"	"23.805"	"23.234"	"22.519"
"1904"	"22.445"	"22.89"	"24.152"	"25.497"	"25.317"	"23.55"	"23.446"	"23.504"	"23.773"	"24.002"	"23.495"	"22.683"
"1905"	"23.008"	"23.796"	"25.008"	"25.03"	"24.991"	"24.257"	"24.085"	"23.974"	"24.245"	"23.613"	"23.504"	"23.018"
"1906"	"23.458"	"24.459"	"25.227"	"26.326"	"25.374"	"24.241"	"23.508"	"23.499"	"24.182"	"23.636"	"23.05"	"22.825"
"1907"	"22.918"	"23.584"	"24.776"	"25.136"	"25.422"	"24.304"	"23.524"	"23.197"	"24.001"	"23.52"	"23.011"	"22.89"
"1908"	"22.986"	"23.196"	"24.638"	"25.496"	"25.194"	"23.735"	"22.975"	"23.69"	"23.705"	"23.609"	"22.747"	"22.514"
"1909"	"22.791"	"23.387"	"24.632"	"25.471"	"24.964"	"24.109"	"23.363"	"23.415"	"23.705"	"23.684"	"23.086"	"22.986"
"1910"	"23.071"	"23.596"	"24.597"	"25.201"	"25.374"	"23.954"	"23.281"	"23.35"	"23.519"	"23.372"	"23.309"	"22.703"
"1911"	"23.03"	"23.304"	"24.804"	"25.466"	"25.639"	"23.909"	"23.197"	"23.504"	"24.023"	"23.643"	"23.388"	"23.113"
"1912"	"22.487"	"24.156"	"25.184"	"25.901"	"25.353"	"23.943"	"23.71"	"23.647"	"23.928"	"23.801"	"23.191"	"22.619"
"1913"	"22.668"	"23.838"	"24.823"	"25.867"	"25.84"	"24.601"	"23.509"	"23.828"	"24.018"	"23.748"	"23.32"	"23.134"
"1914"	"23.13"	"23.811"	"25.149"	"26.061"	"25.466"	"24.622"	"24.046"	"23.849"	"24.246"	"23.626"	"23.728"	"23.091"
"1915"	"23.501"	"24.248"	"25.06"	"25.802"	"25.715"	"24.869"	"23.61"	"24.008"	"23.996"	"24.002"	"23.425"	"22.895"
"1916"	"22.902"	"23.754"	"25.08"	"26.109"	"25.581"	"23.86"	"23.678"	"23.891"	"23.679"	"23.35"	"23.234"	"22.338"
"1917"	"22.753"	"23.557"	"24.071"	"25.624"	"25.056"	"23.875"	"23.948"	"23.785"	"23.483"	"23.234"	"23.059"	"22.211"
"1918"	"22.412"	"22.625"	"24.323"	"25.528"	"24.61"	"23.898"	"23.708"	"23.775"	"23.86"	"23.783"	"23.658"	"22.751"
"1919"	"23.685"	"24.246"	"24.463"	"26.077"	"25.427"	"24.061"	"23.489"	"23.516"	"23.928"	"23.934"	"23.06"	"23.091"
"1920"	"23.048"	"24.088"	"25.29"	"25.327"	"25.458"	"23.969"	"23.566"	"23.472"	"23.864"	"23.774"	"22.937"	"22.593"
"1921"	"23.401"	"23.391"	"25.158"	"25.296"	"25.797"	"24.633"	"23.717"	"23.765"	"24.024"	"23.71"	"23.255"	"22.503"
"1922"	"23.014"	"23.515"	"24.602"	"25.556"	"24.922"	"24.272"	"23.313"	"23.542"	"23.642"	"23.504"	"22.877"	"22.391"
"1923"	"22.849"	"23.408"	"24.623"	"25.964"	"25.256"	"24.075"	"23.399"	"23.426"	"23.912"	"23.657"	"23.477"	"22.948"
"1924"	"23.03"	"24.067"	"24.881"	"25.687"	"25.573"	"24.095"	"23.387"	"23.828"	"23.954"	"23.662"	"23.303"	"22.682"
"1925"	"22.663"	"23.631"	"24.415"	"25.545"	"25.242"	"24.246"	"23.668"	"23.579"	"24.197"	"24.044"	"23.122"	"22.875"
"1926"	"23.187"	"23.876"	"25.206"	"25.834"	"25.474"	"24.427"	"23.933"	"24.156"	"24.109"	"23.821"	"23.436"	"23.144"
"1927"	"23.229"	"24.194"	"24.811"	"25.391"	"24.69"	"23.813"	"23.159"	"23.854"	"23.662"	"23.87"	"23.399"	"23.5"
"1928"	"23.452"	"23.885"	"24.602"	"25.634"	"25.938"	"24.623"	"23.827"	"23.631"	"24.208"	"23.732"	"23.452"	"23.086"
"1929"	"23.145"	"23.886"	"24.76"	"24.856"	"25.3"	"23.901"	"23.663"	"23.684"	"23.891"	"23.609"	"23.478"	"23.011"
"1930"	"23.049"	"24.156"	"24.903"	"25.471"	"24.694"	"24.15"	"24.112"	"23.775"	"23.81"	"23.408"	"23.596"	"23.5"
"1931"	"23.34"	"24.332"	"25.228"	"25.561"	"25.802"	"24.713"	"23.965"	"23.647"	"23.822"	"23.902"	"23.392"	"23.087"
"1932"	"22.934"	"23.275"	"24.658"	"25.131"	"24.679"	"24.332"	"23.647"	"23.71"	"23.858"	"23.234"	"23.144"	"22.751"
"1933"	"23.436"	"23.902"	"24.861"	"25.397"	"24.482"	"23.912"	"23.528"	"23.346"	"23.482"	"23.212"	"23.17"	"23.032"
"1934"	"23.064"	"23.209"	"24.097"	"25.318"	"25.422"	"24.215"	"23.764"	"23.96"	"24.119"	"23.668"	"22.995"	"22.805"
"1935"	"23.463"	"23.758"	"24.83"	"25.374"	"25.851"	"24.283"	"23.509"	"23.419"	"23.752"	"23.599"	"23.074"	"23.021"
"1936"	"23.297"	"24.099"	"25.005"	"25.656"	"25.31"	"23.949"	"23.826"	"23.683"	"24.135"	"23.8"	"23.483"	"23.361"
"1937"	"23.34"	"24.31"	"24.777"	"25.403"	"25.719"	"24.198"	"23.43"	"24.22"	"24.299"	"23.753"	"23.281"	"22.698"
"1938"	"23.76"	"23.998"	"24.865"	"25.152"	"25.624"	"24.045"	"23.473"	"23.875"	"24.009"	"23.558"	"23.274"	"23.374"
"1939"	"23.078"	"23.68"	"24.795"	"25.18"	"25.057"	"23.865"	"23.557"	"23.718"	"24.124"	"23.967"	"23.098"	"22.985"
"1940"	"22.759"	"23.877"	"25.166"	"25.471"	"25.422"	"24.574"	"23.812"	"23.583"	"24.637"	"24.272"	"23.596"	"23.186"
"1941"	"23.776"	"24.317"	"25.319"	"26.05"	"26.07"	"24.484"	"24.135"	"24.135"	"24.204"	"24.156"	"23.653"	"23.442"
"1942"	"23.58"	"24.428"	"25.174"	"25.556"	"25.603"	"24.356"	"23.605"	"23.731"	"24.001"	"23.805"	"23.314"	"23.001"
"1943"	"23.219"	"23.588"	"24.59"	"24.889"	"24.813"	"23.52"	"23.175"	"23.46"	"23.709"	"23.151"	"22.974"	"23.208"
"1944"	"23.292"	"23.997"	"24.452"	"25.227"	"25.332"	"24.267"	"23.938"	"24.241"	"24.276"	"24.123"	"23.303"	"22.772"
