
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1902"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1903"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1904"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1905"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1906"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1907"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1908"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1909"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1910"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1911"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1912"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1913"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1914"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1915"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1916"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1917"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1918"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1919"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1920"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1921"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1922"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1923"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1924"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1925"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1926"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1927"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1928"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1929"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1930"	"33.263"	"31.329"	"33.098"	"46.483"	"55.294"	"68.44"	"68.969"	"63.101"	"58.876"	"58.876"	"53.265"	"42.597"
"1931"	"32.243"	"30.204"	"32.102"	"46.483"	"53.366"	"66.22"	"66.326"	"63.101"	"56.945"	"54.277"	"50.334"	"43.402"
"1932"	"30.411"	"33.715"	"34.285"	"49.874"	"59.602"	"72.799"	"72.579"	"63.88"	"60.831"	"66.026"	"61.577"	"42.597"
"1933"	"33.263"	"32.283"	"33.098"	"46.483"	"53.074"	"68.176"	"67.888"	"62.111"	"58.876"	"58.876"	"52.746"	"41.606"
"1934"	"34.475"	"30.705"	"33.098"	"47.607"	"55.294"	"68.44"	"66.133"	"61.074"	"56.717"	"58.382"	"50.978"	"40.668"
"1935"	"34.475"	"32.568"	"34.334"	"47.565"	"55.787"	"68.987"	"68.615"	"62.147"	"58.876"	"58.356"	"51.535"	"42.597"
"1936"	"33.263"	"31.651"	"32.488"	"47.426"	"57.456"	"68.149"	"67.533"	"62.159"	"57.838"	"58.876"	"53.641"	"42.597"
"1937"	"33.263"	"31.805"	"33.952"	"46.483"	"50.957"	"69.84"	"70.461"	"59.758"	"55.773"	"58.876"	"52.911"	"41.563"
"1938"	"32.048"	"32.437"	"33.098"	"45.331"	"54.122"	"68.44"	"70.002"	"61.65"	"58.876"	"56.738"	"50.471"	"42.597"
"1939"	"33.263"	"31.329"	"33.098"	"47.426"	"55.294"	"67.789"	"68.54"	"62.132"	"57.75"	"57.237"	"54.501"	"40.801"
"1940"	"31.358"	"31.716"	"33.098"	"46.483"	"55.294"	"68.649"	"72.96"	"64.197"	"58.876"	"57.75"	"57.06"	"43.673"
"1941"	"34.068"	"32.875"	"35.716"	"49.577"	"57.789"	"70.23"	"68.969"	"63.101"	"60.471"	"60.492"	"54.501"	"41.834"
"1942"	"32.206"	"31.329"	"33.098"	"46.483"	"55.294"	"68.6"	"69.706"	"62.132"	"58.564"	"58.876"	"51.085"	"45.337"
"1943"	"34.158"	"30.316"	"33.098"	"47.156"	"56.258"	"71.249"	"70.092"	"61.01"	"59.188"	"58.356"	"54.409"	"41.792"
"1944"	"33.263"	"31.716"	"33.098"	"47.018"	"54.149"	"67.286"	"68.969"	"59.802"	"56.642"	"55.8"	"53.36"	"41.654"
"1945"	"32.27"	"31.848"	"33.071"	"46.081"	"55.294"	"64.677"	"68.969"	"61.501"	"57.456"	"56.765"	"54.474"	"41.834"
"1946"	"31.645"	"31.329"	"33.098"	"46.483"	"55.517"	"71.053"	"68.969"	"65.332"	"59.866"	"59.956"	"58.087"	"45.151"
"1947"	"35.884"	"33.423"	"35.812"	"48.39"	"54.398"	"66.337"	"70.95"	"63.049"	"59.279"	"58.918"	"50.127"	"42.597"
"1948"	"34.475"	"31.329"	"33.098"	"45.475"	"52.458"	"68.44"	"68.592"	"61.549"	"58.876"	"55.302"	"53.265"	"41.563"
"1949"	"31.168"	"30.204"	"32.605"	"46.483"	"55.294"	"70.962"	"70.808"	"63.101"	"58.876"	"59.194"	"51.175"	"38.823"
"1950"	"32.27"	"31.329"	"33.098"	"47.544"	"55.294"	"69.045"	"70.619"	"61.05"	"59.998"	"56.627"	"53.239"	"41.333"
"1951"	"34.068"	"32.484"	"33.098"	"46.483"	"53.856"	"67.19"	"67.836"	"63.101"	"57.413"	"56.669"	"54.426"	"39.428"
"1952"	"27.865"	"30.614"	"32.128"	"45.4"	"53.592"	"63.772"	"66.304"	"61.904"	"56.135"	"58.474"	"51.169"	"42.597"
"1953"	"33.935"	"30.204"	"33.098"	"45.331"	"53.227"	"66.067"	"67.936"	"60.774"	"55.922"	"57.839"	"51.169"	"40.578"
"1954"	"33.526"	"29.389"	"32.398"	"46.483"	"53.843"	"68.293"	"68.54"	"62.174"	"57.839"	"58.474"	"50.507"	"42.597"
"1955"	"35.558"	"32.526"	"33.836"	"49.091"	"57.456"	"78.307"	"70.23"	"63.476"	"59.734"	"59.771"	"54.501"	"41.627"
"1956"	"34.164"	"32.261"	"32.461"	"47.162"	"56.401"	"73.97"	"71.311"	"63.63"	"60.863"	"59.956"	"53.334"	"41.702"
"1957"	"33.49"	"32.436"	"32.605"	"45.835"	"58.614"	"74.201"	"73.155"	"65.28"	"58.876"	"62.209"	"55.451"	"44.362"
"1958"	"33.67"	"33.068"	"34.334"	"46.256"	"57.498"	"66.65"	"71.311"	"64.573"	"59.215"	"61.123"	"54.271"	"41.748"
"1959"	"32.763"	"30.32"	"30.059"	"45.406"	"53.996"	"72.417"	"72.597"	"62.111"	"59.505"	"60.603"	"53.266"	"41.807"
"1960"	"34.475"	"32.352"	"31.851"	"44.664"	"58.902"	"67.011"	"70.4"	"61.459"	"60.49"	"56.896"	"61.954"	"41.516"
"1961"	"36.532"	"34.472"	"40.828"	"46.483"	"57.407"	"73.746"	"73.105"	"64.925"	"58.019"	"57.491"	"52.289"	"42.597"
"1962"	"35.558"	"34.566"	"33.098"	"47.253"	"56.333"	"64.252"	"70.612"	"65.28"	"59.998"	"64.831"	"50.142"	"41.516"
"1963"	"37.528"	"30.482"	"34.201"	"46.055"	"54.08"	"69.978"	"68.478"	"63.101"	"57.734"	"59.188"	"54.165"	"42.597"
"1964"	"30.432"	"30.231"	"32.621"	"45.978"	"54.123"	"65.425"	"69.425"	"63.101"	"59.367"	"55.936"	"52.495"	"40.386"
"1965"	"31.998"	"32.925"	"32.939"	"46.483"	"55.294"	"64.061"	"63.2"	"62.714"	"57.93"	"57.242"	"53.744"	"44.94"
"1966"	"35.558"	"32.061"	"32.685"	"46.43"	"53.735"	"65.959"	"70.187"	"61.903"	"58.85"	"57.406"	"53.9"	"43.015"
"1967"	"32.132"	"27.067"	"31.042"	"43.023"	"56.549"	"69.749"	"67.888"	"61.908"	"58.876"	"59.963"	"49.304"	"43.556"
"1968"	"33.977"	"31.027"	"34.265"	"46.483"	"54.262"	"68.382"	"72.787"	"61.465"	"59.554"	"57.114"	"54.436"	"42.597"
"1969"	"32.929"	"31.985"	"32.143"	"45.484"	"54.033"	"66.31"	"68.248"	"62.762"	"57.018"	"58.223"	"51.334"	"45.556"
"1970"	"34.475"	"31.716"	"32.392"	"47.433"	"56.916"	"70.02"	"67.888"	"64.197"	"58.876"	"59.755"	"56.913"	"39.244"
