
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.47"	"3.87"	"4.09"	"4.16"	"3.84"	"3.5"	"3.47"	"3.52"	"3.56"	"3.43"	"3.19"	"3.12"
"1902"	"3.37"	"3.8"	"4.17"	"4.17"	"3.9"	"3.55"	"3.47"	"3.57"	"3.57"	"3.4"	"3.17"	"3.14"
"1903"	"3.51"	"3.87"	"4.15"	"4.2"	"3.84"	"3.53"	"3.47"	"3.53"	"3.55"	"3.42"	"3.17"	"3.07"
"1904"	"3.36"	"3.72"	"4.06"	"4.14"	"3.86"	"3.44"	"3.45"	"3.5"	"3.56"	"3.44"	"3.19"	"3.11"
"1905"	"3.41"	"3.8"	"4.14"	"4.09"	"3.82"	"3.5"	"3.5"	"3.53"	"3.61"	"3.4"	"3.18"	"3.12"
"1906"	"3.46"	"3.86"	"4.17"	"4.22"	"3.86"	"3.5"	"3.45"	"3.49"	"3.6"	"3.41"	"3.16"	"3.11"
"1907"	"3.4"	"3.77"	"4.13"	"4.11"	"3.86"	"3.5"	"3.45"	"3.47"	"3.57"	"3.4"	"3.15"	"3.11"
"1908"	"3.41"	"3.74"	"4.11"	"4.13"	"3.83"	"3.44"	"3.4"	"3.52"	"3.55"	"3.4"	"3.12"	"3.07"
"1909"	"3.39"	"3.76"	"4.11"	"4.14"	"3.82"	"3.49"	"3.44"	"3.5"	"3.55"	"3.41"	"3.16"	"3.12"
"1910"	"3.42"	"3.78"	"4.11"	"4.11"	"3.86"	"3.46"	"3.44"	"3.49"	"3.55"	"3.39"	"3.17"	"3.1"
"1911"	"3.41"	"3.75"	"4.13"	"4.14"	"3.88"	"3.46"	"3.43"	"3.5"	"3.58"	"3.4"	"3.18"	"3.13"
"1912"	"3.37"	"3.84"	"4.17"	"4.18"	"3.85"	"3.47"	"3.48"	"3.51"	"3.57"	"3.42"	"3.16"	"3.09"
"1913"	"3.4"	"3.8"	"4.13"	"4.17"	"3.91"	"3.53"	"3.45"	"3.53"	"3.57"	"3.43"	"3.17"	"3.13"
"1914"	"3.43"	"3.81"	"4.16"	"4.19"	"3.86"	"3.54"	"3.5"	"3.53"	"3.6"	"3.41"	"3.21"	"3.13"
"1915"	"3.47"	"3.84"	"4.15"	"4.17"	"3.89"	"3.55"	"3.47"	"3.54"	"3.58"	"3.44"	"3.18"	"3.11"
"1916"	"3.4"	"3.8"	"4.16"	"4.19"	"3.86"	"3.46"	"3.48"	"3.53"	"3.55"	"3.39"	"3.17"	"3.07"
"1917"	"3.4"	"3.77"	"4.06"	"4.15"	"3.82"	"3.46"	"3.49"	"3.52"	"3.54"	"3.39"	"3.16"	"3.05"
"1918"	"3.35"	"3.68"	"4.08"	"4.14"	"3.79"	"3.45"	"3.47"	"3.53"	"3.57"	"3.42"	"3.2"	"3.11"
"1919"	"3.47"	"3.85"	"4.09"	"4.19"	"3.86"	"3.47"	"3.45"	"3.51"	"3.57"	"3.44"	"3.16"	"3.13"
"1920"	"3.42"	"3.83"	"4.17"	"4.13"	"3.86"	"3.47"	"3.46"	"3.5"	"3.56"	"3.43"	"3.14"	"3.08"
"1921"	"3.45"	"3.77"	"4.17"	"4.13"	"3.9"	"3.53"	"3.47"	"3.52"	"3.58"	"3.41"	"3.17"	"3.08"
"1922"	"3.41"	"3.76"	"4.1"	"4.14"	"3.81"	"3.5"	"3.44"	"3.51"	"3.55"	"3.4"	"3.13"	"3.07"
"1923"	"3.4"	"3.76"	"4.11"	"4.19"	"3.84"	"3.48"	"3.44"	"3.49"	"3.58"	"3.41"	"3.18"	"3.11"
"1924"	"3.41"	"3.83"	"4.13"	"4.16"	"3.87"	"3.48"	"3.45"	"3.53"	"3.58"	"3.41"	"3.17"	"3.1"
"1925"	"3.4"	"3.79"	"4.08"	"4.15"	"3.84"	"3.5"	"3.47"	"3.5"	"3.6"	"3.45"	"3.15"	"3.11"
"1926"	"3.43"	"3.8"	"4.17"	"4.17"	"3.86"	"3.51"	"3.48"	"3.56"	"3.6"	"3.43"	"3.18"	"3.13"
"1927"	"3.43"	"3.84"	"4.11"	"4.12"	"3.79"	"3.46"	"3.41"	"3.53"	"3.55"	"3.44"	"3.18"	"3.16"
"1928"	"3.45"	"3.82"	"4.1"	"4.15"	"3.9"	"3.54"	"3.48"	"3.51"	"3.6"	"3.42"	"3.18"	"3.13"
"1929"	"3.43"	"3.81"	"4.13"	"4.07"	"3.84"	"3.46"	"3.48"	"3.51"	"3.56"	"3.4"	"3.18"	"3.11"
"1930"	"3.42"	"3.83"	"4.13"	"4.14"	"3.79"	"3.5"	"3.51"	"3.53"	"3.56"	"3.4"	"3.21"	"3.16"
"1931"	"3.45"	"3.85"	"4.17"	"4.14"	"3.9"	"3.54"	"3.49"	"3.51"	"3.56"	"3.43"	"3.18"	"3.12"
"1932"	"3.4"	"3.75"	"4.11"	"4.1"	"3.79"	"3.5"	"3.47"	"3.52"	"3.57"	"3.39"	"3.17"	"3.11"
"1933"	"3.46"	"3.81"	"4.13"	"4.12"	"3.77"	"3.47"	"3.45"	"3.5"	"3.54"	"3.38"	"3.17"	"3.13"
"1934"	"3.42"	"3.74"	"4.06"	"4.11"	"3.86"	"3.5"	"3.48"	"3.54"	"3.59"	"3.41"	"3.15"	"3.11"
"1935"	"3.47"	"3.8"	"4.13"	"4.12"	"3.9"	"3.5"	"3.45"	"3.5"	"3.55"	"3.41"	"3.15"	"3.12"
"1936"	"3.45"	"3.83"	"4.14"	"4.15"	"3.84"	"3.47"	"3.49"	"3.52"	"3.6"	"3.43"	"3.18"	"3.14"
"1937"	"3.45"	"3.85"	"4.13"	"4.13"	"3.89"	"3.5"	"3.45"	"3.56"	"3.61"	"3.42"	"3.17"	"3.1"
"1938"	"3.47"	"3.83"	"4.13"	"4.11"	"3.86"	"3.47"	"3.45"	"3.53"	"3.58"	"3.4"	"3.17"	"3.15"
"1939"	"3.42"	"3.8"	"4.12"	"4.12"	"3.82"	"3.46"	"3.47"	"3.51"	"3.59"	"3.45"	"3.16"	"3.12"
"1940"	"3.4"	"3.8"	"4.16"	"4.14"	"3.86"	"3.53"	"3.48"	"3.51"	"3.64"	"3.46"	"3.21"	"3.13"
"1941"	"3.47"	"3.84"	"4.18"	"4.18"	"3.91"	"3.51"	"3.51"	"3.57"	"3.6"	"3.46"	"3.21"	"3.14"
"1942"	"3.47"	"3.86"	"4.17"	"4.14"	"3.86"	"3.51"	"3.47"	"3.52"	"3.57"	"3.42"	"3.17"	"3.11"
"1943"	"3.43"	"3.79"	"4.1"	"4.07"	"3.8"	"3.43"	"3.42"	"3.49"	"3.55"	"3.38"	"3.15"	"3.13"
"1944"	"3.45"	"3.82"	"4.1"	"4.11"	"3.86"	"3.5"	"3.49"	"3.57"	"3.61"	"3.45"	"3.17"	"3.11"
"1945"	"3.42"	"3.82"	"4.13"	"4.12"	"3.88"	"3.51"	"3.47"	"3.53"	"3.59"	"3.42"	"3.16"	"3.11"
"1946"	"3.37"	"3.79"	"4.1"	"4.11"	"3.87"	"3.5"	"3.48"	"3.52"	"3.58"	"3.44"	"3.17"	"3.12"
"1947"	"3.47"	"3.79"	"4.1"	"4.09"	"3.87"	"3.5"	"3.49"	"3.52"	"3.55"	"3.39"	"3.19"	"3.15"
"1948"	"3.47"	"3.83"	"4.15"	"4.14"	"3.86"	"3.49"	"3.47"	"3.5"	"3.58"	"3.43"	"3.21"	"3.12"
"1949"	"3.43"	"3.79"	"4.17"	"4.12"	"3.82"	"3.49"	"3.48"	"3.54"	"3.57"	"3.42"	"3.18"	"3.12"
"1950"	"3.42"	"3.79"	"4.16"	"4.12"	"3.91"	"3.48"	"3.46"	"3.52"	"3.55"	"3.39"	"3.17"	"3.14"
"1951"	"3.43"	"3.74"	"4.13"	"4.08"	"3.86"	"3.44"	"3.47"	"3.54"	"3.59"	"3.46"	"3.18"	"3.12"
"1952"	"3.45"	"3.83"	"4.13"	"4.14"	"3.88"	"3.5"	"3.48"	"3.51"	"3.59"	"3.41"	"3.17"	"3.15"
"1953"	"3.45"	"3.8"	"4.18"	"4.12"	"3.92"	"3.55"	"3.45"	"3.57"	"3.59"	"3.42"	"3.17"	"3.13"
"1954"	"3.45"	"3.84"	"4.11"	"4.14"	"3.88"	"3.52"	"3.45"	"3.5"	"3.58"	"3.38"	"3.16"	"3.14"
"1955"	"3.48"	"3.84"	"4.15"	"4.11"	"3.79"	"3.43"	"3.45"	"3.52"	"3.58"	"3.42"	"3.16"	"3.11"
"1956"	"3.42"	"3.81"	"4.16"	"4.14"	"3.78"	"3.43"	"3.42"	"3.52"	"3.55"	"3.39"	"3.2"	"3.15"
"1957"	"3.44"	"3.83"	"4.12"	"4.15"	"3.82"	"3.51"	"3.48"	"3.51"	"3.59"	"3.44"	"3.18"	"3.15"
"1958"	"3.47"	"3.84"	"4.15"	"4.15"	"3.81"	"3.5"	"3.5"	"3.5"	"3.6"	"3.4"	"3.21"	"3.17"
