
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"27.564"	"28.525"	"28.366"	"29.168"	"28.406"	"27.06"	"26.424"	"26.563"	"26.769"	"26.834"	"26.645"	"26.538"
"1902"	"26.504"	"27.725"	"29.095"	"29.304"	"28.969"	"27.57"	"26.368"	"27.083"	"26.904"	"26.675"	"26.41"	"26.797"
"1903"	"28.04"	"28.591"	"28.903"	"29.649"	"28.428"	"27.41"	"26.49"	"26.606"	"26.642"	"26.865"	"26.431"	"26.046"
"1904"	"26.422"	"26.913"	"28.045"	"29.008"	"28.419"	"26.276"	"26.193"	"26.266"	"26.699"	"27.062"	"26.693"	"26.209"
"1905"	"26.985"	"27.82"	"28.902"	"28.541"	"28.096"	"26.982"	"26.832"	"26.737"	"27.171"	"26.673"	"26.702"	"26.545"
"1906"	"27.434"	"28.486"	"29.121"	"29.835"	"28.476"	"26.966"	"26.255"	"26.26"	"27.109"	"26.696"	"26.247"	"26.352"
"1907"	"26.894"	"27.607"	"28.669"	"28.647"	"28.524"	"27.029"	"26.271"	"25.959"	"26.93"	"26.578"	"26.209"	"26.415"
"1908"	"26.963"	"27.22"	"28.533"	"29.007"	"28.296"	"26.46"	"25.721"	"26.452"	"26.632"	"26.669"	"25.945"	"26.038"
"1909"	"26.767"	"27.411"	"28.526"	"28.982"	"28.069"	"26.835"	"26.109"	"26.177"	"26.632"	"26.744"	"26.284"	"26.511"
"1910"	"27.048"	"27.62"	"28.49"	"28.712"	"28.476"	"26.679"	"26.028"	"26.113"	"26.446"	"26.431"	"26.479"	"26.23"
"1911"	"27.007"	"27.328"	"28.698"	"28.976"	"28.718"	"26.634"	"25.943"	"26.266"	"26.949"	"26.702"	"26.587"	"26.639"
"1912"	"26.464"	"28.183"	"29.077"	"29.411"	"28.455"	"26.668"	"26.457"	"26.409"	"26.855"	"26.861"	"26.388"	"26.145"
"1913"	"26.645"	"27.862"	"28.716"	"29.351"	"28.942"	"27.326"	"26.255"	"26.59"	"26.945"	"26.808"	"26.519"	"26.66"
"1914"	"27.107"	"27.835"	"29.043"	"29.57"	"28.568"	"27.348"	"26.793"	"26.612"	"27.173"	"26.686"	"26.927"	"26.618"
"1915"	"27.478"	"28.274"	"28.953"	"29.311"	"28.817"	"27.593"	"26.356"	"26.769"	"26.923"	"27.062"	"26.624"	"26.421"
"1916"	"26.879"	"27.778"	"28.973"	"29.592"	"28.684"	"26.584"	"26.425"	"26.654"	"26.606"	"26.409"	"26.431"	"25.863"
"1917"	"26.729"	"27.581"	"27.964"	"29.136"	"28.158"	"26.6"	"26.695"	"26.547"	"26.409"	"26.292"	"26.257"	"25.735"
"1918"	"26.388"	"26.649"	"28.215"	"29.039"	"27.711"	"26.624"	"26.453"	"26.538"	"26.787"	"26.843"	"26.831"	"26.277"
"1919"	"27.661"	"28.272"	"28.357"	"29.586"	"28.529"	"26.787"	"26.235"	"26.278"	"26.855"	"26.993"	"26.257"	"26.618"
"1920"	"27.025"	"28.114"	"29.183"	"28.837"	"28.561"	"26.695"	"26.312"	"26.234"	"26.791"	"26.834"	"26.108"	"26.119"
"1921"	"27.378"	"27.416"	"29.051"	"28.806"	"28.9"	"27.358"	"26.464"	"26.528"	"26.951"	"26.77"	"26.452"	"26.027"
"1922"	"26.991"	"27.538"	"28.494"	"29.068"	"28.026"	"26.997"	"26.059"	"26.304"	"26.569"	"26.563"	"26.075"	"25.916"
"1923"	"26.825"	"27.433"	"28.517"	"29.474"	"28.358"	"26.801"	"26.145"	"26.187"	"26.839"	"26.717"	"26.676"	"26.474"
"1924"	"27.007"	"28.093"	"28.774"	"29.198"	"28.633"	"26.82"	"26.134"	"26.59"	"26.882"	"26.722"	"26.5"	"26.208"
"1925"	"26.64"	"27.656"	"28.309"	"29.055"	"28.343"	"26.971"	"26.416"	"26.341"	"27.126"	"27.104"	"26.32"	"26.401"
"1926"	"27.164"	"27.901"	"29.1"	"29.343"	"28.576"	"27.152"	"26.68"	"26.919"	"27.035"	"26.881"	"26.634"	"26.671"
"1927"	"27.206"	"28.22"	"28.704"	"28.902"	"27.792"	"26.537"	"25.906"	"26.616"	"26.589"	"26.93"	"26.597"	"27.026"
"1928"	"27.428"	"27.908"	"28.494"	"29.145"	"29.038"	"27.349"	"26.574"	"26.394"	"27.136"	"26.792"	"26.649"	"26.611"
"1929"	"27.121"	"27.911"	"28.654"	"28.367"	"28.402"	"26.626"	"26.409"	"26.447"	"26.818"	"26.669"	"26.675"	"26.537"
"1930"	"27.026"	"28.182"	"28.796"	"28.982"	"27.796"	"26.876"	"26.86"	"26.538"	"26.737"	"26.467"	"26.793"	"27.026"
"1931"	"27.317"	"28.358"	"29.095"	"29.072"	"28.905"	"27.438"	"26.711"	"26.409"	"26.748"	"26.962"	"26.591"	"26.612"
"1932"	"26.91"	"27.299"	"28.553"	"28.641"	"27.78"	"27.057"	"26.394"	"26.474"	"26.785"	"26.292"	"26.341"	"26.277"
"1933"	"27.413"	"27.927"	"28.755"	"28.907"	"27.583"	"26.637"	"26.276"	"26.107"	"26.408"	"26.27"	"26.367"	"26.559"
"1934"	"27.041"	"27.233"	"27.991"	"28.829"	"28.524"	"26.94"	"26.51"	"26.722"	"27.045"	"26.727"	"26.193"	"26.331"
"1935"	"27.44"	"27.783"	"28.724"	"28.886"	"28.954"	"27.008"	"26.255"	"26.181"	"26.678"	"26.658"	"26.272"	"26.548"
"1936"	"27.274"	"28.125"	"28.876"	"29.14"	"28.397"	"26.674"	"26.572"	"26.446"	"27.061"	"26.86"	"26.681"	"26.886"
"1937"	"27.317"	"28.337"	"28.67"	"28.914"	"28.821"	"26.924"	"26.177"	"26.984"	"27.226"	"26.813"	"26.478"	"26.224"
"1938"	"27.737"	"28.024"	"28.759"	"28.663"	"28.727"	"26.771"	"26.22"	"26.638"	"26.935"	"26.618"	"26.444"	"26.9"
"1939"	"27.054"	"27.703"	"28.666"	"28.691"	"28.16"	"26.589"	"26.304"	"26.479"	"27.053"	"27.026"	"26.295"	"26.511"
"1940"	"26.735"	"27.904"	"29.032"	"28.982"	"28.524"	"27.3"	"26.557"	"26.347"	"27.564"	"27.332"	"26.793"	"26.712"
"1941"	"27.753"	"28.342"	"29.19"	"29.559"	"29.17"	"27.21"	"26.882"	"26.898"	"27.13"	"27.215"	"26.851"	"26.968"
"1942"	"27.557"	"28.454"	"29.067"	"29.068"	"28.706"	"27.082"	"26.352"	"26.493"	"26.93"	"26.865"	"26.484"	"26.527"
"1943"	"27.196"	"27.613"	"28.484"	"28.4"	"27.917"	"26.245"	"25.92"	"26.223"	"26.637"	"26.209"	"26.171"	"26.733"
"1944"	"27.269"	"28.023"	"28.345"	"28.738"	"28.419"	"26.992"	"26.685"	"27.003"	"27.205"	"27.183"	"26.5"	"26.299"
"1945"	"27.011"	"27.954"	"28.823"	"28.622"	"28.791"	"27.167"	"26.357"	"26.59"	"27.067"	"26.844"	"26.39"	"26.257"
"1946"	"26.475"	"27.84"	"28.449"	"28.765"	"28.621"	"27.126"	"26.573"	"26.491"	"26.977"	"26.945"	"26.521"	"26.499"
"1947"	"27.539"	"27.751"	"28.51"	"28.58"	"28.677"	"27.029"	"26.706"	"26.493"	"26.584"	"26.383"	"26.778"	"26.84"
"1948"	"27.7"	"28.109"	"28.963"	"28.998"	"28.545"	"26.872"	"26.442"	"26.298"	"27.044"	"26.944"	"26.905"	"26.506"
"1949"	"27.095"	"27.683"	"29.067"	"28.89"	"28.254"	"26.917"	"26.457"	"26.764"	"26.918"	"26.792"	"26.639"	"26.603"
"1950"	"27.069"	"27.892"	"29.064"	"28.706"	"28.927"	"26.779"	"26.29"	"26.511"	"26.632"	"26.361"	"26.409"	"26.825"
"1951"	"27.11"	"27.199"	"28.823"	"28.511"	"28.587"	"26.466"	"26.325"	"26.796"	"27.04"	"27.299"	"26.574"	"26.51"
"1952"	"27.365"	"28.176"	"28.807"	"29.072"	"28.794"	"26.982"	"26.526"	"26.362"	"27.027"	"26.589"	"26.548"	"26.866"
"1953"	"27.433"	"27.776"	"29.32"	"29.007"	"29.204"	"27.569"	"26.255"	"26.999"	"27.067"	"26.8"	"26.494"	"26.596"
"1954"	"27.428"	"28.204"	"28.533"	"29.036"	"28.756"	"27.108"	"26.212"	"26.294"	"26.896"	"26.278"	"26.39"	"26.744"
"1955"	"27.665"	"28.193"	"28.809"	"28.621"	"27.638"	"26.169"	"26.272"	"26.495"	"26.961"	"26.75"	"26.31"	"26.389"
"1956"	"27.015"	"27.882"	"28.972"	"28.935"	"27.764"	"26.309"	"25.902"	"26.441"	"26.489"	"26.426"	"26.853"	"26.862"
"1957"	"27.307"	"28.055"	"28.549"	"29.112"	"28.207"	"27.055"	"26.522"	"26.468"	"26.965"	"26.941"	"26.647"	"26.882"
"1958"	"27.742"	"28.156"	"29.016"	"29.11"	"27.938"	"27.179"	"26.75"	"26.268"	"27.131"	"26.528"	"26.841"	"27.29"
