
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"19.638"	"20.502"	"20.628"	"22.148"	"22.279"	"21.639"	"20.978"	"21.059"	"20.963"	"20.757"	"20.299"	"19.576"
"1902"	"18.575"	"19.676"	"21.36"	"22.311"	"22.842"	"22.149"	"20.922"	"21.582"	"21.097"	"20.6"	"20.09"	"19.834"
"1903"	"20.112"	"20.568"	"21.166"	"22.629"	"22.301"	"21.988"	"21.045"	"21.102"	"20.837"	"20.789"	"20.112"	"19.082"
"1904"	"18.492"	"18.864"	"20.309"	"21.988"	"22.28"	"20.852"	"20.748"	"20.779"	"20.893"	"20.986"	"20.345"	"19.245"
"1905"	"19.056"	"19.771"	"21.165"	"21.548"	"21.967"	"21.559"	"21.386"	"21.25"	"21.344"	"20.597"	"20.355"	"19.582"
"1906"	"19.506"	"20.463"	"21.386"	"22.816"	"22.322"	"21.544"	"20.809"	"20.773"	"21.303"	"20.619"	"19.899"	"19.388"
"1907"	"18.965"	"19.585"	"20.932"	"21.654"	"22.397"	"21.608"	"20.826"	"20.473"	"21.123"	"20.477"	"19.86"	"19.452"
"1908"	"19.034"	"19.197"	"20.796"	"22.014"	"22.184"	"21.037"	"20.276"	"20.965"	"20.827"	"20.592"	"19.624"	"19.076"
"1909"	"18.839"	"19.362"	"20.788"	"21.962"	"21.913"	"21.413"	"20.666"	"20.674"	"20.827"	"20.668"	"19.936"	"19.548"
"1910"	"19.118"	"19.598"	"20.755"	"21.72"	"22.322"	"21.257"	"20.583"	"20.626"	"20.618"	"20.355"	"20.159"	"19.267"
"1911"	"19.077"	"19.279"	"20.96"	"21.957"	"22.591"	"21.213"	"20.5"	"20.779"	"21.122"	"20.627"	"20.239"	"19.676"
"1912"	"18.534"	"20.132"	"21.34"	"22.391"	"22.301"	"21.246"	"21.013"	"20.922"	"21.028"	"20.784"	"20.069"	"19.182"
"1913"	"18.715"	"19.84"	"20.98"	"22.359"	"22.788"	"21.904"	"20.811"	"21.102"	"21.139"	"20.731"	"20.17"	"19.697"
"1914"	"19.179"	"19.786"	"21.305"	"22.551"	"22.441"	"21.927"	"21.35"	"21.124"	"21.37"	"20.609"	"20.579"	"19.655"
"1915"	"19.551"	"20.25"	"21.218"	"22.319"	"22.678"	"22.171"	"20.912"	"21.285"	"21.096"	"20.986"	"20.275"	"19.457"
"1916"	"18.95"	"19.729"	"21.235"	"22.599"	"22.572"	"21.162"	"20.979"	"21.15"	"20.8"	"20.334"	"20.112"	"18.9"
"1917"	"18.8"	"19.56"	"20.228"	"22.116"	"22.045"	"21.177"	"21.25"	"21.059"	"20.603"	"20.216"	"19.91"	"18.774"
"1918"	"18.461"	"18.627"	"20.48"	"22.019"	"21.586"	"21.202"	"21.008"	"21.05"	"20.96"	"20.767"	"20.509"	"19.314"
"1919"	"19.735"	"20.223"	"20.62"	"22.567"	"22.375"	"21.365"	"20.791"	"20.775"	"21.028"	"20.918"	"19.91"	"19.655"
"1920"	"19.097"	"20.091"	"21.447"	"21.818"	"22.422"	"21.272"	"20.868"	"20.732"	"20.985"	"20.757"	"19.787"	"19.156"
"1921"	"19.451"	"19.366"	"21.314"	"21.787"	"22.772"	"21.937"	"21.019"	"21.041"	"21.123"	"20.694"	"20.131"	"19.049"
"1922"	"19.061"	"19.517"	"20.759"	"22.075"	"21.897"	"21.576"	"20.614"	"20.801"	"20.741"	"20.461"	"19.754"	"18.952"
"1923"	"18.897"	"19.384"	"20.78"	"22.455"	"22.231"	"21.379"	"20.699"	"20.7"	"21.011"	"20.641"	"20.328"	"19.51"
"1924"	"19.077"	"20.069"	"21.037"	"22.206"	"22.494"	"21.397"	"20.689"	"21.102"	"21.054"	"20.645"	"20.179"	"19.245"
"1925"	"18.711"	"19.633"	"20.572"	"22.036"	"22.231"	"21.55"	"20.971"	"20.853"	"21.32"	"21.028"	"20"	"19.439"
"1926"	"19.236"	"19.878"	"21.363"	"22.35"	"22.437"	"21.731"	"21.235"	"21.434"	"21.207"	"20.805"	"20.287"	"19.708"
"1927"	"19.279"	"20.17"	"20.968"	"21.909"	"21.682"	"21.113"	"20.461"	"21.128"	"20.784"	"20.826"	"20.249"	"20.048"
"1928"	"19.501"	"19.859"	"20.759"	"22.153"	"22.911"	"21.927"	"21.129"	"20.906"	"21.33"	"20.715"	"20.303"	"19.649"
"1929"	"19.193"	"19.888"	"20.916"	"21.373"	"22.275"	"21.203"	"20.964"	"20.96"	"21.012"	"20.592"	"20.329"	"19.575"
"1930"	"19.097"	"20.159"	"21.059"	"21.962"	"21.686"	"21.454"	"21.417"	"21.05"	"20.909"	"20.365"	"20.472"	"20.048"
"1931"	"19.388"	"20.335"	"21.36"	"22.08"	"22.75"	"22.015"	"21.269"	"20.922"	"20.943"	"20.886"	"20.243"	"19.649"
