
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.88"	"5.26"	"5.48"	"5.24"	"4.81"	"4.25"	"4.22"	"4.37"	"4.49"	"4.35"	"4.21"	"4.37"
"1902"	"4.82"	"5.2"	"5.49"	"5.24"	"4.82"	"4.3"	"4.21"	"4.38"	"4.52"	"4.35"	"4.19"	"4.33"
"1903"	"4.84"	"5.26"	"5.49"	"5.27"	"4.81"	"4.27"	"4.23"	"4.37"	"4.48"	"4.36"	"4.21"	"4.33"
"1904"	"4.81"	"5.2"	"5.42"	"5.21"	"4.84"	"4.23"	"4.21"	"4.35"	"4.48"	"4.36"	"4.22"	"4.33"
"1905"	"4.82"	"5.22"	"5.51"	"5.23"	"4.79"	"4.23"	"4.23"	"4.36"	"4.53"	"4.35"	"4.21"	"4.33"
"1906"	"4.83"	"5.25"	"5.49"	"5.28"	"4.85"	"4.26"	"4.22"	"4.34"	"4.49"	"4.36"	"4.2"	"4.33"
"1907"	"4.83"	"5.21"	"5.48"	"5.21"	"4.81"	"4.26"	"4.23"	"4.33"	"4.48"	"4.37"	"4.19"	"4.33"
"1908"	"4.84"	"5.2"	"5.46"	"5.23"	"4.81"	"4.25"	"4.18"	"4.34"	"4.48"	"4.36"	"4.19"	"4.32"
"1909"	"4.81"	"5.2"	"5.47"	"5.25"	"4.81"	"4.25"	"4.21"	"4.35"	"4.47"	"4.35"	"4.2"	"4.33"
"1910"	"4.84"	"5.21"	"5.49"	"5.21"	"4.82"	"4.25"	"4.21"	"4.35"	"4.49"	"4.32"	"4.2"	"4.33"
"1911"	"4.84"	"5.2"	"5.47"	"5.23"	"4.84"	"4.26"	"4.2"	"4.33"	"4.5"	"4.35"	"4.2"	"4.37"
"1912"	"4.79"	"5.21"	"5.5"	"5.26"	"4.85"	"4.25"	"4.21"	"4.36"	"4.5"	"4.36"	"4.2"	"4.33"
"1913"	"4.8"	"5.21"	"5.48"	"5.24"	"4.84"	"4.29"	"4.21"	"4.36"	"4.49"	"4.36"	"4.2"	"4.36"
"1914"	"4.84"	"5.22"	"5.48"	"5.26"	"4.82"	"4.26"	"4.25"	"4.36"	"4.51"	"4.34"	"4.22"	"4.35"
"1915"	"4.84"	"5.25"	"5.49"	"5.24"	"4.81"	"4.3"	"4.22"	"4.36"	"4.5"	"4.36"	"4.22"	"4.35"
"1916"	"4.83"	"5.22"	"5.48"	"5.25"	"4.84"	"4.25"	"4.21"	"4.37"	"4.49"	"4.33"	"4.2"	"4.33"
"1917"	"4.81"	"5.22"	"5.44"	"5.23"	"4.8"	"4.23"	"4.21"	"4.37"	"4.49"	"4.32"	"4.21"	"4.33"
"1918"	"4.82"	"5.16"	"5.42"	"5.25"	"4.79"	"4.22"	"4.2"	"4.35"	"4.5"	"4.34"	"4.22"	"4.33"
"1919"	"4.84"	"5.27"	"5.46"	"5.25"	"4.85"	"4.25"	"4.21"	"4.35"	"4.49"	"4.36"	"4.2"	"4.33"
"1920"	"4.83"	"5.21"	"5.52"	"5.25"	"4.83"	"4.25"	"4.21"	"4.34"	"4.48"	"4.36"	"4.2"	"4.31"
"1921"	"4.84"	"5.2"	"5.49"	"5.22"	"4.82"	"4.28"	"4.23"	"4.35"	"4.5"	"4.36"	"4.21"	"4.34"
"1922"	"4.82"	"5.21"	"5.46"	"5.25"	"4.8"	"4.25"	"4.21"	"4.35"	"4.5"	"4.36"	"4.2"	"4.32"
"1923"	"4.82"	"5.2"	"5.46"	"5.25"	"4.82"	"4.25"	"4.21"	"4.34"	"4.49"	"4.34"	"4.21"	"4.35"
"1924"	"4.82"	"5.22"	"5.49"	"5.24"	"4.83"	"4.27"	"4.21"	"4.36"	"4.5"	"4.36"	"4.2"	"4.34"
"1925"	"4.81"	"5.21"	"5.46"	"5.24"	"4.81"	"4.25"	"4.21"	"4.35"	"4.49"	"4.37"	"4.2"	"4.33"
"1926"	"4.83"	"5.21"	"5.49"	"5.25"	"4.83"	"4.25"	"4.22"	"4.37"	"4.51"	"4.36"	"4.21"	"4.35"
