
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.666"	"26.386"	"27.11"	"28.743"	"28.75"	"28.053"	"27.344"	"27.214"	"27.336"	"26.63"	"25.241"	"23.995"
"1902"	"24.62"	"24.734"	"27.352"	"29.055"	"29.196"	"28.47"	"27.304"	"27.585"	"26.916"	"25.932"	"25.146"	"24.671"
"1903"	"25.042"	"26.184"	"27.715"	"29.267"	"29.034"	"28.305"	"27.322"	"26.943"	"26.862"	"26.514"	"24.857"	"23.638"
"1904"	"23.963"	"24.686"	"26.802"	"29.059"	"28.628"	"27.291"	"26.778"	"26.781"	"27.298"	"26.636"	"25.254"	"23.717"
"1905"	"24.277"	"25.962"	"27.969"	"28.409"	"28.952"	"28.231"	"28.165"	"27.385"	"27.45"	"26.49"	"25.377"	"24.285"
"1906"	"25.243"	"26.611"	"27.334"	"29.876"	"29.766"	"28.167"	"27.569"	"26.696"	"26.857"	"26.257"	"25.09"	"24.443"
"1907"	"24.375"	"25.56"	"27.464"	"28.381"	"29.082"	"27.928"	"27.31"	"26.471"	"27.354"	"26.42"	"25.251"	"24.441"
"1908"	"24.607"	"25.114"	"26.86"	"29.732"	"28.912"	"28.05"	"26.767"	"26.783"	"26.704"	"26.42"	"24.914"	"23.806"
"1909"	"24.496"	"25.561"	"27.602"	"28.899"	"28.504"	"27.774"	"26.646"	"26.525"	"26.363"	"26.374"	"25.64"	"24.881"
"1910"	"24.633"	"25.243"	"27.044"	"28.806"	"29.497"	"27.969"	"27.136"	"26.458"	"26.335"	"26.118"	"24.706"	"23.904"
"1911"	"24.43"	"24.752"	"27.162"	"28.731"	"28.725"	"27.299"	"26.866"	"26.807"	"27.306"	"26.056"	"25.216"	"24.319"
"1912"	"23.905"	"26.276"	"28.003"	"29.448"	"29.667"	"27.903"	"27.222"	"27.071"	"26.86"	"26.118"	"25.293"	"23.839"
"1913"	"23.803"	"25.79"	"27.764"	"29.548"	"29.474"	"28.376"	"26.86"	"26.961"	"27.221"	"26.173"	"24.799"	"24.485"
"1914"	"24.113"	"25.851"	"27.633"	"29.109"	"29.219"	"28.573"	"27.098"	"26.78"	"27.097"	"26.006"	"25.118"	"24.66"
"1915"	"24.705"	"25.858"	"27.141"	"28.877"	"29.189"	"28.133"	"27.277"	"27.688"	"27.183"	"26.832"	"25.687"	"24.282"
"1916"	"23.987"	"25.721"	"27.647"	"29.511"	"29.095"	"27.13"	"27.053"	"26.692"	"26.421"	"26.206"	"25.24"	"23.416"
"1917"	"23.579"	"24.721"	"26.528"	"28.674"	"28.421"	"27.106"	"27.486"	"27.008"	"26.602"	"25.782"	"25.274"	"23.789"
"1918"	"23.842"	"24.057"	"26.037"	"28.633"	"28.057"	"27.075"	"27.207"	"27.048"	"26.571"	"26.622"	"25.557"	"24.285"
"1919"	"25.37"	"26.449"	"27.188"	"29.434"	"29.156"	"27.67"	"27.074"	"26.713"	"26.822"	"26.345"	"25.2"	"24.42"
"1920"	"24.403"	"25.949"	"27.852"	"28.921"	"29.35"	"28.237"	"27.471"	"27.244"	"27.113"	"26.63"	"25.224"	"23.672"
"1921"	"24.784"	"25.506"	"27.787"	"28.83"	"29.751"	"28.468"	"27.238"	"27.182"	"26.724"	"26.273"	"24.91"	"23.85"
"1922"	"24.591"	"25.023"	"27.369"	"28.903"	"28.825"	"28.115"	"27.209"	"27.075"	"26.882"	"26.059"	"25.345"	"23.551"
"1923"	"23.714"	"25.18"	"26.865"	"28.967"	"28.93"	"28.26"	"26.904"	"26.872"	"26.898"	"26.29"	"25.552"	"24.218"
"1924"	"24.253"	"25.891"	"27.474"	"29.537"	"30.205"	"28.226"	"27.361"	"27.215"	"26.929"	"26.49"	"25.242"	"23.728"
"1925"	"24.173"	"25.257"	"27.197"	"29.616"	"28.699"	"28.154"	"27.165"	"26.885"	"27.151"	"26.361"	"24.909"	"23.808"
"1926"	"24.646"	"25.547"	"27.813"	"29.045"	"29.376"	"28.563"	"27.807"	"27.411"	"26.995"	"26.477"	"24.859"	"24.429"
"1927"	"24.793"	"25.945"	"27.99"	"29.045"	"28.767"	"27.733"	"27.186"	"27.257"	"26.908"	"26.317"	"25.11"	"24.491"
"1928"	"24.912"	"26.063"	"27.063"	"29.138"	"29.604"	"28.243"	"27.241"	"27.084"	"27.518"	"26.393"	"24.915"	"24.089"
"1929"	"24.873"	"25.731"	"27.175"	"27.974"	"28.76"	"27.634"	"27.373"	"27.285"	"27.153"	"26.291"	"24.996"	"24.296"
"1930"	"24.585"	"25.782"	"27.371"	"28.911"	"28.225"	"27.979"	"27.705"	"26.983"	"27.108"	"25.898"	"25.284"	"24.618"
"1931"	"24.716"	"25.859"	"27.706"	"29.452"	"29.854"	"28.43"	"27.607"	"27.482"	"27.03"	"26.719"	"25.22"	"24.057"
"1932"	"24.047"	"25.423"	"26.898"	"29.015"	"28.6"	"27.723"	"27.059"	"27.148"	"26.938"	"26.193"	"25.454"	"24.09"
"1933"	"24.469"	"25.616"	"27.039"	"28.678"	"28.296"	"27.389"	"27.207"	"26.844"	"26.741"	"25.804"	"25.414"	"24.18"
"1934"	"24.515"	"24.628"	"26.713"	"28.838"	"29.223"	"28.154"	"27.409"	"27.205"	"27.557"	"26.68"	"24.955"	"23.698"
"1935"	"24.545"	"25.526"	"27.24"	"29.068"	"29.724"	"28.365"	"27.042"	"26.817"	"26.826"	"26.392"	"24.807"	"24.391"
"1936"	"25.189"	"26.148"	"27.274"	"29.237"	"29.299"	"27.263"	"27.442"	"27.31"	"27.181"	"26.392"	"25.382"	"24.857"
"1937"	"24.703"	"26.229"	"27.38"	"28.446"	"29.261"	"28.018"	"27.027"	"27.431"	"27.328"	"26.19"	"25.192"	"24.315"
"1938"	"25.016"	"26.016"	"27.802"	"28.84"	"29.337"	"27.725"	"26.994"	"26.771"	"26.829"	"25.888"	"25.074"	"24.228"
"1939"	"24.103"	"24.885"	"26.912"	"28.308"	"28.545"	"27.759"	"26.731"	"26.768"	"26.84"	"26.55"	"24.762"	"24.15"
"1940"	"23.914"	"25.158"	"27.635"	"28.607"	"29.134"	"28.014"	"27.266"	"26.943"	"27.861"	"27.114"	"25.218"	"24.461"
"1941"	"24.95"	"25.76"	"27.754"	"29.369"	"29.622"	"27.902"	"27.602"	"27.412"	"27.04"	"26.568"	"25.419"	"24.551"
"1942"	"24.784"	"25.851"	"27.511"	"28.967"	"29.614"	"28.305"	"27.336"	"27.175"	"27.19"	"26.725"	"25.503"	"24.519"
"1943"	"24.707"	"25.228"	"27.444"	"28.237"	"28.075"	"27.465"	"27.012"	"27.188"	"26.686"	"25.361"	"25.286"	"24.148"
"1944"	"24.716"	"25.822"	"26.697"	"28.349"	"29.302"	"28.163"	"27.413"	"27.662"	"27.534"	"27.258"	"25.544"	"24.117"
"1945"	"24.679"	"26.057"	"27.327"	"28.302"	"28.901"	"28.24"	"27.643"	"27.175"	"27.089"	"26.714"	"24.861"	"24.092"
"1946"	"24.024"	"25.197"	"27.33"	"28.627"	"28.85"	"28.07"	"27.407"	"26.978"	"26.99"	"26.356"	"25.472"	"24.454"
"1947"	"25.014"	"25.479"	"27.141"	"28.397"	"29.638"	"28.231"	"27.316"	"27.393"	"26.689"	"25.892"	"25.209"	"24.356"
"1948"	"24.716"	"25.756"	"27.137"	"28.978"	"28.947"	"27.794"	"27.28"	"27.19"	"27.186"	"26.702"	"25.81"	"24.001"
"1949"	"24.125"	"25.349"	"27.727"	"29.207"	"28.797"	"27.938"	"27.179"	"27.289"	"26.711"	"26.663"	"24.979"	"23.789"
"1950"	"24.228"	"25.761"	"27.501"	"28.849"	"29.598"	"27.817"	"26.868"	"26.745"	"26.627"	"25.889"	"25.11"	"24.152"
