
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1902"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1903"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1904"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1905"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1906"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1907"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1908"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1909"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1910"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1911"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1912"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1913"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1914"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1915"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1916"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1917"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1918"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1919"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1920"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1921"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1922"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1923"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1924"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1925"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1926"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1927"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1928"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1929"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1930"	"32.834"	"29.152"	"30.441"	"43.077"	"53.286"	"72.362"	"77.894"	"71.505"	"64.526"	"63.493"	"55.44"	"43.257"
"1931"	"31.42"	"27.284"	"28.897"	"43.077"	"50.497"	"69.674"	"74.096"	"71.505"	"61.914"	"58.479"	"51.569"	"44.41"
"1932"	"29.308"	"32.058"	"31.899"	"48.544"	"59.195"	"77.252"	"82.421"	"72.647"	"66.935"	"72.832"	"65.317"	"43.257"
"1933"	"32.834"	"30.364"	"30.441"	"43.077"	"50.109"	"71.841"	"76.316"	"70.289"	"64.526"	"63.493"	"54.762"	"42.056"
"1934"	"34.805"	"28.314"	"30.441"	"45.293"	"53.286"	"72.425"	"75.054"	"68.946"	"61.954"	"62.791"	"52.096"	"40.196"
"1935"	"34.849"	"31.087"	"31.899"	"44.954"	"54.025"	"72.874"	"76.902"	"70.19"	"64.526"	"62.882"	"53.222"	"43.257"
"1936"	"32.834"	"29.808"	"29.57"	"44.992"	"55.826"	"71.523"	"76.098"	"70.145"	"63.414"	"63.493"	"56.269"	"43.257"
"1937"	"32.834"	"30.19"	"31.6"	"43.077"	"48.031"	"73.852"	"80.041"	"67.443"	"60.702"	"63.493"	"54.595"	"42.056"
"1938"	"31.041"	"30.391"	"30.441"	"41.777"	"52.012"	"72.362"	"79.104"	"70.057"	"64.526"	"60.995"	"51.299"	"43.257"
"1939"	"32.834"	"29.46"	"30.441"	"44.376"	"53.286"	"71.252"	"76.902"	"70.289"	"63.153"	"62.174"	"56.841"	"40.883"
"1940"	"30.246"	"30.08"	"30.546"	"43.077"	"53.286"	"72.892"	"82.438"	"72.983"	"64.526"	"62.465"	"60.165"	"44.611"
"1941"	"33.947"	"31.748"	"33.803"	"47.501"	"56.612"	"74.971"	"77.894"	"71.505"	"66.673"	"65.571"	"56.842"	"42.445"
"1942"	"31.42"	"29.152"	"30.467"	"43.077"	"53.265"	"72.023"	"78.674"	"70.345"	"63.851"	"63.493"	"52.225"	"46.813"
"1943"	"33.921"	"28.075"	"30.441"	"44.305"	"54.296"	"75.831"	"79.106"	"68.946"	"65.265"	"62.882"	"56.841"	"42.056"
"1944"	"32.834"	"29.908"	"30.441"	"44.005"	"51.695"	"70.945"	"77.723"	"67.264"	"61.954"	"59.148"	"55.564"	"42.057"
"1945"	"31.42"	"30.181"	"30.345"	"42.446"	"53.129"	"67.504"	"77.548"	"69.31"	"62.183"	"60.636"	"56.841"	"42.455"
"1946"	"30.901"	"29.152"	"30.441"	"43.077"	"53.55"	"75.051"	"77.894"	"74.352"	"65.737"	"64.791"	"61.678"	"46.453"
"1947"	"36.004"	"31.999"	"33.319"	"46.273"	"52.043"	"69.803"	"80.305"	"71.188"	"65.329"	"63.949"	"50.992"	"43.257"
"1948"	"34.044"	"29.152"	"30.441"	"42.111"	"50.521"	"72.353"	"77.066"	"68.958"	"64.526"	"59.416"	"55.44"	"42.056"
"1949"	"30.246"	"28.04"	"29.731"	"42.986"	"53.285"	"74.991"	"80.223"	"71.505"	"64.526"	"63.949"	"52.491"	"38.938"
"1950"	"31.42"	"29.153"	"30.467"	"44.376"	"53.286"	"72.964"	"80.258"	"69.407"	"65.854"	"60.993"	"55.211"	"41.352"
"1951"	"33.921"	"30.162"	"30.441"	"43.037"	"51.617"	"70.482"	"76.072"	"71.505"	"61.985"	"60.993"	"56.841"	"39.608"
"1952"	"26.617"	"28.12"	"29.268"	"42.488"	"51.422"	"65.971"	"74.946"	"70.145"	"60.947"	"62.854"	"50.714"	"43.257"
"1953"	"33.874"	"27.787"	"30.196"	"41.777"	"50.674"	"69.571"	"76.505"	"68.98"	"61.436"	"62.202"	"52.382"	"39.658"
"1954"	"33.256"	"26.844"	"29.439"	"42.804"	"51.463"	"72.441"	"76.976"	"70.155"	"63.314"	"62.764"	"50.857"	"43.257"
"1955"	"34.841"	"30.651"	"31.411"	"45.959"	"55.469"	"83.424"	"79.483"	"72.374"	"65.637"	"64.859"	"56.316"	"41.571"
"1956"	"33.541"	"29.889"	"29.597"	"44.177"	"54.948"	"81.054"	"80.621"	"72.418"	"66.883"	"65.829"	"56.149"	"42.056"
"1957"	"33.342"	"30.401"	"30.289"	"42.345"	"56.088"	"78.765"	"83.397"	"73.943"	"64.262"	"67.291"	"56.983"	"45.669"
"1958"	"33.04"	"31.702"	"31.899"	"42.643"	"55.857"	"69.86"	"80.908"	"73.943"	"65.164"	"66.935"	"57.349"	"42.776"
"1959"	"32.958"	"28.858"	"27.787"	"42.197"	"50.999"	"77.072"	"82.555"	"71.026"	"65.557"	"66.413"	"55.414"	"42.299"
"1960"	"34.018"	"29.642"	"29.918"	"41.025"	"55.818"	"70.303"	"79.573"	"69.982"	"66.418"	"61.943"	"64.161"	"42.215"
"1961"	"37.848"	"33.15"	"39.353"	"42.848"	"56.477"	"77.935"	"82.463"	"73.169"	"64.132"	"61.619"	"55.22"	"43.51"
"1962"	"34.266"	"32.735"	"30.441"	"44.557"	"54.644"	"69.15"	"80.207"	"73.943"	"65.737"	"69.148"	"51.739"	"42.613"
"1963"	"37.705"	"27.526"	"31.181"	"42.446"	"51.515"	"73.305"	"76.85"	"71.505"	"62.749"	"64.022"	"56.804"	"43.257"
"1964"	"29.028"	"27.402"	"29.61"	"42.901"	"51.695"	"68.897"	"77.976"	"71.505"	"65.291"	"60.855"	"55.126"	"40.006"
"1965"	"31.38"	"29.919"	"29.971"	"43.077"	"53.286"	"66.834"	"72.062"	"70.814"	"63.153"	"61.088"	"54.91"	"45.83"
"1966"	"35.205"	"29.379"	"29.783"	"42.854"	"51.441"	"69.855"	"79.054"	"70.145"	"63.904"	"61.134"	"57.167"	"43.985"
"1967"	"31.42"	"22.841"	"28.066"	"38.46"	"53.92"	"73.424"	"76.531"	"70.747"	"64.526"	"63.976"	"49.703"	"45.402"
"1968"	"33.787"	"29.326"	"31.57"	"43.063"	"51.695"	"71.84"	"81.906"	"69.636"	"64.85"	"61.308"	"56.718"	"43.115"
"1969"	"31.73"	"30.09"	"29.348"	"41.916"	"52.08"	"69.947"	"76.533"	"70.933"	"63.152"	"62.486"	"53.706"	"46.677"
"1970"	"34.018"	"30.08"	"30.285"	"44.336"	"55.09"	"74.596"	"76.505"	"72.745"	"64.766"	"64.621"	"58.819"	"37.749"
"1971"	"35.512"	"29.008"	"30.296"	"41.214"	"52.119"	"76.8"	"76.358"	"70.188"	"65.048"	"62.736"	"49.196"	"43.338"
"1972"	"30.076"	"27.145"	"26.106"	"44.033"	"57.158"	"68.753"	"76.505"	"67.576"	"63.152"	"65.735"	"56.102"	"45.234"
"1973"	"29.62"	"28.04"	"29.406"	"44.105"	"51.419"	"74.576"	"79.014"	"74.528"	"64.796"	"65.202"	"52.975"	"43.586"
"1974"	"31.287"	"23.677"	"28.917"	"42.733"	"52.709"	"68.949"	"77.34"	"71.505"	"65.696"	"59.439"	"48.644"	"37.52"
"1975"	"31.138"	"30.668"	"31.169"	"43.273"	"53.465"	"75.747"	"78.621"	"73.943"	"66.188"	"67.083"	"56.982"	"40.856"
