
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.79"	"4.39"	"4.92"	"5.14"	"5.09"	"4.75"	"4.63"	"4.61"	"4.56"	"4.07"	"3.54"	"3.29"
"1902"	"3.71"	"4.24"	"4.96"	"5.19"	"5.15"	"4.8"	"4.63"	"4.65"	"4.51"	"3.99"	"3.55"	"3.34"
"1903"	"3.74"	"4.38"	"5"	"5.21"	"5.14"	"4.8"	"4.63"	"4.59"	"4.52"	"4.07"	"3.51"	"3.26"
"1904"	"3.65"	"4.24"	"4.89"	"5.18"	"5.08"	"4.69"	"4.58"	"4.58"	"4.56"	"4.07"	"3.54"	"3.27"
"1905"	"3.68"	"4.36"	"5.02"	"5.1"	"5.13"	"4.76"	"4.7"	"4.64"	"4.57"	"4.07"	"3.54"	"3.32"
"1906"	"3.77"	"4.42"	"4.96"	"5.27"	"5.21"	"4.76"	"4.66"	"4.57"	"4.52"	"4.04"	"3.52"	"3.32"
"1907"	"3.68"	"4.31"	"4.98"	"5.1"	"5.15"	"4.73"	"4.63"	"4.54"	"4.56"	"4.05"	"3.54"	"3.32"
"1908"	"3.71"	"4.29"	"4.91"	"5.26"	"5.12"	"4.75"	"4.57"	"4.57"	"4.5"	"4.05"	"3.51"	"3.28"
"1909"	"3.7"	"4.32"	"4.97"	"5.16"	"5.07"	"4.73"	"4.56"	"4.54"	"4.47"	"4.04"	"3.58"	"3.36"
"1910"	"3.71"	"4.29"	"4.94"	"5.16"	"5.19"	"4.74"	"4.62"	"4.53"	"4.47"	"4.01"	"3.5"	"3.29"
"1911"	"3.69"	"4.24"	"4.94"	"5.14"	"5.09"	"4.67"	"4.58"	"4.58"	"4.58"	"4"	"3.55"	"3.32"
"1912"	"3.65"	"4.39"	"5.02"	"5.22"	"5.2"	"4.73"	"4.63"	"4.59"	"4.5"	"4.01"	"3.54"	"3.28"
"1913"	"3.63"	"4.35"	"5"	"5.23"	"5.19"	"4.8"	"4.57"	"4.59"	"4.55"	"4.03"	"3.51"	"3.34"
"1914"	"3.66"	"4.35"	"4.97"	"5.19"	"5.15"	"4.8"	"4.6"	"4.57"	"4.54"	"4"	"3.54"	"3.34"
"1915"	"3.71"	"4.36"	"4.93"	"5.16"	"5.15"	"4.76"	"4.63"	"4.66"	"4.54"	"4.1"	"3.57"	"3.32"
"1916"	"3.66"	"4.33"	"4.98"	"5.22"	"5.15"	"4.66"	"4.61"	"4.57"	"4.48"	"4.04"	"3.54"	"3.24"
"1917"	"3.62"	"4.24"	"4.87"	"5.14"	"5.07"	"4.66"	"4.66"	"4.6"	"4.49"	"4"	"3.54"	"3.28"
"1918"	"3.63"	"4.18"	"4.81"	"5.14"	"5.03"	"4.65"	"4.62"	"4.59"	"4.47"	"4.06"	"3.57"	"3.31"
"1919"	"3.78"	"4.41"	"4.94"	"5.22"	"5.15"	"4.71"	"4.61"	"4.57"	"4.51"	"4.04"	"3.53"	"3.32"
"1920"	"3.69"	"4.36"	"5.02"	"5.16"	"5.17"	"4.78"	"4.65"	"4.62"	"4.53"	"4.07"	"3.54"	"3.27"
"1921"	"3.73"	"4.31"	"5.02"	"5.15"	"5.21"	"4.8"	"4.62"	"4.6"	"4.5"	"4.04"	"3.51"	"3.29"
"1922"	"3.7"	"4.28"	"4.97"	"5.16"	"5.1"	"4.75"	"4.62"	"4.59"	"4.51"	"4"	"3.55"	"3.27"
"1923"	"3.62"	"4.29"	"4.92"	"5.19"	"5.13"	"4.77"	"4.58"	"4.59"	"4.51"	"4.04"	"3.57"	"3.31"
"1924"	"3.67"	"4.36"	"4.98"	"5.23"	"5.27"	"4.77"	"4.64"	"4.61"	"4.52"	"4.07"	"3.54"	"3.27"
"1925"	"3.66"	"4.29"	"4.95"	"5.24"	"5.09"	"4.75"	"4.61"	"4.59"	"4.54"	"4.06"	"3.51"	"3.28"
