
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"13.258"	"29.223"	"12.493"	"64.703"	"85.415"	"49.623"	"48.355"	"94.26"	"198.579"	"115.628"	"149.304"	"40.773"
"1902"	"37.706"	"18.858"	"27.776"	"38.229"	"108.395"	"75.31"	"44.419"	"115.108"	"113.713"	"236.728"	"109.186"	"129.002"
"1903"	"5.787"	"2.98"	"0.155"	"16.612"	"174.251"	"71.955"	"45.339"	"123.381"	"271.111"	"127.331"	"188.069"	"139.947"
"1904"	"18.948"	"0.048"	"0.155"	"26.645"	"134.532"	"29.944"	"83.849"	"37.011"	"80.093"	"102.703"	"17.483"	"27.104"
"1905"	"0.535"	"3.241"	"6.878"	"85.148"	"72.807"	"40.353"	"33.287"	"96.622"	"80.053"	"157.446"	"74.962"	"0.991"
"1906"	"31.926"	"22.953"	"19.899"	"3.851"	"59.094"	"49.192"	"34.435"	"164.128"	"26.952"	"213"	"126.448"	"73.148"
"1907"	"6.686"	"5.034"	"4.689"	"124.649"	"71.67"	"30.275"	"74.639"	"47.847"	"123.715"	"139.938"	"206.69"	"34.159"
"1908"	"1.67"	"73.828"	"24.492"	"60.41"	"56.095"	"60.558"	"62.33"	"48.643"	"175.097"	"185.973"	"17.767"	"6.976"
"1909"	"35.157"	"30.551"	"0.8"	"68.199"	"130.312"	"19.178"	"26.833"	"138.617"	"109.427"	"183.745"	"36.225"	"5.359"
"1910"	"7.17"	"73.778"	"0.155"	"23.798"	"51.598"	"28.031"	"167.297"	"150.543"	"46.642"	"219.461"	"125.129"	"0.783"
"1911"	"0.266"	"12.779"	"21.842"	"57.178"	"74.505"	"54.932"	"41.791"	"25.625"	"137.307"	"124.939"	"116.622"	"74.558"
"1912"	"1.102"	"0.228"	"1.789"	"14.451"	"76.085"	"86.471"	"19.407"	"64.082"	"146.247"	"199.226"	"167.062"	"15.714"
"1913"	"0.257"	"0.057"	"0.172"	"39.999"	"61.972"	"21.742"	"62.315"	"54.603"	"115.549"	"246.263"	"137.102"	"58.431"
"1914"	"1.735"	"0.2"	"0.544"	"37.597"	"34.786"	"48.62"	"33.396"	"107.294"	"119.962"	"210.43"	"80.555"	"73.071"
"1915"	"5.598"	"22.07"	"24.235"	"95.27"	"78.214"	"38.823"	"115.536"	"117.905"	"147.093"	"153.079"	"204.795"	"38.084"
"1916"	"0"	"0.416"	"0.245"	"16.094"	"53.778"	"13.437"	"204.582"	"109.702"	"129.67"	"236.666"	"104.201"	"23.521"
"1917"	"4.447"	"30.273"	"50.947"	"5.828"	"113.596"	"67.055"	"36.223"	"194.422"	"138.018"	"103.289"	"153.37"	"24.471"
"1918"	"25.042"	"12.87"	"9.313"	"12.921"	"54.015"	"47.16"	"53.288"	"74.593"	"37.712"	"36.648"	"236.227"	"48.521"
"1919"	"7.869"	"0.102"	"4.805"	"24.766"	"88.082"	"52.205"	"55.285"	"70.744"	"204.491"	"112.087"	"211.873"	"111.785"
"1920"	"63.886"	"0.038"	"1.423"	"80.229"	"58.149"	"32.474"	"27.711"	"59.786"	"217.334"	"218.871"	"328.903"	"2.154"
"1921"	"85.523"	"0.018"	"0.155"	"112.266"	"58.419"	"53.997"	"145.054"	"133.17"	"95.335"	"188.331"	"86.473"	"36.735"
"1922"	"10.293"	"29.433"	"0.155"	"34.693"	"165.174"	"45.657"	"34.897"	"106.924"	"66.345"	"221.212"	"204.745"	"48.751"
"1923"	"45.196"	"11.632"	"22.349"	"41.491"	"38.203"	"29.212"	"16.169"	"43.928"	"134.077"	"182.878"	"5.5"	"82.508"
"1924"	"14.675"	"0.018"	"33.329"	"39.575"	"94.572"	"24.245"	"89.794"	"89.784"	"132.331"	"74.273"	"118.763"	"10.06"
"1925"	"6.657"	"2.749"	"21.886"	"46.598"	"140.312"	"80.594"	"26.18"	"122.626"	"62.456"	"115.093"	"167.269"	"112.268"
"1926"	"40.882"	"2.89"	"20.991"	"49.9"	"36.374"	"48.116"	"63.084"	"65.481"	"131.679"	"97.706"	"80.54"	"11.899"
"1927"	"7.903"	"14.431"	"8.051"	"96.828"	"112.276"	"101.43"	"75.252"	"70.856"	"105.912"	"70.035"	"78.156"	"19.324"
"1928"	"16.327"	"62.573"	"19.169"	"84.93"	"83.342"	"23.252"	"70.822"	"62.035"	"36.635"	"151.051"	"107.96"	"63.442"
"1929"	"4.776"	"9.403"	"2.661"	"124.313"	"39.767"	"57.751"	"39.728"	"43.118"	"125.548"	"120.816"	"122.937"	"50.926"
"1930"	"18.414"	"25.257"	"17.193"	"16.73"	"218.238"	"38.465"	"35.113"	"56.804"	"59.002"	"346.097"	"129.455"	"33.468"
"1931"	"10.786"	"0.025"	"0.155"	"113.319"	"66.891"	"55.395"	"83.631"	"85.28"	"127.578"	"86.764"	"181.087"	"245.812"
"1932"	"0.352"	"29.04"	"20.269"	"86.49"	"116.77"	"55.541"	"24.653"	"125.238"	"96.091"	"225.588"	"245.596"	"78.655"
