
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"21.008"	"21.763"	"21.819"	"22.86"	"22.436"	"21.553"	"21.029"	"21.194"	"21.186"	"21.109"	"20.776"	"20.537"
"1902"	"20.095"	"21.147"	"22.478"	"22.994"	"22.984"	"21.999"	"20.897"	"21.598"	"21.196"	"20.991"	"20.779"	"20.83"
"1903"	"21.421"	"21.812"	"22.318"	"23.19"	"22.419"	"21.813"	"20.957"	"21.155"	"20.931"	"21.072"	"20.607"	"20.057"
"1904"	"20.013"	"20.418"	"21.54"	"22.581"	"22.384"	"20.719"	"20.666"	"20.947"	"21.023"	"21.296"	"20.813"	"20.334"
"1905"	"20.554"	"21.144"	"22.202"	"22.272"	"22.187"	"21.396"	"21.244"	"21.226"	"21.441"	"20.963"	"20.948"	"20.49"
"1906"	"20.866"	"21.637"	"22.412"	"23.463"	"22.485"	"21.422"	"20.685"	"20.842"	"21.356"	"21.022"	"20.53"	"20.309"
"1907"	"20.385"	"21.004"	"22.081"	"22.284"	"22.535"	"21.446"	"20.782"	"20.5"	"21.196"	"20.915"	"20.48"	"20.349"
"1908"	"20.504"	"20.731"	"21.915"	"22.591"	"22.285"	"20.992"	"20.273"	"20.918"	"20.989"	"20.973"	"20.242"	"20.159"
"1909"	"20.243"	"20.797"	"21.896"	"22.604"	"22.132"	"21.321"	"20.718"	"20.773"	"20.966"	"21.072"	"20.46"	"20.422"
"1910"	"20.568"	"21.035"	"21.934"	"22.447"	"22.445"	"21.127"	"20.607"	"20.699"	"20.8"	"20.734"	"20.739"	"20.245"
"1911"	"20.554"	"20.695"	"22.117"	"22.708"	"22.783"	"21.203"	"20.569"	"20.96"	"21.356"	"21.058"	"20.89"	"20.615"
"1912"	"20.06"	"21.53"	"22.418"	"23.023"	"22.485"	"21.149"	"20.978"	"20.924"	"21.275"	"21.082"	"20.624"	"20.198"
"1913"	"20.264"	"21.247"	"22.081"	"22.954"	"22.911"	"21.669"	"20.817"	"21.118"	"21.316"	"21.063"	"20.83"	"20.711"
