
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1902"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1903"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1904"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1905"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1906"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1907"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1908"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1909"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1910"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1911"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1912"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1913"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1914"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1915"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
"1916"	"30.414"	"28.627"	"30.174"	"41.808"	"49.642"	"60.297"	"61.539"	"56.996"	"53.063"	"51.421"	"47.202"	"39.026"
