
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"24.6"	"25.385"	"25.288"	"26.007"	"25.236"	"24.011"	"23.471"	"23.651"	"23.787"	"23.848"	"23.663"	"23.729"
"1902"	"23.687"	"24.768"	"25.947"	"26.114"	"25.782"	"24.457"	"23.34"	"24.055"	"23.799"	"23.731"	"23.623"	"24.021"
"1903"	"25.014"	"25.433"	"25.786"	"26.336"	"25.22"	"24.271"	"23.399"	"23.611"	"23.534"	"23.811"	"23.494"	"23.249"
"1904"	"23.606"	"24.04"	"25.008"	"25.728"	"25.185"	"23.178"	"23.11"	"23.404"	"23.626"	"24.035"	"23.7"	"23.526"
"1905"	"24.147"	"24.765"	"25.647"	"25.419"	"24.988"	"23.838"	"23.686"	"23.682"	"24.043"	"23.702"	"23.834"	"23.682"
"1906"	"24.458"	"25.259"	"25.88"	"26.61"	"25.285"	"23.88"	"23.127"	"23.297"	"23.959"	"23.761"	"23.417"	"23.5"
"1907"	"23.976"	"24.626"	"25.55"	"25.431"	"25.335"	"23.887"	"23.224"	"22.957"	"23.799"	"23.655"	"23.367"	"23.54"
"1908"	"24.097"	"24.352"	"25.383"	"25.739"	"25.086"	"23.433"	"22.714"	"23.373"	"23.591"	"23.712"	"23.129"	"23.351"
"1909"	"23.836"	"24.418"	"25.364"	"25.751"	"24.932"	"23.78"	"23.16"	"23.23"	"23.568"	"23.811"	"23.33"	"23.613"
"1910"	"24.161"	"24.657"	"25.402"	"25.594"	"25.246"	"23.586"	"23.05"	"23.157"	"23.401"	"23.475"	"23.6"	"23.436"
"1911"	"24.147"	"24.317"	"25.562"	"25.855"	"25.582"	"23.644"	"23.012"	"23.416"	"23.957"	"23.797"	"23.777"	"23.807"
"1912"	"23.653"	"25.152"	"25.887"	"26.169"	"25.285"	"23.607"	"23.419"	"23.38"	"23.878"	"23.821"	"23.511"	"23.389"
"1913"	"23.856"	"24.869"	"25.55"	"26.074"	"25.71"	"24.128"	"23.259"	"23.574"	"23.918"	"23.802"	"23.717"	"23.903"
"1914"	"24.223"	"24.812"	"25.829"	"26.338"	"25.372"	"24.171"	"23.664"	"23.574"	"24.145"	"23.871"	"24.086"	"23.807"
"1915"	"24.573"	"25.179"	"25.768"	"26.089"	"25.602"	"24.557"	"23.314"	"23.741"	"23.892"	"24.051"	"23.674"	"23.659"
"1916"	"24.069"	"24.757"	"25.825"	"26.321"	"25.512"	"23.522"	"23.434"	"23.67"	"23.591"	"23.475"	"23.511"	"23.17"
"1917"	"23.97"	"24.692"	"24.955"	"25.923"	"25.061"	"23.593"	"23.698"	"23.558"	"23.421"	"23.344"	"23.28"	"23.082"
"1918"	"23.597"	"23.806"	"25.155"	"25.862"	"24.439"	"23.702"	"23.576"	"23.597"	"23.841"	"24.015"	"24"	"23.557"
"1919"	"24.685"	"25.149"	"25.301"	"26.362"	"25.285"	"23.736"	"23.229"	"23.352"	"23.815"	"24.037"	"23.353"	"23.807"
"1920"	"24.111"	"25.049"	"25.991"	"25.597"	"25.386"	"23.55"	"23.294"	"23.243"	"23.718"	"23.825"	"23.227"	"23.429"
"1921"	"24.535"	"24.418"	"25.88"	"25.542"	"25.62"	"24.136"	"23.422"	"23.48"	"23.871"	"23.811"	"23.614"	"23.283"
"1922"	"24.076"	"24.612"	"25.441"	"25.842"	"24.773"	"23.826"	"22.963"	"23.319"	"23.55"	"23.624"	"23.174"	"23.153"
"1923"	"23.985"	"24.395"	"25.313"	"26.199"	"25.163"	"23.701"	"23.066"	"23.15"	"23.718"	"23.768"	"23.768"	"23.747"
"1924"	"24.124"	"25.022"	"25.604"	"25.94"	"25.361"	"23.665"	"23.012"	"23.524"	"23.838"	"23.745"	"23.575"	"23.436"
"1925"	"23.879"	"24.669"	"25.14"	"25.782"	"25.013"	"23.826"	"23.372"	"23.382"	"24.078"	"24.082"	"23.497"	"23.618"
"1926"	"24.284"	"24.87"	"25.914"	"26.112"	"25.394"	"24.059"	"23.677"	"23.948"	"23.998"	"23.897"	"23.82"	"23.879"
"1927"	"24.354"	"25.183"	"25.554"	"25.822"	"24.675"	"23.473"	"22.898"	"23.646"	"23.621"	"23.901"	"23.69"	"24.177"
"1928"	"24.529"	"24.856"	"25.425"	"25.947"	"25.832"	"24.244"	"23.662"	"23.395"	"24.047"	"23.778"	"23.834"	"23.86"
"1929"	"24.187"	"24.862"	"25.536"	"25.255"	"25.286"	"23.536"	"23.393"	"23.547"	"23.824"	"23.719"	"23.85"	"23.827"
"1930"	"24.177"	"25.063"	"25.604"	"25.807"	"24.692"	"23.817"	"23.778"	"23.604"	"23.762"	"23.647"	"23.921"	"24.138"
"1931"	"24.51"	"25.247"	"25.937"	"25.832"	"25.709"	"24.274"	"23.607"	"23.363"	"23.662"	"23.949"	"23.777"	"23.926"
"1932"	"24.03"	"24.265"	"25.391"	"25.478"	"24.628"	"24.076"	"23.405"	"23.574"	"23.723"	"23.367"	"23.408"	"23.517"
"1933"	"24.619"	"24.932"	"25.623"	"25.712"	"24.406"	"23.582"	"23.241"	"23.121"	"23.348"	"23.344"	"23.503"	"23.799"
"1934"	"24.158"	"24.32"	"24.955"	"25.658"	"25.392"	"23.785"	"23.492"	"23.724"	"23.951"	"23.737"	"23.349"	"23.679"
"1935"	"24.559"	"24.763"	"25.605"	"25.652"	"25.775"	"23.956"	"23.266"	"23.171"	"23.589"	"23.737"	"23.471"	"23.78"
"1936"	"24.351"	"25.048"	"25.736"	"25.975"	"25.192"	"23.673"	"23.394"	"23.365"	"24.021"	"23.937"	"23.817"	"24.123"
"1937"	"24.493"	"25.286"	"25.609"	"25.737"	"25.665"	"23.849"	"23.085"	"23.953"	"24.183"	"23.844"	"23.637"	"23.485"
"1938"	"24.751"	"24.975"	"25.623"	"25.478"	"25.496"	"23.649"	"23.165"	"23.573"	"23.778"	"23.653"	"23.523"	"24.085"
"1939"	"24.173"	"24.807"	"25.528"	"25.498"	"25.12"	"23.529"	"23.309"	"23.45"	"23.97"	"24.007"	"23.394"	"23.806"
"1940"	"23.883"	"24.9"	"25.781"	"25.791"	"25.335"	"24.145"	"23.453"	"23.277"	"24.327"	"24.169"	"23.881"	"23.893"
"1941"	"24.855"	"25.298"	"26.037"	"26.296"	"25.871"	"24.064"	"23.82"	"23.811"	"23.975"	"24.211"	"24.047"	"24.026"
"1942"	"24.534"	"25.339"	"25.911"	"25.842"	"25.496"	"23.91"	"23.276"	"23.408"	"23.822"	"23.827"	"23.607"	"23.726"
"1943"	"24.237"	"24.644"	"25.383"	"25.257"	"24.84"	"23.15"	"22.873"	"23.201"	"23.476"	"23.276"	"23.289"	"23.936"
"1944"	"24.351"	"24.957"	"25.277"	"25.6"	"25.224"	"23.873"	"23.578"	"23.91"	"24.022"	"24.055"	"23.591"	"23.517"
"1945"	"24.124"	"24.943"	"25.726"	"25.514"	"25.73"	"24.104"	"23.276"	"23.558"	"23.951"	"23.827"	"23.57"	"23.486"
"1946"	"23.578"	"24.832"	"25.299"	"25.58"	"25.506"	"23.986"	"23.506"	"23.354"	"23.848"	"23.972"	"23.614"	"23.641"
"1947"	"24.586"	"24.739"	"25.455"	"25.345"	"25.516"	"23.91"	"23.644"	"23.352"	"23.442"	"23.475"	"23.916"	"24.063"
"1948"	"24.805"	"25.066"	"25.783"	"25.798"	"25.346"	"23.771"	"23.333"	"23.257"	"23.862"	"23.936"	"23.977"	"23.839"
"1949"	"24.22"	"24.708"	"25.894"	"25.692"	"25.072"	"23.774"	"23.337"	"23.682"	"23.756"	"23.818"	"23.786"	"23.825"
"1950"	"24.203"	"24.815"	"25.829"	"25.582"	"25.686"	"23.695"	"23.169"	"23.455"	"23.486"	"23.448"	"23.534"	"23.923"
"1951"	"24.31"	"24.41"	"25.653"	"25.391"	"25.436"	"23.334"	"23.293"	"23.79"	"23.982"	"24.273"	"23.723"	"23.733"
"1952"	"24.514"	"25.157"	"25.696"	"25.825"	"25.536"	"23.838"	"23.5"	"23.354"	"23.947"	"23.552"	"23.598"	"23.941"
"1953"	"24.406"	"24.626"	"26.026"	"25.669"	"25.945"	"24.439"	"23.144"	"23.887"	"23.928"	"23.829"	"23.684"	"23.83"
"1954"	"24.569"	"25.129"	"25.383"	"25.891"	"25.554"	"24.012"	"23.18"	"23.317"	"23.796"	"23.403"	"23.593"	"23.987"
"1955"	"24.784"	"25.216"	"25.708"	"25.487"	"24.492"	"23.134"	"23.259"	"23.574"	"23.876"	"23.741"	"23.379"	"23.686"
"1956"	"24.151"	"24.954"	"25.897"	"25.708"	"24.61"	"23.24"	"22.981"	"23.458"	"23.515"	"23.517"	"24"	"24.136"
"1957"	"24.547"	"25.109"	"25.569"	"25.971"	"25.072"	"24.012"	"23.567"	"23.574"	"23.988"	"24.037"	"23.847"	"24.229"
"1958"	"24.796"	"25.169"	"25.875"	"25.962"	"24.856"	"24.097"	"23.766"	"23.333"	"24.114"	"23.646"	"23.947"	"24.398"
"1959"	"24.956"	"25.35"	"25.958"	"25.896"	"25.421"	"23.725"	"23.378"	"23.762"	"23.975"	"23.764"	"23.91"	"23.964"
"1960"	"24.776"	"25.19"	"25.56"	"25.455"	"24.728"	"23.91"	"23.336"	"23.558"	"23.459"	"23.758"	"23.238"	"24.215"
"1961"	"24.699"	"24.843"	"25.864"	"25.835"	"25.005"	"23.41"	"23.444"	"23.458"	"23.669"	"23.987"	"24.379"	"24.183"
"1962"	"24.481"	"25.07"	"25.473"	"25.646"	"24.685"	"24.207"	"23.296"	"23.573"	"23.872"	"23.528"	"23.939"	"24.203"
"1963"	"24.501"	"24.765"	"25.333"	"25.685"	"25.45"	"24.251"	"23.644"	"23.758"	"24.02"	"23.888"	"23.928"	"23.971"
"1964"	"24.251"	"25.238"	"25.864"	"26.28"	"25.842"	"24.177"	"23.147"	"23.524"	"23.395"	"23.489"	"23.344"	"23.689"
