
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.36"	"4.7"	"4.88"	"4.67"	"4.32"	"3.83"	"3.74"	"3.87"	"4"	"3.9"	"3.78"	"3.9"
"1902"	"4.3"	"4.64"	"4.86"	"4.67"	"4.32"	"3.85"	"3.74"	"3.89"	"4"	"3.89"	"3.77"	"3.87"
"1903"	"4.34"	"4.7"	"4.87"	"4.7"	"4.32"	"3.83"	"3.75"	"3.88"	"3.99"	"3.9"	"3.79"	"3.88"
"1904"	"4.31"	"4.63"	"4.83"	"4.65"	"4.35"	"3.79"	"3.73"	"3.86"	"3.98"	"3.9"	"3.79"	"3.88"
"1905"	"4.31"	"4.66"	"4.88"	"4.65"	"4.29"	"3.79"	"3.75"	"3.87"	"4"	"3.9"	"3.78"	"3.89"
"1906"	"4.31"	"4.66"	"4.86"	"4.71"	"4.34"	"3.82"	"3.74"	"3.84"	"4"	"3.9"	"3.78"	"3.87"
"1907"	"4.32"	"4.65"	"4.88"	"4.65"	"4.3"	"3.82"	"3.76"	"3.83"	"3.99"	"3.91"	"3.77"	"3.87"
"1908"	"4.32"	"4.64"	"4.84"	"4.66"	"4.3"	"3.81"	"3.71"	"3.85"	"3.99"	"3.9"	"3.75"	"3.87"
"1909"	"4.31"	"4.65"	"4.84"	"4.67"	"4.31"	"3.8"	"3.74"	"3.86"	"3.98"	"3.9"	"3.77"	"3.87"
"1910"	"4.32"	"4.65"	"4.87"	"4.65"	"4.33"	"3.81"	"3.73"	"3.86"	"3.98"	"3.87"	"3.77"	"3.87"
"1911"	"4.33"	"4.63"	"4.86"	"4.66"	"4.33"	"3.81"	"3.73"	"3.85"	"4"	"3.9"	"3.79"	"3.91"
"1912"	"4.3"	"4.66"	"4.88"	"4.69"	"4.34"	"3.8"	"3.74"	"3.86"	"4"	"3.9"	"3.77"	"3.87"
"1913"	"4.3"	"4.65"	"4.87"	"4.66"	"4.35"	"3.84"	"3.75"	"3.86"	"4"	"3.9"	"3.78"	"3.9"
"1914"	"4.32"	"4.66"	"4.87"	"4.69"	"4.32"	"3.82"	"3.76"	"3.86"	"4"	"3.9"	"3.8"	"3.9"
"1915"	"4.32"	"4.66"	"4.87"	"4.66"	"4.31"	"3.85"	"3.76"	"3.86"	"4"	"3.9"	"3.79"	"3.9"
"1916"	"4.32"	"4.66"	"4.86"	"4.67"	"4.34"	"3.8"	"3.73"	"3.87"	"4"	"3.88"	"3.77"	"3.87"
"1917"	"4.3"	"4.67"	"4.84"	"4.66"	"4.3"	"3.79"	"3.74"	"3.89"	"4"	"3.88"	"3.77"	"3.87"
"1918"	"4.3"	"4.61"	"4.82"	"4.68"	"4.29"	"3.78"	"3.74"	"3.86"	"4"	"3.9"	"3.79"	"3.87"
"1919"	"4.33"	"4.7"	"4.86"	"4.68"	"4.34"	"3.82"	"3.73"	"3.86"	"3.99"	"3.92"	"3.77"	"3.89"
"1920"	"4.31"	"4.65"	"4.9"	"4.67"	"4.32"	"3.8"	"3.74"	"3.87"	"3.99"	"3.9"	"3.77"	"3.87"
"1921"	"4.33"	"4.66"	"4.88"	"4.66"	"4.32"	"3.82"	"3.76"	"3.86"	"4"	"3.9"	"3.78"	"3.88"
"1922"	"4.31"	"4.65"	"4.85"	"4.67"	"4.3"	"3.82"	"3.73"	"3.87"	"3.99"	"3.91"	"3.77"	"3.87"
"1923"	"4.32"	"4.66"	"4.84"	"4.68"	"4.32"	"3.82"	"3.74"	"3.85"	"3.99"	"3.9"	"3.79"	"3.9"
"1924"	"4.31"	"4.66"	"4.86"	"4.66"	"4.33"	"3.82"	"3.73"	"3.86"	"4"	"3.9"	"3.78"	"3.89"
"1925"	"4.3"	"4.65"	"4.85"	"4.67"	"4.3"	"3.8"	"3.75"	"3.86"	"4"	"3.92"	"3.78"	"3.87"
"1926"	"4.32"	"4.65"	"4.87"	"4.67"	"4.32"	"3.82"	"3.76"	"3.89"	"4"	"3.9"	"3.78"	"3.9"
"1927"	"4.32"	"4.68"	"4.89"	"4.67"	"4.3"	"3.79"	"3.72"	"3.86"	"4"	"3.91"	"3.77"	"3.9"
"1928"	"4.34"	"4.67"	"4.86"	"4.65"	"4.32"	"3.83"	"3.77"	"3.86"	"4"	"3.9"	"3.78"	"3.9"
"1929"	"4.32"	"4.66"	"4.89"	"4.64"	"4.32"	"3.79"	"3.73"	"3.86"	"4"	"3.89"	"3.78"	"3.9"
"1930"	"4.31"	"4.66"	"4.88"	"4.69"	"4.28"	"3.78"	"3.76"	"3.89"	"4"	"3.89"	"3.76"	"3.9"
"1931"	"4.35"	"4.69"	"4.91"	"4.66"	"4.36"	"3.88"	"3.82"	"3.86"	"4.01"	"3.97"	"3.83"	"3.9"
"1932"	"4.39"	"4.59"	"4.84"	"4.6"	"4.19"	"3.72"	"3.69"	"3.86"	"3.97"	"3.75"	"3.63"	"3.87"
"1933"	"4.32"	"4.65"	"4.88"	"4.68"	"4.31"	"3.79"	"3.77"	"3.87"	"3.98"	"3.87"	"3.76"	"3.9"
"1934"	"4.31"	"4.66"	"4.84"	"4.61"	"4.32"	"3.82"	"3.79"	"3.91"	"4.05"	"3.91"	"3.81"	"3.9"
"1935"	"4.31"	"4.65"	"4.85"	"4.62"	"4.31"	"3.82"	"3.76"	"3.87"	"3.98"	"3.9"	"3.8"	"3.87"
"1936"	"4.32"	"4.66"	"4.89"	"4.66"	"4.28"	"3.81"	"3.77"	"3.87"	"4.01"	"3.9"	"3.77"	"3.9"
"1937"	"4.33"	"4.67"	"4.86"	"4.66"	"4.4"	"3.8"	"3.7"	"3.92"	"4.07"	"3.91"	"3.78"	"3.88"
"1938"	"4.36"	"4.66"	"4.89"	"4.66"	"4.33"	"3.82"	"3.72"	"3.89"	"4"	"3.93"	"3.81"	"3.9"
"1939"	"4.32"	"4.66"	"4.86"	"4.65"	"4.32"	"3.8"	"3.74"	"3.86"	"4.01"	"3.96"	"3.76"	"3.94"
"1940"	"4.33"	"4.65"	"4.88"	"4.67"	"4.3"	"3.82"	"3.7"	"3.83"	"4"	"3.94"	"3.72"	"3.87"
"1941"	"4.32"	"4.65"	"4.84"	"4.62"	"4.29"	"3.79"	"3.76"	"3.89"	"3.97"	"3.88"	"3.78"	"3.91"
"1942"	"4.34"	"4.67"	"4.91"	"4.66"	"4.32"	"3.82"	"3.73"	"3.87"	"4"	"3.9"	"3.81"	"3.84"
"1943"	"4.31"	"4.66"	"4.86"	"4.64"	"4.3"	"3.73"	"3.7"	"3.89"	"3.99"	"3.89"	"3.72"	"3.9"
"1944"	"4.33"	"4.66"	"4.86"	"4.64"	"4.34"	"3.82"	"3.74"	"3.93"	"4.05"	"3.96"	"3.78"	"3.9"
"1945"	"4.32"	"4.65"	"4.89"	"4.66"	"4.31"	"3.9"	"3.75"	"3.89"	"4.03"	"3.94"	"3.76"	"3.91"
"1946"	"4.32"	"4.65"	"4.87"	"4.65"	"4.3"	"3.78"	"3.76"	"3.83"	"3.98"	"3.9"	"3.69"	"3.84"
"1947"	"4.3"	"4.62"	"4.83"	"4.6"	"4.32"	"3.85"	"3.73"	"3.87"	"3.98"	"3.87"	"3.82"	"3.9"
"1948"	"4.32"	"4.66"	"4.87"	"4.69"	"4.37"	"3.82"	"3.75"	"3.89"	"3.99"	"3.95"	"3.78"	"3.92"
"1949"	"4.36"	"4.66"	"4.9"	"4.67"	"4.29"	"3.76"	"3.7"	"3.87"	"3.99"	"3.89"	"3.82"	"3.97"
"1950"	"4.33"	"4.65"	"4.89"	"4.63"	"4.34"	"3.81"	"3.72"	"3.9"	"3.97"	"3.92"	"3.75"	"3.91"
"1951"	"4.33"	"4.61"	"4.88"	"4.65"	"4.34"	"3.82"	"3.74"	"3.86"	"4.03"	"3.95"	"3.77"	"3.94"
"1952"	"4.41"	"4.69"	"4.9"	"4.67"	"4.36"	"3.89"	"3.8"	"3.87"	"4.05"	"3.91"	"3.78"	"3.9"
"1953"	"4.33"	"4.66"	"4.89"	"4.66"	"4.36"	"3.9"	"3.77"	"3.92"	"4.05"	"3.92"	"3.81"	"3.91"
"1954"	"4.32"	"4.72"	"4.88"	"4.67"	"4.35"	"3.83"	"3.75"	"3.86"	"4.03"	"3.89"	"3.8"	"3.87"
"1955"	"4.3"	"4.66"	"4.87"	"4.63"	"4.27"	"3.61"	"3.7"	"3.86"	"3.99"	"3.89"	"3.74"	"3.9"
"1956"	"4.3"	"4.64"	"4.91"	"4.69"	"4.28"	"3.69"	"3.67"	"3.86"	"3.96"	"3.85"	"3.77"	"3.93"
"1957"	"4.33"	"4.66"	"4.89"	"4.68"	"4.24"	"3.72"	"3.69"	"3.83"	"4"	"3.84"	"3.74"	"3.87"
"1958"	"4.34"	"4.66"	"4.87"	"4.71"	"4.27"	"3.82"	"3.73"	"3.83"	"4"	"3.86"	"3.74"	"3.91"
"1959"	"4.36"	"4.7"	"4.95"	"4.69"	"4.33"	"3.75"	"3.67"	"3.89"	"4"	"3.86"	"3.78"	"3.91"
"1960"	"4.31"	"4.66"	"4.9"	"4.69"	"4.22"	"3.82"	"3.73"	"3.91"	"3.97"	"3.93"	"3.6"	"3.9"
"1961"	"4.3"	"4.61"	"4.75"	"4.69"	"4.28"	"3.71"	"3.67"	"3.84"	"4"	"3.9"	"3.82"	"3.92"
"1962"	"4.3"	"4.62"	"4.87"	"4.65"	"4.26"	"3.89"	"3.73"	"3.83"	"3.99"	"3.78"	"3.81"	"3.92"
"1963"	"4.28"	"4.7"	"4.84"	"4.65"	"4.32"	"3.79"	"3.77"	"3.89"	"4.03"	"3.89"	"3.77"	"3.91"
"1964"	"4.36"	"4.69"	"4.89"	"4.68"	"4.37"	"3.9"	"3.73"	"3.86"	"3.98"	"3.93"	"3.77"	"3.91"
"1965"	"4.36"	"4.65"	"4.87"	"4.66"	"4.29"	"3.86"	"3.84"	"3.86"	"4"	"3.94"	"3.79"	"3.85"
"1966"	"4.3"	"4.67"	"4.91"	"4.66"	"4.34"	"3.85"	"3.72"	"3.89"	"4"	"3.9"	"3.76"	"3.9"
"1967"	"4.36"	"4.72"	"4.88"	"4.71"	"4.29"	"3.78"	"3.77"	"3.87"	"3.99"	"3.88"	"3.82"	"3.87"
"1968"	"4.32"	"4.66"	"4.84"	"4.64"	"4.32"	"3.83"	"3.66"	"3.88"	"3.97"	"3.92"	"3.77"	"3.89"
"1969"	"4.33"	"4.65"	"4.91"	"4.72"	"4.35"	"3.85"	"3.74"	"3.86"	"4.02"	"3.9"	"3.81"	"3.84"
"1970"	"4.31"	"4.66"	"4.91"	"4.65"	"4.28"	"3.78"	"3.76"	"3.83"	"3.99"	"3.87"	"3.73"	"3.93"
"1971"	"4.28"	"4.66"	"4.88"	"4.71"	"4.33"	"3.74"	"3.76"	"3.87"	"4"	"3.92"	"3.85"	"3.87"
"1972"	"4.33"	"4.66"	"4.87"	"4.66"	"4.24"	"3.85"	"3.76"	"3.92"	"4.03"	"3.88"	"3.75"	"3.89"
"1973"	"4.38"	"4.71"	"4.91"	"4.68"	"4.37"	"3.77"	"3.77"	"3.83"	"3.99"	"3.88"	"3.82"	"3.9"
"1974"	"4.34"	"4.71"	"4.9"	"4.68"	"4.31"	"3.85"	"3.77"	"3.86"	"3.96"	"3.95"	"3.85"	"4"
"1975"	"4.36"	"4.66"	"4.88"	"4.68"	"4.33"	"3.72"	"3.73"	"3.83"	"3.96"	"3.83"	"3.74"	"3.92"
"1976"	"4.33"	"4.66"	"4.91"	"4.62"	"4.31"	"3.94"	"3.79"	"3.88"	"4"	"3.92"	"3.69"	"3.91"
"1977"	"4.36"	"4.65"	"4.87"	"4.68"	"4.24"	"3.76"	"3.73"	"3.89"	"4.01"	"3.8"	"3.73"	"3.9"
"1978"	"4.32"	"4.65"	"4.86"	"4.68"	"4.3"	"3.77"	"3.7"	"3.79"	"3.99"	"3.9"	"3.79"	"3.83"
"1979"	"4.3"	"4.63"	"4.86"	"4.67"	"4.28"	"3.78"	"3.7"	"3.86"	"3.94"	"3.91"	"3.66"	"3.88"
"1980"	"4.37"	"4.69"	"4.9"	"4.64"	"4.37"	"3.74"	"3.74"	"3.84"	"4"	"3.86"	"3.77"	"3.9"
"1981"	"4.36"	"4.67"	"4.89"	"4.68"	"4.34"	"3.77"	"3.72"	"3.85"	"3.97"	"3.9"	"3.76"	"3.89"
"1982"	"4.33"	"4.68"	"4.87"	"4.69"	"4.34"	"3.83"	"3.77"	"3.87"	"4.01"	"3.92"	"3.82"	"3.91"
"1983"	"4.33"	"4.7"	"4.89"	"4.67"	"4.34"	"3.87"	"3.81"	"3.91"	"3.99"	"3.9"	"3.78"	"3.91"
"1984"	"4.36"	"4.69"	"4.89"	"4.65"	"4.33"	"3.82"	"3.74"	"3.88"	"4"	"3.88"	"3.79"	"3.9"
"1985"	"4.36"	"4.69"	"4.89"	"4.69"	"4.34"	"3.79"	"3.74"	"3.87"	"4"	"3.91"	"3.78"	"3.9"
"1986"	"4.36"	"4.67"	"4.88"	"4.7"	"4.34"	"3.83"	"3.79"	"3.87"	"3.97"	"3.91"	"3.79"	"3.91"
"1987"	"4.38"	"4.7"	"4.89"	"4.69"	"4.34"	"3.83"	"3.8"	"3.9"	"4.05"	"3.92"	"3.78"	"3.93"
"1988"	"4.36"	"4.71"	"4.93"	"4.67"	"4.33"	"3.84"	"3.77"	"3.9"	"3.99"	"3.93"	"3.81"	"3.9"
"1989"	"4.36"	"4.66"	"4.85"	"4.67"	"4.33"	"3.8"	"3.77"	"3.87"	"3.99"	"3.88"	"3.79"	"3.94"
"1990"	"4.33"	"4.67"	"4.91"	"4.72"	"4.33"	"3.83"	"3.77"	"3.86"	"4"	"3.93"	"3.78"	"3.94"
"1991"	"4.36"	"4.69"	"4.9"	"4.67"	"4.35"	"3.83"	"3.77"	"3.87"	"4.03"	"3.91"	"3.78"	"3.91"
"1992"	"4.32"	"4.66"	"4.86"	"4.68"	"4.32"	"3.84"	"3.77"	"3.86"	"4"	"3.9"	"3.78"	"3.9"
"1993"	"4.31"	"4.64"	"4.86"	"4.66"	"4.34"	"3.85"	"3.74"	"3.86"	"4.03"	"3.9"	"3.79"	"3.88"
"1994"	"4.32"	"4.68"	"4.89"	"4.66"	"4.32"	"3.82"	"3.76"	"3.86"	"4.05"	"3.89"	"3.76"	"3.91"
"1995"	"4.36"	"4.71"	"4.91"	"4.66"	"4.29"	"3.83"	"3.77"	"3.89"	"4.01"	"3.91"	"3.8"	"3.91"
"1996"	"4.43"	"4.75"	"4.91"	"4.67"	"4.4"	"3.81"	"3.66"	"3.86"	"3.77"	"3.97"	"3.84"	"3.76"
"1997"	"4.51"	"4.71"	"4.87"	"4.77"	"4.22"	"3.93"	"3.71"	"3.91"	"4.01"	"3.95"	"3.68"	"3.76"
"1998"	"4.42"	"4.81"	"4.94"	"4.88"	"4.35"	"3.76"	"3.79"	"3.91"	"3.82"	"3.83"	"3.83"	"3.65"
"1999"	"4.26"	"4.72"	"4.9"	"4.5"	"4.08"	"3.85"	"3.76"	"4"	"4.22"	"3.78"	"3.88"	"3.86"
