
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.279"	"42.739"	"47.085"	"122.866"	"115.595"	"389.4"	"81.569"	"162.774"	"154.089"	"135.26"	"199.574"	"15.051"
"1902"	"77.454"	"0.353"	"54.247"	"68.97"	"101.818"	"238.886"	"124.354"	"94.084"	"125.94"	"356.846"	"144.165"	"106.708"
"1903"	"31.935"	"2.33"	"0.433"	"128.448"	"195.582"	"120.508"	"155.556"	"225.641"	"121.781"	"243.466"	"179.029"	"129.643"
"1904"	"38.599"	"1.224"	"9.834"	"41.308"	"57.336"	"371.713"	"169.589"	"88.271"	"78.032"	"209.443"	"10.822"	"37.512"
"1905"	"2.398"	"0.501"	"3.521"	"110.666"	"138.878"	"263.205"	"47.018"	"219.604"	"53.066"	"186.643"	"74.765"	"0.722"
"1906"	"8.736"	"25.704"	"17.249"	"42.689"	"49.161"	"144.8"	"121.085"	"139.132"	"26.371"	"250.865"	"140.725"	"96.057"
"1907"	"45.077"	"0.867"	"36.884"	"138.116"	"76.781"	"147.739"	"167.241"	"129.549"	"83.81"	"236.502"	"127.894"	"71.544"
"1908"	"10.151"	"46.796"	"29.21"	"75.345"	"96.59"	"109.105"	"100.977"	"160.681"	"174.685"	"224.388"	"66.589"	"14.297"
"1909"	"56.859"	"35.102"	"21.722"	"26.721"	"222.914"	"121.521"	"146.687"	"126.264"	"66.572"	"126.711"	"90.068"	"25.843"
"1910"	"18.274"	"25.444"	"9.217"	"129.039"	"65.532"	"200.452"	"196.196"	"393.756"	"63.987"	"282.409"	"166.78"	"0.914"
"1911"	"1.73"	"9.02"	"8.785"	"60.157"	"101.609"	"307.374"	"113.886"	"24.926"	"112.248"	"285.355"	"142.538"	"136.548"
"1912"	"5.548"	"18.907"	"11.278"	"135.032"	"224.163"	"446.507"	"77.475"	"135.754"	"95.487"	"518.913"	"108.143"	"57.611"
"1913"	"14.552"	"4.231"	"8.002"	"42.807"	"66.961"	"175.972"	"129.892"	"36.352"	"44.474"	"336.829"	"97.054"	"90.271"
"1914"	"2.752"	"2.19"	"10.039"	"40.896"	"169.971"	"101.895"	"139.397"	"71.58"	"79.154"	"382.572"	"108.89"	"222.642"
"1915"	"11.737"	"12.116"	"34.789"	"111.821"	"56.244"	"492.996"	"112.748"	"103.284"	"175.857"	"95.557"	"198.582"	"69.475"
"1916"	"0.206"	"7.521"	"10.104"	"86.848"	"168.535"	"238.352"	"275.704"	"91.401"	"118.926"	"187.695"	"116.067"	"21.869"
"1917"	"4.862"	"33.887"	"70.523"	"30.906"	"177.648"	"187.666"	"42.222"	"125.29"	"118.308"	"81.283"	"187.281"	"55.005"
"1918"	"87.504"	"12.527"	"53.696"	"41.269"	"309.176"	"74.891"	"53.319"	"55.825"	"43.893"	"199.656"	"151.218"	"122.643"
"1919"	"26.289"	"5.097"	"8.196"	"47.348"	"125.819"	"128.855"	"74.179"	"74.125"	"258.943"	"172.052"	"170.201"	"111.415"
"1920"	"87.948"	"1.248"	"12.359"	"227.846"	"18.696"	"404.695"	"113.529"	"76.038"	"79.694"	"217.496"	"352.549"	"13.477"
"1921"	"53.148"	"2.19"	"5.423"	"109.781"	"21.995"	"401.146"	"146.956"	"167.628"	"83.136"	"328.384"	"179.147"	"59.364"
"1922"	"34.619"	"25.797"	"7.784"	"149.002"	"181.264"	"238.5"	"189.469"	"40.386"	"43.819"	"216.537"	"263.705"	"44.767"
"1923"	"39.643"	"3.373"	"54.995"	"32.331"	"67.433"	"197.391"	"72.345"	"193.434"	"107.88"	"277.693"	"53.202"	"75.149"
"1924"	"20.02"	"0.278"	"37.825"	"83.27"	"120.397"	"352.34"	"498.354"	"69.282"	"200.276"	"219.731"	"145.544"	"38.712"
"1925"	"27.857"	"9.785"	"101.775"	"105.03"	"60.232"	"142.997"	"55.744"	"85.003"	"164.915"	"296.68"	"267.054"	"58.626"
"1926"	"77.674"	"0.641"	"51.158"	"19.735"	"203.796"	"103.017"	"189.098"	"66.449"	"139.517"	"139.767"	"62.327"	"26.503"
"1927"	"24.604"	"45.921"	"54.252"	"178.69"	"115.144"	"234.819"	"52.875"	"52.389"	"229.111"	"230.35"	"178.751"	"7.803"
"1928"	"20.958"	"116.794"	"11.245"	"75.94"	"50.717"	"137.374"	"153.894"	"72.599"	"78.561"	"124.616"	"192.163"	"94.221"
"1929"	"83.747"	"50.492"	"73.534"	"178.695"	"137.684"	"259.465"	"74.361"	"37.847"	"139.067"	"217.724"	"152.479"	"93.709"
"1930"	"17.429"	"92.071"	"57.904"	"104.065"	"242.208"	"237.943"	"26.288"	"57.402"	"140.905"	"288.643"	"150.831"	"60.178"
"1931"	"54.257"	"0.278"	"1.691"	"80.987"	"37.48"	"164.7"	"82.176"	"169.04"	"29.526"	"100.763"	"129.841"	"257.015"
"1932"	"0.206"	"27.874"	"19.34"	"98.93"	"193.877"	"89.517"	"85.139"	"222.357"	"64.214"	"251.838"	"158.088"	"64.883"
"1933"	"1.761"	"7.469"	"31.953"	"88.767"	"333.568"	"316.189"	"163.888"	"164.981"	"164.995"	"158.192"	"116.928"	"23.093"
"1934"	"108.842"	"0.278"	"41.346"	"41.989"	"33.784"	"174.914"	"42.561"	"67.043"	"5.117"	"270.19"	"60.953"	"0.736"
"1935"	"44.23"	"13.864"	"18.587"	"129.341"	"27.883"	"363.461"	"70.638"	"144.672"	"72.886"	"227.466"	"217.94"	"41.198"
"1936"	"2.998"	"66.117"	"80.149"	"41.644"	"236.292"	"177.519"	"141.567"	"42.281"	"232.83"	"132.643"	"203.66"	"44.009"
"1937"	"12.112"	"15.004"	"29.39"	"164.757"	"62.19"	"56.592"	"141.973"	"88.576"	"94.161"	"291.34"	"182.68"	"17.395"
"1938"	"1.357"	"144.438"	"88.325"	"68.699"	"24.671"	"95.167"	"230.877"	"293.844"	"69.684"	"132.531"	"50.544"	"33.986"
"1939"	"34.724"	"21.9"	"26.956"	"156.73"	"157.013"	"134.345"	"57.994"	"148.702"	"51.509"	"185.873"	"217.194"	"8.327"
"1940"	"0.302"	"9.826"	"16.985"	"207.276"	"196.838"	"134.786"	"105.386"	"93.452"	"147.212"	"223.014"	"201.917"	"67.04"
"1941"	"31.637"	"5.443"	"1.006"	"144.829"	"84.533"	"253.859"	"44.537"	"85.482"	"145.628"	"190.086"	"214.456"	"32.341"
"1942"	"0.206"	"1.762"	"11.205"	"122.951"	"202.17"	"295.248"	"73.21"	"115.361"	"51.3"	"197.479"	"68.243"	"183.294"
"1943"	"108.174"	"24.271"	"13.54"	"91.211"	"123.317"	"266.881"	"41.098"	"22.293"	"43.236"	"300.746"	"137.114"	"31.383"
"1944"	"1.604"	"47.714"	"82.184"	"69.415"	"137.18"	"445.246"	"54.805"	"47.776"	"99.733"	"188.359"	"168.654"	"127.746"
"1945"	"6.304"	"5.961"	"15.805"	"118.247"	"37.58"	"161.548"	"114.752"	"42.726"	"18.266"	"293.389"	"186.384"	"58.449"
"1946"	"5.761"	"0.538"	"106.865"	"80.285"	"50.504"	"269.009"	"36.758"	"137.99"	"76.032"	"261.696"	"214.167"	"205.039"
