
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"19.224"	"19.744"	"20.877"	"23.068"	"23.641"	"23.15"	"22.595"	"22.236"	"22.309"	"22.492"	"21.939"	"19.702"
"1902"	"18.781"	"19.683"	"21.197"	"23.068"	"23.61"	"23.231"	"22.554"	"22.767"	"22.309"	"22.452"	"21.939"	"20.621"
"1903"	"19.224"	"19.758"	"20.403"	"23.068"	"23.627"	"23.15"	"22.595"	"22.236"	"22.309"	"22.469"	"21.939"	"19.661"
"1904"	"18.228"	"18.761"	"20.075"	"23.091"	"23.545"	"22.026"	"22.581"	"22.253"	"22.309"	"22.492"	"21.939"	"20.325"
"1905"	"19.224"	"19.744"	"20.941"	"23.038"	"23.641"	"23.204"	"23.057"	"22.236"	"22.309"	"22.452"	"21.939"	"19.63"
"1906"	"19.224"	"19.727"	"21.197"	"23.068"	"23.641"	"23.204"	"22.568"	"22.253"	"22.309"	"22.469"	"21.939"	"19.934"
"1907"	"19.224"	"19.815"	"21.197"	"23.068"	"23.561"	"23.15"	"22.554"	"21.456"	"22.309"	"22.452"	"21.939"	"19.831"
"1908"	"19.224"	"19.815"	"20.749"	"23.068"	"23.641"	"23.15"	"21.691"	"21.88"	"22.309"	"22.533"	"21.231"	"19.756"
"1909"	"18.368"	"19.815"	"21.197"	"23.068"	"23.624"	"23.231"	"21.722"	"21.593"	"21.471"	"22.533"	"21.869"	"19.892"
"1910"	"19.224"	"19.785"	"20.565"	"23.068"	"23.624"	"23.167"	"22.554"	"22.276"	"22.309"	"22.492"	"21.939"	"19.47"
"1911"	"19.224"	"19.024"	"21.197"	"23.068"	"23.601"	"22.527"	"22.595"	"22.236"	"22.309"	"22.492"	"21.939"	"20.621"
"1912"	"18.394"	"19.774"	"21.197"	"23.068"	"23.561"	"23.173"	"22.595"	"22.236"	"22.309"	"22.452"	"21.939"	"19.857"
"1913"	"18.798"	"19.815"	"21.197"	"23.068"	"23.641"	"23.204"	"22.595"	"22.236"	"22.309"	"22.475"	"21.939"	"20.621"
"1914"	"19.224"	"19.815"	"21.197"	"23.068"	"23.641"	"23.217"	"22.595"	"22.276"	"22.309"	"22.452"	"21.939"	"20.621"
"1915"	"19.224"	"19.815"	"21.197"	"23.068"	"23.945"	"23.15"	"22.595"	"22.236"	"22.309"	"22.475"	"21.939"	"20.621"
"1916"	"19.058"	"19.788"	"20.822"	"23.068"	"23.641"	"23.217"	"22.554"	"22.236"	"22.309"	"22.533"	"21.939"	"19.72"
"1917"	"19.236"	"19.815"	"20.671"	"23.091"	"23.627"	"23.15"	"22.595"	"22.29"	"22.309"	"22.492"	"21.939"	"19.415"
"1918"	"18.643"	"18.666"	"20.646"	"23.068"	"22.417"	"22.231"	"23.702"	"22.222"	"21.898"	"22.506"	"21.939"	"20.621"
"1919"	"19.266"	"19.774"	"21.127"	"23.068"	"23.641"	"23.231"	"22.595"	"22.236"	"22.309"	"22.492"	"21.478"	"20.621"
"1920"	"19.224"	"19.815"	"21.197"	"23.068"	"23.641"	"23.167"	"22.595"	"22.236"	"22.309"	"22.533"	"21.575"	"19.47"
"1921"	"19.224"	"19.754"	"21.197"	"23.068"	"23.641"	"23.167"	"22.595"	"22.253"	"22.309"	"22.533"	"21.939"	"19.585"
"1922"	"19.224"	"19.815"	"21.197"	"23.068"	"23.641"	"23.15"	"22.554"	"22.29"	"22.309"	"22.452"	"21.379"	"19.42"
"1923"	"19.089"	"19.239"	"20.685"	"23.068"	"23.641"	"23.15"	"22.595"	"22.276"	"22.309"	"22.533"	"21.939"	"20.455"
"1924"	"19.089"	"19.815"	"21.197"	"23.068"	"24.33"	"22.886"	"22.595"	"22.236"	"22.309"	"22.492"	"21.908"	"19.523"
"1925"	"18.669"	"19.815"	"21.157"	"23.068"	"23.641"	"23.15"	"22.595"	"22.236"	"22.309"	"22.452"	"21.939"	"19.961"
"1926"	"19.224"	"19.774"	"21.197"	"23.068"	"23.561"	"23.217"	"22.595"	"22.236"	"22.309"	"22.452"	"21.939"	"20.621"
"1927"	"19.224"	"19.815"	"21.197"	"23.068"	"23.387"	"22.86"	"22.595"	"22.236"	"22.309"	"22.533"	"21.939"	"20.621"
"1928"	"19.224"	"19.815"	"21.183"	"23.068"	"23.624"	"23.167"	"22.595"	"22.236"	"22.309"	"22.533"	"21.939"	"20.621"
"1929"	"19.224"	"19.815"	"21.197"	"23.04"	"23.624"	"22.82"	"22.581"	"22.18"	"22.309"	"22.469"	"21.939"	"20.452"
"1930"	"19.224"	"19.785"	"21.197"	"23.068"	"23.618"	"23.173"	"22.595"	"22.236"	"22.309"	"21.4"	"21.939"	"20.621"
"1931"	"19.224"	"19.788"	"21.197"	"23.068"	"23.641"	"23.217"	"22.595"	"22.236"	"22.309"	"22.452"	"21.939"	"20.554"
"1932"	"19.009"	"18.771"	"20.669"	"23.068"	"22.656"	"23.164"	"22.554"	"22.276"	"22.309"	"22.533"	"21.939"	"20.315"
"1933"	"19.224"	"19.774"	"21.197"	"23.068"	"22.27"	"23.15"	"22.595"	"22.222"	"22.178"	"22.163"	"21.939"	"20.394"
"1934"	"19.224"	"18.715"	"20.324"	"23.085"	"23.618"	"22.699"	"22.554"	"22.276"	"22.309"	"22.492"	"21.545"	"19.98"
"1935"	"19.224"	"19.815"	"21.197"	"23.068"	"23.664"	"23.002"	"22.595"	"22.253"	"22.309"	"22.475"	"21.838"	"20.411"
"1936"	"19.224"	"19.788"	"21.046"	"23.085"	"23.641"	"23.15"	"22.595"	"22.236"	"22.309"	"22.492"	"21.939"	"20.621"
"1937"	"19.224"	"19.815"	"21.197"	"23.068"	"23.641"	"23.15"	"22.595"	"22.236"	"22.309"	"22.452"	"21.939"	"19.653"
"1938"	"19.224"	"19.815"	"21.197"	"23.068"	"23.601"	"23.15"	"22.595"	"22.253"	"22.309"	"21.964"	"21.922"	"20.621"
"1939"	"19.238"	"19.774"	"20.766"	"23.068"	"22.892"	"23.204"	"22.595"	"22.276"	"22.309"	"22.533"	"21.939"	"20.621"
"1940"	"18.866"	"19.815"	"20.86"	"23.052"	"23.641"	"23.217"	"22.595"	"22.253"	"22.985"	"22.533"	"21.939"	"20.621"
"1941"	"19.224"	"19.815"	"21.197"	"23.068"	"23.641"	"23.15"	"22.595"	"22.236"	"22.309"	"22.469"	"21.939"	"20.621"
"1942"	"19.224"	"19.774"	"21.197"	"23.068"	"23.624"	"23.231"	"22.595"	"22.236"	"22.309"	"22.452"	"21.876"	"20.621"
"1943"	"19.383"	"19.774"	"21.157"	"22.662"	"23.596"	"22.02"	"22.595"	"22.253"	"22.309"	"21.329"	"21.181"	"20.621"
"1944"	"19.224"	"19.785"	"20.551"	"22.927"	"23.601"	"23.204"	"22.595"	"22.236"	"21.889"	"22.469"	"21.939"	"20.427"
"1945"	"19.224"	"19.785"	"21.197"	"22.954"	"23.61"	"23.15"	"22.595"	"22.236"	"22.309"	"22.475"	"21.939"	"19.607"
