
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.8953"	"2.4534"	"3.7579"	"5.3523"	"5.9919"	"13.2635"	"8.4073"	"4.9054"	"7.9957"	"6.646"	"11.1205"	"4.4821"
"1902"	"2.1726"	"0.3528"	"3.3538"	"3.927"	"4.3685"	"9.7121"	"10.5906"	"5.7594"	"8.4838"	"11.5807"	"6.8376"	"4.3048"
"1903"	"0.9603"	"1.0636"	"0.4328"	"4.3603"	"6.9091"	"11.2042"	"10.763"	"9.0061"	"8.8838"	"9.4692"	"6.9499"	"4.6832"
"1904"	"2.4771"	"0.7147"	"3.2533"	"3.0007"	"4.7945"	"13.8818"	"10.4328"	"5.2155"	"4.8412"	"7.8716"	"1.2682"	"3.2335"
"1905"	"0.9336"	"0.481"	"1.1835"	"5.1043"	"6.06"	"11.2844"	"6.4883"	"6.5899"	"5.3984"	"8.165"	"4.9243"	"0.7232"
"1906"	"1.6619"	"1.0671"	"2.3123"	"3.8431"	"4.8804"	"10.5571"	"8.5708"	"6.4054"	"4.0009"	"9.1845"	"7.6817"	"6.0067"
"1907"	"1.7051"	"0.6587"	"2.8894"	"5.3293"	"4.4338"	"13.9356"	"8.6702"	"6.0897"	"7.404"	"9.7396"	"7.8682"	"4.4983"
"1908"	"0.9511"	"2.236"	"3.481"	"4.3599"	"5.1833"	"9.3763"	"8.1675"	"6.7361"	"7.3768"	"9.0581"	"4.3399"	"3.0279"
"1909"	"2.0973"	"1.3379"	"3.4121"	"5.1626"	"8.0524"	"9.3353"	"7.5783"	"7.1534"	"6.157"	"7.1762"	"7.8164"	"2.1851"
"1910"	"1.4464"	"2.3905"	"1.3955"	"4.1311"	"4.0668"	"10.7199"	"9.4372"	"10.8533"	"5.72"	"9.1286"	"8.1259"	"0.8661"
"1911"	"1.1754"	"0.8357"	"2.0154"	"2.7729"	"4.1719"	"12.7671"	"9.3842"	"4.17"	"5.2065"	"8.3225"	"7.4472"	"6.2175"
"1912"	"0.9281"	"1.8579"	"2.3609"	"5.4508"	"5.1812"	"14.006"	"6.5488"	"6.1857"	"6.0609"	"10.8957"	"7.1879"	"3.4647"
"1913"	"2.181"	"1.5736"	"1.0292"	"2.8837"	"4.2887"	"9.262"	"10.0887"	"4.3391"	"5.6982"	"9.0161"	"7.8018"	"4.2362"
"1914"	"0.9143"	"0.6848"	"2.0014"	"2.0657"	"6.3941"	"8.5615"	"5.2332"	"6.3229"	"6.822"	"11.6841"	"6.5162"	"5.8448"
"1915"	"1.3292"	"2.3304"	"2.9236"	"5.4938"	"5.8817"	"11.0205"	"11.1356"	"5.486"	"7.9761"	"5.5325"	"9.1615"	"2.3658"
"1916"	"0.2064"	"1.1482"	"1.8908"	"4.9831"	"6.2251"	"11.1632"	"13.0788"	"8.2673"	"7.6862"	"7.0546"	"6.0256"	"2.3512"
"1917"	"1.414"	"1.91"	"4.6533"	"4.0003"	"5.4729"	"11.6705"	"12.0613"	"6.7942"	"9.887"	"7.8949"	"8.9664"	"4.8057"
"1918"	"2.7276"	"1.418"	"2.8134"	"3.8242"	"8.631"	"6.1169"	"3.3738"	"4.8645"	"4.1623"	"6.8144"	"9.6718"	"4.7882"
"1919"	"2.723"	"0.8448"	"3.6255"	"2.8781"	"6.8772"	"17.6337"	"8.6952"	"6.1067"	"8.6061"	"7.6167"	"8.7854"	"5.6226"
"1920"	"2.1296"	"0.7257"	"2.2623"	"7.1291"	"3.5514"	"14.9258"	"7.1989"	"3.69"	"6.5176"	"8.512"	"10.6446"	"1.7096"
"1921"	"3.6308"	"0.6618"	"2.3764"	"6.9952"	"3.4741"	"13.1764"	"8.4848"	"7.5593"	"5.16"	"9.2472"	"5.3741"	"3.503"
"1922"	"1.389"	"2.3838"	"4.4102"	"4.6091"	"8.0988"	"10.3945"	"8.7633"	"5.1149"	"4.7778"	"8.4687"	"9.7129"	"2.4177"
"1923"	"3.1994"	"0.677"	"4.0275"	"2.8737"	"3.3233"	"10.1293"	"6.4432"	"6.5585"	"6.4255"	"8.2665"	"4.6902"	"4.8841"
"1924"	"2.1485"	"0.2775"	"3.8449"	"5.0728"	"5.9539"	"13.522"	"10.5051"	"7.8938"	"7.7966"	"6.0255"	"7.5383"	"3.7606"
"1925"	"1.5045"	"1.7809"	"4.114"	"5.1727"	"6.0273"	"10.1516"	"5.4183"	"8.4617"	"6.4719"	"8.1564"	"9.9118"	"4.6284"
"1926"	"2.4857"	"0.5483"	"3.1604"	"3.8518"	"8.1938"	"7.3333"	"11.4722"	"6.0836"	"8.8951"	"8.8631"	"7.0654"	"2.8126"
"1927"	"2.7132"	"1.9043"	"4.7134"	"5.7181"	"7.7199"	"11.8907"	"5.3304"	"5.0503"	"8.247"	"6.7612"	"6.2774"	"1.9975"
