
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"19.17"	"19.518"	"20.066"	"23.264"	"23.897"	"24.131"	"23.187"	"22.619"	"22.641"	"21.844"	"20.082"	"18.205"
"1902"	"17.723"	"17.733"	"20.645"	"23.422"	"24.449"	"24.316"	"23.426"	"22.962"	"21.959"	"21.087"	"20.051"	"19.084"
"1903"	"18.424"	"19.183"	"20.764"	"23.329"	"23.285"	"23.547"	"23"	"22.372"	"21.65"	"21.433"	"19.439"	"18.178"
"1904"	"17.522"	"17.675"	"20.169"	"23.576"	"23.148"	"23.488"	"22.7"	"22.734"	"22.714"	"21.705"	"20.032"	"18.293"
"1905"	"17.25"	"18.984"	"21.167"	"22.851"	"23.712"	"24.53"	"24.287"	"22.929"	"22.901"	"21.53"	"20.344"	"18.41"
"1906"	"18.569"	"19.844"	"20.053"	"24.221"	"25.03"	"23.724"	"23.458"	"22.149"	"21.889"	"21.572"	"20.151"	"18.685"
"1907"	"17.62"	"18.34"	"20.613"	"22.742"	"24.357"	"23.889"	"23.157"	"22.817"	"22.714"	"21.659"	"20.008"	"18.679"
"1908"	"18.007"	"18.12"	"19.901"	"24.108"	"24.184"	"24.486"	"23.013"	"22.667"	"21.755"	"21.659"	"19.423"	"18.219"
"1909"	"17.902"	"18.62"	"20.837"	"23.034"	"23.418"	"23.616"	"22.626"	"22.109"	"21.392"	"22.058"	"20.857"	"19.354"
"1910"	"18.093"	"18.499"	"20.296"	"23.674"	"24.574"	"23.625"	"22.955"	"21.918"	"21.559"	"21.511"	"19.326"	"18.125"
"1911"	"18.068"	"17.391"	"20.436"	"23.35"	"23.884"	"23.785"	"23.347"	"23.029"	"22.728"	"21.545"	"20.292"	"18.853"
"1912"	"17.184"	"19.339"	"21.281"	"23.549"	"24.872"	"24.359"	"23.273"	"22.846"	"22.513"	"21.558"	"19.966"	"18.211"
"1913"	"17.474"	"18.971"	"21.107"	"23.937"	"24.262"	"24.29"	"22.96"	"23.247"	"22.851"	"21.203"	"19.8"	"18.967"
"1914"	"17.512"	"18.585"	"21.043"	"23.267"	"24.478"	"24.751"	"23.3"	"22.39"	"22.061"	"21.281"	"20.117"	"19.265"
"1915"	"18.348"	"19.087"	"20.75"	"23.364"	"24.677"	"24.064"	"23.108"	"23.466"	"22.385"	"22.263"	"20.527"	"18.571"
"1916"	"17.413"	"18.825"	"20.428"	"23.869"	"23.762"	"23.337"	"22.713"	"22.475"	"22.055"	"21.572"	"20.136"	"18.206"
"1917"	"17.416"	"17.974"	"19.814"	"23.235"	"23.274"	"22.488"	"23.268"	"22.348"	"21.499"	"21.129"	"20.25"	"18.353"
"1918"	"17.441"	"17.299"	"19.53"	"22.978"	"22.963"	"23.085"	"23.796"	"23.234"	"22.317"	"22.201"	"20.497"	"18.881"
"1919"	"19.111"	"19.498"	"20.235"	"23.868"	"24.128"	"23.558"	"22.95"	"23.003"	"22.042"	"21.726"	"20.386"	"19.026"
"1920"	"17.912"	"19.192"	"21.006"	"23.303"	"24.397"	"24.084"	"23.946"	"22.974"	"22.726"	"21.913"	"20.25"	"18.349"
"1921"	"18.689"	"18.123"	"20.808"	"23.095"	"25.288"	"24.323"	"22.798"	"22.696"	"21.944"	"21.216"	"19.453"	"18.439"
"1922"	"17.935"	"18.026"	"20.752"	"23.818"	"23.93"	"24.016"	"23.206"	"22.948"	"22.542"	"21.203"	"20.052"	"17.884"
"1923"	"17.061"	"18.138"	"20.007"	"23.24"	"23.93"	"24.585"	"23.346"	"23.247"	"22.115"	"21.578"	"20.344"	"18.853"
"1924"	"17.848"	"18.706"	"20.52"	"24.057"	"24.585"	"24.194"	"23.072"	"22.997"	"21.706"	"21.785"	"19.848"	"18.132"
"1925"	"17.556"	"18.017"	"20.039"	"23.68"	"23.287"	"23.916"	"23.181"	"22.538"	"22.527"	"21.326"	"19.663"	"18.234"
"1926"	"18.143"	"18.485"	"21.217"	"23.637"	"24.418"	"24.719"	"23.68"	"23.015"	"22.227"	"21.631"	"19.665"	"18.679"
"1927"	"18.362"	"19.12"	"21.393"	"23.899"	"24.257"	"23.759"	"23.273"	"23.081"	"22.227"	"21.85"	"19.694"	"18.848"
"1928"	"18.522"	"18.87"	"20.176"	"23.709"	"24.952"	"24.437"	"23.388"	"22.614"	"22.573"	"21.575"	"20.103"	"18.625"
"1929"	"18.211"	"18.443"	"20.094"	"22.736"	"24.063"	"23.801"	"23.673"	"22.887"	"22.441"	"21.647"	"19.889"	"18.853"
"1930"	"17.935"	"18.479"	"20.562"	"23.223"	"23.075"	"23.345"	"23.701"	"22.929"	"22.284"	"20.961"	"19.661"	"18.873"
"1931"	"18.075"	"18.566"	"20.764"	"23.722"	"24.549"	"24.363"	"23.268"	"23.107"	"22.128"	"22.117"	"20.07"	"18.62"
"1932"	"17.367"	"18.426"	"20.295"	"23.336"	"23.213"	"23.944"	"23.219"	"22.677"	"22.214"	"21.461"	"20.209"	"18.526"
"1933"	"17.941"	"18.398"	"20.224"	"23.191"	"23.07"	"23.504"	"23.258"	"22.557"	"22.3"	"21.05"	"20.165"	"18.383"
"1934"	"17.949"	"17.539"	"19.924"	"23.302"	"24.249"	"23.743"	"23.312"	"22.608"	"22.815"	"21.745"	"19.628"	"18.065"
"1935"	"17.908"	"18.426"	"20.576"	"23.624"	"24.915"	"24.209"	"23.286"	"22.358"	"21.972"	"21.572"	"19.639"	"18.708"
"1936"	"18.46"	"19.299"	"20.226"	"23.844"	"23.984"	"23.017"	"23.13"	"22.627"	"22.428"	"21.745"	"20.144"	"19.178"
"1937"	"17.98"	"19.252"	"20.758"	"23.047"	"24.329"	"24.23"	"22.887"	"22.865"	"22.599"	"21.288"	"19.704"	"18.264"
"1938"	"18.179"	"19.246"	"21.193"	"23.364"	"24.788"	"23.081"	"23.073"	"22.377"	"21.9"	"21.631"	"19.827"	"18.647"
"1939"	"17.548"	"17.69"	"20.094"	"22.771"	"24.298"	"24.058"	"23.004"	"23.163"	"22.287"	"21.705"	"19.619"	"18.571"
"1940"	"17.047"	"17.984"	"21.365"	"23.002"	"24.056"	"23.76"	"23.239"	"22.859"	"22.725"	"21.865"	"19.895"	"18.759"
"1941"	"18.421"	"18.912"	"20.982"	"23.949"	"24.69"	"23.845"	"24.061"	"23.597"	"22.153"	"21.732"	"20.237"	"18.814"
"1942"	"18.045"	"18.856"	"20.367"	"23.446"	"24.621"	"24.203"	"23.579"	"22.674"	"22.613"	"21.79"	"20.047"	"18.934"
"1943"	"18.184"	"18.126"	"20.762"	"23.09"	"22.956"	"23.298"	"22.732"	"22.614"	"21.765"	"20.357"	"20.027"	"18.517"
"1944"	"18.249"	"18.837"	"19.605"	"22.919"	"23.965"	"23.716"	"22.715"	"22.852"	"22.15"	"22.034"	"20.209"	"18.591"
"1945"	"17.958"	"19.181"	"20.718"	"23.008"	"24.14"	"24.34"	"23.215"	"22.627"	"21.9"	"21.692"	"19.442"	"18.467"
"1946"	"17.179"	"18.107"	"20.897"	"23.232"	"24.154"	"23.603"	"23.277"	"22.529"	"21.873"	"21.599"	"20.394"	"18.736"
"1947"	"18.493"	"18.109"	"20.618"	"23.323"	"24.297"	"24.29"	"22.959"	"22.632"	"21.686"	"21.125"	"19.989"	"18.679"
"1948"	"18.236"	"19.1"	"20.63"	"23.364"	"24.29"	"24.372"	"23.231"	"22.674"	"22.278"	"21.71"	"20.808"	"18.466"
"1949"	"17.506"	"18.297"	"21.019"	"23.79"	"23.309"	"23.076"	"22.531"	"22.373"	"21.53"	"22.085"	"19.669"	"18.153"
"1950"	"17.421"	"18.713"	"20.749"	"23.421"	"24.294"	"23.858"	"22.73"	"22.366"	"21.53"	"21.117"	"19.694"	"18.498"
"1951"	"17.764"	"17.895"	"21.061"	"23.232"	"24.018"	"23.556"	"22.887"	"23.131"	"22.513"	"22.123"	"20.749"	"18.597"
"1952"	"18.249"	"19.131"	"21.164"	"24.137"	"23.931"	"23.916"	"23.452"	"22.679"	"22.627"	"21.517"	"20.347"	"18.88"
"1953"	"18.378"	"18.528"	"22.082"	"23.627"	"25.616"	"24.558"	"23.25"	"23.229"	"22.13"	"21.432"	"19.896"	"18.503"
"1954"	"18.171"	"19.319"	"20.851"	"24.172"	"24.514"	"24.188"	"22.299"	"22.047"	"21.939"	"21.073"	"19.241"	"18.611"
"1955"	"17.921"	"18.734"	"20.692"	"23.232"	"22.757"	"23.13"	"22.48"	"21.388"	"21.905"	"21.704"	"19.453"	"17.685"
"1956"	"17.601"	"17.94"	"20.924"	"23.973"	"24.004"	"22.731"	"21.918"	"22.174"	"21.581"	"20.745"	"19.844"	"18.153"
"1957"	"17.638"	"18.613"	"20.089"	"23.131"	"24.043"	"23.274"	"22.528"	"21.964"	"22.227"	"21.552"	"19.974"	"19.016"
"1958"	"18.4"	"19.581"	"21.604"	"23.733"	"23.609"	"24.721"	"23.168"	"22.216"	"22.384"	"21.441"	"20.407"	"18.943"
"1959"	"18.607"	"19.617"	"21.067"	"23.943"	"24.382"	"23.147"	"22.438"	"22.879"	"22.401"	"21.86"	"20.002"	"18.67"
"1960"	"18.392"	"18.634"	"21.07"	"23.847"	"24.082"	"23.916"	"23.085"	"23.414"	"21.773"	"21.758"	"19.295"	"18.814"
"1961"	"18.316"	"19.381"	"21.783"	"24.131"	"24.103"	"23.031"	"22.27"	"22.182"	"21.9"	"21.676"	"19.808"	"18.405"
