
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.99"	"55.369"	"0.552"	"16.649"	"67.059"	"36.864"	"44.49"	"50.433"	"203.676"	"199.038"	"199.96"	"216.764"
"1902"	"45.22"	"19.701"	"3.076"	"17.168"	"82.245"	"69.058"	"54.109"	"231.191"	"175.796"	"300.549"	"109.008"	"116.082"
"1903"	"30.565"	"3.331"	"0"	"3.994"	"153.576"	"68.379"	"80.066"	"138.519"	"322.416"	"157.226"	"415.703"	"245.907"
"1904"	"20.932"	"0"	"0"	"8.836"	"148.335"	"21.666"	"94.451"	"41.048"	"86.589"	"178.194"	"9.532"	"26.487"
"1905"	"24.451"	"2.393"	"26.141"	"54.177"	"89.05"	"41.938"	"41.33"	"177.744"	"50.87"	"294.641"	"113.21"	"2.426"
"1906"	"38.682"	"9.1"	"6.201"	"0.282"	"31.733"	"58.626"	"90.489"	"290.781"	"117.2"	"108.756"	"105.849"	"120.421"
"1907"	"0.343"	"0.277"	"18.924"	"88.56"	"40.755"	"35.738"	"74.247"	"62.552"	"201.985"	"125.457"	"210.562"	"46.536"
"1908"	"1.662"	"17.214"	"3.525"	"3.028"	"59.131"	"34.142"	"47.903"	"44.159"	"183.512"	"235.054"	"33.116"	"12.752"
"1909"	"46.875"	"0.914"	"0"	"69.395"	"231.611"	"34.847"	"39.521"	"232.35"	"222.438"	"151.741"	"20.103"	"3.695"
"1910"	"0.158"	"6.182"	"0"	"23.52"	"47.598"	"63.17"	"172.47"	"263.127"	"135.123"	"302.179"	"171.792"	"0.828"
"1911"	"0.074"	"0"	"6.021"	"27.493"	"64.749"	"34.513"	"66.71"	"35.649"	"108.532"	"115.038"	"133.351"	"126.702"
"1912"	"2.439"	"0"	"0"	"0.283"	"45.45"	"44.164"	"34.75"	"113.913"	"181.68"	"293.544"	"330.609"	"3.135"
"1913"	"0.012"	"0.907"	"5.38"	"24.456"	"77.608"	"33.533"	"30.331"	"77.134"	"153.623"	"248.994"	"108.58"	"102.575"
"1914"	"7.678"	"7.822"	"5.016"	"82.041"	"57.022"	"25.252"	"34.004"	"122.1"	"190.585"	"199.231"	"207.5"	"62.74"
"1915"	"16.2"	"26.826"	"43.987"	"40.062"	"78.403"	"51.966"	"153.306"	"70.13"	"170.293"	"62.725"	"224.825"	"18.603"
"1916"	"0.038"	"1.593"	"0"	"12.418"	"53.401"	"16.645"	"283.108"	"150.432"	"189.995"	"300.987"	"186.257"	"48.808"
"1917"	"10.428"	"21.362"	"4.004"	"1.9"	"106.149"	"81.558"	"102.624"	"274.181"	"194.375"	"139.02"	"168.332"	"45.518"
"1918"	"57.26"	"13.791"	"31.131"	"11.646"	"126.338"	"52.679"	"32.477"	"53.953"	"112.872"	"12.498"	"286.182"	"46.331"
"1919"	"25.283"	"0"	"22.325"	"16.53"	"117.747"	"54.175"	"127.4"	"28.296"	"204.802"	"71.207"	"374.109"	"59.647"
"1920"	"55.448"	"0.938"	"0"	"10.527"	"35.104"	"24.249"	"31.441"	"101.162"	"192.634"	"161.874"	"220.568"	"0.828"
"1921"	"78.258"	"0"	"0"	"39.845"	"25.243"	"49.793"	"143.895"	"167.387"	"130.234"	"162.314"	"86.312"	"15.113"
"1922"	"22.073"	"7.98"	"0"	"4.576"	"106.151"	"56.015"	"81.656"	"139.021"	"65.551"	"249.26"	"420.227"	"23.847"
"1923"	"64.267"	"0.081"	"32.719"	"13.458"	"20.761"	"41.827"	"23.001"	"15.371"	"100.949"	"133.257"	"8.77"	"32.524"
"1924"	"20.658"	"2.404"	"10.393"	"12.755"	"72.663"	"58.891"	"108.499"	"115.926"	"186.188"	"96.233"	"168.286"	"20.291"
"1925"	"12.655"	"1.544"	"25.17"	"32.58"	"205.893"	"28.567"	"49.102"	"142.45"	"98.416"	"148.318"	"174.709"	"160.251"
"1926"	"54.566"	"1.597"	"31.902"	"45.878"	"72.453"	"57.856"	"55.627"	"66.741"	"168.894"	"108.393"	"85.875"	"18.35"
"1927"	"10.756"	"10.114"	"5.968"	"29.435"	"91.877"	"95.767"	"57.314"	"98.19"	"158.808"	"62.913"	"118.651"	"21.7"
