
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"21.475"	"20.507"	"21.71"	"25.888"	"27.351"	"25.888"	"25.534"	"26.055"	"26.297"	"25.797"	"23.488"	"21.518"
"1902"	"20.115"	"19.386"	"22.196"	"25.861"	"27.496"	"26.03"	"25.534"	"26.596"	"26.297"	"25.797"	"22.988"	"21.555"
"1903"	"20.121"	"20.512"	"22.138"	"25.888"	"27.147"	"25.888"	"25.534"	"26.055"	"26.297"	"25.797"	"22.432"	"21.241"
"1904"	"19.594"	"19.273"	"20.908"	"25.888"	"25.791"	"25.684"	"25.534"	"26.055"	"26.297"	"25.797"	"22.974"	"21.358"
"1905"	"20.062"	"20.058"	"21.747"	"24.281"	"27.25"	"26.468"	"26.744"	"26.055"	"26.977"	"25.797"	"23.488"	"21.436"
"1906"	"20.062"	"20.432"	"21.269"	"25.888"	"27.496"	"25.879"	"25.534"	"26.055"	"26.297"	"25.797"	"23.488"	"21.555"
"1907"	"20.121"	"20.545"	"22.196"	"24.29"	"27.496"	"25.888"	"25.534"	"26.027"	"26.297"	"25.803"	"23.488"	"21.555"
"1908"	"20.121"	"19.373"	"20.866"	"25.888"	"27.464"	"26.363"	"25.422"	"26.055"	"26.297"	"25.797"	"22.632"	"21.484"
"1909"	"19.562"	"20.545"	"22.196"	"25.35"	"27.337"	"25.749"	"25.534"	"26.055"	"26.239"	"25.803"	"23.173"	"21.555"
"1910"	"20.121"	"20.058"	"20.852"	"25.888"	"27.496"	"26.059"	"25.534"	"26.055"	"26.297"	"25.797"	"22.578"	"21.227"
"1911"	"20.121"	"19.245"	"22.196"	"25.888"	"27.496"	"25.888"	"25.534"	"26.055"	"26.297"	"25.797"	"23.488"	"21.555"
"1912"	"19.738"	"20.545"	"22.196"	"25.861"	"27.496"	"26.137"	"25.534"	"26.055"	"26.297"	"25.797"	"23.133"	"21.448"
"1913"	"19.462"	"20.545"	"22.196"	"25.888"	"27.464"	"25.861"	"25.534"	"26.358"	"26.297"	"25.797"	"23.488"	"21.555"
"1914"	"20.121"	"20.545"	"22.196"	"25.36"	"27.496"	"25.818"	"25.534"	"26.055"	"26.297"	"25.797"	"23.488"	"21.555"
"1915"	"20.12"	"20.121"	"22.196"	"25.888"	"27.496"	"25.893"	"25.534"	"26.055"	"26.297"	"25.803"	"23.701"	"21.528"
"1916"	"19.646"	"20.432"	"21.069"	"25.888"	"27.496"	"25.551"	"25.534"	"26.055"	"26.297"	"25.803"	"23.488"	"20.976"
"1917"	"19.291"	"19.372"	"20.865"	"25.449"	"26.155"	"24.386"	"25.534"	"26.055"	"25.44"	"25.616"	"22.85"	"21.49"
"1918"	"20.115"	"19.35"	"20.877"	"25.318"	"25.796"	"25.879"	"25.957"	"26.055"	"25.794"	"25.803"	"23.843"	"21.555"
"1919"	"21.024"	"20.545"	"21.149"	"25.888"	"27.496"	"25.68"	"25.561"	"26.332"	"26.297"	"25.797"	"23.435"	"21.555"
"1920"	"20.026"	"20.205"	"22.619"	"25.888"	"27.496"	"25.861"	"26.29"	"26.055"	"26.7"	"25.797"	"23.406"	"21.468"
"1921"	"20.121"	"19.563"	"22.196"	"25.861"	"27.588"	"26.059"	"25.534"	"26.055"	"26.297"	"25.797"	"22.632"	"21.518"
"1922"	"20.12"	"19.438"	"22.196"	"25.888"	"27.496"	"25.879"	"25.534"	"26.055"	"26.297"	"25.797"	"23.488"	"20.223"
"1923"	"19.035"	"19.832"	"20.89"	"25.888"	"27.464"	"26.361"	"25.534"	"26.345"	"26.297"	"25.797"	"23.488"	"21.555"
"1924"	"19.478"	"20.545"	"22.14"	"25.861"	"27.464"	"25.829"	"25.534"	"26.055"	"26.284"	"25.797"	"22.774"	"21.478"
"1925"	"19.618"	"19.274"	"21.224"	"25.888"	"26.402"	"25.918"	"25.534"	"26.055"	"26.297"	"25.797"	"23.488"	"21.268"
"1926"	"20.121"	"20.545"	"22.196"	"25.888"	"27.496"	"25.879"	"25.739"	"26.055"	"26.297"	"25.803"	"23.2"	"21.555"
"1927"	"20.062"	"20.545"	"22.196"	"25.888"	"27.496"	"26.001"	"25.534"	"26.055"	"26.297"	"25.797"	"23.167"	"21.555"
"1928"	"20.039"	"20.545"	"21.057"	"25.888"	"27.469"	"25.893"	"25.534"	"26.055"	"26.297"	"25.797"	"23.101"	"21.555"
"1929"	"20.121"	"19.961"	"21.201"	"23.973"	"27.496"	"25.918"	"25.534"	"26.055"	"26.173"	"25.797"	"23.12"	"21.555"
"1930"	"19.862"	"19.902"	"22.196"	"25.888"	"25.763"	"25.888"	"25.534"	"26.055"	"26.297"	"25.748"	"22.945"	"21.555"
"1931"	"19.704"	"20.458"	"22.196"	"25.888"	"27.469"	"25.861"	"25.534"	"26.055"	"26.297"	"25.797"	"23.002"	"21.55"
"1932"	"19.321"	"19.581"	"21.209"	"25.888"	"25.829"	"26.046"	"25.534"	"25.948"	"26.297"	"25.517"	"23.488"	"21.544"
"1933"	"20.121"	"20.408"	"21.635"	"25.58"	"25.726"	"25.255"	"25.534"	"26.023"	"26.297"	"25.691"	"23.455"	"21.555"
"1934"	"19.745"	"19.299"	"20.852"	"25.856"	"27.496"	"25.814"	"25.534"	"26.055"	"26.297"	"25.797"	"22.6"	"21.439"
"1935"	"20.121"	"19.884"	"22.196"	"25.796"	"27.496"	"25.879"	"25.534"	"26.055"	"26.297"	"25.797"	"22.426"	"21.537"
"1936"	"20.07"	"20.36"	"21.687"	"25.888"	"27.491"	"25.748"	"25.534"	"26.055"	"26.297"	"25.803"	"23.406"	"21.555"
"1937"	"20.121"	"20.545"	"22.196"	"25.672"	"27.496"	"25.923"	"25.534"	"26.055"	"26.297"	"25.797"	"23.488"	"21.505"
"1938"	"20.121"	"20.545"	"22.196"	"25.888"	"27.469"	"25.411"	"25.534"	"26.055"	"26.297"	"25.803"	"22.951"	"21.449"
"1939"	"19.777"	"19.274"	"20.924"	"24.54"	"27.496"	"25.988"	"25.534"	"26.093"	"26.297"	"25.797"	"22.69"	"21.555"
"1940"	"18.763"	"19.344"	"22.164"	"25.158"	"27.496"	"25.861"	"25.534"	"26.055"	"26.297"	"25.797"	"23.387"	"21.555"
"1941"	"20.121"	"20.545"	"22.196"	"25.888"	"27.496"	"25.918"	"25.559"	"26.505"	"26.297"	"25.797"	"23.587"	"21.555"
"1942"	"20.121"	"20.458"	"22.196"	"25.888"	"27.496"	"25.861"	"25.534"	"26.055"	"26.297"	"25.797"	"23.493"	"21.555"
"1943"	"20.121"	"19.668"	"21.442"	"24.792"	"25.741"	"25.568"	"25.534"	"26.055"	"26.194"	"24.237"	"22.809"	"21.555"
"1944"	"20.095"	"20.392"	"20.47"	"24.394"	"27.496"	"25.918"	"25.534"	"26.055"	"26.297"	"25.797"	"23.172"	"21.555"
"1945"	"19.622"	"20.07"	"22.196"	"24.366"	"27.496"	"25.941"	"25.534"	"26.055"	"26.297"	"25.797"	"22.889"	"21.5"
"1946"	"18.827"	"19.788"	"22.196"	"25.888"	"27.496"	"25.603"	"25.534"	"26.055"	"26.297"	"25.797"	"23.728"	"21.555"
"1947"	"20.121"	"19.984"	"22.196"	"25.883"	"27.496"	"25.888"	"25.534"	"26.055"	"26.297"	"25.676"	"22.946"	"21.55"
"1948"	"20.114"	"20.545"	"22.196"	"25.888"	"27.464"	"25.917"	"25.534"	"26.055"	"26.297"	"25.797"	"23.455"	"21.55"
"1949"	"19.65"	"19.835"	"22.196"	"25.861"	"26.871"	"25.171"	"25.534"	"26.055"	"26.297"	"25.797"	"23.013"	"21.38"
"1950"	"19.889"	"20.058"	"21.457"	"25.888"	"27.496"	"25.888"	"25.534"	"26.055"	"26.297"	"25.797"	"22.818"	"21.555"
"1951"	"20.121"	"19.35"	"22.196"	"25.888"	"27.496"	"26.001"	"25.534"	"26.055"	"26.297"	"26.03"	"23.488"	"21.555"
"1952"	"20.121"	"20.545"	"22.196"	"25.861"	"27.496"	"25.861"	"25.534"	"26.055"	"26.297"	"25.797"	"22.787"	"21.696"
"1953"	"20.121"	"20.545"	"23.571"	"25.883"	"28.847"	"25.935"	"25.534"	"26.055"	"26.297"	"25.797"	"23.106"	"21.555"
"1954"	"20.121"	"20.545"	"22.196"	"25.888"	"27.53"	"26.059"	"25.534"	"26.055"	"26.297"	"25.381"	"22.334"	"21.555"
"1955"	"20.121"	"20.545"	"22.196"	"25.888"	"25.796"	"25.965"	"25.534"	"24.409"	"26.297"	"25.797"	"22.546"	"20.274"
"1956"	"20.115"	"19.331"	"22.196"	"25.888"	"27.038"	"24.331"	"24.035"	"26.055"	"26.297"	"24.367"	"23.556"	"21.555"
"1957"	"20.121"	"20.545"	"20.852"	"24.498"	"27.496"	"25.888"	"25.534"	"26.055"	"26.297"	"25.797"	"23.488"	"21.555"
"1958"	"20.115"	"20.545"	"22.196"	"25.888"	"27.469"	"26.702"	"25.534"	"26.055"	"26.297"	"25.797"	"23.4"	"21.555"
"1959"	"20.121"	"20.545"	"22.196"	"25.888"	"27.496"	"25.861"	"25.534"	"26.055"	"26.297"	"25.797"	"23.587"	"21.555"
"1960"	"20.115"	"20.197"	"22.196"	"25.856"	"27.459"	"25.888"	"25.534"	"26.473"	"26.297"	"25.797"	"23.488"	"21.555"
"1961"	"20.121"	"20.526"	"22.196"	"25.888"	"27.469"	"25.866"	"25.507"	"26.055"	"26.297"	"25.797"	"23.002"	"21.479"
"1962"	"20.089"	"20.184"	"22.196"	"25.883"	"26.777"	"25.926"	"25.534"	"26.055"	"26.297"	"25.797"	"22.945"	"21.555"
"1963"	"20.115"	"19.617"	"22.196"	"24.294"	"27.496"	"25.873"	"25.534"	"26.055"	"26.297"	"25.797"	"23.488"	"21.555"
"1964"	"20.121"	"20.545"	"22.196"	"25.888"	"28.158"	"25.932"	"25.534"	"26.055"	"26.297"	"25.803"	"22.818"	"21.555"
"1965"	"20.12"	"20.545"	"22.196"	"25.698"	"27.304"	"25.866"	"25.534"	"26.049"	"26.297"	"25.803"	"23.488"	"21.496"
"1966"	"20.12"	"20.545"	"22.196"	"25.888"	"27.464"	"25.888"	"25.534"	"26.148"	"26.297"	"25.803"	"23.616"	"21.555"
"1967"	"20.121"	"20.545"	"22.196"	"25.888"	"27.496"	"25.861"	"25.534"	"26.055"	"26.297"	"25.797"	"23.159"	"21.555"
"1968"	"20.018"	"19.719"	"22.196"	"25.823"	"27.496"	"25.918"	"25.534"	"26.396"	"26.297"	"25.797"	"23.406"	"21.555"
"1969"	"20.076"	"20.545"	"22.196"	"25.861"	"27.464"	"26.033"	"25.534"	"26.055"	"26.722"	"25.803"	"23.493"	"21.542"
"1970"	"20.121"	"20.545"	"22.083"	"25.888"	"27.496"	"25.509"	"25.534"	"26.055"	"26.297"	"25.797"	"22.951"	"20.159"
"1971"	"20.121"	"20.455"	"22.196"	"25.888"	"27.496"	"25.109"	"25.534"	"26.055"	"26.284"	"25.702"	"22.94"	"20.255"
"1972"	"18.884"	"20.473"	"21.494"	"25.901"	"25.847"	"25.988"	"25.534"	"26.768"	"26.297"	"25.803"	"23.387"	"21.555"
"1973"	"20.121"	"21.876"	"22.196"	"25.888"	"27.594"	"25.893"	"26.826"	"26.055"	"26.297"	"25.797"	"23.226"	"21.518"
"1974"	"20.121"	"19.732"	"21.177"	"25.888"	"27.464"	"25.861"	"25.534"	"26.055"	"26.297"	"25.797"	"23.098"	"20.925"
"1975"	"20.121"	"20.545"	"22.196"	"25.888"	"27.502"	"25.879"	"25.534"	"26.055"	"25.514"	"25.797"	"22.088"	"20.804"
"1976"	"18.826"	"19.4"	"21.61"	"25.661"	"27.496"	"25.879"	"25.534"	"24.768"	"26.297"	"25.797"	"23.898"	"21.542"
"1977"	"20.12"	"20.545"	"22.716"	"25.888"	"27.145"	"25.861"	"25.534"	"26.055"	"26.297"	"25.797"	"24.028"	"21.555"
"1978"	"20.121"	"20.399"	"22.196"	"25.888"	"27.496"	"25.817"	"25.534"	"26.055"	"26.297"	"25.797"	"24.028"	"21.555"
"1979"	"20.121"	"21.689"	"22.196"	"25.888"	"27.496"	"26.1"	"25.534"	"27.56"	"25.344"	"25.797"	"24.028"	"22.378"
"1980"	"20.121"	"21.058"	"22.196"	"25.888"	"27.829"	"25.846"	"25.534"	"26.055"	"26.297"	"25.797"	"23.737"	"21.555"
"1981"	"20.121"	"20.545"	"22.196"	"25.888"	"27.496"	"25.886"	"25.507"	"26.055"	"25.947"	"25.797"	"23.455"	"21.555"
"1982"	"20.121"	"20.973"	"22.196"	"25.888"	"27.496"	"25.904"	"25.534"	"26.962"	"26.297"	"25.797"	"23.488"	"21.555"
"1983"	"20.121"	"21.95"	"23.174"	"25.92"	"27.523"	"27.386"	"25.66"	"26.055"	"26.297"	"25.797"	"23.036"	"21.555"
"1984"	"20.115"	"20.546"	"22.339"	"25.861"	"28.246"	"25.888"	"25.534"	"26.055"	"26.297"	"25.797"	"23.488"	"21.568"
"1985"	"20.12"	"20.953"	"22.392"	"25.888"	"27.496"	"25.861"	"25.534"	"26.055"	"26.297"	"25.797"	"23.516"	"21.555"
"1986"	"20.121"	"20.545"	"22.196"	"25.893"	"27.623"	"25.893"	"26.192"	"26.055"	"27.234"	"25.803"	"23.843"	"21.891"
"1987"	"20.298"	"20.372"	"22.196"	"26.316"	"27.496"	"26.238"	"27.195"	"26.061"	"28.097"	"25.797"	"24.911"	"21.555"
"1988"	"20.447"	"21.05"	"23.855"	"25.888"	"27.894"	"26.407"	"25.534"	"26.055"	"26.297"	"26.786"	"23.387"	"21.555"
"1989"	"20.12"	"19.401"	"21.938"	"25.888"	"27.496"	"25.888"	"25.534"	"27.328"	"26.297"	"25.797"	"23.488"	"21.555"
