
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.8333"	"3.4964"	"0.5521"	"1.098"	"3.5235"	"2.5765"	"3.4037"	"4.9774"	"7.4329"	"5.5701"	"6.9477"	"3.3564"
"1902"	"2.2092"	"2.1401"	"0.9937"	"1.1378"	"4.6538"	"2.497"	"5.124"	"6.6756"	"8.0217"	"9.8474"	"5.9726"	"5.2675"
"1903"	"1.1251"	"1.0315"	"0"	"0.8589"	"8.247"	"3.3219"	"5.1618"	"7.1563"	"9.1258"	"7.4389"	"9.157"	"4.5642"
"1904"	"1.2086"	"0"	"0"	"1.1002"	"5.9008"	"2.7035"	"6.3265"	"4.0341"	"5.303"	"6.5159"	"1.3488"	"2.8524"
"1905"	"1.0884"	"0.3334"	"1.1303"	"3.6693"	"6.5254"	"2.0634"	"4.3445"	"7.2167"	"5.7758"	"10.5417"	"4.408"	"0.9523"
"1906"	"1.8642"	"1.89"	"1.167"	"0.2813"	"1.9354"	"3.7854"	"5.8825"	"7.6837"	"6.6761"	"7.1101"	"6.5077"	"5.9605"
"1907"	"0.3328"	"0.2763"	"1.1496"	"3.5812"	"2.8794"	"3.5731"	"5.1034"	"5.2417"	"8.2193"	"6.5073"	"6.7282"	"3.6864"
"1908"	"0.7945"	"2.8356"	"1.1993"	"0.9185"	"3.3565"	"2.641"	"4.8407"	"5.6528"	"7.5601"	"9.8409"	"3.4052"	"1.4688"
"1909"	"2.1197"	"0.7771"	"0"	"3.0329"	"7.3919"	"3.739"	"4.7927"	"8.0268"	"9.9191"	"5.2594"	"2.0773"	"1.2811"
"1910"	"0.1579"	"1.8826"	"0"	"1.6044"	"2.6641"	"3.9474"	"6.9004"	"7.3554"	"7.9323"	"9.7586"	"5.7286"	"0.7622"
"1911"	"0.0743"	"0"	"0.981"	"1.1309"	"4.2775"	"3.1379"	"5.3552"	"3.9955"	"8.1514"	"6.7068"	"6.0498"	"3.7418"
"1912"	"0.8645"	"0"	"0"	"0.2822"	"3.6193"	"3.6481"	"4.1033"	"7.3835"	"7.1545"	"8.7188"	"7.2791"	"0.9634"
"1913"	"0.0116"	"0.857"	"0.9159"	"1.0096"	"3.629"	"1.9558"	"4.6648"	"5.3214"	"7.5912"	"9.7197"	"4.5036"	"5.4628"
"1914"	"1.0791"	"1.2421"	"1.0669"	"4.3066"	"3.4755"	"2.9956"	"3.7991"	"6.7439"	"10.0027"	"8.1161"	"5.6328"	"3.9782"
"1915"	"1.7415"	"2.9992"	"1.8594"	"1.3473"	"4.616"	"3.0462"	"4.7573"	"6.4919"	"7.3724"	"3.7286"	"6.8483"	"1.9016"
"1916"	"0.0376"	"0.1006"	"0"	"1.0803"	"4.8162"	"2.8713"	"7.5085"	"7.0014"	"5.8986"	"9.3437"	"6.5064"	"2.2994"
"1917"	"0.9684"	"1.9623"	"0.9392"	"0.8589"	"4.0668"	"4.6896"	"4.6921"	"7.8632"	"7.6922"	"4.756"	"5.9253"	"3.017"
"1918"	"2.2073"	"2.3348"	"1.1268"	"0.9576"	"7.0447"	"4.3555"	"3.3456"	"3.2463"	"5.5244"	"1.8862"	"9.199"	"3.8098"
"1919"	"1.5186"	"0"	"1.1268"	"1.171"	"5.7161"	"3.3066"	"5.6962"	"3.9359"	"7.1917"	"6.08"	"8.2442"	"4.5025"
"1920"	"2.7119"	"0.8128"	"0"	"1.4006"	"2.2733"	"2.125"	"4.0211"	"6.2336"	"8.1343"	"7.4538"	"7.7876"	"0.7622"
"1921"	"3.416"	"0"	"0"	"2.4245"	"1.2181"	"3.9012"	"6.6367"	"6.5621"	"4.7579"	"9.283"	"3.8672"	"1.7126"
"1922"	"2.355"	"1.3395"	"0"	"0.9039"	"4.3802"	"2.7548"	"5.0801"	"5.1937"	"5.4726"	"8.1307"	"9.1404"	"2.6264"
"1923"	"2.838"	"0.0805"	"2.476"	"1.3992"	"2.2812"	"3.8598"	"3.2322"	"4.2177"	"7.2752"	"10.0046"	"2.9243"	"2.7608"
"1924"	"1.773"	"1.3218"	"1.7737"	"1.642"	"3.6603"	"2.4377"	"4.8343"	"5.5262"	"9.1766"	"6.1448"	"6.5179"	"2.2901"
"1925"	"1.2818"	"1.1549"	"2.309"	"1.6894"	"5.7695"	"3.0249"	"4.4543"	"7.6721"	"5.1671"	"6.9332"	"6.9343"	"5.8079"
"1926"	"2.5894"	"0.9648"	"1.3012"	"2.8872"	"4.1593"	"3.1465"	"3.97"	"5.9307"	"7.3257"	"6.0423"	"4.8234"	"1.7996"
"1927"	"1.052"	"1.3286"	"1.0951"	"2.6589"	"4.6493"	"4.9962"	"4.739"	"4.8447"	"6.6312"	"3.9314"	"3.908"	"1.9404"
"1928"	"1.2093"	"2.9889"	"1.3564"	"1.3981"	"3.0998"	"3.5913"	"4.9104"	"7.6223"	"5.5888"	"10.3823"	"4.7735"	"3.724"
"1929"	"1.1424"	"2.3337"	"1.1268"	"2.711"	"3.5671"	"4.6316"	"4.0229"	"5.764"	"8.2197"	"6.4259"	"6.2676"	"3.9443"
"1930"	"2.6971"	"2.6426"	"1.3725"	"0.9474"	"9.2155"	"4.1469"	"3.7662"	"3.6637"	"6.042"	"11.2508"	"6.7624"	"3.0057"
"1931"	"0.3862"	"0"	"0"	"1.9418"	"4.1748"	"3.5778"	"3.7034"	"3.872"	"6.9348"	"6.2372"	"5.7068"	"6.2842"
"1932"	"0.4752"	"2.1359"	"0"	"2.6605"	"6.8053"	"1.7999"	"3.6169"	"6.0941"	"5.8606"	"8.1346"	"6.7837"	"2.5682"
"1933"	"0.1896"	"0"	"1.6932"	"1.3691"	"5.4835"	"2.3246"	"5.1095"	"7.7859"	"4.8224"	"6.3336"	"3.879"	"4.4766"
"1934"	"1.7754"	"0"	"0"	"1.8293"	"2.8684"	"3.9423"	"5.0077"	"6.361"	"2.0434"	"10.2773"	"5.1749"	"1.6823"
"1935"	"1.957"	"0.7662"	"0.7009"	"2.2158"	"1.9104"	"3.4848"	"4.1505"	"7.0161"	"5.5853"	"8.7679"	"3.4743"	"2.7409"
"1936"	"0.6292"	"3.0301"	"2.3059"	"1.5618"	"5.9824"	"3.1391"	"5.2819"	"4.3196"	"8.1245"	"5.4303"	"7.3841"	"2.5001"
"1937"	"1.0184"	"1.4218"	"1.4866"	"3.2455"	"2.6008"	"2.2814"	"3.9427"	"5.1949"	"5.8371"	"7.8555"	"7.6707"	"2.544"
"1938"	"0.0681"	"2.3074"	"1.8923"	"2.4423"	"3.4335"	"3.6973"	"4.3626"	"7.6378"	"7.2151"	"5.426"	"2.6766"	"1.9694"
"1939"	"1.5483"	"0"	"1.2315"	"4.3125"	"3.1446"	"2.1066"	"2.9192"	"4.9836"	"8.3255"	"9.6306"	"7.5566"	"1.0531"
"1940"	"0.3056"	"1.1945"	"1.1503"	"3.2318"	"7.6499"	"3.8732"	"4.0846"	"4.9688"	"7.5962"	"7.9106"	"8.9586"	"3.4291"
"1941"	"1.4702"	"2.3261"	"0"	"2.7444"	"4.8111"	"1.4914"	"4.319"	"5.1927"	"9.0249"	"6.8077"	"5.9918"	"5.0764"
"1942"	"0.0116"	"0.1172"	"0"	"2.7742"	"3.1556"	"3.0632"	"3.1496"	"6.7782"	"9.7343"	"6.6408"	"3.2275"	"4.3915"
"1943"	"2.0547"	"1.0637"	"0.1179"	"2.4766"	"8.4813"	"3.4329"	"4"	"6.4573"	"6.2145"	"11.4312"	"4.8318"	"3.7545"
"1944"	"1.1643"	"2.3426"	"3.3078"	"1.5092"	"2.1287"	"3.5145"	"5.8985"	"5.5888"	"5.7861"	"8.553"	"7.8715"	"3.3966"
"1945"	"0.1595"	"0"	"0.0599"	"4.1182"	"3.3041"	"1.676"	"4.3671"	"6.0751"	"5.5081"	"4.9781"	"5.5026"	"0.7663"
"1946"	"1.4359"	"0.1797"	"2.1018"	"1.814"	"5.5322"	"2.9319"	"5.2679"	"5.5891"	"7.4826"	"7.3712"	"8.5538"	"6.711"
"1947"	"2.1656"	"0.312"	"1.0905"	"2.2096"	"4.5704"	"2.9417"	"6.2316"	"5.6762"	"8.443"	"7.5918"	"2.5977"	"2.1679"
