
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.95"	"4.72"	"5.38"	"5.83"	"5.98"	"5.45"	"5.18"	"5.04"	"4.93"	"4.23"	"3.63"	"3.34"
"1902"	"3.81"	"4.5"	"5.47"	"5.84"	"6.06"	"5.48"	"5.2"	"5.1"	"4.83"	"4.17"	"3.64"	"3.44"
"1903"	"3.89"	"4.66"	"5.5"	"5.82"	"5.9"	"5.38"	"5.11"	"5.01"	"4.81"	"4.19"	"3.57"	"3.34"
"1904"	"3.78"	"4.49"	"5.41"	"5.86"	"5.9"	"5.38"	"5.1"	"5.07"	"4.92"	"4.22"	"3.61"	"3.38"
"1905"	"3.76"	"4.65"	"5.53"	"5.77"	"5.95"	"5.51"	"5.27"	"5.08"	"4.94"	"4.21"	"3.64"	"3.37"
"1906"	"3.92"	"4.75"	"5.38"	"5.96"	"6.15"	"5.41"	"5.19"	"4.98"	"4.82"	"4.22"	"3.64"	"3.42"
"1907"	"3.79"	"4.56"	"5.46"	"5.76"	"6.04"	"5.42"	"5.17"	"5.07"	"4.92"	"4.23"	"3.62"	"3.42"
"1908"	"3.82"	"4.54"	"5.36"	"5.95"	"6.04"	"5.51"	"5.14"	"5.05"	"4.83"	"4.23"	"3.58"	"3.37"
"1909"	"3.82"	"4.61"	"5.51"	"5.8"	"5.93"	"5.41"	"5.09"	"4.98"	"4.78"	"4.24"	"3.69"	"3.45"
"1910"	"3.83"	"4.59"	"5.43"	"5.88"	"6.07"	"5.4"	"5.14"	"4.96"	"4.78"	"4.21"	"3.56"	"3.34"
"1911"	"3.83"	"4.46"	"5.46"	"5.84"	"5.99"	"5.42"	"5.18"	"5.1"	"4.94"	"4.22"	"3.65"	"3.41"
"1912"	"3.77"	"4.71"	"5.55"	"5.86"	"6.12"	"5.5"	"5.19"	"5.08"	"4.91"	"4.22"	"3.61"	"3.35"
"1913"	"3.78"	"4.65"	"5.52"	"5.92"	"6.04"	"5.46"	"5.12"	"5.13"	"4.95"	"4.18"	"3.62"	"3.43"
"1914"	"3.79"	"4.61"	"5.52"	"5.81"	"6.08"	"5.54"	"5.19"	"5.02"	"4.86"	"4.19"	"3.64"	"3.45"
"1915"	"3.89"	"4.67"	"5.47"	"5.85"	"6.1"	"5.47"	"5.17"	"5.16"	"4.88"	"4.28"	"3.66"	"3.39"
"1916"	"3.77"	"4.64"	"5.43"	"5.92"	"5.96"	"5.38"	"5.11"	"5.02"	"4.86"	"4.22"	"3.63"	"3.37"
"1917"	"3.78"	"4.52"	"5.37"	"5.83"	"5.92"	"5.26"	"5.17"	"5"	"4.79"	"4.16"	"3.64"	"3.38"
"1918"	"3.78"	"4.46"	"5.33"	"5.8"	"5.88"	"5.35"	"5.24"	"5.14"	"4.89"	"4.29"	"3.67"	"3.41"
