
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"29.886"	"31.541"	"32.579"	"34.964"	"35.42"	"33.931"	"32.393"	"31.818"	"32.059"	"30.43"	"28.602"	"27.038"
"1902"	"28.335"	"29.794"	"33.281"	"35.022"	"36.08"	"34.136"	"32.694"	"32.269"	"31.251"	"29.709"	"28.539"	"28.025"
"1903"	"29.086"	"31.155"	"33.399"	"34.958"	"34.802"	"33.334"	"32.146"	"31.565"	"30.951"	"29.915"	"27.743"	"27.033"
"1904"	"28.136"	"29.697"	"32.827"	"35.161"	"34.626"	"33.199"	"31.858"	"32.032"	"32.051"	"30.307"	"28.343"	"27.281"
"1905"	"27.93"	"31.041"	"33.711"	"34.49"	"35.266"	"34.385"	"33.411"	"32.169"	"32.212"	"30.094"	"28.802"	"27.265"
"1906"	"29.315"	"31.894"	"32.563"	"35.927"	"36.729"	"33.517"	"32.611"	"31.324"	"31.106"	"30.16"	"28.731"	"27.634"
"1907"	"28.237"	"30.38"	"33.174"	"34.315"	"35.87"	"33.634"	"32.363"	"31.992"	"32.052"	"30.35"	"28.462"	"27.618"
"1908"	"28.671"	"30.177"	"32.471"	"35.725"	"35.73"	"34.377"	"32.176"	"31.887"	"31.152"	"30.345"	"27.881"	"27.219"
"1909"	"28.593"	"30.686"	"33.474"	"34.581"	"34.969"	"33.469"	"31.857"	"31.381"	"30.753"	"30.676"	"29.365"	"28.338"
"1910"	"28.789"	"30.578"	"33.024"	"35.403"	"36.179"	"33.428"	"32.216"	"31.139"	"30.81"	"30.063"	"27.677"	"26.924"
"1911"	"28.791"	"29.281"	"33.059"	"35.029"	"35.476"	"33.736"	"32.595"	"32.285"	"32.16"	"30.214"	"28.842"	"27.83"
"1912"	"27.875"	"31.438"	"33.889"	"35.16"	"36.577"	"34.233"	"32.461"	"32.032"	"31.927"	"30.151"	"28.313"	"27.083"
"1913"	"28.093"	"31"	"33.685"	"35.597"	"35.853"	"34.021"	"32.133"	"32.502"	"32.313"	"29.809"	"28.342"	"27.996"
"1914"	"28.142"	"30.684"	"33.65"	"34.874"	"36.126"	"34.63"	"32.522"	"31.62"	"31.485"	"29.912"	"28.644"	"28.29"
"1915"	"29.095"	"31.23"	"33.382"	"35.052"	"36.334"	"33.982"	"32.399"	"32.707"	"31.759"	"30.923"	"28.955"	"27.413"
"1916"	"28.047"	"30.892"	"33.039"	"35.532"	"35.312"	"33.171"	"31.968"	"31.691"	"31.463"	"30.16"	"28.537"	"27.173"
"1917"	"28.082"	"29.978"	"32.462"	"34.871"	"34.82"	"32.267"	"32.5"	"31.524"	"30.834"	"29.67"	"28.74"	"27.323"
"1918"	"28.125"	"29.333"	"32.122"	"34.619"	"34.463"	"32.994"	"33.17"	"32.534"	"31.818"	"30.959"	"29.142"	"27.922"
"1919"	"29.844"	"31.506"	"32.873"	"35.595"	"35.618"	"33.379"	"32.164"	"32.324"	"31.458"	"30.399"	"28.896"	"28.016"
"1920"	"28.535"	"31.223"	"33.599"	"34.915"	"36.005"	"33.876"	"33.172"	"32.197"	"32.082"	"30.532"	"28.744"	"27.375"
"1921"	"29.48"	"30.126"	"33.426"	"34.665"	"36.871"	"34.083"	"32.011"	"31.876"	"31.256"	"29.764"	"27.83"	"27.37"
"1922"	"28.63"	"30.073"	"33.51"	"35.513"	"35.484"	"33.798"	"32.4"	"32.191"	"31.941"	"29.809"	"28.445"	"26.776"
"1923"	"27.677"	"30.085"	"32.456"	"34.785"	"35.488"	"34.496"	"32.525"	"32.508"	"31.397"	"30.192"	"28.833"	"27.829"
"1924"	"28.584"	"30.753"	"33.055"	"35.722"	"36.079"	"33.979"	"32.214"	"32.225"	"31.032"	"30.35"	"28.189"	"27.065"
"1925"	"28.317"	"30.037"	"32.611"	"35.26"	"34.838"	"33.732"	"32.404"	"31.776"	"31.922"	"29.841"	"28.102"	"27.167"
"1926"	"28.88"	"30.496"	"33.816"	"35.211"	"36.059"	"34.658"	"32.965"	"32.243"	"31.602"	"30.205"	"28.184"	"27.626"
"1927"	"29.141"	"31.198"	"34.073"	"35.676"	"35.952"	"33.646"	"32.452"	"32.373"	"31.617"	"30.476"	"28.079"	"27.77"
"1928"	"29.217"	"30.828"	"32.755"	"35.375"	"36.636"	"34.288"	"32.664"	"31.778"	"31.944"	"30.117"	"28.6"	"27.53"
"1929"	"28.942"	"30.434"	"32.665"	"34.416"	"35.681"	"33.685"	"32.917"	"32.177"	"31.858"	"30.25"	"28.358"	"27.859"
"1930"	"28.65"	"30.425"	"33.108"	"34.882"	"34.673"	"33.217"	"32.844"	"32.179"	"31.672"	"29.645"	"28.036"	"27.775"
"1931"	"28.717"	"30.574"	"33.399"	"35.419"	"36.2"	"34.222"	"32.448"	"32.281"	"31.444"	"30.706"	"28.55"	"27.565"
"1932"	"27.962"	"30.424"	"32.852"	"35.014"	"34.756"	"33.798"	"32.426"	"31.919"	"31.551"	"30.152"	"28.651"	"27.466"
"1933"	"28.622"	"30.442"	"32.853"	"34.859"	"34.612"	"33.267"	"32.368"	"31.73"	"31.62"	"29.612"	"28.637"	"27.279"
"1934"	"28.61"	"29.621"	"32.558"	"34.921"	"35.889"	"33.532"	"32.463"	"31.724"	"32.198"	"30.356"	"27.943"	"26.917"
"1935"	"28.633"	"30.518"	"33.198"	"35.249"	"36.531"	"34.025"	"32.467"	"31.528"	"31.254"	"30.154"	"28.003"	"27.676"
"1936"	"29.145"	"31.326"	"32.749"	"35.462"	"35.52"	"32.743"	"32.218"	"31.671"	"31.764"	"30.35"	"28.592"	"28.146"
"1937"	"28.611"	"31.304"	"33.505"	"34.638"	"35.856"	"34.038"	"32.018"	"32.086"	"31.925"	"29.86"	"28.084"	"27.122"
"1938"	"28.797"	"31.351"	"33.83"	"35.08"	"36.361"	"32.805"	"32.26"	"31.531"	"31.156"	"30.216"	"28.245"	"27.62"
"1939"	"28.228"	"29.738"	"32.671"	"34.464"	"36.049"	"33.901"	"32.171"	"32.33"	"31.604"	"30.312"	"28.095"	"27.429"
"1940"	"27.621"	"29.986"	"33.967"	"34.557"	"35.615"	"33.532"	"32.357"	"31.987"	"31.909"	"30.356"	"28.289"	"27.679"
"1941"	"29.119"	"30.923"	"33.672"	"35.629"	"36.267"	"33.633"	"33.332"	"32.842"	"31.452"	"30.299"	"28.732"	"27.689"
"1942"	"28.641"	"30.885"	"32.98"	"35.157"	"36.216"	"33.982"	"32.758"	"31.832"	"31.952"	"30.312"	"28.387"	"27.928"
"1943"	"28.897"	"30.12"	"33.031"	"34.741"	"34.53"	"33.018"	"31.849"	"31.778"	"30.994"	"28.918"	"28.449"	"27.383"
"1944"	"28.923"	"30.787"	"32.108"	"34.572"	"35.559"	"33.518"	"31.715"	"32.026"	"31.386"	"30.455"	"28.642"	"27.478"
"1945"	"28.672"	"31.325"	"33.364"	"34.728"	"35.819"	"34.131"	"32.34"	"31.782"	"31.192"	"30.285"	"27.897"	"27.465"
"1946"	"27.786"	"30.169"	"33.605"	"34.908"	"35.745"	"33.405"	"32.404"	"31.636"	"31.188"	"30.223"	"28.799"	"27.587"
"1947"	"29.185"	"30.034"	"33.271"	"34.93"	"35.912"	"34.101"	"32.095"	"31.73"	"30.992"	"29.704"	"28.379"	"27.634"
"1948"	"28.964"	"31.255"	"33.271"	"35.052"	"35.821"	"34.25"	"32.4"	"31.816"	"31.555"	"30.307"	"29.274"	"27.376"
"1949"	"28.173"	"30.303"	"33.619"	"35.367"	"34.908"	"32.846"	"31.657"	"31.471"	"30.749"	"30.666"	"28.096"	"27.024"
"1950"	"28.124"	"30.771"	"33.363"	"35.167"	"35.918"	"33.634"	"31.908"	"31.628"	"30.767"	"29.64"	"28.079"	"27.36"
"1951"	"28.467"	"30.023"	"33.65"	"34.907"	"35.606"	"33.284"	"32.018"	"32.384"	"31.872"	"30.716"	"29.235"	"27.457"
"1952"	"28.976"	"31.191"	"33.859"	"35.867"	"35.516"	"33.732"	"32.638"	"31.876"	"32"	"30.017"	"28.685"	"27.724"
