
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.426"	"40.846"	"0.087"	"20.636"	"75.978"	"37.752"	"50.849"	"37.392"	"205.704"	"183.34"	"171.101"	"169.398"
"1902"	"35.589"	"7.696"	"1.271"	"22.37"	"92.314"	"96.367"	"49.389"	"260.17"	"173.469"	"291.877"	"85.904"	"76.766"
"1903"	"22.022"	"1.035"	"0"	"5.267"	"144.616"	"98.831"	"108.07"	"144.207"	"350.291"	"162.162"	"398.275"	"185.971"
"1904"	"14.054"	"0"	"0"	"12.604"	"152.837"	"25.246"	"91.211"	"35.38"	"82.194"	"179.49"	"4.29"	"16.685"
"1905"	"15.942"	"2.037"	"24.149"	"33.245"	"66.621"	"33.94"	"34.461"	"178.849"	"68.441"	"226.569"	"91.86"	"2.41"
"1906"	"28.279"	"10.445"	"4.907"	"0.293"	"17.786"	"87.786"	"111.464"	"305.84"	"135.218"	"114.498"	"56.776"	"74.007"
"1907"	"1.108"	"0.035"	"31.519"	"86.988"	"42.012"	"60.798"	"69.439"	"55.032"	"189.575"	"95.766"	"174.273"	"44.489"
"1908"	"0.941"	"17.35"	"4.558"	"5.198"	"71.752"	"30.481"	"48.369"	"35.646"	"155.644"	"180.239"	"22.551"	"10.288"
"1909"	"33.274"	"0.142"	"0"	"91.917"	"222.524"	"24.623"	"23.252"	"251.322"	"194.503"	"164.814"	"18.477"	"2.865"
"1910"	"0.047"	"1.82"	"0.04"	"26.556"	"58.799"	"58.752"	"223.185"	"250.684"	"96.305"	"286.826"	"168.397"	"0.601"
"1911"	"0"	"0"	"7.131"	"42.961"	"89.699"	"47.699"	"61.007"	"21.352"	"79.645"	"100.128"	"109.968"	"95.85"
"1912"	"0.611"	"0.016"	"0.109"	"0.409"	"61.918"	"56.47"	"41.728"	"111.228"	"213.015"	"317.384"	"273.628"	"1.283"
"1913"	"0"	"0.4"	"5.822"	"14.673"	"76.196"	"46.812"	"36.827"	"66.148"	"117.861"	"204.56"	"49.267"	"74.215"
