
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.268"	"19.345"	"20.368"	"24.725"	"26.074"	"25.115"	"24.822"	"25.233"	"25.413"	"24.923"	"22.47"	"20.447"
"1902"	"19.052"	"18.354"	"20.927"	"24.716"	"26.407"	"25.216"	"24.822"	"25.867"	"25.413"	"24.923"	"21.919"	"20.518"
"1903"	"19.052"	"19.382"	"20.916"	"24.728"	"26.031"	"25.115"	"24.822"	"25.233"	"25.413"	"24.923"	"21.323"	"20.157"
"1904"	"18.514"	"18.236"	"19.649"	"24.728"	"24.713"	"24.729"	"24.822"	"25.233"	"25.413"	"24.923"	"21.906"	"20.206"
"1905"	"19.043"	"18.945"	"20.451"	"23.127"	"26.128"	"25.879"	"26.097"	"25.233"	"25.91"	"24.923"	"22.488"	"20.381"
"1906"	"19.043"	"19.303"	"19.959"	"24.728"	"26.407"	"25.117"	"24.822"	"25.233"	"25.413"	"24.923"	"22.47"	"20.518"
"1907"	"19.052"	"19.449"	"20.927"	"23.093"	"26.402"	"25.115"	"24.822"	"25.224"	"25.413"	"24.923"	"22.47"	"20.518"
"1908"	"19.052"	"18.338"	"19.595"	"24.728"	"26.35"	"25.879"	"24.748"	"25.233"	"25.413"	"24.923"	"21.495"	"20.316"
"1909"	"18.565"	"19.449"	"20.927"	"24.032"	"26.251"	"24.846"	"24.822"	"25.233"	"25.404"	"24.923"	"22.11"	"20.518"
"1910"	"19.052"	"18.932"	"19.631"	"24.728"	"26.407"	"25.302"	"24.822"	"25.233"	"25.413"	"24.923"	"21.466"	"20.084"
"1911"	"19.052"	"18.124"	"20.927"	"24.725"	"26.402"	"25.115"	"24.822"	"25.233"	"25.413"	"24.923"	"22.468"	"20.518"
"1912"	"18.828"	"19.449"	"20.927"	"24.701"	"26.402"	"25.46"	"24.822"	"25.233"	"25.413"	"24.923"	"22.092"	"20.346"
"1913"	"18.459"	"19.449"	"20.927"	"24.728"	"26.352"	"25.107"	"24.822"	"25.444"	"25.413"	"24.923"	"22.47"	"20.518"
"1914"	"19.052"	"19.449"	"20.927"	"24.007"	"26.406"	"24.937"	"24.823"	"25.233"	"25.389"	"24.923"	"22.47"	"20.518"
"1915"	"19.052"	"18.947"	"20.927"	"24.728"	"26.407"	"25.152"	"24.822"	"25.233"	"25.405"	"24.923"	"22.719"	"20.498"
"1916"	"18.715"	"19.303"	"19.765"	"24.728"	"26.407"	"24.616"	"24.822"	"25.226"	"25.413"	"24.923"	"22.47"	"20.137"
"1917"	"18.272"	"18.281"	"19.625"	"24.11"	"24.974"	"23.671"	"24.822"	"25.233"	"24.471"	"24.661"	"21.816"	"20.4"
"1918"	"19.052"	"18.309"	"19.621"	"23.983"	"24.719"	"25.141"	"25.537"	"25.233"	"25.086"	"24.923"	"22.937"	"20.518"
"1919"	"20.003"	"19.449"	"19.858"	"24.728"	"26.402"	"24.758"	"24.835"	"25.592"	"25.413"	"24.923"	"22.46"	"20.518"
"1920"	"19.014"	"19.065"	"21.219"	"24.728"	"26.401"	"25.105"	"25.651"	"25.233"	"25.597"	"24.923"	"22.392"	"20.432"
"1921"	"19.052"	"18.555"	"20.927"	"24.716"	"26.613"	"25.302"	"24.822"	"25.233"	"25.413"	"24.923"	"21.503"	"20.455"
"1922"	"19.052"	"18.463"	"20.927"	"24.728"	"26.407"	"25.115"	"24.822"	"25.233"	"25.413"	"24.923"	"22.47"	"19.225"
"1923"	"17.956"	"18.655"	"19.63"	"24.714"	"26.352"	"25.787"	"24.822"	"25.396"	"25.413"	"24.923"	"22.47"	"20.518"
"1924"	"18.51"	"19.449"	"20.892"	"24.716"	"26.357"	"25.107"	"24.822"	"25.233"	"25.401"	"24.923"	"21.665"	"20.496"
"1925"	"18.719"	"18.232"	"19.962"	"24.728"	"25.091"	"25.152"	"24.822"	"25.233"	"25.413"	"24.923"	"22.47"	"20.226"
"1926"	"19.052"	"19.449"	"20.927"	"24.711"	"26.406"	"25.139"	"25.078"	"25.233"	"25.413"	"24.923"	"22.128"	"20.518"
"1927"	"19.043"	"19.449"	"20.927"	"24.728"	"26.407"	"25.293"	"24.822"	"25.233"	"25.413"	"24.923"	"22.065"	"20.518"
"1928"	"19.018"	"19.449"	"19.812"	"24.728"	"26.395"	"25.152"	"24.822"	"25.233"	"25.413"	"24.923"	"22.111"	"20.518"
"1929"	"19.052"	"18.754"	"19.923"	"22.967"	"26.407"	"25.156"	"24.822"	"25.233"	"25.348"	"24.923"	"22.115"	"20.518"
"1930"	"18.926"	"18.733"	"20.927"	"24.728"	"24.739"	"25.115"	"24.822"	"25.233"	"25.413"	"24.915"	"21.914"	"20.518"
"1931"	"18.73"	"19.392"	"20.927"	"24.728"	"26.398"	"25.103"	"24.822"	"25.233"	"25.413"	"24.923"	"21.964"	"20.518"
"1932"	"18.15"	"18.416"	"19.823"	"24.728"	"24.776"	"25.278"	"24.822"	"25.202"	"25.413"	"24.725"	"22.47"	"20.518"
"1933"	"19.052"	"19.38"	"20.274"	"24.315"	"24.697"	"24.3"	"24.816"	"25.233"	"25.413"	"24.801"	"22.418"	"20.514"
"1934"	"18.754"	"18.275"	"19.626"	"24.674"	"26.407"	"25.106"	"24.822"	"25.233"	"25.413"	"24.923"	"21.458"	"20.374"
"1935"	"19.052"	"18.733"	"20.927"	"24.602"	"26.406"	"25.123"	"24.822"	"25.233"	"25.413"	"24.923"	"21.27"	"20.514"
"1936"	"19.048"	"19.231"	"20.289"	"24.728"	"26.364"	"24.848"	"24.823"	"25.233"	"25.413"	"24.923"	"22.384"	"20.518"
"1937"	"19.052"	"19.449"	"20.927"	"24.255"	"26.407"	"25.152"	"24.822"	"25.233"	"25.413"	"24.923"	"22.47"	"20.514"
