
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
"1902"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
"1903"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
"1904"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
"1905"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
"1906"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
"1907"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
"1908"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
"1909"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
"1910"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
"1911"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
"1912"	"30.172"	"25.142"	"26.414"	"37.351"	"48.228"	"68.17"	"77.461"	"70.937"	"62.909"	"60.392"	"51.086"	"40.723"
