
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.8"	"4.46"	"5.08"	"5.41"	"5.72"	"5.5"	"5.28"	"5.15"	"4.94"	"4.21"	"3.57"	"3.3"
"1902"	"3.7"	"4.29"	"5.13"	"5.43"	"5.77"	"5.51"	"5.29"	"5.17"	"4.88"	"4.15"	"3.56"	"3.34"
"1903"	"3.74"	"4.43"	"5.15"	"5.44"	"5.67"	"5.45"	"5.26"	"5.12"	"4.85"	"4.18"	"3.53"	"3.26"
"1904"	"3.66"	"4.28"	"5.08"	"5.44"	"5.65"	"5.43"	"5.22"	"5.16"	"4.93"	"4.19"	"3.57"	"3.28"
"1905"	"3.64"	"4.42"	"5.19"	"5.38"	"5.7"	"5.54"	"5.4"	"5.19"	"4.96"	"4.18"	"3.58"	"3.29"
"1906"	"3.75"	"4.5"	"5.08"	"5.52"	"5.84"	"5.46"	"5.31"	"5.08"	"4.88"	"4.18"	"3.57"	"3.33"
"1907"	"3.66"	"4.36"	"5.14"	"5.36"	"5.77"	"5.49"	"5.27"	"5.15"	"4.93"	"4.19"	"3.56"	"3.33"
"1908"	"3.69"	"4.32"	"5.06"	"5.52"	"5.76"	"5.52"	"5.25"	"5.14"	"4.84"	"4.19"	"3.51"	"3.27"
"1909"	"3.7"	"4.39"	"5.17"	"5.4"	"5.66"	"5.44"	"5.21"	"5.06"	"4.81"	"4.22"	"3.63"	"3.37"
"1910"	"3.69"	"4.37"	"5.07"	"5.43"	"5.79"	"5.44"	"5.25"	"5.07"	"4.83"	"4.18"	"3.51"	"3.27"
"1911"	"3.69"	"4.28"	"5.11"	"5.42"	"5.71"	"5.44"	"5.29"	"5.18"	"4.94"	"4.18"	"3.57"	"3.33"
"1912"	"3.64"	"4.44"	"5.19"	"5.45"	"5.84"	"5.51"	"5.29"	"5.16"	"4.93"	"4.18"	"3.56"	"3.29"
"1913"	"3.64"	"4.42"	"5.19"	"5.48"	"5.77"	"5.53"	"5.25"	"5.21"	"4.94"	"4.15"	"3.53"	"3.33"
"1914"	"3.66"	"4.39"	"5.17"	"5.42"	"5.78"	"5.56"	"5.29"	"5.1"	"4.87"	"4.15"	"3.57"	"3.34"
"1915"	"3.73"	"4.42"	"5.13"	"5.42"	"5.8"	"5.49"	"5.26"	"5.24"	"4.91"	"4.25"	"3.6"	"3.32"
"1916"	"3.65"	"4.41"	"5.12"	"5.47"	"5.71"	"5.4"	"5.22"	"5.11"	"4.86"	"4.18"	"3.57"	"3.26"
"1917"	"3.63"	"4.32"	"5.05"	"5.4"	"5.64"	"5.32"	"5.27"	"5.1"	"4.81"	"4.14"	"3.57"	"3.27"
"1918"	"3.64"	"4.24"	"4.99"	"5.38"	"5.62"	"5.37"	"5.3"	"5.2"	"4.88"	"4.22"	"3.59"	"3.33"
"1919"	"3.8"	"4.47"	"5.07"	"5.48"	"5.76"	"5.43"	"5.25"	"5.18"	"4.85"	"4.19"	"3.58"	"3.33"
"1920"	"3.69"	"4.43"	"5.17"	"5.42"	"5.78"	"5.51"	"5.36"	"5.18"	"4.93"	"4.23"	"3.57"	"3.28"
"1921"	"3.74"	"4.35"	"5.17"	"5.4"	"5.88"	"5.53"	"5.24"	"5.14"	"4.88"	"4.15"	"3.53"	"3.29"
"1922"	"3.69"	"4.32"	"5.13"	"5.45"	"5.74"	"5.5"	"5.28"	"5.18"	"4.93"	"4.15"	"3.57"	"3.25"
"1923"	"3.62"	"4.35"	"5.07"	"5.42"	"5.74"	"5.54"	"5.31"	"5.21"	"4.89"	"4.18"	"3.58"	"3.32"
"1924"	"3.68"	"4.4"	"5.13"	"5.49"	"5.83"	"5.52"	"5.27"	"5.18"	"4.85"	"4.2"	"3.54"	"3.26"
"1925"	"3.65"	"4.33"	"5.07"	"5.47"	"5.66"	"5.48"	"5.27"	"5.13"	"4.93"	"4.17"	"3.54"	"3.28"
"1926"	"3.7"	"4.37"	"5.19"	"5.45"	"5.77"	"5.56"	"5.32"	"5.19"	"4.9"	"4.19"	"3.53"	"3.33"
