
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.678"	"56.828"	"1.911"	"13.231"	"42.545"	"31.489"	"37.95"	"79.028"	"186.779"	"146.122"	"224.615"	"179.298"
"1902"	"46.882"	"24.195"	"9.485"	"13.448"	"84.519"	"41.351"	"70.879"	"156.964"	"142.87"	"319.977"	"153.971"	"178.85"
"1903"	"25.376"	"7.976"	"0.011"	"3.301"	"202.048"	"50.219"	"56.328"	"123.736"	"248.203"	"147.447"	"298.051"	"221.16"
"1904"	"21.771"	"0"	"0.011"	"10.598"	"122.864"	"25.677"	"99.127"	"41.926"	"90.084"	"169.507"	"14.264"	"46.542"
"1905"	"24.029"	"0.45"	"18.67"	"95.751"	"118.024"	"30.348"	"48.339"	"148.625"	"52.131"	"349.765"	"117.266"	"1.798"
"1906"	"42.822"	"10.07"	"10.844"	"0.293"	"32.475"	"46.017"	"70.648"	"203.764"	"93.142"	"117.629"	"203.18"	"191.796"
"1907"	"1.446"	"0.873"	"4.808"	"88.84"	"34.781"	"26.384"	"56.297"	"71.248"	"190.19"	"136.013"	"234.915"	"49.413"
"1908"	"1.99"	"25.772"	"3.156"	"10.173"	"46.621"	"38.135"	"55.669"	"60.494"	"159.422"	"304.929"	"44.63"	"18.429"
"1909"	"52.031"	"3.531"	"0.011"	"53.941"	"189.017"	"49.556"	"54.477"	"169.961"	"268.955"	"131.657"	"23.761"	"7.633"
"1910"	"0.429"	"19.706"	"0.011"	"20.833"	"30.433"	"52.814"	"122.67"	"202.173"	"152.067"	"311.943"	"143.182"	"1.325"
"1911"	"0.509"	"0"	"8.687"	"18.165"	"43.498"	"20.435"	"59.606"	"47.974"	"145.495"	"133.363"	"148.412"	"145.849"
"1912"	"8.415"	"0"	"0.011"	"0.424"	"34.133"	"40.113"	"30.63"	"128.192"	"145.072"	"249.074"	"318.27"	"5.454"
"1913"	"0.056"	"0.598"	"3.303"	"16.225"	"64.52"	"27.708"	"30.684"	"86.624"	"207.05"	"322.306"	"243.341"	"158.07"
"1914"	"7.041"	"6.127"	"2.68"	"99.503"	"42.197"	"36.513"	"36.507"	"138.015"	"240.237"	"270.13"	"172.678"	"129.061"
"1915"	"24.458"	"35.503"	"34.127"	"25.997"	"72.835"	"29.459"	"99.72"	"105.38"	"135.481"	"54.083"	"210.422"	"29.105"
"1916"	"0.056"	"12.219"	"0.011"	"14.277"	"53.974"	"20.086"	"189.707"	"133.699"	"123.791"	"325.826"	"173.451"	"57.567"
"1917"	"8.731"	"18.262"	"3.604"	"1.935"	"70.542"	"96.9"	"69.607"	"215.879"	"143.297"	"112.509"	"172.964"	"43.471"
"1918"	"55.572"	"19.828"	"23.947"	"8.312"	"128.841"	"63.429"	"33.378"	"44.507"	"84.97"	"16.349"	"354.651"	"82.774"
"1919"	"20.473"	"0"	"17.072"	"8.295"	"104.798"	"44.681"	"87.852"	"44.412"	"151.572"	"92.858"	"327.337"	"101.5"
"1920"	"82.069"	"0.466"	"0.011"	"16.249"	"21.416"	"16.02"	"43.323"	"98.795"	"192.491"	"176.587"	"339.416"	"1.059"
"1921"	"117.819"	"0"	"0.011"	"30.832"	"23.332"	"61.445"	"117.096"	"165.877"	"80.548"	"239.652"	"86.041"	"24.825"
"1922"	"37.204"	"7.892"	"0.011"	"4.68"	"83.103"	"44.847"	"73.495"	"118.937"	"80.936"	"260.046"	"395.227"	"28.857"
"1923"	"81.496"	"0"	"47.18"	"14.142"	"17.555"	"51.835"	"23.944"	"34.529"	"120.036"	"253.366"	"16.703"	"59.124"
"1924"	"26.811"	"1.282"	"22.367"	"10.802"	"53.584"	"33.411"	"81.33"	"83.793"	"194.28"	"111.06"	"175.141"	"37.718"
"1925"	"17.642"	"1.272"	"36.365"	"25.575"	"137.016"	"34.706"	"44.869"	"160.477"	"77.33"	"157.026"	"210.206"	"216.86"
"1926"	"65.415"	"0.938"	"20.896"	"46.692"	"72.404"	"41.572"	"42.042"	"74.955"	"153.21"	"117.11"	"126.96"	"25.375"
"1927"	"10.185"	"10.163"	"3.699"	"54.024"	"98.561"	"95.734"	"55.797"	"72.979"	"82.829"	"60.936"	"91.405"	"35.425"
"1928"	"20.237"	"45.11"	"8.68"	"25.092"	"52.917"	"48.231"	"55.448"	"161.94"	"84.482"	"290.787"	"185.184"	"116.287"
"1929"	"8.575"	"19.943"	"5.731"	"55.201"	"47.885"	"57.672"	"49.952"	"90.097"	"129.367"	"141.362"	"223.065"	"82.964"
"1930"	"70.505"	"38.396"	"11.477"	"3.765"	"229.09"	"53.333"	"30.794"	"69.824"	"100.147"	"435.075"	"263.153"	"44.809"
"1931"	"9.827"	"0"	"0.011"	"43.898"	"40.468"	"42.877"	"69.128"	"53.855"	"106.095"	"119.682"	"242.949"	"340.273"
"1932"	"2.493"	"31.433"	"0.011"	"38.559"	"151.628"	"33.334"	"27.502"	"85.106"	"121.054"	"196.253"	"235.391"	"79.5"
"1933"	"0.75"	"0"	"29.52"	"11.202"	"78.051"	"34.508"	"42.229"	"163.782"	"68.205"	"175.517"	"61.994"	"157.654"
"1934"	"54.79"	"0"	"0.011"	"20.277"	"31.919"	"51.155"	"67.57"	"109.297"	"30.475"	"441.058"	"147.662"	"20.18"
"1935"	"41.137"	"2.463"	"0.789"	"32.204"	"5.459"	"39.123"	"41.482"	"163.251"	"107.117"	"225.45"	"87.289"	"83.645"
"1936"	"1.073"	"47.695"	"40.249"	"22.577"	"106.934"	"37.935"	"50.284"	"64.63"	"178.338"	"74.914"	"277.926"	"40.729"
"1937"	"8.866"	"5.402"	"17.01"	"82.748"	"38.219"	"38.719"	"37.299"	"78.105"	"108.853"	"207.219"	"313.16"	"50.586"
"1938"	"0.373"	"23.954"	"34.021"	"49.849"	"43.099"	"63.259"	"76.928"	"146.651"	"146.772"	"106.332"	"18.618"	"37.271"
"1939"	"51.176"	"0"	"13.97"	"130.511"	"98.604"	"35.655"	"26.586"	"63.604"	"189.186"	"322.179"	"253.777"	"9.896"
"1940"	"1.134"	"1.581"	"21.887"	"46.327"	"173.76"	"66.005"	"41.293"	"75.799"	"163.033"	"174.612"	"314.384"	"71.855"
"1941"	"19.881"	"15.611"	"0.011"	"59.965"	"82.577"	"18.518"	"55.357"	"60.914"	"220.348"	"189.441"	"135.4"	"182.955"
"1942"	"0.056"	"0"	"0.011"	"41.313"	"38.921"	"35.491"	"23.763"	"121.67"	"238.628"	"131.345"	"36.575"	"104.62"
"1943"	"37.391"	"9.806"	"1.7"	"52.055"	"215.215"	"52.364"	"35.551"	"124.407"	"98.8"	"353.997"	"78.547"	"95.655"
"1944"	"13.575"	"18.964"	"83.573"	"13.765"	"12.872"	"78.852"	"75.313"	"88.32"	"145.342"	"239.702"	"326.786"	"111.738"
"1945"	"0.675"	"0.104"	"2.753"	"92.457"	"40.747"	"16.614"	"48.899"	"83.761"	"79.129"	"65.209"	"145.68"	"1.643"
"1946"	"32.207"	"0"	"37.228"	"25.957"	"101.148"	"19.485"	"61.929"	"95.961"	"180.296"	"196.732"	"376.793"	"378.383"
"1947"	"61.606"	"8.805"	"32.483"	"24.125"	"49.337"	"43.805"	"91.845"	"86.628"	"210.408"	"178.739"	"31.938"	"9.377"
"1948"	"38.5"	"1.587"	"0.011"	"15.431"	"61.622"	"25.729"	"51.634"	"77.174"	"145.727"	"120.22"	"216.538"	"28.657"
"1949"	"0.056"	"0.705"	"0.011"	"34.932"	"178.103"	"103.672"	"130.914"	"139.775"	"82.24"	"140.941"	"50.324"	"1.743"
"1950"	"1.187"	"41.675"	"3.265"	"0.293"	"147.06"	"25.343"	"37.654"	"112.324"	"92.698"	"116.784"	"83.166"	"35.838"
"1951"	"3.912"	"0"	"27.241"	"97.221"	"70.596"	"48.57"	"62.807"	"92.864"	"74.62"	"65.141"	"252.953"	"1.285"
"1952"	"2.39"	"41.06"	"0.316"	"8.151"	"100.326"	"29.607"	"62.191"	"112.415"	"30.256"	"154.934"	"7.156"	"302.786"
"1953"	"8.215"	"0"	"2.68"	"112.765"	"67.163"	"90.951"	"66.642"	"86.173"	"164.458"	"283.394"	"55.798"	"23.873"
"1954"	"56.821"	"12.365"	"10.409"	"55.836"	"50.14"	"31.875"	"119.263"	"108.657"	"48.058"	"302.019"	"5.651"	"137.718"
"1955"	"34.793"	"0.923"	"4.02"	"41.566"	"190.805"	"30.056"	"86.778"	"87.922"	"91.181"	"116.407"	"68.886"	"117.618"
"1956"	"15.201"	"1.184"	"0.011"	"62.022"	"51.776"	"120.034"	"46.885"	"106.869"	"178.177"	"306.495"	"227.863"	"60.554"
"1957"	"0.056"	"7.879"	"13.736"	"5.078"	"52.124"	"51.257"	"81.651"	"59.812"	"74.681"	"256.211"	"148.878"	"51.99"
"1958"	"17.792"	"2.272"	"4.744"	"50.531"	"148.08"	"33.592"	"26.067"	"160.445"	"131.665"	"224.539"	"181.629"	"30.15"
"1959"	"0.815"	"53.417"	"0.011"	"44.094"	"105.646"	"36.678"	"27.558"	"74.978"	"137.081"	"161.426"	"205.344"	"50.013"
