
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.633"	"26.71"	"26.949"	"27.85"	"27.661"	"26.482"	"26.011"	"25.993"	"26.008"	"25.853"	"25.029"	"24.736"
"1902"	"24.767"	"25.431"	"27.224"	"28.248"	"28.18"	"26.849"	"25.649"	"26.419"	"25.988"	"25.522"	"25.12"	"25.251"
"1903"	"25.809"	"26.473"	"27.25"	"28.323"	"27.681"	"26.843"	"25.682"	"25.915"	"25.708"	"25.758"	"25.049"	"24.2"
"1904"	"24.231"	"24.854"	"26.147"	"27.715"	"27.47"	"25.678"	"25.334"	"25.584"	"26.068"	"25.981"	"25.212"	"24.493"
"1905"	"24.703"	"25.769"	"27.317"	"27.372"	"27.382"	"26.434"	"26.477"	"26.11"	"26.475"	"25.749"	"25.397"	"24.718"
"1906"	"25.287"	"26.227"	"27.247"	"28.623"	"27.782"	"26.257"	"25.689"	"25.576"	"26.202"	"25.694"	"24.828"	"24.796"
"1907"	"24.686"	"25.633"	"26.995"	"27.316"	"27.709"	"26.384"	"25.69"	"25.124"	"26.098"	"25.618"	"25.027"	"24.78"
"1908"	"24.84"	"25.348"	"26.657"	"27.997"	"27.457"	"25.934"	"24.901"	"25.605"	"25.698"	"25.67"	"24.596"	"24.246"
"1909"	"24.425"	"25.416"	"26.925"	"27.675"	"27.292"	"26.043"	"25.052"	"25.309"	"25.65"	"25.67"	"24.936"	"24.866"
"1910"	"24.871"	"25.366"	"26.542"	"27.323"	"27.705"	"25.945"	"25.396"	"25.29"	"25.611"	"25.329"	"25.058"	"24.501"
"1911"	"24.703"	"25.115"	"26.804"	"27.705"	"27.478"	"25.606"	"25.148"	"25.599"	"26.193"	"25.528"	"25.257"	"24.878"
"1912"	"24.19"	"26.134"	"27.44"	"28.183"	"27.782"	"25.985"	"25.724"	"25.674"	"25.959"	"25.609"	"25.223"	"24.47"
"1913"	"24.429"	"25.854"	"27.036"	"28.282"	"28.204"	"26.671"	"25.499"	"25.812"	"26.056"	"25.717"	"25.026"	"25.015"
"1914"	"24.718"	"25.832"	"27.121"	"28.192"	"27.729"	"26.59"	"25.842"	"25.716"	"26.234"	"25.702"	"25.404"	"24.951"
"1915"	"25.116"	"25.966"	"26.76"	"27.834"	"27.825"	"26.778"	"25.691"	"26.101"	"26.118"	"26.058"	"25.331"	"24.852"
"1916"	"24.521"	"25.644"	"27.192"	"28.235"	"27.865"	"25.67"	"25.772"	"25.828"	"25.611"	"25.351"	"25.126"	"24.188"
"1917"	"24.45"	"25.441"	"26.214"	"27.751"	"27.304"	"25.756"	"26.119"	"25.879"	"25.559"	"25.205"	"24.888"	"24.098"
"1918"	"24.275"	"24.345"	"26.085"	"27.78"	"26.744"	"25.735"	"25.689"	"25.757"	"25.753"	"25.922"	"25.468"	"24.706"
