
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1902"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1903"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1904"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1905"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1906"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1907"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1908"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1909"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1910"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1911"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1912"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1913"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1914"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1915"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1916"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1917"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1918"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1919"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1920"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1921"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1922"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1923"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1924"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1925"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1926"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1927"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1928"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1929"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1930"	"35.525"	"33.098"	"34.622"	"49.816"	"59.404"	"75.766"	"77.313"	"70.293"	"64.929"	"64.852"	"58.391"	"45.542"
"1931"	"34.365"	"31.762"	"33.391"	"49.816"	"56.999"	"73.02"	"74.066"	"70.293"	"62.542"	"59.8"	"54.821"	"46.527"
"1932"	"32.169"	"35.894"	"35.991"	"54.155"	"64.698"	"80.769"	"81.647"	"71.278"	"67.33"	"73.419"	"67.972"	"45.542"
"1933"	"35.525"	"34.19"	"34.622"	"49.816"	"56.651"	"75.288"	"75.992"	"69.169"	"64.929"	"64.852"	"57.761"	"44.372"
"1934"	"36.962"	"32.312"	"34.622"	"51.28"	"59.404"	"75.768"	"74.207"	"67.864"	"62.439"	"64.274"	"55.707"	"43.173"
"1935"	"36.913"	"34.681"	"35.994"	"51.045"	"59.999"	"76.245"	"76.769"	"69.201"	"64.929"	"64.268"	"56.281"	"45.542"
"1936"	"35.525"	"33.489"	"33.876"	"50.993"	"61.81"	"75.281"	"75.638"	"69.121"	"63.768"	"64.852"	"58.934"	"45.542"
