
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.137"	"31.294"	"31.369"	"31.893"	"31.306"	"29.674"	"29.2"	"29.212"	"29.395"	"29.354"	"28.612"	"28.718"
"1902"	"29.268"	"30.016"	"31.645"	"32.291"	"31.823"	"30.042"	"28.838"	"29.638"	"29.376"	"29.026"	"28.697"	"29.233"
"1903"	"30.312"	"31.057"	"31.668"	"32.366"	"31.325"	"30.036"	"28.872"	"29.133"	"29.098"	"29.239"	"28.631"	"28.182"
"1904"	"28.732"	"29.44"	"30.567"	"31.759"	"31.116"	"28.873"	"28.523"	"28.805"	"29.456"	"29.482"	"28.795"	"28.475"
"1905"	"29.207"	"30.354"	"31.735"	"31.416"	"31.025"	"29.622"	"29.666"	"29.33"	"29.863"	"29.251"	"28.98"	"28.7"
"1906"	"29.789"	"30.81"	"31.665"	"32.667"	"31.426"	"29.451"	"28.879"	"28.796"	"29.589"	"29.176"	"28.411"	"28.777"
"1907"	"29.189"	"30.219"	"31.414"	"31.36"	"31.355"	"29.572"	"28.879"	"28.345"	"29.487"	"29.099"	"28.61"	"28.763"
"1908"	"29.344"	"29.933"	"31.076"	"32.04"	"31.102"	"29.123"	"28.09"	"28.825"	"29.085"	"29.151"	"28.181"	"28.228"
"1909"	"28.929"	"30.001"	"31.345"	"31.72"	"30.936"	"29.237"	"28.241"	"28.528"	"29.036"	"29.151"	"28.514"	"28.848"
"1910"	"29.375"	"29.952"	"30.961"	"31.367"	"31.35"	"29.136"	"28.586"	"28.51"	"29"	"28.832"	"28.64"	"28.483"
"1911"	"29.207"	"29.699"	"31.224"	"31.748"	"31.123"	"28.798"	"28.338"	"28.819"	"29.582"	"29.032"	"28.838"	"28.858"
"1912"	"28.694"	"30.721"	"31.859"	"32.226"	"31.426"	"29.18"	"28.914"	"28.894"	"29.347"	"29.111"	"28.804"	"28.451"
"1913"	"28.931"	"30.44"	"31.454"	"32.325"	"31.848"	"29.864"	"28.689"	"29.031"	"29.443"	"29.198"	"28.61"	"28.997"
"1914"	"29.222"	"30.419"	"31.54"	"32.234"	"31.371"	"29.784"	"29.031"	"28.935"	"29.623"	"29.204"	"28.985"	"28.932"
"1915"	"29.619"	"30.551"	"31.179"	"31.877"	"31.47"	"29.971"	"28.881"	"29.32"	"29.505"	"29.559"	"28.914"	"28.834"
"1916"	"29.025"	"30.229"	"31.61"	"32.276"	"31.511"	"28.859"	"28.961"	"29.046"	"28.998"	"28.854"	"28.707"	"28.17"
"1917"	"28.953"	"30.027"	"30.634"	"31.793"	"30.949"	"28.949"	"29.308"	"29.098"	"28.948"	"28.685"	"28.467"	"28.08"
"1918"	"28.778"	"28.929"	"30.505"	"31.823"	"30.386"	"28.928"	"28.879"	"28.975"	"29.141"	"29.425"	"29.046"	"28.686"
"1919"	"29.968"	"30.846"	"31.014"	"32.3"	"31.41"	"29.231"	"28.59"	"28.615"	"29.316"	"29.259"	"28.354"	"28.908"
"1920"	"29.391"	"30.571"	"31.952"	"31.774"	"31.56"	"29.281"	"29.011"	"28.803"	"29.325"	"29.353"	"28.436"	"28.297"
"1921"	"29.508"	"30.065"	"31.778"	"31.624"	"31.801"	"29.843"	"28.808"	"28.869"	"29.329"	"29.237"	"28.721"	"28.352"
"1922"	"29.189"	"30.012"	"31.076"	"31.742"	"30.865"	"29.38"	"28.554"	"28.74"	"29.025"	"29.037"	"28.438"	"28.218"
"1923"	"28.959"	"29.929"	"31.057"	"32.276"	"31.33"	"29.398"	"28.519"	"28.562"	"29.34"	"29.145"	"29.022"	"28.851"
"1924"	"29.159"	"30.61"	"31.594"	"32.173"	"31.943"	"29.483"	"28.617"	"29.016"	"29.404"	"29.256"	"28.85"	"28.486"
"1925"	"28.917"	"30.2"	"31.047"	"32.043"	"31.201"	"29.413"	"28.784"	"28.762"	"29.618"	"29.565"	"28.575"	"28.43"
"1926"	"29.455"	"30.407"	"31.772"	"32.124"	"31.595"	"29.622"	"29.251"	"29.524"	"29.541"	"29.308"	"28.749"	"28.995"
"1927"	"29.561"	"30.682"	"31.668"	"31.762"	"30.613"	"28.978"	"28.402"	"29.104"	"29.202"	"29.237"	"28.831"	"29.236"
"1928"	"29.854"	"30.685"	"31.07"	"31.994"	"31.848"	"29.743"	"28.98"	"28.854"	"29.691"	"29.205"	"28.828"	"28.969"
"1929"	"29.437"	"30.434"	"31.335"	"31.043"	"31.281"	"29.025"	"28.938"	"28.97"	"29.333"	"29.171"	"28.896"	"28.936"
"1930"	"29.379"	"30.706"	"31.57"	"31.73"	"30.611"	"29.33"	"29.457"	"28.996"	"29.437"	"28.933"	"29.075"	"29.256"
"1931"	"29.809"	"30.794"	"31.659"	"31.866"	"31.83"	"29.884"	"29.153"	"28.958"	"29.288"	"29.219"	"28.903"	"28.936"
"1932"	"29.201"	"29.964"	"31.226"	"31.474"	"30.611"	"29.482"	"28.842"	"29.025"	"29.447"	"28.756"	"28.703"	"28.656"
