
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"21.198"	"22.149"	"22.536"	"23.831"	"24.079"	"23.288"	"22.844"	"22.795"	"22.682"	"22.383"	"21.49"	"20.825"
"1902"	"20.307"	"20.87"	"22.812"	"24.23"	"24.598"	"23.655"	"22.481"	"23.222"	"22.662"	"22.076"	"21.574"	"21.34"
"1903"	"21.373"	"21.914"	"22.836"	"24.304"	"24.098"	"23.648"	"22.515"	"22.718"	"22.384"	"22.288"	"21.504"	"20.29"
"1904"	"19.771"	"20.293"	"21.73"	"23.672"	"23.923"	"22.485"	"22.168"	"22.42"	"22.742"	"22.512"	"21.673"	"20.582"
"1905"	"20.268"	"21.212"	"22.905"	"23.353"	"23.8"	"23.239"	"23.311"	"22.944"	"23.15"	"22.278"	"21.858"	"20.809"
"1906"	"20.828"	"21.668"	"22.834"	"24.604"	"24.201"	"23.067"	"22.522"	"22.41"	"22.876"	"22.225"	"21.261"	"20.887"
"1907"	"20.245"	"21.077"	"22.583"	"23.297"	"24.128"	"23.19"	"22.524"	"21.958"	"22.774"	"22.149"	"21.483"	"20.871"
"1908"	"20.405"	"20.791"	"22.243"	"23.955"	"23.908"	"22.738"	"21.733"	"22.44"	"22.372"	"22.2"	"21.052"	"20.335"
"1909"	"19.989"	"20.855"	"22.512"	"23.657"	"23.711"	"22.853"	"21.885"	"22.11"	"22.323"	"22.2"	"21.369"	"20.959"
"1910"	"20.435"	"20.809"	"22.129"	"23.28"	"24.123"	"22.754"	"22.23"	"22.124"	"22.286"	"21.86"	"21.495"	"20.593"
"1911"	"20.268"	"20.558"	"22.391"	"23.687"	"23.898"	"22.412"	"21.981"	"22.435"	"22.868"	"22.082"	"21.689"	"20.97"
"1912"	"19.755"	"21.579"	"23.026"	"24.163"	"24.201"	"22.791"	"22.556"	"22.508"	"22.634"	"22.161"	"21.659"	"20.561"
"1913"	"19.969"	"21.292"	"22.622"	"24.239"	"24.623"	"23.477"	"22.333"	"22.646"	"22.728"	"22.247"	"21.461"	"21.104"
"1914"	"20.283"	"21.277"	"22.709"	"24.172"	"24.146"	"23.402"	"22.674"	"22.549"	"22.91"	"22.232"	"21.835"	"21.041"
"1915"	"20.681"	"21.41"	"22.348"	"23.816"	"24.274"	"23.587"	"22.524"	"22.935"	"22.791"	"22.61"	"21.792"	"20.943"
"1916"	"20.063"	"21.087"	"22.779"	"24.215"	"24.316"	"22.476"	"22.605"	"22.631"	"22.285"	"21.883"	"21.585"	"20.278"
"1917"	"19.991"	"20.879"	"21.8"	"23.732"	"23.754"	"22.561"	"22.952"	"22.713"	"22.234"	"21.734"	"21.345"	"20.19"
