
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.456"	"23.956"	"25.424"	"28.311"	"29.127"	"28.405"	"27.691"	"27.32"	"27.317"	"27.502"	"26.778"	"24.127"
"1902"	"22.999"	"23.637"	"25.85"	"28.311"	"29.088"	"28.443"	"27.636"	"28.144"	"27.317"	"27.496"	"26.73"	"24.987"
"1903"	"23.383"	"24.005"	"24.997"	"28.313"	"29.07"	"28.405"	"27.732"	"27.318"	"27.317"	"27.502"	"26.505"	"23.987"
"1904"	"22.284"	"22.667"	"24.449"	"28.311"	"28.917"	"26.982"	"27.636"	"27.325"	"27.317"	"27.502"	"26.73"	"24.71"
"1905"	"23.383"	"23.956"	"25.519"	"28.111"	"29.125"	"28.466"	"28.568"	"27.318"	"27.317"	"27.496"	"26.778"	"23.904"
"1906"	"23.383"	"23.866"	"25.739"	"28.336"	"29.167"	"28.458"	"27.691"	"27.325"	"27.317"	"27.501"	"26.778"	"24.073"
"1907"	"23.383"	"24.126"	"25.85"	"28.24"	"29.065"	"28.405"	"27.636"	"26.458"	"27.317"	"27.496"	"26.778"	"24.071"
"1908"	"23.383"	"24.089"	"25.172"	"28.336"	"29.127"	"28.405"	"26.733"	"26.935"	"27.317"	"27.534"	"25.974"	"23.583"
"1909"	"22.373"	"24.111"	"25.85"	"28.311"	"29.12"	"28.458"	"26.369"	"26.729"	"26.227"	"27.572"	"26.664"	"24.27"
"1910"	"23.383"	"24.028"	"24.973"	"28.336"	"29.12"	"28.411"	"27.636"	"27.325"	"27.317"	"27.501"	"26.778"	"23.489"
"1911"	"23.383"	"23.224"	"25.85"	"28.311"	"29.12"	"27.336"	"27.691"	"27.318"	"27.317"	"27.502"	"26.778"	"24.987"
"1912"	"22.274"	"24.058"	"25.85"	"28.334"	"29.065"	"28.405"	"27.691"	"27.318"	"27.317"	"27.496"	"26.778"	"24.149"
"1913"	"22.555"	"24.151"	"25.85"	"28.334"	"29.143"	"28.466"	"27.691"	"27.318"	"27.317"	"27.496"	"26.778"	"24.987"
"1914"	"23.383"	"24.111"	"25.85"	"28.334"	"29.127"	"28.41"	"27.732"	"27.325"	"27.317"	"27.496"	"26.778"	"24.987"
"1915"	"23.383"	"24.088"	"25.85"	"28.336"	"29.377"	"28.405"	"27.691"	"27.318"	"27.317"	"27.496"	"26.803"	"24.987"
"1916"	"22.89"	"24.04"	"25.325"	"28.313"	"29.167"	"28.41"	"27.636"	"27.318"	"27.317"	"27.557"	"26.778"	"23.725"
"1917"	"23.123"	"24.111"	"24.904"	"28.311"	"29.07"	"28.334"	"27.732"	"27.38"	"27.317"	"27.28"	"26.73"	"23.867"
"1918"	"22.782"	"22.713"	"25.023"	"28.334"	"27.453"	"27.137"	"29.194"	"27.248"	"26.662"	"27.534"	"26.778"	"24.987"
"1919"	"23.714"	"24.058"	"25.568"	"28.336"	"29.127"	"28.443"	"27.691"	"27.318"	"27.317"	"27.501"	"26.294"	"24.987"
"1920"	"23.383"	"24.088"	"25.85"	"28.311"	"29.127"	"28.434"	"27.668"	"27.318"	"27.317"	"27.557"	"26.487"	"23.488"
"1921"	"23.383"	"23.84"	"25.85"	"28.311"	"29.102"	"28.411"	"27.691"	"27.325"	"27.317"	"27.534"	"26.73"	"23.947"
"1922"	"23.383"	"23.944"	"25.85"	"28.336"	"29.151"	"28.38"	"27.636"	"27.38"	"27.317"	"27.496"	"26.463"	"23.512"
"1923"	"22.965"	"23.614"	"25.015"	"28.336"	"29.167"	"28.38"	"27.691"	"27.325"	"27.317"	"27.582"	"26.778"	"24.908"
"1924"	"22.989"	"24.111"	"25.85"	"28.311"	"30.166"	"28.025"	"27.691"	"27.32"	"27.317"	"27.501"	"26.589"	"23.733"
"1925"	"22.624"	"24.088"	"25.652"	"28.336"	"29.167"	"28.405"	"27.668"	"27.318"	"27.317"	"27.496"	"26.778"	"24.088"
"1926"	"23.383"	"24.058"	"25.85"	"28.311"	"29.065"	"28.41"	"27.691"	"27.318"	"27.317"	"27.496"	"26.731"	"24.987"
"1927"	"23.383"	"24.111"	"25.85"	"28.311"	"28.32"	"27.984"	"27.707"	"27.32"	"27.317"	"27.557"	"26.778"	"24.987"
"1928"	"23.383"	"24.111"	"25.652"	"28.336"	"29.12"	"28.411"	"27.716"	"27.318"	"27.317"	"27.534"	"26.778"	"24.987"
"1929"	"23.383"	"24.111"	"25.825"	"27.893"	"29.12"	"28.005"	"27.636"	"27.266"	"27.317"	"27.502"	"26.778"	"24.739"
"1930"	"23.383"	"23.98"	"25.85"	"28.336"	"29.174"	"28.38"	"27.691"	"27.318"	"27.317"	"26.211"	"26.754"	"24.987"
"1931"	"23.407"	"24.111"	"25.85"	"28.311"	"29.167"	"28.411"	"27.691"	"27.32"	"27.317"	"27.496"	"26.778"	"24.9"
"1932"	"22.868"	"22.974"	"25.135"	"28.311"	"28.568"	"28.369"	"27.636"	"27.348"	"27.317"	"27.557"	"26.778"	"24.555"
"1933"	"23.383"	"24.058"	"25.739"	"28.336"	"27.462"	"28.364"	"27.691"	"27.271"	"27.208"	"27.389"	"26.778"	"24.687"
"1934"	"23.407"	"22.713"	"24.567"	"28.318"	"29.141"	"27.786"	"27.659"	"27.325"	"27.317"	"27.502"	"26.446"	"23.923"
"1935"	"23.383"	"24.103"	"25.85"	"28.31"	"29.104"	"28.38"	"27.691"	"27.348"	"27.317"	"27.496"	"26.386"	"24.731"
"1936"	"23.373"	"24.089"	"25.491"	"28.341"	"29.127"	"28.406"	"27.691"	"27.32"	"27.317"	"27.501"	"26.778"	"24.987"
"1937"	"23.383"	"24.089"	"25.85"	"28.311"	"29.127"	"28.406"	"27.732"	"27.318"	"27.317"	"27.496"	"26.778"	"23.64"
"1938"	"23.383"	"24.111"	"25.85"	"28.311"	"29.12"	"28.405"	"27.716"	"27.325"	"27.317"	"26.914"	"26.701"	"24.987"
"1939"	"23.398"	"23.963"	"25.177"	"28.311"	"28.018"	"28.466"	"27.732"	"27.348"	"27.317"	"27.557"	"26.73"	"24.987"
"1940"	"22.824"	"24.151"	"25.522"	"28.302"	"29.167"	"28.41"	"27.732"	"27.325"	"28.255"	"27.557"	"26.778"	"24.987"
"1941"	"23.388"	"24.151"	"25.85"	"28.311"	"29.165"	"28.405"	"27.691"	"27.318"	"27.317"	"27.501"	"26.778"	"24.987"
"1942"	"23.383"	"24.058"	"25.85"	"28.311"	"29.16"	"28.506"	"27.732"	"27.32"	"27.317"	"27.496"	"26.774"	"24.987"
"1943"	"23.406"	"24.057"	"25.652"	"27.56"	"28.592"	"26.833"	"27.732"	"27.325"	"27.314"	"25.947"	"25.821"	"24.987"
"1944"	"23.383"	"23.98"	"24.941"	"27.917"	"29.12"	"28.466"	"27.691"	"27.32"	"26.895"	"27.501"	"26.778"	"24.741"
"1945"	"23.388"	"24.052"	"25.85"	"27.716"	"29.065"	"28.405"	"27.691"	"27.32"	"27.317"	"27.496"	"26.778"	"23.914"
"1946"	"22.276"	"24.088"	"25.85"	"28.311"	"29.12"	"28.405"	"27.636"	"27.271"	"27.317"	"27.502"	"26.778"	"24.987"
"1947"	"23.383"	"24.088"	"25.85"	"27.988"	"29.07"	"28.243"	"27.691"	"27.318"	"27.317"	"27.496"	"26.731"	"24.766"
"1948"	"23.383"	"24.151"	"25.85"	"28.334"	"29.127"	"28.434"	"27.707"	"27.38"	"27.317"	"27.502"	"26.778"	"24.987"
"1949"	"23.398"	"23.965"	"25.85"	"28.311"	"29.127"	"28.41"	"27.691"	"27.325"	"27.317"	"27.501"	"26.778"	"24.708"
"1950"	"23.383"	"24.057"	"25.85"	"28.313"	"29.065"	"28.405"	"27.691"	"27.325"	"27.317"	"27.496"	"26.731"	"24.987"
"1951"	"23.383"	"23"	"25.85"	"28.373"	"29.127"	"28.12"	"27.732"	"27.325"	"27.317"	"27.496"	"26.778"	"24.987"
"1952"	"23.383"	"24.111"	"25.85"	"28.311"	"29.167"	"28.466"	"27.732"	"27.38"	"27.317"	"27.534"	"26.636"	"24.987"
"1953"	"23.383"	"24.151"	"26.68"	"28.336"	"29.097"	"28.405"	"27.691"	"27.32"	"27.317"	"27.496"	"26.778"	"24.987"
"1954"	"23.383"	"24.151"	"25.85"	"28.311"	"29.129"	"28.38"	"27.668"	"27.38"	"27.317"	"27.405"	"26.73"	"24.987"
"1955"	"23.383"	"24.111"	"25.85"	"28.373"	"27.373"	"27.376"	"27.691"	"27.911"	"27.317"	"27.496"	"26.605"	"24.497"
"1956"	"23.383"	"24.08"	"25.85"	"28.336"	"27.326"	"27.956"	"26.747"	"27.348"	"27.317"	"25.948"	"26.778"	"24.987"
"1957"	"23.383"	"24.111"	"24.467"	"27.258"	"29.12"	"28.405"	"27.691"	"27.325"	"27.317"	"27.496"	"26.778"	"24.987"
"1958"	"23.383"	"24.151"	"25.85"	"28.311"	"29.127"	"28.406"	"27.691"	"27.325"	"27.317"	"27.496"	"26.778"	"24.987"
"1959"	"23.388"	"24.058"	"25.85"	"28.311"	"29.065"	"28.394"	"27.732"	"27.318"	"27.317"	"27.496"	"26.778"	"24.987"
"1960"	"23.383"	"24.151"	"25.85"	"28.311"	"29.125"	"28.405"	"27.732"	"27.27"	"27.317"	"27.497"	"26.778"	"24.987"
"1961"	"23.383"	"24.151"	"25.85"	"28.313"	"29.127"	"28.41"	"27.085"	"27.266"	"27.317"	"27.496"	"26.778"	"24.987"
"1962"	"23.383"	"24.058"	"25.85"	"28.336"	"29.127"	"28.41"	"27.716"	"27.318"	"27.317"	"27.502"	"26.778"	"24.987"
"1963"	"23.383"	"23.908"	"25.85"	"28.076"	"29.102"	"28.405"	"27.691"	"27.318"	"27.317"	"27.597"	"26.778"	"24.987"
"1964"	"23.383"	"24.151"	"25.85"	"28.313"	"29.127"	"28.358"	"27.636"	"27.38"	"27.317"	"27.534"	"26.616"	"24.005"
"1965"	"23.383"	"24.136"	"25.85"	"28.313"	"29.12"	"28.389"	"27.636"	"27.348"	"27.317"	"27.502"	"26.778"	"23.798"
"1966"	"23.383"	"24.151"	"25.85"	"28.311"	"29.12"	"28.434"	"27.716"	"27.318"	"27.317"	"27.534"	"26.778"	"24.987"
"1967"	"23.383"	"24.136"	"25.85"	"28.373"	"29.065"	"28.406"	"27.691"	"27.271"	"27.317"	"27.502"	"26.778"	"24.987"
"1968"	"22.814"	"23.147"	"25.85"	"28.334"	"29.125"	"28.405"	"27.1"	"27.348"	"27.317"	"27.502"	"26.778"	"24.987"
"1969"	"23.383"	"24.08"	"25.85"	"28.313"	"29.065"	"28.406"	"27.691"	"27.32"	"27.317"	"27.496"	"26.778"	"24.987"
"1970"	"23.383"	"24.058"	"25.483"	"28.311"	"29.088"	"28.442"	"27.732"	"27.271"	"27.317"	"27.496"	"26.778"	"23.573"
"1971"	"23.383"	"23.58"	"25.345"	"28.302"	"27.892"	"27.258"	"26.795"	"27.087"	"27.23"	"27.496"	"26.778"	"23.517"
"1972"	"22.663"	"23.708"	"24.68"	"28.336"	"27.505"	"28.38"	"27.732"	"27.32"	"27.317"	"27.502"	"26.778"	"24.987"
"1973"	"23.383"	"25.126"	"25.85"	"28.336"	"29.127"	"28.411"	"28.318"	"27.325"	"27.317"	"27.496"	"26.714"	"24.884"
"1974"	"23.341"	"23.61"	"25.581"	"28.311"	"29.07"	"28.364"	"27.716"	"27.32"	"27.308"	"27.496"	"26.778"	"24.891"
"1975"	"23.383"	"24.151"	"25.85"	"28.311"	"29.127"	"27.25"	"27.636"	"27.318"	"27.308"	"27.502"	"26.754"	"24.527"
"1976"	"22.664"	"23"	"24.727"	"28.336"	"29.167"	"28.49"	"27.691"	"26.709"	"27.317"	"27.496"	"26.778"	"24.987"
"1977"	"23.383"	"24.058"	"26.263"	"28.311"	"29.118"	"28.41"	"27.691"	"27.38"	"27.317"	"27.501"	"26.778"	"24.987"
"1978"	"23.383"	"24.088"	"25.85"	"28.313"	"28.714"	"27.191"	"26.859"	"27.318"	"27.317"	"27.496"	"26.803"	"25.561"
"1979"	"23.383"	"24.186"	"25.85"	"28.341"	"29.12"	"28.41"	"27.691"	"27.991"	"27.12"	"27.496"	"26.803"	"25.184"
"1980"	"23.383"	"24.199"	"25.85"	"28.311"	"29.12"	"27.267"	"26.819"	"27.325"	"27.317"	"27.496"	"26.778"	"24.987"
"1981"	"23.383"	"24.126"	"25.85"	"28.311"	"29.12"	"27.263"	"26.867"	"27.325"	"27.16"	"27.496"	"26.778"	"24.987"
"1982"	"23.383"	"24.151"	"25.85"	"28.311"	"29.143"	"28.38"	"27.732"	"27.366"	"27.396"	"27.724"	"27.44"	"24.987"
"1983"	"23.383"	"25.134"	"25.85"	"28.899"	"30.011"	"31.212"	"28.486"	"27.318"	"27.317"	"27.496"	"26.754"	"24.828"
"1984"	"23.383"	"24.136"	"26.084"	"28.334"	"29.804"	"28.49"	"27.636"	"28.828"	"27.317"	"27.496"	"26.778"	"24.987"
"1985"	"23.383"	"24.175"	"26.315"	"28.311"	"29.167"	"28.121"	"27.732"	"27.271"	"27.317"	"27.502"	"26.778"	"24.987"
"1986"	"23.383"	"24.058"	"25.85"	"28.311"	"29.174"	"28.473"	"29.061"	"27.32"	"27.317"	"27.496"	"26.778"	"26.013"
"1987"	"24.537"	"24.058"	"25.85"	"29.404"	"30.156"	"28.499"	"30.519"	"27.325"	"29.079"	"27.501"	"27.285"	"24.993"
"1988"	"24.223"	"24.875"	"27.649"	"28.336"	"30.006"	"28.098"	"27.691"	"27.32"	"27.317"	"28.906"	"26.778"	"24.987"
"1989"	"23.383"	"24.017"	"25.723"	"28.341"	"29.102"	"28.405"	"27.691"	"28"	"27.317"	"27.557"	"26.778"	"24.987"
"1990"	"23.383"	"25.432"	"27.117"	"28.42"	"29.127"	"28.443"	"27.636"	"27.318"	"28.303"	"27.496"	"27.604"	"25.783"
"1991"	"24.246"	"24.111"	"26.198"	"28.316"	"30.174"	"28.405"	"28.428"	"27.303"	"29.111"	"27.496"	"26.778"	"24.987"
"1992"	"23.383"	"24.058"	"25.85"	"28.336"	"29.167"	"28.405"	"27.636"	"27.318"	"27.317"	"27.496"	"26.778"	"23.978"
"1993"	"23.383"	"24.058"	"25.85"	"28.313"	"29.365"	"28.442"	"27.691"	"27.318"	"28.477"	"27.496"	"27.54"	"24.987"
"1994"	"23.383"	"24.058"	"25.85"	"28.334"	"29.065"	"28.405"	"27.732"	"27.325"	"28.157"	"27.557"	"26.778"	"25.018"
"1995"	"23.383"	"24.151"	"25.85"	"28.311"	"29.127"	"29.382"	"27.691"	"27.348"	"28.066"	"27.496"	"28.073"	"24.987"
"1996"	"23.383"	"24.057"	"26.311"	"28.311"	"30.498"	"28.31"	"27.732"	"27.318"	"27.317"	"27.534"	"26.778"	"24.987"
"1997"	"23.383"	"24.111"	"25.85"	"28.103"	"29.065"	"29.575"	"28.543"	"28.64"	"28.051"	"27.496"	"27.123"	"26.588"
"1998"	"25.074"	"25.656"	"27.643"	"29.747"	"29.869"	"30.116"	"27.668"	"27.32"	"27.317"	"28.04"	"27.331"	"24.987"
"1999"	"23.383"	"24.151"	"26.963"	"28.311"	"27.984"	"28.411"	"27.716"	"27.218"	"27.571"	"27.496"	"26.778"	"24.987"
"2000"	"24.939"	"25.185"	"25.85"	"28.336"	"29.65"	"28.405"	"29.232"	"27.348"	"27.317"	"27.557"	"26.778"	"24.987"
"2001"	"24.919"	"24.201"	"25.978"	"28.341"	"29.173"	"28.411"	"27.691"	"27.271"	"27.333"	"27.496"	"26.778"	"24.987"
"2002"	"24.403"	"24.201"	"26.444"	"28.334"	"29.167"	"29.495"	"29.474"	"27.888"	"28.128"	"27.502"	"26.778"	"24.987"
