
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.726"	"2.7571"	"3.7535"	"5.6578"	"5.531"	"10.3044"	"7.4558"	"4.6368"	"7.9561"	"7.8654"	"12.6836"	"4.3025"
"1902"	"2.3652"	"1.2237"	"3.6519"	"3.9816"	"3.9255"	"10.6354"	"9.0183"	"6.3232"	"8.538"	"13.1805"	"8.1078"	"4.134"
"1903"	"1.0562"	"1.4095"	"0.4142"	"3.6889"	"7.5599"	"10.6214"	"9.0203"	"12.011"	"9.5757"	"10.5085"	"8.6905"	"5.0453"
"1904"	"1.9374"	"0.8341"	"2.6015"	"2.7984"	"4.2365"	"12.3643"	"10.9481"	"6.1923"	"4.4784"	"8.774"	"1.736"	"3.7148"
"1905"	"0.5302"	"0.7902"	"1.6725"	"6.2667"	"6.3035"	"10.0631"	"6.2728"	"6.8044"	"5.5714"	"10.0283"	"6.5127"	"0.8322"
"1906"	"1.8297"	"1.0209"	"2.8399"	"3.6883"	"4.7429"	"9.9855"	"7.9047"	"7.5072"	"4.3544"	"10.3376"	"9.3771"	"6.1502"
"1907"	"1.0666"	"0.8008"	"3.0729"	"5.5986"	"4.4734"	"13.4037"	"7.9523"	"6.667"	"7.4679"	"11.6996"	"8.7887"	"4.5023"
"1908"	"1.1544"	"2.4813"	"3.6585"	"4.8238"	"5.0118"	"6.8365"	"8.0552"	"6.8732"	"9.0229"	"11.1364"	"4.6876"	"2.9778"
"1909"	"1.9624"	"1.8949"	"2.4476"	"6.0862"	"8.3523"	"9.3235"	"5.694"	"9.3602"	"6.3399"	"8.6066"	"7.8602"	"2.6397"
"1910"	"1.3703"	"2.7896"	"1.2294"	"4.6573"	"3.7966"	"10.0577"	"10.2033"	"12.3466"	"5.5287"	"11.2596"	"8.9"	"1.0954"
"1911"	"1.0765"	"0.9849"	"2.0071"	"3.1483"	"3.8979"	"12.5292"	"9.118"	"4.0958"	"5.654"	"9.2749"	"8.828"	"5.8903"
"1912"	"1.0344"	"1.3843"	"2.4444"	"4.9817"	"4.5791"	"13.8061"	"5.1984"	"6.4391"	"6.6658"	"11.981"	"8.7234"	"2.9436"
"1913"	"1.8751"	"1.377"	"0.9304"	"2.6308"	"3.9489"	"8.37"	"12.1041"	"4.9354"	"4.1326"	"10.7687"	"9.3957"	"4.3238"
"1914"	"1.0344"	"0.7368"	"1.969"	"3.4932"	"6.0663"	"7.1268"	"4.9339"	"6.0202"	"7.2346"	"13.9203"	"7.6689"	"5.6257"
"1915"	"1.5471"	"2.0822"	"3.4099"	"6.1481"	"5.778"	"9.5359"	"10.2932"	"5.7929"	"9.8709"	"6.0147"	"10.4245"	"2.4354"
"1916"	"0.1035"	"1.1231"	"1.7409"	"5.2145"	"6.0603"	"9.6103"	"13.0185"	"8.7638"	"7.044"	"8.5248"	"7.5264"	"2.644"
"1917"	"1.1924"	"1.9964"	"4.7177"	"3.8433"	"5.5735"	"11.774"	"12.1848"	"7.6686"	"9.9871"	"8.8403"	"9.6824"	"4.4983"
"1918"	"2.4133"	"1.7558"	"2.3706"	"3.768"	"7.6896"	"4.5256"	"3.7828"	"4.3924"	"3.842"	"8.0099"	"11.8839"	"4.9015"
"1919"	"2.3307"	"1.0916"	"3.4062"	"3.4461"	"6.8165"	"19.7862"	"9.2082"	"6.3285"	"8.5975"	"9.3491"	"11.2274"	"5.466"
"1920"	"2.7082"	"1.0083"	"2.1141"	"7.4838"	"2.733"	"13.5583"	"4.9552"	"4.4998"	"6.5223"	"8.3703"	"13.1039"	"1.703"
"1921"	"3.4756"	"0.7368"	"1.6122"	"7.4126"	"2.6545"	"12.9801"	"8.5099"	"8.2543"	"4.9735"	"10.6619"	"6.7484"	"3.6071"
"1922"	"1.1408"	"2.4596"	"3.0143"	"4.4718"	"7.9628"	"9.3891"	"7.088"	"5.758"	"4.7937"	"10.369"	"11.4789"	"3.1775"
"1923"	"3.1603"	"1.002"	"4.5536"	"3.0768"	"2.7426"	"8.9654"	"5.6519"	"7.9024"	"7.5976"	"10.2298"	"5.5825"	"5.0492"
"1924"	"2.082"	"0.3471"	"4.2316"	"5.0093"	"5.2225"	"11.5333"	"10.6958"	"8.116"	"8.1666"	"7.0055"	"8.3635"	"3.3976"
"1925"	"1.7657"	"1.7997"	"5.1721"	"4.929"	"5.1302"	"8.9803"	"5.1543"	"9.1127"	"6.1153"	"9.3465"	"10.9399"	"5.0496"
"1926"	"2.2255"	"0.6127"	"3.1375"	"4.4487"	"7.5255"	"5.993"	"10.5795"	"6.8692"	"9.1899"	"10.3252"	"8.342"	"2.5159"
"1927"	"2.3101"	"2.259"	"4.3249"	"6.4161"	"6.9688"	"11.3494"	"5.0209"	"5.1556"	"7.4056"	"7.7146"	"8.0857"	"2.1511"
"1928"	"2.0396"	"3.3898"	"1.9995"	"5.8168"	"4.2191"	"4.6671"	"14.2956"	"6.5699"	"4.3751"	"10.9399"	"10.1993"	"5.1687"
"1929"	"1.0344"	"2.7895"	"3.3374"	"7.8495"	"6.2057"	"12.0507"	"6.6864"	"2.573"	"7.8477"	"10.2503"	"9.0957"	"4.4751"
"1930"	"2.0832"	"2.0238"	"2.595"	"5.8021"	"9.0392"	"12.1223"	"6.5235"	"5.7763"	"6.1516"	"12.6441"	"9.0212"	"5.4356"
"1931"	"1.7275"	"0.3471"	"1.029"	"4.8951"	"3.8701"	"9.9333"	"7.7336"	"9.7448"	"5.2043"	"7.6403"	"9.1686"	"7.2911"
"1932"	"0.1522"	"1.4501"	"2.3806"	"6.0688"	"9.1186"	"5.5124"	"6.4586"	"10.1394"	"3.8462"	"13.2817"	"9.9978"	"4.1032"
"1933"	"0.9701"	"1.7253"	"3.0442"	"3.7245"	"8.8682"	"6.7707"	"8.5812"	"10.2902"	"7.3956"	"10.783"	"8.3236"	"2.8309"
"1934"	"3.6148"	"0.3471"	"2.6298"	"4.2897"	"5.1989"	"11.4905"	"10.5339"	"4.8112"	"1.888"	"12.4151"	"5.6607"	"1.4246"
"1935"	"2.6639"	"1.1809"	"2.9201"	"4.8669"	"1.7168"	"9.8172"	"4.5462"	"7.2664"	"4.9236"	"11.309"	"7.7407"	"3.5617"
"1936"	"1.0344"	"2.6454"	"5.0918"	"2.0014"	"5.9861"	"10.3413"	"7.3827"	"5.1527"	"7.4251"	"7.5937"	"9.3163"	"3.9156"
"1937"	"1.3616"	"1.4374"	"4.2395"	"7.4033"	"4.8468"	"4.2181"	"8.7947"	"7.2534"	"6.6946"	"10.3457"	"9.5308"	"3.0528"
"1938"	"0.3283"	"3.7238"	"4.4123"	"6.0814"	"3.3073"	"6.5538"	"11.126"	"9.1115"	"7.0015"	"7.0042"	"5.2126"	"3.2227"
"1939"	"1.7655"	"1.4728"	"1.7357"	"7.2991"	"5.1642"	"8.5604"	"6.4662"	"7.6078"	"4.7387"	"8.7897"	"10.8555"	"1.3166"
"1940"	"0.1212"	"0.6639"	"1.0523"	"7.2567"	"6.4059"	"12.7124"	"3.3953"	"4.3455"	"4.0666"	"9.5753"	"11.3258"	"3.7104"
"1941"	"2.3145"	"1.2039"	"0.7412"	"5.9937"	"7.3253"	"13.9303"	"4.5794"	"6.6422"	"8.0536"	"8.0291"	"11.3757"	"4.6189"
"1942"	"0.1035"	"0.6639"	"2.5431"	"5.0888"	"6.7863"	"8.0012"	"5.8349"	"6.0751"	"6.0602"	"9.6858"	"6.7016"	"8.1138"
"1943"	"3.6186"	"1.8119"	"3.0363"	"6.3995"	"9.7149"	"10.3427"	"6.3564"	"5.4422"	"4.5766"	"12.1006"	"8.2326"	"4.2064"
"1944"	"1.0344"	"2.5701"	"5.0289"	"4.2446"	"5.3467"	"9.8822"	"3.9026"	"4.6221"	"6.1133"	"10.3957"	"11.4011"	"4.249"
"1945"	"1.0702"	"1.1365"	"1.7413"	"7.5254"	"2.7777"	"8.3245"	"8.314"	"6.3121"	"3.1906"	"10.2283"	"9.5851"	"3.3317"
"1946"	"1.0344"	"0.6523"	"5.4218"	"5.9021"	"4.7246"	"6.7313"	"6.5244"	"7.9034"	"6.2639"	"9.2276"	"10.5573"	"5.8387"
"1947"	"2.0465"	"3.359"	"5.4455"	"8.6832"	"4.5444"	"10.8046"	"17.2635"	"9.0689"	"7.3637"	"9.6294"	"3.6938"	"2.7712"
"1948"	"2.1278"	"1.0083"	"2.4534"	"3.3538"	"4.9875"	"11.952"	"6.8616"	"8.3449"	"4.3225"	"7.4511"	"10.6064"	"3.2312"
"1949"	"1.3212"	"0.6639"	"0.4659"	"5.1538"	"8.9675"	"8.0427"	"10.8474"	"10.3362"	"7.3292"	"9.0919"	"7.2277"	"1.4667"
"1950"	"1.116"	"3.478"	"2.9829"	"4.7796"	"5.1125"	"6.6359"	"7.9102"	"9.8467"	"6.4074"	"9.7271"	"8.8666"	"2.3264"
"1951"	"1.2524"	"0.6934"	"3.1322"	"7.1992"	"4.1524"	"10.2939"	"8.9798"	"5.5187"	"10.0663"	"9.9116"	"10.8077"	"1.8824"
"1952"	"1.7149"	"2.2721"	"1.6704"	"5.101"	"5.8871"	"10.7296"	"8.4062"	"7.1056"	"2.1227"	"9.6977"	"5.3579"	"3.751"
"1953"	"1.8594"	"2.504"	"2.4604"	"7.3531"	"3.5968"	"10.5232"	"13.3115"	"5.0519"	"6.0099"	"12.1519"	"8.4035"	"1.8612"
"1954"	"2.7953"	"1.0441"	"5.1063"	"6.2977"	"5.6972"	"7.2591"	"8.1767"	"8.8596"	"4.6519"	"10.3109"	"3.8539"	"6.8533"
"1955"	"2.2677"	"1.6074"	"1.762"	"7.7384"	"6.7171"	"6.7635"	"5.8571"	"6.6185"	"7.2224"	"9.5269"	"7.763"	"2.243"
"1956"	"1.2031"	"1.808"	"1.1443"	"6.021"	"2.2373"	"11.0814"	"5.7047"	"6.5195"	"4.973"	"10.6292"	"9.5236"	"3.1565"
"1957"	"1.0344"	"1.5793"	"2.3451"	"4.9879"	"7.3451"	"13.167"	"9.7838"	"5.7349"	"5.9029"	"10.9841"	"11.0796"	"4.5602"
"1958"	"1.1712"	"1.974"	"3.6679"	"6.0475"	"9.5415"	"7.1147"	"5.1644"	"8.735"	"3.4893"	"9.4251"	"8.101"	"1.7184"
"1959"	"1.0608"	"2.4614"	"1.1432"	"5.6691"	"9.0206"	"16.4442"	"3.9633"	"8.321"	"5.2044"	"9.0322"	"8.8975"	"4.2344"
"1960"	"0.7974"	"1.2106"	"1.548"	"6.307"	"7.0153"	"3.6508"	"17.8856"	"4.3952"	"5.4281"	"9.8262"	"12.1689"	"2.6091"
"1961"	"3.2061"	"1.8015"	"2.0024"	"5.6966"	"6.6082"	"15.4844"	"10.5948"	"8.8461"	"4.7867"	"8.7272"	"7.0978"	"3.1955"
"1962"	"1.549"	"2.3535"	"2.4884"	"5.9746"	"9.1266"	"5.5922"	"7.4221"	"7.9805"	"7.6546"	"11.6617"	"5.8755"	"4.4933"
"1963"	"3.0361"	"1.4992"	"4.3293"	"7.0435"	"4.9431"	"8.6029"	"9.51"	"9.8103"	"4.2589"	"8.9062"	"9.3866"	"3.7147"
"1964"	"0.5304"	"0.8095"	"3.8496"	"3.276"	"4.1646"	"5.3626"	"18.5964"	"7.4288"	"7.1358"	"9.7999"	"6.2985"	"3.1509"
"1965"	"1.2194"	"2.8748"	"1.8611"	"5.1923"	"7.1446"	"7.5402"	"6.9533"	"9.4149"	"5.485"	"8.4711"	"7.5656"	"7.8244"
"1966"	"1.143"	"0.9276"	"2.6778"	"4.7558"	"3.3225"	"8.7061"	"7.232"	"7.333"	"11.2209"	"11.7514"	"9.4223"	"5.1745"
"1967"	"1.9193"	"0.8202"	"2.9379"	"2.9774"	"6.8359"	"12.2202"	"4.4407"	"6.4563"	"3.0286"	"10.9714"	"8.5339"	"4.7046"
"1968"	"0.2981"	"2.1528"	"5.0047"	"9.3715"	"3.4999"	"6.0331"	"7.6059"	"6.1409"	"8.0551"	"9.6322"	"7.5999"	"3.1241"
"1969"	"1.9186"	"2.1505"	"1.2536"	"5.6416"	"7.0978"	"7.1564"	"6.501"	"9.0688"	"3.9656"	"11.3489"	"8.7756"	"5.5811"
"1970"	"1.0344"	"1.9915"	"2.0311"	"8.58"	"6.8569"	"8.6573"	"6.6621"	"7.0134"	"5.1555"	"9.2198"	"7.3909"	"1.7438"
"1971"	"2.3148"	"1.4738"	"3.0195"	"4.3715"	"7.7838"	"6.4512"	"7.8908"	"9.2117"	"6.6779"	"8.5096"	"5.0832"	"5.1132"
"1972"	"1.0851"	"1.2748"	"0.793"	"4.3254"	"11.1997"	"6.7432"	"8.1471"	"3.2062"	"7.5395"	"12.9903"	"7.8558"	"7.1863"
"1973"	"0.1035"	"1.002"	"1.7322"	"5.0642"	"4.1528"	"10.628"	"7.8584"	"6.5226"	"6.2"	"11.0001"	"6.5362"	"5.3542"
"1974"	"0.1035"	"2.6251"	"2.2465"	"5.1155"	"10.8531"	"7.0463"	"8.7869"	"6.7286"	"8.1358"	"6.3553"	"5.4745"	"1.8111"
"1975"	"1.0344"	"1.832"	"3.4748"	"6.2475"	"4.4707"	"5.5909"	"10.0958"	"11.9361"	"6.9621"	"11.9411"	"9.4805"	"2.9219"
"1976"	"1.0166"	"0.3471"	"2.9348"	"7.6693"	"4.7823"	"4.7765"	"4.7232"	"6.9558"	"5.0562"	"9.7839"	"11.1627"	"3.8944"
"1977"	"0.1035"	"2.1679"	"3.8996"	"5.6365"	"10.2837"	"9.4956"	"12.8126"	"5.2909"	"5.9686"	"13.4695"	"10.6417"	"3.5864"
"1978"	"0.6239"	"1.7619"	"1.5337"	"5.1432"	"6.4328"	"7.8997"	"7.0527"	"6.3859"	"6.3344"	"10.0648"	"8.7954"	"4.8602"
"1979"	"1.0344"	"3.4863"	"1.8242"	"3.0773"	"4.0653"	"11.1294"	"7.08"	"6.858"	"9.9603"	"9.5464"	"11.2858"	"2.9629"
"1980"	"0.9753"	"0.7368"	"1.9103"	"6.0653"	"5.1382"	"12.1668"	"7.3185"	"5.4497"	"4.2468"	"9.5011"	"7.5398"	"2.9003"
"1981"	"1.6132"	"1.7235"	"1.9767"	"3.6925"	"6.2464"	"7.9782"	"13.4516"	"5.7868"	"9.2596"	"9.4512"	"7.7107"	"2.8331"
"1982"	"0.3155"	"0.3471"	"3.6345"	"5.0996"	"4.6694"	"9.8092"	"5.4488"	"6.6265"	"6.2147"	"6.6094"	"10.0308"	"3.1497"
"1983"	"0.1035"	"0.3471"	"0.4142"	"2.7805"	"5.5944"	"7.829"	"8.1091"	"9.0088"	"6.4516"	"7.7006"	"7.6837"	"6.5873"
"1984"	"2.9653"	"3.819"	"5.5297"	"8.7827"	"3.0926"	"8.4661"	"12.6535"	"5.5926"	"7.8248"	"6.1521"	"7.4708"	"2.4705"
"1985"	"3.5436"	"2.5612"	"2.2429"	"3.7251"	"5.7543"	"5.852"	"11.6662"	"10.662"	"7.6453"	"8.2261"	"9.5576"	"3.0804"
"1986"	"1.8723"	"2.6314"	"1.6925"	"5.7262"	"5.5179"	"4.616"	"10.8215"	"7.2095"	"6.0155"	"8.4662"	"8.1629"	"3.8275"
"1987"	"1.0323"	"0.3471"	"1.8425"	"5.5444"	"7.41"	"9.6306"	"3.4449"	"6.5642"	"5.6846"	"12.6694"	"7.3737"	"7.5583"
"1988"	"0.1035"	"1.2265"	"3.5339"	"8.1173"	"3.5681"	"21.6927"	"12.0282"	"10.0829"	"12.6482"	"3.0706"	"7.976"	"3.0829"
"1989"	"1.812"	"0.3471"	"2.3431"	"5.6392"	"5.1292"	"11.5149"	"11.9859"	"6.9818"	"7.0305"	"10.4282"	"6.8751"	"2.5859"
"1990"	"2.5772"	"1.1876"	"2.3598"	"2.7675"	"8.2067"	"8.6887"	"7.0211"	"4.6479"	"4.8265"	"11.7741"	"7.7115"	"3.59"
