model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.003651,0.060417,0.042386,0.031954,0.865194,0.865194
polynomial_regression,2,0.002775,0.052672,0.034682,0.023105,0.897524,0.897524
polynomial_regression,3,0.002525,0.050169,0.034233,0.02335,0.9068,0.906797
polynomial_regression,4,0.001595,0.039512,0.027964,0.019762,0.941073,0.941068
decision_tree_regression,2,0.005241,0.072383,0.050268,0.037149,0.806512,0.806512
decision_tree_regression,3,0.003858,0.062102,0.04054,0.02544,0.857563,0.857563
decision_tree_regression,4,0.003038,0.055108,0.035995,0.022362,0.887808,0.887808
decision_tree_regression,5,0.002395,0.048934,0.032169,0.020148,0.91154,0.91154
decision_tree_regression,6,0.001851,0.043014,0.028288,0.018163,0.931638,0.931638
decision_tree_regression,7,0.00143,0.037809,0.024305,0.014949,0.947181,0.947181
support_vector_regression,linear,0.003991,0.063165,0.045456,0.03451,0.853688,0.852646
support_vector_regression,poly,0.004236,0.06508,0.048846,0.039088,0.845415,0.843558
support_vector_regression,rbf,0.004216,0.064919,0.052535,0.048149,0.871711,0.844264
