model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.004017,0.063377,0.043814,0.032148,0.830158,0.830158
polynomial_regression,2,0.002965,0.054399,0.03565,0.022036,0.874604,0.874603
polynomial_regression,3,0.002361,0.048577,0.030484,0.017326,0.900199,0.900199
polynomial_regression,4,0.001436,0.037884,0.024714,0.015367,0.939263,0.939262
decision_tree_regression,2,0.005235,0.072349,0.047164,0.023627,0.778693,0.778693
decision_tree_regression,3,0.003545,0.059535,0.036648,0.018577,0.850103,0.850103
decision_tree_regression,4,0.002787,0.052785,0.032406,0.016666,0.882166,0.882166
decision_tree_regression,5,0.002165,0.046515,0.028543,0.015546,0.908476,0.908476
decision_tree_regression,6,0.001626,0.040315,0.024831,0.014052,0.931222,0.931222
decision_tree_regression,7,0.001191,0.034478,0.020922,0.011502,0.949649,0.949649
support_vector_regression,linear,0.004545,0.067406,0.049768,0.040666,0.811661,0.807883
support_vector_regression,poly,0.00491,0.070057,0.055769,0.051581,0.824346,0.792397
support_vector_regression,rbf,0.004493,0.06702,0.053178,0.047411,0.838693,0.81001
