model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.006599,0.08123,0.055613,0.03825,0.69177,0.69177
polynomial_regression,2,0.005996,0.077431,0.05219,0.035853,0.71993,0.71993
polynomial_regression,3,0.005392,0.073431,0.049721,0.032972,0.74811,0.74811
polynomial_regression,4,0.004324,0.065754,0.045503,0.030997,0.798016,0.798016
decision_tree_regression,2,0.00794,0.089107,0.063526,0.045491,0.629096,0.629096
decision_tree_regression,3,0.006958,0.083411,0.0581,0.03984,0.674992,0.674992
decision_tree_regression,4,0.006332,0.079573,0.054601,0.037503,0.704214,0.704214
decision_tree_regression,5,0.005744,0.075785,0.051599,0.035173,0.731712,0.731712
decision_tree_regression,6,0.005012,0.070789,0.04839,0.032691,0.765899,0.765899
decision_tree_regression,7,0.004198,0.064788,0.044253,0.029922,0.8039,0.8039
support_vector_regression,linear,0.006845,0.082734,0.059421,0.044209,0.685711,0.680245
support_vector_regression,poly,0.00715,0.084558,0.063944,0.055377,0.680024,0.665984
support_vector_regression,rbf,0.00677,0.082279,0.062957,0.053968,0.701769,0.68375
