model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.003704,0.060851,0.040693,0.026864,0.85804,0.85804
polynomial_regression,2,0.003198,0.056541,0.036657,0.021755,0.877432,0.877432
polynomial_regression,3,0.002763,0.05251,0.034242,0.021139,0.894084,0.894084
polynomial_regression,4,0.001842,0.042685,0.028211,0.018161,0.92939,0.929389
decision_tree_regression,2,0.005428,0.073664,0.050899,0.029806,0.791934,0.791934
decision_tree_regression,3,0.003863,0.062146,0.040805,0.024879,0.851914,0.851914
decision_tree_regression,4,0.003224,0.056776,0.036639,0.021274,0.876395,0.876395
decision_tree_regression,5,0.002742,0.052351,0.033479,0.019358,0.894878,0.894878
decision_tree_regression,6,0.002209,0.046988,0.029562,0.016653,0.915318,0.915318
decision_tree_regression,7,0.001711,0.041338,0.02538,0.013773,0.934432,0.934432
support_vector_regression,linear,0.00427,0.065329,0.048124,0.038001,0.837465,0.836347
support_vector_regression,poly,0.003942,0.062778,0.046505,0.036353,0.849381,0.848877
support_vector_regression,rbf,0.005498,0.074144,0.062168,0.064488,0.838744,0.7892
