model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.005479,0.074019,0.052576,0.035706,0.795623,0.795623
polynomial_regression,2,0.004502,0.067089,0.046194,0.028555,0.832047,0.832047
polynomial_regression,3,0.004348,0.063412,0.043224,0.026634,0.837725,0.837724
polynomial_regression,4,0.00468,0.067067,0.050145,0.038096,0.825678,0.825657
decision_tree_regression,2,0.006674,0.081691,0.05819,0.03494,0.751063,0.751063
decision_tree_regression,3,0.005282,0.072674,0.049897,0.033508,0.802978,0.802978
decision_tree_regression,4,0.00457,0.067597,0.04527,0.028725,0.829527,0.829527
decision_tree_regression,5,0.003904,0.062477,0.041269,0.02537,0.854366,0.854366
decision_tree_regression,6,0.0033,0.057434,0.037297,0.022737,0.876918,0.876918
decision_tree_regression,7,0.002652,0.05148,0.032592,0.018578,0.90109,0.90109
support_vector_regression,linear,0.005674,0.075321,0.054228,0.0379,0.7886,0.788364
support_vector_regression,poly,0.006168,0.078531,0.063496,0.059961,0.789,0.769928
support_vector_regression,rbf,0.005676,0.075332,0.061111,0.054737,0.811403,0.788252
