model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.006297,0.079349,0.055463,0.037354,0.721821,0.721821
polynomial_regression,2,0.005878,0.076661,0.053457,0.037041,0.740332,0.740332
polynomial_regression,3,0.00509,0.07134,0.049207,0.03365,0.775127,0.775127
polynomial_regression,4,0.003413,0.058413,0.03984,0.027002,0.849221,0.849221
decision_tree_regression,2,0.007654,0.087478,0.061387,0.042284,0.661911,0.661911
decision_tree_regression,3,0.006517,0.080722,0.055068,0.037576,0.712099,0.712099
decision_tree_regression,4,0.006039,0.077705,0.052708,0.035892,0.733202,0.733202
decision_tree_regression,5,0.005306,0.072832,0.049439,0.032869,0.765595,0.765595
decision_tree_regression,6,0.004602,0.067826,0.045406,0.029427,0.796693,0.796693
decision_tree_regression,7,0.003854,0.062055,0.040704,0.025141,0.829742,0.829742
support_vector_regression,linear,0.006779,0.082326,0.061936,0.049178,0.711587,0.700523
support_vector_regression,poly,0.00674,0.082091,0.062954,0.054549,0.711238,0.702223
support_vector_regression,rbf,0.006755,0.08218,0.063512,0.055123,0.716391,0.701581
