model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.004523,0.067251,0.047311,0.033338,0.828607,0.828607
polynomial_regression,2,0.003818,0.061787,0.04176,0.02646,0.855308,0.855308
polynomial_regression,3,0.003328,0.057684,0.038749,0.02503,0.873889,0.873889
polynomial_regression,4,0.002282,0.047533,0.032477,0.021636,0.913528,0.913524
decision_tree_regression,2,0.005804,0.076176,0.054876,0.033587,0.780093,0.780093
decision_tree_regression,3,0.004623,0.067986,0.046446,0.031438,0.824844,0.824844
decision_tree_regression,4,0.003985,0.063121,0.042291,0.027875,0.848993,0.848993
decision_tree_regression,5,0.003356,0.057921,0.038705,0.025239,0.87285,0.87285
decision_tree_regression,6,0.002706,0.05201,0.034388,0.021663,0.897441,0.897441
decision_tree_regression,7,0.002116,0.045988,0.029622,0.017885,0.919805,0.919805
support_vector_regression,linear,0.004806,0.069319,0.049493,0.035332,0.81997,0.817907
support_vector_regression,poly,0.004983,0.070585,0.055101,0.047267,0.822386,0.811188
support_vector_regression,rbf,0.005335,0.073034,0.05951,0.056611,0.824927,0.79785
